Title,Author(s),ID,Journal,BBCite,Topics,Cited (articles),Cited (cases),Accessed
The Supreme Court and Antitrust Analysis: The Near Triumph of the Chicago School [article],"Gerhart, Peter M. (Cited 236 times)",7636,"Supreme Court Review, Vol. 1982, pp. 319-350",1982 Sup. Ct. Rev. 319 (1982),"Antitrust, Standing",62,2,4
"Competitive Advantages Explanation for Intrabrand Restraints: An Antitrust Analysis, The [article]","Gerhart, Peter M. (Cited 236 times)",7636,"Duke Law Journal , Vol. 1981, Issue 3 (June 1981), pp. 417-448",1981 Duke L.J. 417 (1981),"Antitrust, Cartels",38,4,2
Reflections: Beyond Compliance Theory--TRIPS as a Substantive Issue [comments],"Gerhart, Peter M. (Cited 236 times)",7636,"Case Western Reserve Journal of International Law, Vol. 32, Issue 3 (Summer 2000), pp. 357-386",32 Case W. Res. J. Int'l L. 357 (2000),"Intellectual Property Law, Intellectual Property Law, International Law: History, Age, Conflict of Laws, Developing Countries",26,na,33
Slow Transformations: The WTO as a Distributive Organization [article],"Gerhart, Peter M. (Cited 236 times)",7636,"American University International Law Review, Vol. 17, Issue 5 (2002), pp. 1045-1096",17 Am. U. Int'l L. Rev. 1045 (2001-2002),"Developing Countries, Drugs, Legal Services",19,na,6
The Two Constitutional Visions of the World Trade Organization [article],"Gerhart, Peter M. (Cited 236 times)",7636,"University of Pennsylvania Journal of International Economic Law, Vol. 24, Issue 1 (Spring 2003), pp. 1-76",24 U. Pa. J. Int'l Econ. L. 1 (2003),"Organizations, World Trade Organization, Democracy, Evidence",18,na,12
Judicial Review of Customs Service Actions [article],"Gerhart, Peter M. (Cited 236 times)",7636,"Law and Policy in International Business, Vol. 9, Issue 4 (1977), pp. 1101-1190",9 Law & Pol'y Int'l Bus. 1101 (1977),"Judicial Review, Administration Law, States",15,na,11
The Tragedy of TRIPS [article],"Gerhart, Peter M. (Cited 236 times)",7636,"Michigan State Law Review, Vol. 2007, Issue 1 (Spring 2007), pp. 143-184",2007 Mich. St. L. Rev. 143 (2007),"Industrial and Intellectual Property, Intellectual Property Law, Intellectual Property Law, International Law: History, Private International Law, Property Law, Fishing, History",11,na,10
The Death of Strict Liability [article],"Gerhart, Peter M. (Cited 236 times)",7636,"Buffalo Law Review, Vol. 56, Issue 1 (April 2008), pp. 245-314",56 Buff. L. Rev. 245 (2008),"Death, Liability, Strict Liability, Negligence, Torts",10,na,10
Power and Preferences: Developing Countries and the Role of the WTO Appellate Body [article],"Gerhart, Peter M. (Cited 236 times); Kella, Archana Seema (Cited 9 times)",7636,"North Carolina Journal of International Law and Commercial Regulation, Vol. 30, Issue 3 (2005), pp. 515-576",30 N.C.J. Int'l L. & Com. Reg. 515 (2004-2005),"Developing Countries, International Trade, Organizations, World Trade Organization, European Communities",9,na,24
Understanding National Treatment: The Particpatory Vision of the WTO [article],"Gerhart, Peter M. (Cited 236 times); Baron, Michael S. (Cited 9 times)",7636,"Indiana International & Comparative Law Review, Vol. 14, Issue 3 (2004), pp. 505-552",14 Ind. Int'l & Comp. L. Rev. 505 (2003-2004),"Regulation, Animal Law, Antitrust, International Trade, Jurisprudence",9,na,21
Recognizing the Shared Ownership of Subsurface Resource Pools [article],"Gerhart, Peter M. (Cited 236 times); Cheren, Robert D. (Cited 14 times)",7636,"Case Western Reserve Law Review, Vol. 63, Issue 4 (Summer 2013), pp. 1041-1100",63 Case W. Res. L. Rev. 1041 (2012-2013),"Oil, Gas, and Mineral Law, Ownership, Natural Resources Law, Corporations",7,na,10
The World Trade Organization and Participatory Democracy: The Historical Evidence [article],"Gerhart, Peter M. (Cited 236 times)",7636,"Vanderbilt Journal of Transnational Law, Vol. 37, Issue 4 (October 2004), pp. 897-934",37 Vand. J. Transnat'l L. 897 (2004),"Democracy, Evidence, World Trade Organization, Dispute Resolution, International Trade, States",3,na,18
Constitutional Limits on State Regulatory and Protectionist Policies [article],"Gerhart, Peter M. (Cited 236 times)",7636,"Antitrust Law Journal, Vol. 48, Issue 5 (1979), pp. 1351-1380",48 Antitrust L.J. 1351 (1979),"Commercial Speech, Communications Law, Intellectual Property Law, Government, Liquor, Regulation, Constitutional Law, Names, Trade Names",3,na,3
"Introduction: The Triangulation of International Intellectual Property Law: Cooperation, Power, and Normative Welfare [comments]","Gerhart, Peter M. (Cited 236 times)",7636,"Case Western Reserve Journal of International Law, Vol. 36, Issue 1 (Winter 2004), pp. 1-20",36 Case W. Res. J. Int'l L. 1 (2004),"Food and Drug Law, Industrial and Intellectual Property, Intellectual Property Law, Intellectual Property Law, International Trade, Property Law, Agriculture Law, Biodiversity, Biotechnology",2,na,9
Efficient Contextualism [article],"Gerhart, Peter M. (Cited 236 times); Kostritsky, Juliet P. (Cited 318 times)",7636,"University of Pittsburgh Law Review, Vol. 76, Issue 4 (Summer 2015), pp. 509-568",76 U. Pitt. L. Rev. 509 (2014-2015),"Contracts, Economics, Disability Law, Intellectual Property Law, International Trade, Soft Law, Comparative Law, Law and Society, States",1,na,16
"Health Matrix, The Journal of Law-Medicine--Preface [comments]","Gerhart, Peter M. (Cited 236 times)",7636,"Health Matrix, The Journal of Law-Medicine, Vol. 1, pp. 1-4",1 Health Matrix 1 (1991),"Health, Law and Society, Health Law",1,na,11
Wilbur Leatherberry: Our Center Of Gravity [comments],"Gerhart, Peter M. (Cited 236 times)",7636,"Case Western Reserve Law Review, Vol. 63, Issue 1 (Fall 2012), pp. 9-10",63 Case W. Res. L. Rev. 9 (2012-2013),"Retirement, Schools, Biography",1,na,1
Ohio Lawyer Special Issue: Legal Education in Ohio [comments],"Gerhart, Peter (Cited 236 times)",7636,"Ohio Lawyer, Vol. 6, Issue 2 (March/April 1992), pp. 8-9",6 Ohio Law. 8 (1992),"Schools, Education Law, Legal Education",1,na,na
The Social Costs of Regulatory Takings [article],"Gerhart, Peter M. (Cited 236 times)",7636,"Mercer Law Review, Vol. 70, Issue 2 (Winter 2019), pp. 479-524",70 Mercer L. Rev. 479 (2018-2019),na,na,na,16
Tribute to Professor Ken Margolis [comments],"Gerhart, Peter M. (Cited 236 times); Joy, Peter A. (Cited 1184 times); Lipton, Judith; Rossman, Matthew J. (Cited 53 times)",7636,"Case Western Reserve Law Review, Vol. 67, Issue 1 (Fall 2016), pp. 1-12",67 Case W. Res. L. Rev. 1 (2016-2017),"Biography, Employment, Disability Law, Discrimination, Education Law, Special Education, Students",na,na,9
