Title,Author(s),ID,Journal,BBCite,Topics,Cited (articles),Cited (cases),Accessed
By-Products Liability: Using Common Law Private Actions to Clean Up Hazardous Waste Sites [article],"Baker, R. Lisle (Cited 103 times); Markoff, Michael J. (Cited 33 times)",1680,"Harvard Environmental Law Review, Vol. 10, Issue 1 (1986), pp. 99-134",10 Harv. Envtl. L. Rev. 99 (1986),"Common Law, Hazardous Waste, Liability, Contractors, Costs",25,na,na
On Engagement: Learning to Pay Attention [article],"Baker, R. Lisle (Cited 103 times); Brown, Daniel P. (Cited 11 times)",1680,"University of Arkansas at Little Rock Law Review, Vol. 36, Issue 3 (Spring 2014), pp. 337-386",36 UALR L. Rev. 337 (2013-2014),"Legal Education, Psychiatrists and Psychologists, Students, Legal Profession",11,na,22
Using Insights about Perception and Judgment from the Myers-Briggs Type Indicator Instrument as an Aid to Mediation [article],"Baker, R. Lisle (Cited 103 times)",1680,"Harvard Negotiation Law Review, Vol. 9, pp. 115-186",9 Harv. Negot. L. Rev. 115 (2004),"Law and Society, Psychiatrists and Psychologists, Dispute Resolution, Legal Education",10,na,15
Using Special Assessments as a Tool for Smart Growth: Louisville's New Metro Government as a Potential Example [article],"Baker, R. Lisle (Cited 103 times)",1680,"Brandeis Law Journal, Vol. 45, Issue 1 (2006), pp. 1-58",45 Brandeis L.J. 1 (2006-2007),"Government, Land Use Planning, Taxation-Federal Income, State and Local Government Law, Bankruptcy Law",10,na,3
Enhancing Professional Competence and Legal Excellence through Teaching Law Practice Management [comments],"Baker, R. Lisle (Cited 103 times)",1680,"Journal of Legal Education , Vol. 40, Issue 2 (1990), pp. 375-380",40 J. Legal Educ. 375 (1990),"Schools, Technology, Law Office Management, Law Students, Legal Education, Legal Profession, Students",8,na,9
My Tree versus Your Solar Collector or Your Well versus My Septic System - Exploring Responses to Beneficial but Conflicting Neighboring Uses of Land [article],"Baker, R. Lisle (Cited 103 times)",1680,"Boston College Environmental Affairs Law Review, Vol. 37, Issue 1 (2010), pp. 1-40",37 B.C. Envtl. Aff. L. Rev. 1 (2010),"Land Use Planning, Regulation, Zoning",7,na,38
Ethical Limits on Attorney Contact with Represented and Unrepresented Officials: The Example of Municipal Zoning Boards Making Site-Specific Land Use Decisions [article],"Baker, R. Lisle (Cited 103 times)",1680,"Suffolk University Law Review, Vol. 31, Issue 2 (1997), pp. 349-390",31 Suffolk U. L. Rev. 349 (1997-1998),"Land Use, Zoning, Police, Ethics, Land Use Planning, Legal Ethics",7,na,3
Planning for Platted Lands: Land Use Remedies for Lot Sale Subdivisions [article],"Schnidman, Frank (Cited 55 times); Baker, R. Lisle (Cited 103 times)",1680,"Florida State University Law Review, Vol. 11, Issue 3 (Fall 1983), pp. 505-598",11 Fla. St. U. L. Rev. 505 (Fall 1983),"Land Use, Remedies, Subdivisions, States, Redevelopment, Tax Increment Financing, Urban Development",7,na,1
Controlling Land Uses and Prices by Using Special Gain Taxation to Intervene in the Land Market: The Vermont Experiment [article],"Baker, R. Lisle (Cited 103 times)",1680,"Environmental Affairs, Vol. 4, Issue 3 (Summer 1975), pp. 427-480",4 Envtl. Aff. 427 (1975),"Prices, Taxation, Income Taxation, Legal History, State and Local Government Law",6,na,3
Taxing Speculative Land Gains: The Vermont Experience [article],"Baker, R. Lisle (Cited 103 times); Anderson, Stephen O. (Cited 5 times)",1680,"Urban Law Annual, Vol. 22, pp. 3-70",22 Urb. L. Ann. 3 (1981),"Income Taxation, Prices, Taxation, Farmland",5,na,1
Exploring How Municipal Boards Can Settle Appeals of Their Land Use Decisions within the Framework of the Massachusetts Open Meeting Law [article],"Baker, R. Lisle (Cited 103 times)",1680,"Suffolk University Law Review, Vol. 44, Issue 2 (2011), pp. 455-476",44 Suffolk U. L. Rev. 455 (2011),"Appeals, Land Use, Land Use Planning, State and Local Government Law, Zoning, Standing",3,1,3
Planning Your Career in Law Practice [article],"Baker, R. Lisle (Cited 103 times)",1680,"Suffolk University Law Review, Vol. 50, Issue 1 (2017), pp. 1-44",50 Suffolk U. L. Rev. 1 (2017),"Law and Society, Legal Education, Legal Profession, Consultants, Legal Analysis and Writing, Legal Writing, Psychiatrists and Psychologists",2,na,30
