Title,Author(s),ID,Journal,BBCite,Topics,Cited (articles),Cited (cases),Accessed
Shareholder Opportunism in a World of Risky Debt [article],"Squire, Richard (Cited 252 times)",5408,"Harvard Law Review, Vol. 123, Issue 5 (March 2010), pp. 1151-1213",123 Harv. L. Rev. 1151 (2009-2010),"Banking, Debts, Economics, Obligations",46,na,22
Law and the Rise of the Firm [article],"Hansmann, Henry (Cited 3326 times); Kraakman, Reinier (Cited 4616 times); Squire, Richard (Cited 252 times)",5408,"Harvard Law Review, Vol. 119, Issue 5 (March 2006), pp. 1335-1403",119 Harv. L. Rev. 1335 (2005-2006),"Partnerships, Civil Law, Common Law, Corporations, Limited Liability Companies, Trusts",44,na,179
Strategic Liability in the Corporate Group [article],"Squire, Richard (Cited 252 times)",5408,"University of Chicago Law Review, Vol. 78, Issue 2 (Spring 2011), pp. 605-670",78 U. Chi. L. Rev. 605 (2011),"Bankruptcy Law, Corporations, Economics, Liability, Bankruptcy Law, Costs, Debtors and Creditors, Accounting",29,2,45
Principal Costs: A New Theory for Corporate Law and Governance [comments],"Goshen, Zohar (Cited 371 times); Squire, Richard (Cited 252 times)",5408,"Columbia Law Review, Vol. 117, Issue 3 (April 2017), pp. 767-830",117 Colum. L. Rev. 767 (2017),"Business Organizations, Costs, Economics, Dividends, Banking, Corporations, Investment",27,na,97
The New Business Entities in Evolutionary Perspective [article],"Hansmann, Henry (Cited 3326 times); Kraakman, Reinier (Cited 4616 times); Squire, Richard (Cited 252 times)",5408,"University of Illinois Law Review, Vol. 2005, Issue 1 (2005), pp. 5-14",2005 U. Ill. L. Rev. 5 (2005),"Corporations, Organizations, Partnerships, Death, Deregulation, Liability, Limited Liability Companies",21,na,40
The Case for Symmetry in Creditors' Rights [article],"Squire, Richard (Cited 252 times)",5408,"Yale Law Journal, Vol. 118, Issue 5 (March 2009), pp. 806-867",118 Yale L. J. 806 (2008-2009),"Creditors, Civil Rights, Constitutions, European Union, Legal Systems",20,na,27
Antitrust and the Supremacy Clause [article],"Squire, Richard (Cited 252 times)",5408,"Stanford Law Review, Vol. 59, Issue 1 (October 2006), pp. 77-130",59 Stan. L. Rev. 77 (October 2006),"Antitrust, Supremacy Clause, Trade Regulation, Immunity, State Action, Federalism",16,na,10
Intraportfolio Litigation [article],"Rose, Amanda M. (Cited 289 times); Squire, Richard (Cited 252 times)",5408,"Northwestern University Law Review, Vol. 105, Issue 4 (Fall 2011), pp. 1679-1706",105 Nw. U. L. Rev. 1679 (2011),"Law and Society, Torts, Fraud, Liability, Vicarious Liability",16,na,4
Clearinghouses as Liquidity Partitioning [article],"Squire, Richard (Cited 252 times)",5408,"Cornell Law Review, Vol. 99, Issue 4 (May 2014), pp. 857-924",99 Cornell L. Rev. 857 (2013-2014),"Banking, Bankruptcy Law, Securities Law, Bankruptcy Law",14,na,25
How Collective Settlements Camouflage the Costs of Shareholder Lawsuits [article],"Squire, Richard (Cited 252 times)",5408,"Duke Law Journal, Vol. 62, Issue 1 (October 2012), pp. 1-78",62 Duke L.J. 1 (2012-2013),"Costs, Settlements, Bad Faith, Insurance Law, Torts",6,na,4
How Does Legal Enforceability Affect Consumer Lending: Evidence from a Natural Experiment [article],"Honigsberg, Colleen (Cited 18 times); Jackson, Robert J. Jr. (Cited 345 times); Squire, Richard (Cited 252 times)",5408,"Journal of Law & Economics, Vol. 60, Issue 4 (November 2017), pp. 673-712",Full Text Not Currently Available in HeinOnline,"Banking, Evidence, Housing Law, Bankruptcy Law, Foreclosure, State and Local Government Law, Consumer Protection Law, Consumer Protection Law, Truth in Lending",na,na,na
Symposium: Are We Ready for the Next Financial Crisis: Panel [comments],"Grossman, Eric F.; Kim, Richard K. (Cited 2 times); Squire, Richard (Cited 252 times)",5408,"Fordham Journal of Corporate and Financial Law, Vol. 21, Issue 2 (2016), pp. 236-271",21 Fordham J. Corp. & Fin. L. 236 (2016),"Banking, Economics, Government, Politics, Regulation, Securities Law, Boundaries, Business Judgment Rule, Banking, Loans",na,na,2
