Title,Author(s),ID,Journal,BBCite,Topics,Cited (articles),Cited (cases),Accessed
Plunging into Darkness: Energy Deregulation Collides with Scarcity [article],"Fellmeth, Robert C. (Cited 59 times)",1200,"Loyola University Chicago Law Journal, Vol. 33, Issue 4 (Summer 2002), pp. 823-874",33 Loy. U. Chi. L.J. 823 (2001-2002),"Deregulation, Antitrust",10,na,1
Child Poverty in the United States - The Need for a Constitutional Amendment and a Cultural Sea Change [article],"Fellmeth, Robert C. (Cited 59 times)",1200,"Human Rights, Vol. 32, Issue 1 (Winter 2005), pp. 2-3",32 Hum. Rts. 2 (2005),"Constitutional Amendment, States, Race, Children",8,1,9
"Unfair Competition Act Enforcement by Agencies, Prosecutors, and Private Litigants: Who's on First [article]","Fellmeth, Robert C. (Cited 59 times)",1200,"California Regulatory Law Reporter, Vol. 15, Issue 1 (Winter 1995), pp. 1-15",15 Cal. Reg. L. Rep. 1 (1995),"Unfair Competition, Public Policy, State and Local Government Law, Trade Regulation",6,2,1
The PUC's Electricity Deregulation Proposals: Point/Counterpoint [comments],"Fellmeth, Robert C. (Cited 59 times); Conran, Jim (Cited 6 times); Krause, Audrie (Cited 6 times)",1200,"California Regulatory Law Reporter, Vol. 15, Issue 2-3 (Spring/Summer 1995), pp. 1-4",15 Cal. Reg. L. Rep. 1 (1995),"Deregulation, Electricity, Public Utilities Law, Utilities, Industry",6,2,na
Antitrust Enforcement by Local Prosecutors: Impediments and Prospects [article],"Fellmeth, Robert C. (Cited 59 times)",1200,"California Western Law Review, Vol. 14, Issue 1 (1978), pp. 1-47",14 Cal. W. L. Rev. 1 (1978-1979),Antitrust,6,na,2
The Freedom of Information Act and the Federal Trade Commission: A Study in Malfeasance [article],"Fellmeth, Robert C. (Cited 59 times)",1200,"Harvard Civil Rights-Civil Liberties Law Review, Vol. 4, Issue 2 (Spring 1969), pp. 345-378",4 Harv. C.R.-C.L. L. Rev. 345 (1968-1969),"Federal Trade Commission, Freedom of Information, Statutes, Discovery",5,na,5
The Optimum Remedy for Constitutional Breaches: MultiAccessed Civil Penalties in Equity [article],"Fellmeth, Robert C. (Cited 59 times)",1200,"Pepperdine Law Review, Vol. 26, Issue 4 (1999), pp. 923-970",26 Pepp. L. Rev. 923 (1998-1999),"Equity, Remedies, Exclusionary Rule, States",3,na,2
Open Letter to DCA Officials and Other Users of Office of Administrative Hearings [comments],"Fellmeth, Robert C. (Cited 59 times); D'Angelo, Julianne B. (Cited 8 times)",1200,"California Regulatory Law Reporter, Vol. 14, Issue 4 (Fall 1994), pp. 1-7",14 Cal. Reg. L. Rep. 1 (1994),"Discipline, Administration Law, Administrative Courts, Administrative Procedure, Agency, Courts, Procedure, Administration Law",2,na,1
Public Disclosure of Physician Information: Who Knows What's Best for Whom [comments],"Fellmeth, Robert C. (Cited 59 times); D'Angelo, Julianne B. (Cited 8 times)",1200,"California Regulatory Law Reporter, Vol. 13, Issue 4 (Fall 1993), pp. 1-4",13 Cal. Reg. L. Rep. 1 (1993),"Natural Resources Law, Confidentiality, Health",2,na,na
The Attorney General's Circle of Error Casts a Shadow over California's Sunshine Laws [article],"Fellmeth, Robert C. (Cited 59 times); D'Angelo, Julianne B. (Cited 8 times)",1200,"California Regulatory Law Reporter, Vol. 13, Issue 1 (Winter 1993), pp. 1-5",13 Cal. Reg. L. Rep. 1 (1993),"Administration Law, Agency",2,na,na
"Regulation by Local Government - A Case Study of Monopoly, State Nonfeasance and Promised Corruption [article]","Fellmeth, Robert C. (Cited 59 times)",1200,"California Regulatory Law Reporter, Vol. 3, Issue 1 (Winter 1983), pp. 3-11",3 Cal. Reg. L. Rep. 3 (1983),"Government, Local Government, Regulation, Solid Waste, Waste Disposal",2,na,na
America's Child Welfare System: The Four Missing Priorities [article],"Fellmeth, Robert C. (Cited 59 times)",1200,"Whittier Journal of Child and Family Advocacy, Vol. 9, Issue 1 (Fall 2009), pp. 115-136",9 Whittier J. Child. & Fam. Advoc. 115 (2009-2010),"Social Welfare Law, Domestic Relations",1,na,2
Public Utilities Commission [article],"Steer, Jonathan (Cited 2 times); Tappe, Todd N. (Cited 2 times); Fellmeth, R. C. (Cited 59 times)",1200,"California Regulatory Law Reporter, Vol. 16, Issue 2 (Summer 1999), pp. 139-154",16 Cal. Reg. L. Rep. 139 (1999),"Public Utilities Law, Utilities",1,na,na
Public Utilities Commission [article],"Noceto, Andrew (Cited 1 times); Steer, Jonathan (Cited 2 times); Tappe, Todd N. (Cited 2 times); Fellmeth, Robert C. (Cited 59 times)",1200,"California Regulatory Law Reporter, Vol. 16, Issue 1 (Winter 1999), pp. 158-171",16 Cal. Reg. L. Rep. 158 (1999),"Public Utilities Law, Utilities",1,na,na
