Title,Author(s),ID,Journal,BBCite,Topics,Cited (articles),Cited (cases),Accessed
Society's Moral Right to Punish: A Further Exploration of the Denunciation Theory of Punishment [article],"Rychlak, Ronald J. (Cited 440 times)",7554,"Tulane Law Review, Vol. 65, Issue 2 , pp. 299-338",65 Tul. L. Rev. 299 (1990-1991),na,77,na,215
"Lotteries, Revenues and Social Costs: A Historical Examination of State-Sponsored Gambling [article]","Rychlak, Ronald J. (Cited 440 times)",7554,"Boston College Law Review, Vol. 34, Issue 1 (December 1992), pp. 11-82",34 B.C. L. Rev. 11 (1992-1993),"Costs, Economics, Gambling, Lotteries, State and Local Government Law, Contracts",70,7,28
The Introduction of Casino Gaming: Public Policy and the Law [article],"Rychlak, Ronald J. (Cited 440 times)",7554,"Mississippi Law Journal, Vol. 64, Issue 2 (Winter 1995), pp. 291-362",64 Miss. L.J. 291 (1994-1995),"Gambling, Gaming, Public Policy, Agency, Industry",40,2,6
Video Gambling Devices [article],"Rychlak, Ronald J. (Cited 440 times)",7554,"UCLA Law Review, Vol. 37, Issue 3 (February 1990), pp. 555-594",37 UCLA L. Rev. 555 (1989-1990),"Criminal Law, Gambling, Sports, Gaming, States",24,5,5
An Empire of Law: Legalism and the International Criminal Court [article],"Czarnetzky, John M. (Cited 126 times); Rychlak, Ronald J. (Cited 440 times)",7554,"Notre Dame Law Review, Vol. 79, Issue 1 (December 2003), pp. 55-126",79 Notre Dame L. Rev. 55 (2003-2004),"Courts, Criminal Law, International Criminal Court, International Law: History, International Criminal Law, Legal History",24,na,12
Common-Law Remedies for Environmental Wrongs: The Role of Private Nuisance [article],"Rychlak, Ronald J. (Cited 440 times)",7554,"Mississippi Law Journal, Vol. 59, Issue 3 (Winter 1989), pp. 657-698",59 Miss. L.J. 657 (1989),"Common Law, Nuisance, Remedies, Air Pollution, Pollution, Environmental Justice",22,3,30
Coastal Zone Management and the Search for Integration [article],"Rychlak, Ronald J. (Cited 440 times)",7554,"DePaul Law Review, Vol. 40, Issue 4 (Summer 1991), pp. 981-1008",40 DePaul L. Rev. 981 (1990-1991),"Land Use Planning, Land Use, Natural Resources Law, Takings, Takings Clause, Federalism",22,na,4
"Civil Rights, Confederate Flags, and Political Correctness: Free Speech and Race Relations on Campus [misc]","Rychlak, Ronald J. (Cited 440 times)",7554,"Tulane Law Review, Vol. 66, Issue 5 , pp. 1411-1434",66 Tul. L. Rev. 1411 (1991-1992),na,19,1,150
Mental Health Experts on Trial: Free Will and Determinism in the Courtroom [article],"Rychlak, Ronald J. (Cited 440 times); Rychlak, Joseph F. (Cited 14 times)",7554,"West Virginia Law Review, Vol. 100, Issue 1 (Fall 1997), pp. 193-242",100 W. Va. L. Rev. 193 (1997-1998),"Health, Mental Health, Jurisprudence, Provocation, Schools",14,na,22
Swimming Past the Hook: Navigating Legal Obstacles in the Aquaculture Industry [article],"Rychlak, Ronald J. (Cited 440 times); Peel, Ellen M. (Cited 13 times)",7554,"Environmental Law, Vol. 23, Issue 3 (1993), pp. 837-868",23 Envtl. L. 837 (1993),"Industry, Natural Resources Law, Insurance Law, Environmental Law",13,na,6
