Title,Author(s),ID,Journal,BBCite,Topics,Cited (articles),Cited (cases),Accessed
Multiple Chancellors: Reforming the National Injunction [article],"Bray, Samuel L. (Cited 255 times)",2493,"Harvard Law Review, Vol. 131, Issue 2 (December 2017), pp. 417-482",131 Harv. L. Rev. 417 (2017-2018),"Remedies, Civil Rights, Class Actions, Injunctions",37,19,176
Preventive Adjudication [article],"Bray, Samuel L. (Cited 255 times)",2493,"University of Chicago Law Review, Vol. 77, Issue 3 (Summer 2010), pp. 1275-1334",77 U. Chi. L. Rev. 1275 (2010),"Cuba, Advisory Opinions, Courts, Due Process, Judicial Review, Procedure",30,2,13
The Supreme Court and the New Equity [article],"Bray, Samuel L. (Cited 255 times)",2493,"Vanderbilt Law Review, Vol. 68, Issue 4 (May 2015), pp. 997-1054",68 Vand. L. Rev. 997 (2015),"Equity, Remedies, Supreme Court of the United States",30,3,84
The System of Equitable Remedies [article],"Bray, Samuel L. (Cited 255 times)",2493,"UCLA Law Review, Vol. 63, Issue 3 (2016), pp. 530-593",63 UCLA L. Rev. 530 (2016),"Remedies, Equity",28,2,135
The Myth of the Mild Declaratory Judgment [article],"Bray, Samuel L. (Cited 255 times)",2493,"Duke Law Journal, Vol. 63, Issue 5 (February 2014), pp. 1091-1152",63 Duke L.J. 1091 (2013-2014),"Practice and Procedure, Remedies, Declaratory Judgments, Insurance Law, Judgments",26,na,25
Not Proven: Introducing a Third Verdict [comments],"Bray, Samuel L. (Cited 255 times)",2493,"University of Chicago Law Review, Vol. 72, Issue 4 (Fall 2005), pp. 1299-1330",72 U. Chi. L. Rev. 1299 (Fall 2005),"Criminal Law, Research, Jury, Verdicts",26,1,43
Necessary and Proper and Cruel and Unusual: Hendiadys in the Constitution [article],"Bray, Samuel L. (Cited 255 times)",2493,"Virginia Law Review, Vol. 102, Issue 3 (May 2016), pp. 687-764",102 Va. L. Rev. 687 (May 2016),"Constitutional Law, Sentencing, Federalism, Criminal Law, Cruel and Unusual Punishment, Eighth Amendment, Health, Punishment",20,na,29
Power Rules [article],"Bray, Samuel L. (Cited 255 times)",2493,"Columbia Law Review, Vol. 110, Issue 4 (May 2010), pp. 1172-1192",110 Colum. L. Rev. 1172 (May 2010),"Law and Society, World Trade Organization, Constitutional Law, Constitutional Rights, Judges",16,na,2
Announcing Remedies [article],"Bray, Samuel L. (Cited 255 times)",2493,"Cornell Law Review, Vol. 97, Issue 4 (May 2012), pp. 753-800",97 Cornell L. Rev. 753 (2011-2012),"Remedies, Constitutional Law, Jurisdiction",14,1,11
"A Little Bit of Laches Goes a Long Way: Notes on Petrella v. Metro-Goldwyn-Mayer, Inc. [article]","Bray, Samuel L. (Cited 255 times)",2493,"Vanderbilt Law Review En Banc, Vol. 67, pp. 1-18",67 Vand. L. Rev. En Banc 1 (2014),"Laches, Copyright, Remedies, Statute of Limitations",10,na,14
Rooker Feldman [notes],"Bray, Samuel (Cited 255 times)",2493,"Green Bag. An Entertaining Journal of Law. (Second Series), Vol. 9, Issue 3 (Spring 2006), pp. 317-318",Full Text Not Currently Available in HeinOnline,"Civil Procedure, Practice and Procedure, Procedure, Boundaries, Jurisdiction",na,na,na
On Doctrines That Do Many Things [article],"Bray, Samuel L. (Cited 255 times)",2493,"Green Bag - Second Series, Vol. 18, Issue 2 (Winter 2015), pp. 141-150",Full Text Not Currently Available in HeinOnline,"Copyright, Courts, Third Parties, Health, Hospitals, Politics",na,na,na
"Remedies, Meet Economics; Economics, Meet Remedies [article]","Bray, Samuel L. (Cited 255 times)",2493,"Oxford Journal of Legal Studies, Vol. 38, Issue 1 (Spring 2018), pp. 71-89",Full Text Not Currently Available in HeinOnline,"Economics, Remedies, Law and Economics, Accidents, Costs",na,na,na
The Future of Qualified Immunity [article],"Bray, Samuel L. (Cited 255 times)",2493,"Notre Dame Law Review, Vol. 93, Issue 5 (May 2018), pp. 1793-1796",93 Notre Dame L. Rev. 1793 (2017-2018),"Civil Rights, Constitutional Law, Immunity, Law Enforcement, Practice and Procedure, Supreme Court of the United States",1,2,35
