Title,Author(s),ID,Journal,BBCite,Topics,Cited (articles),Cited (cases),Accessed
Reconsidering Supervisory Power in Criminal Cases: Constitutional and Statutory Limits on the Authority of the Federal Courts [article],"Beale, Sara Sun (Cited 1127 times)",823,"Columbia Law Review, Vol. 84, Issue 6 (October 1984), pp. 1433-1522",84 Colum. L. Rev. 1433 (1984),na,189,20,25
Too Many and Yet Too Few: New Principles to Define the Proper Limits for Federal Criminal Jurisdiction [article],"Beale, Sara Sun (Cited 1127 times)",823,"Hastings Law Journal, Vol. 46, Issue 4 (April 1995), pp. 979-1018",46 Hastings L.J. 979 (1994-1995),"Jurisdiction, Domestic Relations, Domestic Violence, Violence, Criminal Law, Sex Offenders",147,2,9
The Many Faces of Overcriminalization: From Morals and Mattress Tags to Overfederalization [comments],"Beale, Sara Sun (Cited 1127 times)",823,"American University Law Review, Vol. 54, Issue 3 (February 2005), pp. 747-782",54 Am. U. L. Rev. 747 (2004-2005),"Law and Society, Politics, Criminal Law, Interest, Jurisdiction, Administration Law",120,na,25
"What's Law Got To Do with It the Political, Social, Psychological and Other Non-Legal Factors Influencing the Development of (Federal) Criminal Law [article]","Beale, Sara Sun (Cited 1127 times)",823,"Buffalo Criminal Law Review, Vol. 1, Issue 1 (1997), pp. 23-66",1 Buff. Crim. L. Rev. 23 (1997-1998),"Criminal Law, Law and Society, Domestic Relations, Juveniles, Punishment",104,na,35
The News Media's Influence on Criminal Justice Policy: How Market-Driven News Promotes Punitiveness [article],"Beale, Sara Sun (Cited 1127 times)",823,"William and Mary Law Review , Vol. 48, Issue 2 (November 2006), pp. 397-482",48 Wm. & Mary L. Rev. 397 (November 2006),"Communications Law, Criminal Law, News Media, Social Networks",73,na,272
"Federalizing Hate Crimes: Symbolic Politics, Expressive Law, Or Tool for Criminal Enforcement [article]","Beale, Sara Sun (Cited 1127 times)",823,"Boston University Law Review, Vol. 80, Issue 5 (December 2000), pp. 1227-1282",80 B.U. L. Rev. 1227 (2000),"Crimes, Hate Crimes, Politics, Criminal Law, Jurisdiction, Commerce, Constitutional Law, Legislation",67,na,38
Still Tough on Crime - Prospects for Restorative Justice in the United States [article],"Beale, Sara Sun (Cited 1127 times)",823,"Utah Law Review, Vol. 2003, Issue 1 (2003), pp. 413-438",2003 Utah L. Rev. 413 (2003),"Restorative Justice, States, History",61,na,103
A Response to the Critics of Corporate Criminal Liability [article],"Beale, Sara Sun (Cited 1127 times)",823,"American Criminal Law Review, Vol. 46, Issue 4 (Fall 2009), pp. 1481-1506",46 Am. Crim. L. Rev. 1481 (2009),"Liability, Citizenship, Corporations, Regulation, Business Organizations, Criminal Law",42,na,115
Rethinking the Identity and Role of United States Attorneys [article],"Beale, Sara Sun (Cited 1127 times)",823,"Ohio State Journal of Criminal Law, Vol. 6, Issue 2 (Spring 2009), pp. 369-440",6 Ohio St. J. Crim. L. 369 (2008-2009),"Attorneys, States, Voting, Politics",34,1,19
The Unintended Consequences of Enhancing Gun Penalties: Shooting Down the Commerce Clause and Arming Federal Prosecuters [article],"Beale, Sara Sun (Cited 1127 times)",823,"Duke Law Journal, Vol. 51, Issue 5 (March 2002), pp. 1641-1682",51 Duke L.J. 1641 (2001-2002),"Commerce, Commerce Clause, Criminal Law, Death, Jurisdiction, Law Enforcement",32,1,7
Is Corporate Criminal Liability Unique [article],"Beale, Sara Sun (Cited 1127 times)",823,"American Criminal Law Review, Vol. 44, Issue 4 (Fall 2007), pp. 1503-1536",44 Am. Crim. L. Rev. 1503 (2007),"Liability, Corporations, Citizenship, Regulation",32,na,27
What Developments in Western Europe Tell Us about American Critiques of Corporate Criminal Liability [article],"Beale, Sara Sun (Cited 1127 times); Safwat, Adam G. (Cited 34 times)",823,"Buffalo Criminal Law Review, Vol. 8, Issue 1 (2004), pp. 89-164",8 Buff. Crim. L. Rev. 89 (2004-2005),"Comparative Law, Liability, Corporations, Criminal Law",32,na,14
Report's Draft for the Working Group on Principles to Use When Considering the Federalization of Criminal Law [article],"Beale, Sara Sun (Cited 1127 times)",823,"Hastings Law Journal, Vol. 46, Issue 4 (April 1995), pp. 1277-1304",46 Hastings L.J. 1277 (1994-1995),"Criminal Law, Federalism, Crimes, Jurisdiction, Separation, Separation of Powers",31,na,1
Procedural Issues Raised by Guidelines Sentencing: The Constitutional Significance of the Elements of the Sentence [article],"Beale, Sara Sun (Cited 1127 times)",823,"William and Mary Law Review, Vol. 35, Issue 1 (Fall 1993), pp. 147-162",35 Wm. & Mary L. Rev. 147 (1993-1994),"Sentencing, Criminal Procedure, Procedure, States",29,1,4
Comparing the Scope of the Federal Government's Authority to Prosecute Federal Corruption and State and Local Corruption: Some Surprising Conclusions and a Proposal [comments],"Beale, Sara Sun (Cited 1127 times)",823,"Hastings Law Journal, Vol. 51, Issue 4 (April 2000), pp. 699-722",51 Hastings L.J. 699 (1999-2000),"Criminal Law, Government, Fraud, Mail, Politics, Public Officials, Statutes, Jurisdiction",25,na,13
"You've Come a Long Way, Baby: Two Waves of Juvenile Justice Reforms as Seen from Jena, Louisiana [article]","Beale, Sara Sun (Cited 1127 times)",823,"Harvard Civil Rights-Civil Liberties Law Review, Vol. 44, Issue 2 (Summer 2009), pp. 511-546",44 Harv. C.R.-C.L. L. Rev. 511 (2009),"History, First Amendment, Judges, Race, Punishment",21,na,41
Should We Rush to Reform the Criminal Jury [article],"Vidmar, Neil (Cited 1575 times); Beale, Sara Sun (Cited 1127 times); Rose, Mary (Cited 141 times); Donnelly, Laura F. (Cited 25 times)",823,"Judicature, Vol. 80, Issue 6 (May-June 1997), pp. 286-291",80 Judicature 286 (1996-1997),"Jury, Defendants",19,na,17
The Consequences of Enlisting Federal Grand Juries in the War on Terrorism: Assessing the USA Patriot Act's Changes to Grand Jury Secrecy [article],"Beale, Sara Sun (Cited 1127 times); Felman, James E. (Cited 61 times)",823,"Harvard Journal of Law & Public Policy, Vol. 25, Issue 2 (Spring 2002), pp. 699-720",25 Harv. J.L. & Pub. Pol'y 699 (2001-2002),"Grand Juries, Jury, Terrorism, War",16,na,9
An Honest Service Debate [notes],"Beale, Sara Sun (Cited 1127 times)",823,"Ohio State Journal of Criminal Law, Vol. 8, Issue 1 (Fall 2010), pp. 251-272",8 Ohio St. J. Crim. L. 251 (2010-2011),"Fraud, States, Courts",13,na,7
Integrating Statistical Evidence and Legal Theory to Challenge the Selection of Grand and Petit Jurors [article],"Beale, Sara Sun (Cited 1127 times)",823,"Law and Contemporary Problems, Vol. 46, Issue 4 (Autumn 1983), pp. 269-282",46 Law & Contemp. Probs. 269 (1983),"Evidence, Equal Protection, Jury, Sixth Amendment, Constitutional Law, Right to Jury Trial",6,2,1
The Development and Evolution of the U.S. Law of Corporate Criminal Liability and the Yates Memo [article],"Beale, Sara Sun (Cited 1127 times)",823,"Stetson Law Review, Vol. 46, Issue 1 (Fall 2016), pp. 41-70",46 Stetson L. Rev. 41 (2016-2017),"Liability, Business Organizations, Criminal Law",6,na,51
The Fifth Amendment and the Grand Jury [article],"Beale, Sara Sun (Cited 1127 times); Felman, James E. (Cited 61 times)",823,"Criminal Justice , Vol. 22, Issue 1 (Spring 2007), pp. 4-9",22 Crim. Just. 4 (2007-2008),"Fifth Amendment, Jury, Documents, Self-Incrimination",5,2,4
Is Now the Time for Major Federal Sentencing Reform [article],"Beale, Sara Sun (Cited 1127 times)",823,"Federal Sentencing Reporter , Vol. 24, Issue 5 (June 2012), pp. 382-386",24 Fed. Sent'g Rep. 382 (2011-2012),"Sentencing, Judges",5,na,7
The New Reno Bluesheet: A Little More Candor Regarding Prosecutorial Discretion [article],"Beale, Sara Sun (Cited 1127 times)",823,"Federal Sentencing Reporter, Vol. 6, Issue 6 (May/June 1994), pp. 310-312",6 Fed. Sent'g Rep. 310 (1993-1994),"Attorneys, Sentencing",5,na,2
Was He Guilty as Charged - An Alternative Narrative Based on the Circumstantial Evidence from 12 Angry Men [article],"Vidmar, Neil (Cited 1575 times); Beale, Sara Sun (Cited 1127 times); Chemerinsky, Erwin (Cited 7061 times); Coleman, James E. Jr. (Cited 104 times)",823,"Chicago-Kent Law Review, Vol. 82, Issue 2 (2007), pp. 691-710",82 Chi.-Kent L. Rev. 691 (2007),"Evidence, Defendants, Procedure",2,na,41
Assessing the USA PATRIOT Act's Changes to Grand Jury Secrecy [article],"Beale, Sara Sun (Cited 1127 times); Felman, James E. (Cited 61 times)",823,"Criminal Justice, Vol. 17, Issue 2 (Summer 2002), pp. 42-50",17 Crim. Just. 42 (Summer 2002),"Jury, Grand Juries, Terrorism, War",2,na,22
Introduction [comments],"Beale, Sara Sun (Cited 1127 times)",823,"Ohio State Journal of Criminal Law, Vol. 6, Issue 2 (Spring 2009), pp. 367-368",6 Ohio St. J. Crim. L. 367 (2008-2009),"Attorneys, Criminal Law, Sentencing",2,na,4
Governmental and Academic Integrity at Home and Abroad [article],"Beale, Sara Sun (Cited 1127 times)",823,"Fordham Law Review, Vol. 72, Issue 2 (November 2003), pp. 405-414",72 Fordham L. Rev. 405 (2003-2004),"Internet, Students, Communications Law, Education Law, Legislation, Plagiarism",2,na,3
Wade H. McCree Jr. [comments],"Beale, Sara Sun (Cited 1127 times)",823,"Michigan Law Review, Vol. 86, Issue 2 (November 1987), pp. 217-220",86 Mich. L. Rev. 217 (1987-1988),"Judges, Law and Society, Religion, Biography",2,na,1
The Trafficking Victim Protection Act: The Best Hope for International Human Rights Litigation in the U.S. Courts [article],"Beale, Sara Sun (Cited 1127 times)",823,"Case Western Reserve Journal of International Law, Vol. 50, pp. 17-48",50 Case W. Res. J. Int'l L. 17 (2018),"Courts, Human Rights Law, Labor, Legislation, Sex Crimes, Comparative Law, European Union, States",1,na,56
The Constitution v. the Convention: The Evolution of the Court-Mandated Right to Counsel in the United States and Europe [article],"Beale, Sara Sun (Cited 1127 times); Myers, Richard E. II (Cited 131 times)",823,"Duke Journal of Comparative and International Law, Vol. 27, Issue 1 (2016), pp. 1-34",27 Duke J. Comp. & Int'l L. 1 (2016-2017),"Right to Counsel, States, Comparative Law, Jurisprudence, Law Reform, Criminal Procedure, Trials",1,na,33
Law's Emperor [article],"Beale, Sara Sun (Cited 1127 times)",823,"Texas Law Review, Vol. 74, Issue 6 (May 1996), pp. 1201-1204",74 Tex. L. Rev. 1201 (1995-1996),"Entrapment, War, Courts, Criminal Law, Sentencing, Constitutional Law, Due Process",1,na,na
"Hacking the Internet of Things: Vulnerabilities, Dangers, and Legal Responses [article]","Beale, Sara Sun (Cited 1127 times); Berris, Peter",823,"Duke Law & Technology Review, Vol. 16, pp. 161-204",16 Duke L. & Tech. Rev. 161 (2017-2018),"Internet, Criminal Law, Statutes, Liability, Products Liability Law",na,na,72
