Title,Author(s),ID,Journal,BBCite,Topics,Cited (articles),Cited (cases),Accessed
When Life Depends on It: Supplementary Guidelines for the Mitigation Function of Defense Teams in Death Penalty Cases [article],"O'Brien, Sean D. (Cited 78 times)",1076,"Hofstra Law Review, Vol. 36, Issue 3 (Spring 2008), pp. 693-762",36 Hofstra L. Rev. 693 (2007-2008),"Death, Legal Profession, Professional Ethics",29,2,8
Death Penalty Stories: Lessons in Life-Saving Narratives [comments],"O'Brien, Sean D. (Cited 78 times)",1076,"UMKC Law Review, Vol. 77, Issue 4 (Summer 2009), pp. 831-848",77 UMKC L. Rev. 831 (2008-2009),"Death, Appeals, Jury, Sentencing",9,na,7
Deconstructing Antisocial Personality Disorder and Psychopathy: A Guidelines-Based Approach to Prejudicial Psychiatric Labels [article],"Wayland, Kathleen (Cited 34 times); O'Brien, Sean D. (Cited 78 times)",1076,"Hofstra Law Review, Vol. 42, Issue 2 (Winter 2013), pp. 519-588",42 Hofstra L. Rev. 519 (2013-2014),"Psychiatrists and Psychologists, Violence, Courts",9,na,63
Missouri's Public Defender Crisis: Shouldering the Burden Alone [article],"O'Brien, Sean D. (Cited 78 times)",1076,"Missouri Law Review, Vol. 75, Issue 3 (Summer 2010), pp. 853-884",75 Mo. L. Rev. 853 (2010),"Legal History, Criminal Law, Legal Profession, Public Defenders, Social Welfare Law, Social Welfare Law",6,na,13
Implicit Bias and Capital Decision-Making: Using Narrative to Counter Prejudicial Psychiatric Labels [article],"O'Brien, Sean D. (Cited 78 times); Wayland, Kathleen (Cited 34 times)",1076,"Hofstra Law Review, Vol. 43, Issue 3 (Spring 2015), pp. 751-782",43 Hofstra L. Rev. 751 (2014-2015),"Evidence, Psychiatrists and Psychologists, Legal Profession, Sentencing",5,na,15
"Capital Defense Lawyers: The Good, the Bad, and the Ugly [notes]","O'Brien, Sean D. (Cited 78 times)",1076,"Michigan Law Review , Vol. 105, Issue 6 (April 2007), pp. 1067-1086",105 Mich. L. Rev. 1067 (2006-2007),"Criminal Law, Legal Profession, Standard of Care",5,na,1
Mothers and Sons: The Lloyd Schlup Story [article],"O'Brien, Sean D. (Cited 78 times)",1076,"UMKC Law Review, Vol. 77, Issue 4 (Summer 2009), pp. 1021-1050",77 UMKC L. Rev. 1021 (2008-2009),"Evidence, Constitutional Law, Criminal Law, Criminal Procedure, Habeas Corpus, Procedure",4,na,na
Tort Law [decisions],"Anderson, William B. (Cited 8 times); O'Brien, Sean D. (Cited 78 times)",1076,"UMKC Law Review, Vol. 48, Issue 4 (Summer 1980), pp. 660-692",48 UMKC L. Rev. 660 (1979-1980),"Good Faith, Joint Tortfeasors, Tortfeasors, Cause of Action, Damages, Statutes",3,na,3
Symposium: Traumatic Brain Injury and the Law: Introduction [comments],"O'Brien, Sean D. (Cited 78 times); Ferguson, Kenneth (Cited 14 times)",1076,"UMKC Law Review, Vol. 84, Issue 2 (Winter 2015), pp. 287-300",84 UMKC L. Rev. 287 (2015-2016),"Psychiatrists and Psychologists, History, Legal Education, Legal Profession",3,na,13
A Step Towards Fairness in Capital Litigation: Missouri Resource Center [comments],"O'Brien, Sean D. (Cited 78 times)",1076,"William Mitchell Law Review, Vol. 16, Issue 3 (Summer 1990), pp. 633-644",16 Wm. Mitchell L. Rev. 633 (1990),"Attorneys, Criminal Law, Death, Due Process",2,na,1
Unique Coverage Issues in Flood Losses [article],"Taylor, Wayne D. (Cited 1 times); Park, Arthur J. (Cited 39 times); O'Brien, Sean (Cited 79 times)",1076,"Tort Trial & Insurance Practice Law Journal, Vol. 48, Issue 2 (Winter 2013), pp. 619-650",48 Tort Trial & Ins. Prac. L.J. 619 (2012-2013),"Disaster Law, Insurance Law, Insurance Law, Water Law",1,1,3
Addressing the Needs of Attorneys for the Damned [comments],"O'Brien, Sean D. (Cited 78 times)",1076,"UMKC Law Review, Vol. 58, Issue 4 (Summer 1990), pp. 517-522",58 UMKC L. Rev. 517 (1989-1990),"Attorneys, Criminal Law, Death",1,1,na
Greene v. Fisher: Will the AEDPA Trump Uniformity and Equity in Constitutional Decision Making [article],"O'Brien, Sean D. (Cited 78 times)",1076,"Charleston Law Review, Vol. 6, Issue 1 (Fall 2011), pp. 107-130",6 Charleston L. Rev. 107 (2011-2012),"Equity, Habeas Corpus, First Amendment, Liberty, Religion, Sovereignty",1,na,3
Finding Redemption [comments],"O'Brien, Sean D. (Cited 78 times)",1076,"ABA Journal , Vol. 92, Issue 8 (August 2006), pp. 59-59",92 A.B.A. J. 59 (2006),"Criminal Law, Murder, Negligence",1,na,na
Presumed Guilty: Innocence and the Death Penalty [comments],"O'Brien, Sean D. (Cited 78 times)",1076,"Journal of the Institute of Justice and International Studies, Vol. 7, pp. 14-27",7 JIJIS 14 (2007),"Death, Misconduct, Police, Evidence, Testimony",na,na,7
Strange Justice for Victims of the Missouri Public Defender Funding Crisis: Punishing the Innocent [article],"O'Brien, Sean D. (Cited 78 times)",1076,"Saint Louis University Law Journal, Vol. 61, Issue 4 (Summer 2017), pp. 725-744",61 St. Louis U. L.J. 725 (2016-2017),"Victims, Criminal Law, Evidence, Insurance Law",na,na,8
The Highly Sensitive Person's Redress for Intentional Infliction of Emotional Distress: Utilizing Experts in the Courtroom [notes],"O'Brien, Sean (Cited 79 times)",1076,"University of Memphis Law Review, Vol. 49, Issue 2 (Winter 2018-2019), pp. 533-574",49 U. Mem. L. Rev. 533 (2018-2019),"Intentional Infliction of Emotional Distress, Torts",na,na,14
Putting the Guesswork Back into Capital Sentencing [article],"O'Brien, Sean D. (Cited 78 times)",1076,"Michigan Law Review First Impressions, Vol. 105, pp. 90-93",105 Mich. L. Rev. First Impressions 90 (2006),"Sentencing, Death, Evidence",na,na,na
