Title,Author(s),ID,Journal,BBCite,Topics,Cited (articles),Cited (cases),Accessed
Coming out: Decision-Making in State and Federal Sodomy Cases [article],"Ayres, Susan (Cited 63 times)",5809,"Albany Law Review, Vol. 62, Issue 2 (1998), pp. 355-402",62 Alb. L. Rev. 355 (1998-1999),"Crimes, Criminal Law, Sexuality and the Law, Sodomy, Military Law",13,na,2
"The Hand That Rocks the Cradle: How Children's Literature Reflects Motherhood, Identity, and International Adoption [article]","Ayres, Susan (Cited 63 times)",5809,"Texas Wesleyan Law Review, Vol. 10, Issue 2 (Spring 2004), pp. 315-342",10 Tex. Wesleyan L. Rev. 315 (2003-2004),"Adopted Children, Children, Literature, Race, Domestic Relations",10,na,36
[N]ot a Story to Pass On: Constructing Mothers Who Kill [article],"Ayres, Susan (Cited 63 times)",5809,"Hastings Women's Law Journal, Vol. 15, Issue 1 (Winter 2004), pp. 39-110",15 Hastings Women's L.J. 39 (2004),"Criminal Law, Psychiatrists and Psychologists, Children, Offenses Against the Person, Sentencing",10,na,6
The Rhetorics of Taking Cases: It's Mine v. Let's Share [article],"Ayres, Susan (Cited 63 times)",5809,"Nevada Law Journal, Vol. 5, Issue 3 (Spring 2005), pp. 615-645",5 Nev. L.J. 615 (2004-2005),"Constitutional Law, Dispute Resolution, Domestic Violence, Right to Counsel, Violence, Literature",8,na,3
Incest in a Thousdand Acres: Cheap Trick or Feminist Re-vision [article],"Ayres, Susan (Cited 63 times)",5809,"Texas Journal of Women and the Law, Vol. 11, Issue 1 (Fall 2001), pp. 131-156",11 Tex. J. Women & L. 131 (2001-2002),"Incest, Elder Law, Family Responsibility/Support Laws, Parents and Children, Siblings, Estates, Trusts",5,na,28
"Newfound Religion: Mothers, God, and Infanticide [article]","Ayres, Susan (Cited 63 times)",5809,"Fordham Urban Law Journal, Vol. 33, Issue 2 (January 2006), pp. 335-356",33 Fordham Urb. L.J. 335 (2005-2006),"Religion, Women, Guilty but Mentally Ill, Insanity, Insanity Defense, States, Actions and Defenses, Crimes, Penology",5,na,11
Pink Ghetto [article],"Ayres, Susan (Cited 63 times)",5809,"Yale Journal of Law and Feminism, Vol. 11, Issue 1 (1999), pp. 1-2",11 Yale J.L. & Feminism 1 (1999),"Sex, Women, Criminal Law, Feminism",3,na,57
Paternity Un(Certainty): How the Law Surrounding Paternity Challenges Negatively Impacts Family Relationships and Women's Sexuality [article],"Ayres, Susan (Cited 63 times)",5809,"Journal of Gender, Race, and Justice, Vol. 20, Issue 2 (Spring 2017), pp. 237-262",20 J. Gender Race & Just. 237 (2017),"Domestic Relations, Paternity, Sexuality and the Law, Women, Evidence, Fraud",3,na,14
The Powers of Stories: Gloucester Tales [comments],"Ayres, Susan (Cited 63 times)",5809,"Texas Wesleyan Law Review, Vol. 12, Issue 1 (Fall 2005), pp. 1-4",12 Tex. Wesleyan L. Rev. 1 (2005-2006),na,3,na,11
Helene Cixous's The Perjured City: Nonprosecution Alternatives to Collective Violence [article],"Ayres, Susan (Cited 63 times)",5809,"New York City Law Review , Vol. 9, Issue 1 (2005), pp. 1-30",9 N.Y. City L. Rev. 1 (2005-2006),"Law and Society, Violence, Blood, Liability, Shield Laws, Health Law, Products Liability Law, Products Liability Law, Public Policy",3,na,8
Claudia Rankine's Citizen: Documenting and Protesting America's Halting March toward Racial Justice and Equality [article],"Ayres, Susan (Cited 63 times)",5809,"Alabama Civil Rights & Civil Liberties Law Review, Vol. 9, Issue 2 (2018), pp. 213-256",9 Ala. C.R. & C.L. L. Rev. 213 (2018),"Race, Corporations, Race",na,na,143
Who Is to Shame - Narratives of Neonaticide [article],"Ayres, Susan (Cited 63 times)",5809,"William & Mary Journal of Women and the Law , Vol. 14, Issue 1 (Fall 2007), pp. 55-106",14 Wm. & Mary J. Women & L. 55 (2007-2008),"Criminal Law, Juveniles, Evidence, Testimony, Water Law, Sentencing, States",na,na,14
Kairos and Safe Havens: The Timing and Calamity of Unwanted Birth [article],"Ayres, Susan (Cited 63 times)",5809,"William & Mary Journal of Women and the Law, Vol. 15, Issue 2 (Winter 2009), pp. 227-290",15 Wm. & Mary J. Women & L. 227 (2008-2009),"Comparative Law, Domestic Relations, Juveniles, Sexuality and the Law, Criminal Law, Murder, South Africa",na,na,7
Denial and Concealment of Unwanted Pregnancy: A Film Hollywood Dared Not Do [article],"Ayres, Susan (Cited 63 times); Manjunath, Prema",5809,"Journal of Civil Rights and Economic Development, Vol. 26, Issue 2 (Winter 2012), pp. 197-222",26 J. C.R. & Econ. Dev. 197 (2011-2013),"Pregnancy, Evidence, Legislation, Criminal Law, Juveniles",na,na,4
Susan Ayres [notes],"Ayres, Susan (Cited 63 times)",5809,"Legal Studies Forum, Vol. 34, Issue 2 (2010), pp. 563-566",34 Legal Stud. F. 563 (2010),"Evidence, Scientific Evidence, Environmental Law, Gifts, Health, Health Law, Human Rights Law, Public Health, Women",na,na,2
Poetry [notes],"Ayres, Susan (Cited 63 times)",5809,"Legal Studies Forum, Vol. 30, pp. 573-576",30 Legal Stud. F. 573 (2006),"Politics, Gender, Literature, Sexuality and the Law",na,na,1
My Brilliant Career [article],"Ayres, Susan (Cited 63 times)",5809,"Legal Studies Forum, Vol. 31, Issue 2 (2007), pp. 707-708",31 Legal Stud. F. 707 (2007),na,na,na,1
