Title,Author(s),ID,Journal,BBCite,Topics,Cited (articles),Cited (cases),Accessed
Speech and Spatial Tactics [article],"Zick, Timothy (Cited 486 times)",817,"Texas Law Review, Vol. 84, Issue 3 (February 2006), pp. 581-652",84 Tex. L. Rev. 581 (2005-2006),"Constitutional Law, First Amendment, Terrorism, Freedom of Assembly, Law Enforcement",63,1,17
Constitutional Empiricism: Quasi Neutral Principles and Constitutional Truths [article],"Zick, Timothy (Cited 486 times)",817,"North Carolina Law Review, Vol. 82, Issue 1 (December 2003), pp. 115-222",82 N.C. L. Rev. 115 (December 2003),"Jurisprudence, Arbitration, Supreme Court of the United States",42,na,6
"Space, Place, and Speech: The Expressive Topography [article]","Zick, Timothy (Cited 486 times)",817,"George Washington Law Review, Vol. 74, Issue 3 (April 2006), pp. 439-505",74 Geo. Wash. L. Rev. 439 (2005-2006),"Politics, Organizations",38,1,7
Territoriality and the First Amendment: Free Speech at - and beyond - Our Borders [article],"Zick, Timothy (Cited 486 times)",817,"Notre Dame Law Review , Vol. 85, Issue 4 (June 2010), pp. 1543-1628",85 Notre Dame L. Rev. 1543 (June 2010),"First Amendment, International Law: History, Democracy, Jurisdiction, Jurisprudence",35,4,20
"Clouds, Cameras, and Computers: The First Amendment and Networked Public Places [article]","Zick, Timothy (Cited 486 times)",817,"Florida Law Review, Vol. 59, Issue 1 (January 2007), pp. 1-70",59 Fla. L. Rev. 1 (2007),"Communications Law, Computers, First Amendment, States",33,na,18
Statehood as the New Personhood: The Discovery of Fundamental States' Rights [article],"Zick, Timothy (Cited 486 times)",817,"William and Mary Law Review, Vol. 46, Issue 1 (October 2004), pp. 213-344",46 Wm. & Mary L. Rev. 213 (2004-2005),"Constitutional Law, Discovery, States, Federalism, Government",30,na,8
"Cross Burning, Cockfighting, and Symbolic Meaning: Toward a First Amendment Ethnography [article]","Zick, Timothy (Cited 486 times)",817,"William and Mary Law Review, Vol. 45, Issue 5 (April 2004), pp. 2261-2398",45 Wm. & Mary L. Rev. 2261 (2003-2004),"Constitutional Law, First Amendment, Age, Terrorism",27,na,17
The First Amendment in Transborder Perspective: Toward a More Cosmopolitan Orientation [article],"Zick, Timothy (Cited 486 times)",817,"Boston College Law Review, Vol. 52, Issue 3 (May 2011), pp. 941-1026",52 B.C. L. Rev. 941 (May 2011),"First Amendment, Jurisdiction, Jurisprudence, First Amendment, Law and Society, Terrorism",26,na,8
Constitutional Displacement [article],"Zick, Timothy (Cited 486 times)",817,"Washington University Law Review, Vol. 86, Issue 3 (2009), pp. 515-608",86 Wash. U. L. Rev. 515 (2008-2009),"Law and Society, Antitrust, Comparative Law, Jurisdiction",24,na,7
Are the States Sovereign [article],"Zick, Timothy (Cited 486 times)",817,"Washington University Law Quarterly, Vol. 83, Issue 1 (2005), pp. 229-338",83 Wash. U. L. Q. 229 (2005),"Jurisdiction, Jurisprudence, States, Sovereignty, Government, International Law: History, International Relations, Organizations",24,na,18
Angry White Males: The Equal Protection Clause and Classes of One [article],"Zick, Timothy (Cited 486 times)",817,"Kentucky Law Journal, Vol. 89, Issue 1 (2000-2001), pp. 69-134",89 Ky. L.J. 69 (2000-2001),"Constitutional Law, Equal Protection, Civil Rights, Fourteenth Amendment, Immigration Law, Supremacy Clause",21,7,3
Marbury Ascendant: The Rehnquist Court and the Power to Say What the Law Is [article],"Zick, Timothy (Cited 486 times)",817,"Washington and Lee Law Review, Vol. 59, Issue 3 (Summer 2002), pp. 839-920",59 Wash. & Lee L. Rev. 839 (2002),"Judges, Administration Law, Constitutional Law, Employment Practice, Family and Medical Leave, Legislation",18,na,3
Recovering the Assembly Clause [notes],"Zick, Timothy (Cited 486 times)",817,"Texas Law Review, Vol. 91, Issue 2 (December 2012), pp. 375-403",91 Tex. L. Rev. 375 (2012-2013),"Liberty, First Amendment, Freedom of Assembly",13,na,3
Right Speech [article],"Zick, Timothy (Cited 486 times)",817,"U.C. Davis Law Review, Vol. 48, Issue 1 (November 2014), pp. 1-72",48 U.C.D. L. Rev. 1 (2014-2015),"Abortion, Freedom of Speech",12,na,11
