Title,Author(s),ID,Journal,BBCite,Topics,Cited (articles),Cited (cases),Accessed
Super Medians [article],"Epstein, Lee (Cited 1869 times); Jacobi, Tonja (Cited 466 times)",3517,"Stanford Law Review , Vol. 61, Issue 1 (October 2008), pp. 37-100",61 Stan. L. Rev. 37 (October 2008),"Women, Law and Society, States, Death",53,na,15
The Subtle Unraveling of Federalism: The Illogic of Using State Legislation as Evidence of an Evolving National Consensus [article],"Jacobi, Tonja (Cited 466 times)",3517,"North Carolina Law Review, Vol. 84, Issue 4 (May 2006), pp. 1089-1158",84 N.C. L. Rev. 1089 (2005-2006),"Evidence, Federalism, Legislation, Eighth Amendment, Jurisprudence, Death",47,na,8
The Law and Economics of the Exclusionary Rule [article],"Jacobi, Tonja (Cited 466 times)",3517,"Notre Dame Law Review, Vol. 87, Issue 2 (December 2011), pp. 585-676",87 Notre Dame L. Rev. 585 (December 2011),"Criminal Law, Economics, Evidence, Exclusionary Rule, Law and Economics",41,3,42
Ideology and Exceptionalism in Intellectual Property: En Empirical Study [article],"Sag, Matthew (Cited 516 times); Jacobi, Tonja (Cited 466 times); Sytch, Maxim (Cited 37 times)",3517,"California Law Review, Vol. 97, Issue 3 (June 2009), pp. 801-856",97 Calif. L. Rev. 801 (June 2009),"Intellectual Property Law, Intellectual Property Law, Judges, Philosophy, Affirmative Action, Interest, Politics",37,na,11
Legal Doctrine and Political Control [article],"Jacobi, Tonja (Cited 466 times); Tiller, Emerson H. (Cited 1061 times)",3517,"Journal of Law, Economics, and Organization , Vol. 23, Issue 2 (June 2007), pp. 326-345",Full Text Not Currently Available in HeinOnline,"Judges, Politics, Legal Analysis and Writing",na,na,na
Taking the Measure of Ideology: Empirically Measuring Supreme Court Cases [article],"Jacobi, Tonja (Cited 466 times); Sag, Matthew (Cited 516 times)",3517,"Georgetown Law Journal, Vol. 98, Issue 1 (November 2009), pp. 1-76",98 Geo. L.J. 1 (2009-2010),"Intellectual Property Law, Judges, Communications Law, Plaintiffs, Telecommunications, Evidence, Oral Argument, Supreme Court of the United States, Voting",24,na,16
Same-Sex Marriage in Vermont: Implications of Legislative Remand for the Judiciary's Role [comments],"Jacobi, Tonja (Cited 466 times)",3517,"Vermont Law Review, Vol. 26, Issue 2 (Winter 2002), pp. 381-406",26 Vt. L. Rev. 381 (2001-2002),"Domestic Relations, Judges, Judiciary, Martial Law, Same-Sex Marriage, Sex, Sexuality and the Law, Liability, Products Liability Law",18,na,3
A Positive Political Theory of Rules and Standards [article],"Cross, Frank (Cited 245 times); Jacobi, Tonja (Cited 466 times); Tiller, Emerson (Cited 1061 times)",3517,"University of Illinois Law Review, Vol. 2012, Issue 1 (2012), pp. 1-42",2012 U. Ill. L. Rev. 1 (2012),"Politics, Criminal Law, Judges, Sentencing",18,na,30
Acknowledging Guilt: Forcing Self-Identification in Post-Conviction DNA Testing [article],"Jacobi, Tonja (Cited 466 times); Carroll, Gwendolyn (Cited 27 times)",3517,"Northwestern University Law Review, Vol. 102, Issue 1 (2008), pp. 263-306",102 Nw. U. L. Rev. 263 (2008),"Criminal Law, Evidence, Identification, Prisoners, Post-Conviction Remedies, Procedure",14,na,13
The Judicial Signaling Game: How Judges Shape Their Dockets [article],"Jacobi, Tonja (Cited 466 times)",3517,"Supreme Court Economic Review, Vol. 16, pp. 1-38",16 Sup. Ct. Econ. Rev. 1 (2008),"Judges, Federalism, Jurisprudence, Antitrust, Liability",13,na,8
