Title,Author(s),ID,Journal,BBCite,Topics,Cited (articles),Cited (cases),Accessed
"Problem Method Adapted to Case Books, The [comments]","Bryson, W. H. (Cited 69 times)",1021,"Journal of Legal Education, Vol. 26, Issue 4 (1973-1974), pp. 594-598",26 J. Legal Educ. 594 (1973-1974),"Covenants, Land Use, Easements, Equity",15,na,na
The Merger Of Common-Law and Equity Pleading in Virginia [comments],"Bryson, W. Hamilton (Cited 69 times)",1021,"University of Richmond Law Review , Vol. 41, Issue 1 (2006), pp. 77-82",41 U. Rich. L. Rev. 77 (2006-2007),"Common Law, Equity, Practice and Procedure, Health, Health Law",11,1,10
The Use of Roman Law in Virginia Courts [article],"Bryson, W. Hamilton (Cited 69 times)",1021,"American Journal of Legal History, Vol. 28, Issue 2 (April 1984), pp. 135-146",28 Am. J. Legal Hist. 135 (1984),"Courts, Roman Law, States",10,na,3
The History of Legal Education in Virginia [article],"Bryson, W. Hamilton (Cited 69 times)",1021,"University of Richmond Law Review, Vol. 14, Issue 1 (Fall 1979), pp. 155-212",14 U. Rich L. Rev. 155 (1979-1980),"Education Law, History, Legal Education, Common Law",9,na,1
Judicial Independence in Virginia [article],"Bryson, W. Hamilton (Cited 69 times)",1021,"University of Richmond Law Review, Vol. 38, Issue 3 (March 2004), pp. 705-720",38 U. Rich. L. Rev. 705 (2003-2004),"Judges, Guardians, Pardons",8,na,6
English Common Law in Virginia [article],"Bryson, W. Hamilton (Cited 69 times)",1021,"Journal of Legal History, Vol. 6, Issue 3 (December 1985), pp. 249-256",6 J. Legal Hist. 249 (1985),"Common Law, Legal History",5,2,7
Witnesses: A Canonist's View [article],"Bryson, William Hamilton (Cited 69 times)",1021,"American Journal of Legal History, Vol. 13, Issue 1 (January 1969), pp. 57-67",13 Am. J. Legal Hist. 57 (1969),"Witnesses, Age, Procedure",3,na,1
Notaries Public in England since the Reformation [reviews],"Bryson, W. Hamilton (Cited 69 times)",1021,"American Journal of Legal History, Vol. 38, Issue 1 (January 1994), pp. 89-90",38 Am. J. Legal Hist. 89 (1994),"Comparative Law, Constitutions, Procedure",2,na,11
Virginia Manuscript Law Reports [article],"Bryson, W. Hamilton (Cited 69 times)",1021,"Law Library Journal, Vol. 82, Issue 2 (Spring 1990), pp. 305-312",82 Law. Libr. J. 305 (1990),"States, Attorneys, Attorneys General",2,na,2
Legal Growth through Evolution - Comment on the Puritan Revolution and English Law [comments],"Bryson, W. Hamilton (Cited 69 times)",1021,"Valparaiso University Law Review, Vol. 18, Issue 3 (Summer 1984), pp. 643-650",18 Val. U. L. Rev. 643 (1983-1984),"Revolution, Jurisprudence",1,na,3
