Title,Author(s),ID,Journal,BBCite,Topics,Cited (articles),Cited (cases),Accessed
Implicit White Favoritism in the Criminal Justice System [article],"Smith, Robert J. (Cited 362 times); Levinson, Justin D. (Cited 531 times); Robinson, Zoe (Cited 107 times)",3612,"Alabama Law Review, Vol. 66, Issue 4 (2015), pp. 871-924",66 Ala. L. Rev. 871 (2015),"Race, Sentencing, Public Defenders, Law Enforcement, Police, Psychiatrists and Psychologists, Violence",29,1,143
What Is a Religious Institution [article],"Robinson, Zoe (Cited 107 times)",3612,"Boston College Law Review, Vol. 55, Issue 1 (2014), pp. 181-234",55 B.C. L. Rev. 181 (2014),"First Amendment, Religion, Employment Practice, Gender, Harassment, Sexual Harassment, Courts",21,na,21
The Failure of Mitigation [article],"Smith, Robert J. (Cited 362 times); Cull, Sophie (Cited 26 times); Robinson, Zoe (Cited 107 times)",3612,"Hastings Law Journal, Vol. 65, Issue 5 (June 2014), pp. 1221-1256",65 Hastings L.J. 1221 (June 2014),"Law Enforcement, Psychiatrists and Psychologists, Disability Law, Death, Defendants",16,na,13
Rationalizing Religious Exemptions: A Legislative Process Theory of Statutory Exemptions for Religion [article],"Robinson, Zoe (Cited 107 times)",3612,"William & Mary Bill of Rights Journal, Vol. 20, Issue 1 (October 2011), pp. 133-178",20 Wm. & Mary Bill Rts. J. 133 (2011-2012),"Religion, Economics, Education Law, Beer, Interest",13,na,8
Constitutional Liberty and the Progression of Punishment [article],"Smith, Robert J. (Cited 362 times); Robinson, Zoe (Cited 107 times)",3612,"Cornell Law Review, Vol. 102, Issue 2 (January 2017), pp. 413-486",102 Cornell L. Rev. 413 (2016-2017),"Liberty, Punishment, Eighth Amendment, Death, Juveniles",12,na,25
Constitutional Personhood [article],"Robinson, Zoe (Cited 107 times)",3612,"George Washington Law Review, Vol. 84, Issue 3 (May 2016), pp. 605-667",84 Geo. Wash. L. Rev. 605 (2016),"Constitutional Law, Business Organizations, Constitutional Rights",7,na,55
The Contraception Mandate and the Forgotten Constitutional Question [article],"Robinson, Zoe (Cited 107 times)",3612,"Wisconsin Law Review, Vol. 2014, Issue 4 (2014), pp. 749-800",2014 Wis. L. Rev. 749 (2014),"Contraception, First Amendment, Religion, Sexuality and the Law, Religious Freedom, Corporations, Courts, Employment Practice",6,na,9
Lobbying in the Shadows: Religious Interest Groups in the Legislative Process [article],"Robinson, Zoe (Cited 107 times)",3612,"Emory Law Journal, Vol. 64, Issue 4 (2015), pp. 1041-1102",64 Emory L.J. 1041 (2014-2015),"Interest, Lobbying, Politics, Contraception, First Amendment, Religion, Sexuality and the Law",3,na,20
Comparative Judicial Attitudinalism: A Preliminary Study of Judicial Choices in Westminster Legal Systems [article],"Robinson, Zoe (Cited 107 times)",3612,"University of Chicago Legal Forum, Vol. 2011, pp. 209-232",2011 U. Chi. Legal F. 209 (2011),"Legal Systems, Judges, Judicial Discretion, Political Science",na,na,22
A Comparative Analysis of the Doctrinal Consequences of Interpretive Disagreement for Implied Constitutional Rights [article],"Robinson, Zoe (Cited 107 times)",3612,"Washington University Global Studies Law Review, Vol. 11, Issue 1 (2012), pp. 93-150",11 Wash. U. Global Stud. L. Rev. 93 (2012),"Constitutional Law, Constitutional Rights, Federalism",na,na,12
