Title,Author(s),ID,Journal,BBCite,Topics,Cited (articles),Cited (cases),Accessed
"Pragmatism, Positivism, and Principles in Fourth Amendment Theory [article]","Cloud, Morgan (Cited 894 times)",8389,"UCLA Law Review, Vol. 41, Issue 2 (December 1993), pp. 199-302",41 UCLA L. Rev. 199 (1993-1994),"Criminal Law, Fourth Amendment, Jurisprudence",119,2,17
"The Fourth Amendment during the Lochner Era: Privacy, Property, and Liberty in Constitutional Theory [article]","Cloud, Morgan (Cited 894 times)",8389,"Stanford Law Review, Vol. 48, Issue 3 (February 1996), pp. 555-632",48 Stan. L. Rev. 555 (1995-1996),"Constitutional Law, Criminal Law, Fourth Amendment, Liberty, Privacy",110,1,12
Searching through History; Searching for History [reviews],"Cloud, Morgan (Cited 894 times)",8389,"University of Chicago Law Review, Vol. 63, Issue 4 (Fall 1996), pp. 1707-1748",63 U. Chi. L. Rev. 1707 (1996),"Criminal Law, History, Legal History, Dogs, Fourth Amendment",96,4,13
"Words without Meaning: The Constitution, Confessions, and Mentally Retarded Suspects [article]","Cloud, Morgan (Cited 894 times); Shepherd, George B. (Cited 582 times); Barkoff, Alison Nodvin (Cited 75 times); Shur, Justin V. (Cited 70 times)",8389,"University of Chicago Law Review, Vol. 69, Issue 2 (Spring 2002), pp. 495-624",69 U. Chi. L. Rev. 495 (2002),"Confessions, Criminal Law, Mentally Retarded, Psychiatrists and Psychologists, Evidence, Law and Society, Due Process, Notice, Siblings",70,19,18
The Dirty Little Secret [article],"Cloud, Morgan (Cited 894 times)",8389,"Emory Law Journal, Vol. 43, Issue 4 (Fall 1994), pp. 1311-1350",43 Emory L. J. 1311 (Fall 1994),"Police, Judges, Evidence, Perjury",70,na,25
Forfeiting Defense Attorneys' Fees: Applying an Institutional Role Theory to Define Individual Constitutional Rights [article],"Cloud, Morgan (Cited 894 times)",8389,"Wisconsin Law Review, Vol. 1987, Issue 1 (1987), pp. 1-66",1987 Wis. L. Rev. 1 (1987),"Attorneys, Attorneys' Fees, Constitutional Rights, Fees, Adversary System, Government",61,5,1
Search and Seizure by the Numbers: The Drug Courier Profile and Judicial Review of Investigative Formulas [article],"Cloud, Morgan (Cited 894 times)",8389,"Boston University Law Review, Vol. 65, Issue 5 (November 1985), pp. 843-922",65 B.U. L. Rev. 843 (1985),"Judicial Review, Fourth Amendment, Constitutional Law",56,14,9
"Rube Goldberg Meets the Constitution: The Supreme Court, Technology and the Fourth Amendment [article]","Cloud, Morgan (Cited 894 times)",8389,"Mississippi Law Journal, Vol. 72, Issue 1 (Fall 2002), pp. 5-50",72 Miss. L.J. 5 (2002-2003),"Fourth Amendment, Technology, Communications Law, Industry, Intellectual Property Law, Science and Technology, Television",49,1,19
"Judges, Testilying, and the Constitution [article]","Cloud, Morgan (Cited 894 times)",8389,"Southern California Law Review, Vol. 69, Issue 4 (May 1996), pp. 1341-1388",69 S. Cal. L. Rev. 1341 (1995-1996),"Judges, Narcotics, Perjury, Police, Criminal Law, Fourth Amendment",44,na,7
"Cocaine, Demand, and Addiction: A Study of the Possible Convergence of Rational Theory and National Policy [article]","Cloud, A. Morgan III (Cited 894 times)",8389,"Vanderbilt Law Review, Vol. 42, Issue 3 (April 1989), pp. 725-818",42 Vand. L. Rev. 725 (1989),"Cocaine, Criminal Law, Food and Drug Law, Fourth Amendment, Passengers, Privacy, Economics",37,2,11
A Liberal House Divided: How the Warren Court Dismantled the Fourth Amendment [article],"Cloud, Morgan (Cited 894 times)",8389,"Ohio State Journal of Criminal Law, Vol. 3, Issue 1 (Fall 2005), pp. 33-74",3 Ohio St. J. Crim. L. 33 (2005-2006),"Fourth Amendment, Jurisprudence, Legal History, Privacy, History",28,1,8
Time and Money: Discovery Leads to Hourly Billing [article],"Shepherd, George B. (Cited 582 times); Cloud, Morgan (Cited 894 times)",8389,"University of Illinois Law Review, Vol. 1999, Issue 1 (1999), pp. 91-180",1999 U. Ill. L. Rev. 91 (1999),"Discovery, Money, Capacity, Legal Profession, Practice and Procedure",26,na,8
Government Intrusions Into the Attorney-Client Relationship: The Impact of Fee Forfeitures on the Balance of Power in the Adversary System of Criminal Justice [article],"Cloud, Morgan (Cited 894 times)",8389,"Emory Law Journal , Vol. 36, Issue 3 (Summer 1987), pp. 817-836",36 Emory L. J. 817 (1987),"Adversary System, Government, Attorneys, Attorneys' Fees, Constitutional Rights, Fees, Forfeiture, States",19,1,2
The 2000 Amendments to the Federal Discovery Rules and the Future of Adversarial Pretrial Litigation [article],"Cloud, Morgan (Cited 894 times)",8389,"Temple Law Review, Vol. 74, Issue 1 (Spring 2001), pp. 27-58",74 Temp. L. Rev 27 (2001),"Discovery, Evidence, Professional Ethics, Civil Procedure, Procedure",12,na,5
"Quakers, Slaves and the Founders: Profiling to Save the Union [article]","Cloud, Morgan (Cited 894 times)",8389,"Mississippi Law Journal, Vol. 73, Issue 2 (2003), pp. 369-422",73 Miss. L.J. 369 (2003-2004),"Legal History, Religion, Law and Society, Law Enforcement, Racial Profiling, Jurisprudence, Military, War and Peace",12,na,5
Judicial Review and the Exclusionary Rule [article],"Cloud, Morgan (Cited 894 times)",8389,"Pepperdine Law Review, Vol. 26, Issue 4 (1999), pp. 835-854",26 Pepp. L. Rev. 835 (1998-1999),"Exclusionary Rule, Judges, Judicial Review",11,na,3
Rights Without Remedies: The Court That Cried Wolf [comments],"Cloud, Morgan (Cited 894 times)",8389,"Mississippi Law Journal , Vol. 77, Issue 1 (Fall 2007), pp. 467-506",77 Miss. L.J. 467 (2007-2008),"Criminal Law, Judges, Remedies, Exclusionary Rule, Constitutional Law, Knock and Announce",11,na,2
Privileges Lost - Privileges Retained [article],"Cloud, Morgan (Cited 894 times)",8389,"Tennessee Law Review, Vol. 69, Issue 1 (Fall 2001), pp. 65-96",69 Tenn. L. Rev. 65 (Fall 2001),"Evidence, Professional Ethics, Discovery",11,na,1
Ignorance and Democracy [article],"Cloud, Morgan (Cited 894 times)",8389,"Texas Tech Law Review, Vol. 39, Issue 4 (Summer 2007), pp. 1143-1170",39 Tex. Tech L. Rev. 1143 (2006-2007),"Democracy, Evidence, Consent",10,4,3
Introduction: Compassion and Judging [comments],"Cloud, A. Morgan III (Cited 894 times)",8389,"Arizona State Law Journal, Vol. 22, Issue 1 (Spring 1990), pp. 13-24",22 Ariz. St. L.J. 13 (1990),"Judges, Rule of Law, Physicians",10,na,7
Torture and Truth [article],"Cloud, Morgan (Cited 894 times)",8389,"Texas Law Review, Vol. 74, Issue 6 (May 1996), pp. 1211-1216",74 Tex. L. Rev. 1211 (1995-1996),"Torture, Criminal Law, Fifth Amendment, Liberty, States, Confessions, Terrorism",7,na,13
A Conclusion in Search of a History to Support It [article],"Cloud, Morgan (Cited 894 times)",8389,"Texas Tech Law Review, Vol. 43, Issue 1 (Fall 2010), pp. 29-50",43 Tex. Tech L. Rev. 29 (2010-2011),"Constitutional Law, History, Judges, Jurisprudence, Second Amendment, Water Law",6,na,11
"Organized Crime, RICO, and the European Union [article]","Cloud, Morgan (Cited 894 times)",8389,"Syracuse Journal of International Law and Commerce, Vol. 27, Issue 2 (Summer 2000), pp. 243-268",27 Syracuse J. Int'l L. & Com. 243 (2000),"European Union, Organized Crime, Rico, Treaties",5,na,2
A Conservative House United: How the Post-Warren Court Dismantled the Exclusionary Rule [article],"Cloud, Morgan (Cited 894 times)",8389,"Ohio State Journal of Criminal Law, Vol. 10, Issue 2 (Spring 2013), pp. 477-524",10 Ohio St. J. Crim. L. 477 (2012-2013),"Exclusionary Rule, Judges, Judicial Review",4,1,7
Round Table Discussion on International Human Rights Standards in the United States: The Case of Religion or Belief [comments],"An-Na'im, Abdullahi A. (Cited 293 times); al-Hibri, Azizah (Cited 56 times); Bederman, David J. (Cited 955 times); Berg, Thomas (Cited 890 times); Cloud, A. Morgan; Davis, Derek; Gunn, T. Jeremy (Cited 192 times); Laycock, Douglas (Cited 5134 times); Roan, Michael; van der Vyver, Johan (Cited 562 times); Witte, John Jr. (Cited 548 times)",8389,"Emory Internationa Law Review, Vol. 12, Issue 2 (Spring 1998), pp. 973-1020",12 Emory Int'l L. Rev. 973 (1998),"Human Rights Law, Religion, States, Freedom of Religion, Islamic Law, Minorities",4,na,2
Law Deans in Jail [article],"Cloud, Morgan (Cited 894 times); Shepherd, George (Cited 582 times)",8389,"Missouri Law Review, Vol. 77, Issue 4 (Fall 2012), pp. 931-1030",77 Mo. L. Rev. 931 (2012),"Criminal Law, Legal Education, Schools, Law and Society",3,na,2
Property Is Privacy: Locke and Brandeis in the Twenty-First Century [article],"Cloud, Morgan (Cited 894 times)",8389,"American Criminal Law Review, Vol. 55, Issue 1 (Winter 2018), pp. 37-76",55 Am. Crim. L. Rev. 37 (2018),"Jurisprudence, Legal History, Privacy, Fourth Amendment, States",2,1,66
Structure and Values in Constitutional Interpretation [article],"Cloud, A. Morgan III (Cited 894 times)",8389,"Emory Law Journal , Vol. 40, Issue 3 (Summer 1991), pp. 875-884",40 Emory L. J. 875 (1991),"Constitutional Courts, Procedure, Equity, States, Taxation, Constitutional Law, South Africa",2,na,10
Human Rights for the Real World [article],"Cloud, Morgan (Cited 894 times)",8389,"Emory Law Journal, Vol. 54, Issue 5 (2005), pp. 151-170",54 Emory L.J. 151 (2005),"Human Rights Law, Courts, Religion",2,na,3
"Innocence, Evidence, and the Courts [article]","Cloud, Morgan (Cited 894 times)",8389,"Chicago-Kent Law Review, Vol. 85, Issue 1 (2010), pp. 3-22",85 Chi.-Kent L. Rev. 3 (2010),"Courts, Evidence, Law Enforcement, Exclusionary Rule, Fourth Amendment",na,na,9
Yugoslavia [article],"Cloud, Morgan (Cited 894 times)",8389,"Green Bag. An Entertaining Journal of Law. (Second Series), Vol. 2, Issue 4 (Summer 1999), pp. 351-360",Full Text Not Currently Available in HeinOnline,"Genocide, Federalism, Civil Rights, Comparative Law, Government, Minorities",na,na,na
"Law in Theory, Law in Practice [notes]","Cloud, Morgan (Cited 894 times)",8389,"Green Bag. An Entertaining Journal of Law. (Second Series), Vol. 1, pp. 73-75",Full Text Not Currently Available in HeinOnline,"Legal Analysis and Writing, Practice and Procedure, Law and Society, Jurisprudence, Sociological Jurisprudence",na,na,na
