Title,Author(s),ID,Journal,BBCite,Topics,Cited (articles),Cited (cases),Accessed
The President and Immigration Law [article],"Cox, Adam B. (Cited 1055 times); Rodriguez, Cristina M. (Cited 935 times)",393,"Yale Law Journal , Vol. 119, Issue 3 (December 2009), pp. 458-547",119 Yale L. J. 458 (2009-2010),"Immigration Law, President/Executive Department",194,5,85
The Second-Order Structure of Immigration Law [article],"Cox, Adam B. (Cited 1055 times); Posner, Eric A. (Cited 6363 times)",393,"Stanford Law Review, Vol. 59, Issue 4 (February 2007), pp. 809-856",59 Stan. L. Rev. 809 (February 2007),"Immigration Law, Federalism, Human Rights Law, Immigrants",108,6,32
Judging the Voting Rights Act [article],"Cox, Adam (Cited 1055 times); Miles, Thomas J. (Cited 809 times)",393,"Columbia Law Review , Vol. 108, Issue 1 (January 2008), pp. 1-54",108 Colum. L. Rev. 1 (2008),"Judges, Politics, Voting, Race, Jurisprudence",101,na,109
The President and Immigration Law Redux [article],"Cox, Adam B. (Cited 1055 times); Rodriguez, Cristina M. (Cited 935 times)",393,"Yale Law Journal, Vol. 125, Issue 1 (October 2015), pp. 104-225",125 Yale L. J. 104 (October 2015),"Immigration Law, President/Executive Department, Congress",91,1,101
Immigration Law's Organizing Principles [article],"Cox, Adam B. (Cited 1055 times)",393,"University of Pennsylvania Law Review, Vol. 157, Issue 2 (December 2008), pp. 341-394",157 U. Pa. L. Rev. 341 (2008-2009),Immigration Law,61,na,7
"Citizenship, Standing, and Immigration Law [article]","Cox, Adam B. (Cited 1055 times)",393,"California Law Review, Vol. 92, Issue 2 (March 2004), pp. 373-424",92 Calif. L. Rev. 373 (March 2004),"Citizenship, Constitutional Law, Immigration Law, Standing, Constitutional Rights",60,na,11
Policing Immigration [article],"Cox, Adam B. (Cited 1055 times); Miles, Thomas J. (Cited 809 times)",393,"University of Chicago Law Review, Vol. 80, Issue 1 (Winter 2013), pp. 87-136",80 U. Chi. L. Rev. 87 (2013),"Evidence, Immigration Law, Law Enforcement",59,na,79
Partisan Fairness and Redistricting Politics [comments],"Cox, Adam (Cited 1055 times)",393,"New York University Law Review, Vol. 79, Issue 3 (June 2004), pp. 751-802",79 N.Y.U. L. Rev. 751 (2004),"Politics, Reapportionment, Redistricting, Constitutional Law, Computer Law",52,1,30
"Deference, Delegation, and Immigration Law [article]","Cox, Adam B. (Cited 1055 times)",393,"University of Chicago Law Review, Vol. 74, Special Issue (2007), pp. 1671-1688",74 U. Chi. L. Rev. 1671 (2007),"Immigration Law, Constitutional Law, Sovereignty",42,1,13
Judicial Ideology and the Transformation of Voting Rights Jurisprudence [article],"Cox, Adam B. (Cited 1055 times); Miles, Thomas J. (Cited 809 times)",393,"University of Chicago Law Review, Vol. 75, Issue 4 (Fall 2008), pp. 1493-1540",75 U. Chi. L. Rev. 1493 (Fall 2008),"Jurisprudence, Voting, Civil Rights, Politics",37,na,11
Expressivism in Federalism: A New Defense of the Anti-Commandeering Rule [article],"Cox, Adam B. (Cited 1055 times)",393,"Loyola of Los Angeles Law Review, Vol. 33, Issue 4 (June 2000), pp. 1309-1350",33 Loy. L. A. L. Rev. 1309 (1999-2000),"Federalism, Immunity, Jurisdiction, Jurisprudence",36,na,16
Enforcement Redundancy and the Future of Immigration Law [article],"Cox, Adam B. (Cited 1055 times)",393,"Supreme Court Review, Vol. 2012, pp. 31-66",2012 Sup. Ct. Rev. 31 (2012),"Immigration Law, Aliens, Colleges and Universities, Federalism, Jurisdiction, Students, Tuition, States",35,na,17
Does Immigration Enforcement Reduce Crime: Evidence from Secure Communities [article],"Miles, Thomas J. (Cited 809 times); Cox, Adam B. (Cited 1055 times)",393,"Journal of Law & Economics, Vol. 57, Issue 4 (November 2014), pp. 937-974",Full Text Not Currently Available in HeinOnline,"Evidence, Immigration Law, Research",na,na,na
