Title,Author(s),ID,Journal,BBCite,Topics,Cited (articles),Cited (cases),Accessed
Bellwether Trials [article],"Lahav, Alexandra D. (Cited 425 times)",1853,"George Washington Law Review, Vol. 76, Issue 3 (April 2008), pp. 576-638",76 Geo. Wash. L. Rev. 576 (2007-2008),"Trials, Jury, Right to Jury Trial",72,8,22
The Case for Trial by Formula [article],"Lahav, Alexandra D. (Cited 425 times)",1853,"Texas Law Review, Vol. 90, Issue 3 (February 2012), pp. 571-634",90 Tex. L. Rev. 571 (2011-2012),"Law and Society, Practice and Procedure, Civil Rights, Disaster Law, Education Law, Education Law",55,4,9
Fundamental Principles for Class Action Governance [article],"Lahav, Alexandra (Cited 425 times)",1853,"Indiana Law Review, Vol. 37, Issue 1 (2003), pp. 65-140",37 Ind. L. Rev. 65 (2003-2004),"Practice and Procedure, Agency, Costs, Law and Society",54,na,6
The Market for Preclusion in Merger Litigation [article],"Griffith, Sean J. (Cited 814 times); Lahav, Alexandra D. (Cited 425 times)",1853,"Vanderbilt Law Review, Vol. 66, Issue 4 (May 2013), pp. 1053-1140",66 Vand. L. Rev. 1053 (2013),"Plaintiffs, Compensation, Corporations",39,7,21
The Law and Large Numbers: Preserving Adjudication in Complex Litigation [article],"Lahav, Alexandra D. (Cited 425 times)",1853,"Florida Law Review, Vol. 59, Issue 2 (April 2007), pp. 383-436",59 Fla. L. Rev. 383 (2007),"Practice and Procedure, Remedies, Writs, Administration Law, Tort Claims",36,na,6
Recovering the Social Value of Jurisdictional Redundancy [article],"Lahav, Alexandra D. (Cited 425 times)",1853,"Tulane Law Review , Vol. 82, Issue 6 (June 2008), pp. 2369-2422",82 Tul. L. Rev. 2369 (2007-2008),"Law and Society, Choice of Law, Class Actions, Burden of Proof, Jurisdiction, Proof",34,na,3
Two Views of the Class Action [article],"Lahav, Alexandra D. (Cited 425 times)",1853,"Fordham Law Review, Vol. 79, Issue 5 (April 2011), pp. 1939-1964",79 Fordham L. Rev. 1939 (2010-2011),"Civil Procedure, Class Actions, Insurance Law, Procedure, States, Death, Jurisdiction, Ethics, Practice and Procedure, Professional Ethics",29,2,15
Due Process and the Future of Class Actions [article],"Lahav, Alexandra D. (Cited 425 times)",1853,"Loyola University Chicago Law Journal, Vol. 44, Issue 2 (Winter 2012), pp. 545-560",44 Loy. U. Chi. L.J. 545 (Winter 2012),"Class Actions, Due Process, Fourteenth Amendment, Practice and Procedure, Jurisdiction, Jurisprudence",19,na,5
The Roles of Litigation in American Democracy [article],"Lahav, Alexandra D. (Cited 425 times)",1853,"Emory Law Journal, Vol. 65, Issue 6 (2016), pp. 1657-1704",65 Emory L.J. 1657 (2015-2016),"Democracy, Jurisprudence, Dispute Resolution",16,na,17
Portraits of Resistance: Lawyer Responses to Unjust Proceedings [article],"Lahav, Alexandra D. (Cited 425 times)",1853,"UCLA Law Review , Vol. 57, Issue 3 (February 2010), pp. 725-788",57 UCLA L. Rev. 725 (2009-2010),"Law and Society, Legal Profession, Courts, Military, War and Peace",14,na,9
Symmetry and Class Action Litigation [article],"Lahav, Alexandra D. (Cited 425 times)",1853,"UCLA Law Review, Vol. 60, Issue 6 (August 2013), pp. 1494-1523",60 UCLA L. Rev. 1494 (2012-2013),"Legal Profession, Practice and Procedure, Class Actions",13,na,21
The Political Justification for Group Litigation [article],"Lahav, Alexandra (Cited 425 times)",1853,"Fordham Law Review, Vol. 81, Issue 6 (May 2013), pp. 3193-3212",81 Fordham L. Rev. 3193 (2012-2013),"Class Actions, Courts, Practice and Procedure, Discovery, Punishment",10,na,6
The Curse of Bigness and the Optimal Size of Class Actions [article],"Lahav, Alexandra D. (Cited 425 times)",1853,"Vanderbilt Law Review En Banc, Vol. 63, pp. 117-132",63 Vand. L. Rev. En Banc 117 (2010),"Class Actions, Discrimination, Employment, Employment Discrimination, Employment Practice, Practice and Procedure",7,na,na
Are Class Actions Unconstitutional [reviews],"Lahav, Alexandra D. (Cited 425 times)",1853,"Michigan Law Review, Vol. 109, Issue 6 (April 2011), pp. 993-1010",109 Mich. L. Rev. 993 (2010-2011),"Criminal Law, Domestic Relations, Domestic Violence, Privacy, Revolution, Violence",7,na,15
Participation and Procedure [article],"Lahav, Alexandra D. (Cited 425 times)",1853,"DePaul Law Review, Vol. 64, Issue 2 (Winter 2015), pp. 513-536",64 DePaul L. Rev. 513 (2014-2015),"Procedure, Law and Society, Religion, Sexual Orientation",6,na,10
Rites without Rights: A Tale of Two Military Commissions [article],"Lahav, Alexandra D. (Cited 425 times)",1853,"Yale Journal of Law & the Humanities, Vol. 24, Issue 1 (Winter 2012), pp. 439-474",24 Yale J.L. & Human. 439 (2012),"Military, War and Peace, International Law: History, States, War",4,na,4
The Jury and Participatory Democracy [article],"Lahav, Alexandra D. (Cited 425 times)",1853,"William & Mary Law Review, Vol. 55, Issue 3 (March 2014), pp. 1029-1060",55 Wm. & Mary L. Rev. 1029 (2013-2014),"Democracy, Judges, Jury, Consent, Jurisprudence",4,na,12
"Mass Tort Class Actions - Past, Present, and Future [article]","Lahav, Alexandra D. (Cited 425 times)",1853,"New York University Law Review, Vol. 92, Issue 4 (October 2017), pp. 998-1016",92 N.Y.U. L. Rev. 998 (2017),"Class Actions, Torts, Equity",3,na,43
Procedural Design [article],"Lahav, Alexandra D. (Cited 425 times)",1853,"Vanderbilt Law Review, Vol. 71, Issue 3 (April 2018), pp. 821-888",71 Vand. L. Rev. 821 (2018),"Courts, Dispute Resolution, Federal Courts, Due Process, Interest, Jurisprudence, Compensation",3,na,41
A Proposal to End Discovery Abuse [article],"Lahav, Alexandra D. (Cited 425 times)",1853,"Vanderbilt Law Review, Vol. 71, Issue 6 (November 2018), pp. 2037-2058",71 Vand. L. Rev. 2037 (2018),Discovery,1,na,10
Go Big Or Go Home: The Debate over National Injunctions [reviews],"Lahav, Alexandra D. (Cited 425 times)",1853,"Jotwell: The Journal of Things We Like (Lots), Vol. 2018, pp. 1-3",2018 Jotwell: J. Things We Like 1 (2018),"Injunctions, Equity",na,na,13
Economic Analysis of Personal Jurisdiction [reviews],"Lahav, Alexandra (Cited 425 times)",1853,"Jotwell: The Journal of Things We Like (Lots), Vol. 2013, pp. [13]-[14]",2013 Jotwell: J. Things We Like [13] (2013),"Jurisdiction, Liability, Products Liability Law, Congress",na,na,na
(Almost) Everything You Wanted to Know about Class Actions [reviews],"Lahav, Alexandra D. (Cited 425 times)",1853,"Jotwell: The Journal of Things We Like (Lots), Vol. 2017, pp. [94]-[96]",2017 Jotwell: J. Things We Like [94] (2017),"Class Actions, Liability, Practice and Procedure, Torts, Agency, Costs, Law and Society",na,na,na
Secrets and Lies in the History of US Adjudication [reviews],"Lahav, Alexandra D. (Cited 425 times)",1853,"Jotwell: The Journal of Things We Like (Lots), Vol. 2017, pp. 1-3",2017 Jotwell: J. Things We Like 1 (2017),"History, Criminal Law, Evidence, Testimony",na,na,na
A Primer on Bellwether Trials [article],"Lahav, Alexandra D. (Cited 425 times)",1853,"Review of Litigation, Vol. 37, Issue 2 (2018), pp. 185-202",37 Rev. Litig. 185 (2018),"Law and Society, Trials, Jury, Right to Jury Trial, Remedies",na,na,16
"The Law Wars in Massachusetts, 1830-1860: How a Band of Upstart Radical Lawyers Defeated the Forces of Law and Order, and Struck a Blow for Freedom and Equality Under Law [article]","Lahav, Alexandra D. (Cited 425 times); Newmyer, R. Kent (Cited 56 times)",1853,"American Journal of Legal History, Vol. 58, Issue 3 (2018), pp. 326-359",Full Text Not Currently Available in HeinOnline,"Biography, Civil War, Slavery, War, Rule of Law",na,na,na
The Curious Incident of the Falling Win Rate: Individual vs System-Level Justification and the Rule of Law [article],"Lahav, Alexandra D. (Cited 425 times); Siegelman, Peter (Cited 1048 times)",1853,"U.C. Davis Law Review, Vol. 52, Issue 3 (February 2019), pp. 1371-1428",52 U.C.D. L. Rev. 1371 (2018-2019),"Rule of Law, Practice and Procedure, Discrimination, Employment, Employment Discrimination",na,na,17
