Title,Author(s),ID,Journal,BBCite,Topics,Cited (articles),Cited (cases),Accessed
"The Detention, Confinement, and Incarceration of Pregnant Women for the Benefit of Fetal Health [article]","Cherry, April L. (Cited 187 times)",5110,"Columbia Journal of Gender and Law, Vol. 16, Issue 1 (2007), pp. 147-198",16 Colum. J. Gender & L. 147 (2007),"Constitutional Law, Detention, Health, Law Enforcement, Medical Jurisprudence, Women, Social Justice, Pregnancy",29,na,54
A Feminist Understanding of Sex-Selective Abortion: Solely a Matter of Choice [article],"Cherry, April L. (Cited 187 times)",5110,"Wisconsin Women's Law Journal, Vol. 10, Issue 2 (Fall 1995), pp. 161-224",10 Wis. Women's L.J. 161 (1995),"Abortion, Gender, Jurisprudence, Sex, Sexuality and the Law, Liberty, Right to Know, Domestic Relations, States, Women",27,na,81
The Free Exercise Rights of Pregnant Women Who Refuse Medical Treatment [article],"Cherry, April L. (Cited 187 times)",5110,"Tennessee Law Review, Vol. 69, Issue 3 (Spring 2002), pp. 563-622",69 Tenn. L. Rev. 563 (Spring 2002),"Constitutional Law, Medical Jurisprudence, Women, Pregnancy, Consent",26,na,20
"Nurturing in the Service of White Culture: Racial Subordination, Gestational Surrogacy, and the Ideology of Motherhood [article]","Cherry, April L. (Cited 187 times)",5110,"Texas Journal of Women and the Law, Vol. 10, Issue 2 (Spring 2001), pp. 83-128",10 Tex. J. Women & L. 83 (2000-2001),"Contracts, Domestic Relations, Law and Society, Surrogate Parenthood, Fourteenth Amendment, Sexuality and the Law",23,na,27
Roe's Legacy: The Nonconsensual Medical Treatment of Pregnant Women and Implications for Female Citizenship [article],"Cherry, April L. (Cited 187 times)",5110,"University of Pennsylvania Journal of Constitutional Law, Vol. 6, Issue 4 (April 2004), pp. 723-751",6 U. Pa. J. Const. L. 723 (2003-2004),"Citizenship, Human Rights Law, Women, Fourteenth Amendment, Medical Jurisprudence, Biography, Discrimination, Sex, Sex Discrimination",23,na,18
"Social Contract Theory, Welfare Reform, Race, and the Male Sex-Right [article]","Cherry, April L. (Cited 187 times)",5110,"Oregon Law Review, Vol. 75, Issue 4 (Winter 1996), pp. 1037-1094",75 Or. L. Rev. 1037 (1996),"Jurisprudence, Race, Sex, Social Welfare Law, Women, Children",12,na,28
"The Rise of the Reproductive Brothel in the Global Economy: Some Thoughts on Reproductive Tourism, Autonomy, and Justice [article]","Cherry, April L. (Cited 187 times)",5110,"University of Pennsylvania Journal of Law and Social Change, Vol. 17, Issue 3 (2014), pp. 257-290",17 U. Pa. J.L. & Soc. Change 257 (2014),"Comparative Law, Sexuality and the Law, Tourism, Women, International Law: History, Law and Society",12,na,22
"Maternal-Fetal Conflicts, the Social Construction of Maternal Deviance, and Some Thoughts about Love and Justice [comments]","Cherry, April (Cited 187 times)",5110,"Texas Journal of Women and the Law, Vol. 8, Issue 2 (Spring 1999), pp. 245-260",8 Tex. J. Women & L. 245 (1998-1999),"Domestic Relations, Interest, Judges, Medical Jurisprudence",11,na,9
Shifting Our Focus from Retribution to Social Justice: An Alternative Vision for the Treatment of Pregnant Women Who Harm Their Fetuses [article],"Cherry, April L. (Cited 187 times)",5110,"Journal of Law and Health, Vol. 28, Issue 1 (2015), pp. 6-[i]",28 J.L. & Health 6 (2015),"Social Justice, Women, Constitutional Law, Detention, Health, Law Enforcement, Medical Jurisprudence, Drugs",10,na,22
"Choosing Substantive Justice: A Discussion of Choice, Rights and the New Reproductive Technologies [article]","Cherry, April L. (Cited 187 times)",5110,"Wisconsin Women's Law Journal, Vol. 11, Issue 3 (Summer 1997), pp. 431-442",11 Wis. Women's L.J. 431 (1996-1997),"Jurisprudence, Sexuality and the Law, Reproduction, Domestic Relations",9,na,8
Welfare Reform and the Use of State Power in the Prostitution of Poor Women [article],"Cherry, April L. (Cited 187 times)",5110,"Cleveland State Law Review, Vol. 48, Issue 1 (2000), pp. 67-78",48 Clev. St. L. Rev. 67 (2000),"Social Welfare Law, Women",4,na,12
"United Auto Workers v. Johnson Controls, Inc.: One Small Step for Womankind [notes]","Cherry, A. L. (Cited 187 times)",5110,"Akron Law Review, Vol. 25, Issue 2 (Fall 1991), pp. 413-424",25 Akron L. Rev. 413 (1991-1992),"Civil Rights, Sex, Discrimination, Gender, Sex Discrimination",1,na,1
