Title,Author(s),ID,Journal,BBCite,Topics,Cited (articles),Cited (cases),Accessed
Economic Rights in the United States and International Human Rights Law: Toward an Entirely New Strategy [article],"Stark, Barbara (Cited 468 times)",8027,"Hastings Law Journal, Vol. 44, Issue 1 (November 1992), pp. 79-130",44 Hastings L.J. 79 (1992-1993),"Human Rights Law, Human Rights Law, International Law: History, States, Cultural Property, Treaties, Jurisprudence, United Nations",67,1,13
Marriage Proposals: From One-Size-Fits-All to Postmodern Marriage Law [article],"Stark, Barbara (Cited 468 times)",8027,"California Law Review, Vol. 89, Issue 5 (October 2001), pp. 1479-1548",89 Calif. L. Rev. 1479 (2001),"Domestic Relations, Martial Law, Divorce, Religion",56,na,20
"Divorce Law, Feminism, and Psychoanalysis: In Dreams Begin Responsibilities [article]","Stark, Barbara (Cited 468 times)",8027,"UCLA Law Review, Vol. 38, Issue 6 (August 1992), pp. 1483-1532",38 UCLA L. Rev. 1483 (1990-1991),"Divorce, Domestic Relations, Feminism, Law and Society, No-Fault Insurance, No-Fault Divorce, Family Responsibility/Support Laws",27,1,33
Women and Globalization: The Failure and Postmodern Possibilities of International Law [article],"Stark, Barbara (Cited 468 times)",8027,"Vanderbilt Journal of Transnational Law, Vol. 33, Issue 3 (May 2000), pp. 503-572",33 Vand. J. Transnat'l L. 503 (2000),"Globalization, Human Rights Law, International Law: History, Women, International Economic Law",24,na,11
When Globalization Hits Home: International Family Law Comes of Age [article],"Stark, Barbara (Cited 468 times)",8027,"Vanderbilt Journal of Transnational Law, Vol. 39, Issue 5 (November 2006), pp. 1551-1604",39 Vand. J. Transnat'l L. 1551 (2006),"Age, Family Responsibility/Support Laws, Globalization, Law and Society",19,na,19
Baby Girls from China in New York: A Thrice-Told Tale [article],"Stark, Barbara (Cited 468 times)",8027,"Utah Law Review, Vol. 2003, Issue 4 (2003), pp. 1231-1302",2003 Utah L. Rev. 1231 (2003),"Adopted Children, Parents and Children, Comparative Law, Domestic Relations, Adopted Children, Children, Interest",18,na,5
"Postmodern Rhetoric, Economic Rights and an International Text: A Miracle for Breakfast [comments]","Stark, Barbara (Cited 468 times)",8027,"Virginia Journal of International Law, Vol. 33, Issue 2 (Winter 1993), pp. 433-466",33 Va. J. Int'l L. 433 (1992-1993),"Euthanasia, Jurisprudence, Law and Society, Death, Legal Education, Legal Writing",16,na,3
Transnational Surrogacy and International Human Rights Law [article],"Stark, Barbara (Cited 468 times)",8027,"ILSA Journal of International and Comparative Law, Vol. 18, Issue 2 (Spring 2012), pp. 369-386",18 ILSA J. Int'l & Comp. L. 369 (Spring 2012),"Human Rights Law, Human Rights Law, Reproduction",16,na,188
After/Word(s): Violations of Human Dignity and Postmodern International Law [article],"Stark, Barbara (Cited 468 times)",8027,"Yale Journal of International Law, Vol. 27, Issue 2 (Summer 2002), pp. 315-364",27 Yale J. Int'l L. 315 (Summer 2002),"International Law: History, Human Rights Law, Biodiversity, Dispute Resolution, Environmental Law, Environmental Law, Environmental Protection",14,na,17
"International Human Rights Law, Feminist Jurisprudence, and Nietzsche's Eternal Return: Turning the Wheel [article]","Stark, Barbara (Cited 468 times)",8027,"Harvard Women's Law Journal, Vol. 19, pp. 169-200",19 Harv. Women's L.J. 169 (1996),"Human Rights Law, Human Rights Law, Jurisprudence, Comparative Law, Women, Law and Society",14,na,20
Urban Despair and Nietzsche's Eternal Return: From the Municipal Rhetoric of Economic Justice to the International Law of Economic Rights [article],"Stark, Barbara (Cited 468 times)",8027,"Vanderbilt Journal of Transnational Law, Vol. 28, Issue 2 (March 1995), pp. 185-238",28 Vand. J. Transnat'l L. 185 (1995),"International Law: History, Municipalities, Homes, Housing Law, Public Housing",14,na,12
"Guys and Dolls: Remedial Nurturing Skills in Post-Divorce Practice, Feminist Theory, and Family Law Doctrine [article]","Stark, Barbara (Cited 468 times)",8027,"Hofstra Law Review, Vol. 26, Issue 2 (Winter 1997), pp. 293-376",26 Hofstra L. Rev. 293 (1997-1998),"Divorce, Family Responsibility/Support Laws, Domestic Relations, History",14,na,7
Constitutional Analysis of the Baby M Decision [article],"Stark, Barbara (Cited 468 times)",8027,"Harvard Women's Law Journal, Vol. 11, pp. 19-52",11 Harv. Women's L.J. 19 (1988),"Constitutional Law, Domestic Relations, Contracts, Surrogate Parenthood, Artificial Procreation",13,na,5
"Nurturing Rights: An Essay on Women, Peace, and International Human Rights [notes]","Stark, Barbara (Cited 468 times)",8027,"Michigan Journal of International Law, Vol. 13, Issue 1 (Fall 1991), pp. 144-160",13 Mich. J. Int'l L. 144 (1991-1992),"Human Rights Law, Human Rights Law, Women, Bibliographies, International Law: History, States",13,na,6
Burning down the House: Toward a Theory of More Equitable Distribution [article],"Stark, Barbara (Cited 468 times)",8027,"Rutgers Law Review, Vol. 40, Issue 4 (Summer 1988), pp. 1173-1216",40 Rutgers L. Rev. 1173 (1987-1988),"Divorce, Women, Criminal Law, Misconduct, Torts",12,na,3
"Domestic Violence and International Law: Good-Bye Earl (Hans, Pedro, Gen, Chou, Etc.) [comments]","Stark, Barbara (Cited 468 times)",8027,"Loyola Law Review, Vol. 47, Issue 1 (Spring 2001), pp. 255-282",47 Loy. L. Rev. 255 (2001),"Domestic Violence, International Law: History, Violence, Defenses, Immigration Law",11,na,7
Deconstructing the Framers' Right to Property: Liberty's Daughters and Economic Rights [article],"Stark, Barbara (Cited 468 times)",8027,"Hofstra Law Review, Vol. 28, Issue 4 (Summer 2000), pp. 963-1060",28 Hofstra L. Rev. 963 (1999-2000),"Civil Rights, Liberty, Death, Courts, South Africa",11,na,5
Sustainable Development and Postmodern International Law: Greener Globalization [article],"Stark, Barbara (Cited 468 times)",8027,"William and Mary Environmental Law and Policy Review, Vol. 27, Issue 1 (Fall 2002), pp. 137-192",27 Wm. & Mary Envtl. L. & Pol'y Rev. 137 (2002-2003),"Globalization, International Law: History, Sustainable Development, Partnerships, Organizations",10,na,13
Theories of Poverty/the Poverty of Theory [article],"Stark, Barbara (Cited 468 times)",8027,"Brigham Young University Law Review, Vol. 2009, Issue 2 (2009), pp. 381-430",2009 BYU L. Rev. 381 (2009),"Politics, Social Welfare Law, Economics, International Economic Law, International Law: History, Human Rights Law",9,na,53
At Last - Ratification of the Economic Covenant as a Congressional-Executive Agreement [article],"Stark, Barbara (Cited 468 times)",8027,"Transnational Law & Contemporary Problems, Vol. 20, Issue 1 (Spring 2011), pp. 107-142",20 Transnat'l L. & Contemp. Probs. 107 (2011-2012),"Economics, Human Rights Law, Human Rights Law, International Law: History, States",9,na,5
"Lost Boys and Forgotten Girls: Intercountry Adoption, Human Rights, and African Children [article]","Stark, Barbara (Cited 468 times)",8027,"Saint Louis University Public Law Review, Vol. 22, Issue 2 (2003), pp. 275-296",22 St. Louis U. Pub. L. Rev. 275 (2003),"Adopted Children, Children, Human Rights Law, Asylum, Domestic Relations, Human Rights Law, Martial Law, Sudan, Comparative Law, Globalization",8,na,18
The Practice of Law as Play [comments],"Stark, Barbara (Cited 468 times)",8027,"Georgia Law Review, Vol. 30, Issue 4 (Summer 1996), pp. 1005-1022",30 Ga. L. Rev. 1005 (1995-1996),"Legal Profession, Legal Education",7,na,1
Bottom Line Feminist Theory: The Dream of a Common Language [comments],"Stark, Barbara (Cited 468 times)",8027,"Harvard Women's Law Journal , Vol. 23, pp. 227-246",23 Harv. Women's L.J. 227 (2000),Feminism,6,na,6
"Rhetoric, Divorce and International Human Rights: The Limits of Divorce Reform for the Protection of Children [article]","Stark, Barbara (Cited 468 times)",8027,"Louisiana Law Review, Vol. 65, Issue 4 (Summer 2005), pp. 1433-1454",65 La. L. Rev. 1433 (2004-2005),"Children, Divorce, Human Rights Law, Human Rights Law, Adopted Children, Education Law",6,na,5
Conceptions of International Peace and Environmental Rights: The Remains of the Day [article],"Stark, Barbara (Cited 468 times)",8027,"Tennessee Law Review, Vol. 59, Issue 4 (Summer 1992), pp. 651-680",59 Tenn. L. Rev. 651 (1991-1992),"Human Rights Law, Sovereignty, Genocide, Punishment",6,na,4
"Crazy Jane Talks with the Bishop: Abortion in China, Germany, South Africa and Internal Human Rights Law [article]","Stark, Barbara (Cited 468 times)",8027,"Texas Journal of Women and the Law, Vol. 12, Issue 2 (Spring 2003), pp. 287-322",12 Tex. J. Women & L. 287 (2002-2003),"Abortion, Comparative Law, Human Rights Law, Human Rights Law, Medical Jurisprudence, South Africa, States, Women",5,na,13
Introduction: Practical Applications and Critical Perspectives in International Family Law [comments],"Stark, Barbara (Cited 468 times)",8027,"Family Law Quarterly, Vol. 38, Issue 3 (Fall 2004), pp. 475-480",38 Fam. L.Q. 475 (2004-2005),"Family Responsibility/Support Laws, Law and Society, Children, International Law: History, Age, Globalization",5,na,2
"Women, Globalization, and Law: A Change of World [article]","Stark, Barbara (Cited 468 times)",8027,"Pace International Law Review, Vol. 16, Issue 2 (Fall 2004), pp. 333-364",16 Pace. Int'l L. Rev. 333 (2004),"Comparative Law, Globalization, Law and Society, Women, Asylum, Domestic Relations, Human Rights Law, Martial Law, Sudan, Adopted Children",5,na,15
"The Women's Convention, Reproductive Rights, and the Reproduction of Gender [article]","Stark, Barbara (Cited 468 times)",8027,"Duke Journal of Gender Law & Policy, Vol. 18, Issue 2 (Spring 2011), pp. 261-304",18 Duke J. Gender L. & Pol'y 261 (2010-2011),"Gender, International Law: History, Reproduction, Sexuality and the Law, Women, Procedure, Human Rights Law",5,na,88
International Law from the Bottom up: Fragmentation and Transformation [article],"Stark, Barbara (Cited 468 times)",8027,"University of Pennsylvania Journal of International Law, Vol. 34, Issue 4 (Summer 2013), pp. 687-742",34 U. Pa. J. Int'l L. 687 (2012-2013),"International Law: History, Women, Human Rights Law, Human Rights Law, Arrest, Habeas Corpus",5,na,13
"Foreign Fathers, Japanese Mothers, and the Hague Abduction Convention: Spirited Away [article]","Stark, Barbara (Cited 468 times)",8027,"North Carolina Journal of International Law, Vol. 41, Issue 4 (Summer 2016), pp. 761-792",41 N.C. J. Int'l L. 761 (2015-2016),"Kidnapping, Parental Kidnapping, Children, Courts, European Court of Human Rights, Human Rights Law, Parents and Children, States",5,na,40
Jam Tomorrow: Distributive Justice and the Limits of International Economic Law [article],"Stark, Barbara (Cited 468 times)",8027,"Boston College Third World Law Journal , Vol. 30, Issue 1 (Winter 2010), pp. 3-34",30 B.C. Third World L.J. 3 (2010),"Economics, International Economic Law, International Law: History, Research, Developing Countries, Globalization",3,na,10
State Responsibility for Gender Stereotyping [article],"Stark, Barbara (Cited 468 times)",8027,"Journal of Gender, Race & Justice, Vol. 17, Issue 2 (Spring 2014), pp. 333-366",17 J. Gender Race & Just. 333 (2014),"Gender, International Law: History, Women, Reproduction, Sexuality and the Law",2,na,17
The Internationalization of American Family Law [article],"Stark, Barbara (Cited 468 times)",8027,"Journal of the American Academy of Matrimonial Lawyers, Vol. 24, Issue 2 (2012), pp. 467-488",24 J. Am. Acad. Matrimonial Law. 467 (2011-2012),"Family Responsibility/Support Laws, Children, Domestic Relations, Juveniles, States, Costs",2,na,10
The Future of the Fourteenth Amendment and International Human Rights Law: The Black Heritage Trail [article],"Stark, Barbara (Cited 468 times)",8027,"Temple Political & Civil Rights Law Review, Vol. 13, Issue 2 (Spring 2004), pp. 557-582",13 Temp. Pol. & Civ. Rts. L. Rev. 557 (2003-2004),"Fourteenth Amendment, Human Rights Law, Human Rights Law, Fourth Amendment, Jurisprudence, Race, Violence",2,na,3
Does International Law Really Require the Criminalization of Marital Rape [article],"Stark, Barbara (Cited 468 times)",8027,"AJIL Unbound, Vol. 109, pp. 332-336",109 AJIL Unbound 332 (2015-2016),"International Law: History, Marital Rape, Rape",2,na,12
International Human Rights and Family Planning: A Modest Proposal [article],"Stark, Barbara (Cited 468 times)",8027,"Denver Journal of International Law and Policy, Vol. 18, Issue 1 (Fall 1989), pp. 59-82",18 Denv. J. Int'l L. & Pol'y 59 (1989-1990),"Family Planning, Human Rights Law, Civil Rights, Foreign Aid, Human Rights Law, States, Administration Law, Constitutional Law, International Law: History",2,na,8
"Marriage Equality, Gender Equality, and the Women's Convention [article]","Stark, Barbara (Cited 468 times)",8027,"Michigan State Law Review, Vol. 2013, Issue 4 (2013), pp. 941-966",2013 Mich. St. L. Rev. 941 (2013),"Gender, International Law: History, Martial Law, Women, Discrimination, Health, Insurance Law, Equal Protection, Human Rights Law, South Africa",1,na,18
Mr. Trump's Contribution to Women's Human Rights [article],"Stark, Barbara (Cited 468 times)",8027,"ILSA Journal of International and Comparative Law, Vol. 24, Issue 2 (Winter 2018), pp. 317-344",24 ILSA J. Int'l & Comp. L. 317 (2017-2018),"Health Law, Human Rights Law, Politics, Women, Constitutional Law, Military, War and Peace, Race, Religion, Immigration Law",1,na,122
"When Genealogy Matters: Intercountry Adoption, International Human Rights, and Global Neoliberalism [article]","Stark, Barbara (Cited 468 times)",8027,"Vanderbilt Journal of Transnational Law, Vol. 51, Issue 1 (January 2018), pp. 159-210",51 Vand. J. Transnat'l L. 159 (2018),"Adopted Children, Domestic Relations, Human Rights Law, Juveniles, Children, International Law: History, States",1,na,44
