Title,Author(s),ID,Journal,BBCite,Topics,Cited (articles),Cited (cases),Accessed
Technology and Uncertainty: The Shaping Effect on Copyright Law [article],"Depoorter, Ben (Cited 377 times)",4326.0,"University of Pennsylvania Law Review, Vol. 157, Issue 6 (June 2009), pp. 1831-1868",157 U. Pa. L. Rev. 1831 (2008-2009),"Copyright, Technology, Internet, Criminal Law",49,na,82
The Several Lives of Mickey Mouse: The Expanding Boundaries of Intellectual Property Law [article],"Depoorter, Ben (Cited 377 times)",4326.0,"Virginia Journal of Law & Technology, Vol. 9, Issue 2 (Spring 2004), pp. 1-68",9 Va. J.L. & Tech. 1 (Spring 2004),"Boundaries, Intellectual Property Law, Intellectual Property Law, Property Law, Constitutional Law, Copyright",46,na,41
Copyright Backlash [article],"Depoorter, Ben (Cited 377 times); Van Hiel, Alain (Cited 38 times); Vanneste, Sven (Cited 64 times)",4326.0,"Southern California Law Review, Vol. 84, Issue 6 (September 2011), pp. 1251-1292",84 S. Cal. L. Rev. 1251 (2010-2011),"Copyright, Intellectual Property Law, Science and Technology, Law and Society, Privacy, Strikes",37,na,17
Law in the Shadow of Bargaining: The Feedback Effect of Civil Settlements [comments],"Depoorter, Ben (Cited 377 times)",4326.0,"Cornell Law Review , Vol. 95, Issue 5 (July 2010), pp. 957-988",95 Cornell L. Rev. 957 (2009-2010),"Practice and Procedure, Settlements, Dispute Resolution, Law and Society",31,1,14
Whistle Blowing: An Economic Analysis of the False Claims Act [article],"Depoorter, Ben (Cited 377 times); Mot, Jef De (Cited 24 times)",4326.0,"Supreme Court Economic Review, Vol. 14, pp. 135-162",14 Sup. Ct. Econ. Rev. 135 (2006),"False Claims, Government Contracts, Fraud, Whistleblowers, Cause of Action, Military Law, Military Service, Public Employees, Standing",24,na,26
Norms and Enforcement: The Case against Copyright Litigation [article],"Depoorter, Ben (Cited 377 times); Vanneste, Sven (Cited 64 times)",4326.0,"Oregon Law Review, Vol. 84, Issue 4 (2005), pp. 1127-1180",84 Or. L. Rev. 1127 (2005),"Copyright, Intellectual Property Law, Law and Society, Science and Technology, Communications Law, Industry, Music",24,na,23
Horizontal Political Externalities: The Supply and Demand of Disaster Management [article],"Depoorter, Ben (Cited 377 times)",4326.0,"Duke Law Journal, Vol. 56, Issue 1 (October 2006), pp. 101-126",56 Duke L.J. 101 (2006-2007),na,22,na,37
Fair Trespass [article],"Depoorter, Ben (Cited 377 times)",4326.0,"Columbia Law Review, Vol. 111, Issue 5 (June 2011), pp. 1090-1136",111 Colum. L. Rev. 1090 (June 2011),"Torts, Trespass, Pollution, Remedies, Rape",22,na,28
The Upside of Losing [article],"Depoorter, Ben (Cited 377 times)",4326.0,"Columbia Law Review, Vol. 113, Issue 3 (April 2013), pp. 817-[i]",113 Colum. L. Rev. 817 (2013),"Constitutional Law, Law and Society, Civil Rights, Race, Trials",22,na,15
Intellectual Property Infringements & 3D Printing: Decentralized Piracy [article],"Depoorter, Ben (Cited 377 times)",4326.0,"Hastings Law Journal, Vol. 65, Issue 6 (2014), pp. 1483-1504",65 Hastings L.J. 1483 (2014),"Intellectual Property Law, Revolution, Technology, Second Amendment",21,na,195
Copyright False Positives [article],"Depoorter, Ben (Cited 377 times); Walker, Robert Kirk (Cited 78 times)",4326.0,"Notre Dame Law Review, Vol. 89, Issue 1 (November 2013), pp. 319-360",89 Notre Dame L. Rev. 319 (2013-2014),"Copyright, Intellectual Property Law, Costs, Law Enforcement, Parole, Labor, Murder",18,1,28
Using Fee Shifting to Promote Fair Use and Fair Licensing [article],"Menell, Peter S. (Cited 1595 times); Depoorter, Ben (Cited 377 times)",4326.0,"California Law Review, Vol. 102, Issue 1 (February 2014), pp. 53-86",102 Calif. L. Rev. 53 (February 2014),"Licensing, Remedies, Copyright, First Amendment, Intellectual Property Law, Age, Communications Law, Good Faith",13,na,17
Unavoidable Aesthetic Judgments in Copyright Law: A Community of Practice Standard [article],"Walker, Robert Kirk (Cited 78 times); Depoorter, Ben (Cited 377 times)",4326.0,"Northwestern University Law Review, Vol. 109, Issue 2 (Winter 2015), pp. 343-382",109 Nw. U. L. Rev. 343 (2014-2015),"Copyright, Judgments, Intellectual Property Law",13,na,14
How Law Frames Moral Intuitions: The Expressive Effect of Specific Performance [article],"Depoorter, Ben (Cited 377 times); Tontrup, Stephan (Cited 13 times)",4326.0,"Arizona Law Review, Vol. 54, Issue 3 (2012), pp. 673-718",54 Ariz. L. Rev. 673 (2012),"Contracts, Remedies, Breach of Contract, Damages",8,na,28
"Property Rules, Liability Rules and Patent Market Failure [article]","Depoorter, Ben (Cited 377 times)",4326.0,"Erasmus Law Review, Vol. 1, Issue 4 (2008), pp. 59-74",1 Erasmus L. Rev. 59 (2007-2008),"Liability, Contracts, Intellectual Property Law, Jurisprudence",4,na,19
Private Choices and Public Law: Richard A. Posner's Contributions to Family Law and Policy [comments],"Parisi, Francesco (Cited 242 times); Depoorter, Ben W. F. (Cited 377 times)",4326.0,"Journal of Contemporary Health Law and Policy, Vol. 17, Issue 2 (Summer 2001), pp. 403-428",17 J. Contemp. Health L. & Pol'y 403 (2000-2001),"Family Responsibility/Support Laws, Public Law, Economics, Courts, Evidence",4,na,6
Copyright Abolition and Attribution [article],"Depoorter, Ben (Cited 377 times); Holland, Adam (Cited 4 times); Somerstein, Elizabeth (Cited 4 times)",4326.0,"Review of Law and Economics, Vol. 5, Issue 3 (2009), pp. 1063-1080",5 Rev. L & Econ. 1063 (2009),"Copyright, Intellectual Property Law",4,na,5
The Modernization of European Antitrust Enforcement: The Economics of Regulatory Competition [article],"Depoorter, Ben (Cited 377 times); Parisi, Francesco (Cited 242 times)",4326.0,"George Mason Law Review, Vol. 13, Issue 2 (Winter 2005), pp. 309-324",13 Geo. Mason L. Rev. 309 (2004-2006),"Antitrust, Economics, International Trade, Trade Regulation",3,na,9
The Cross-Atlantic Law and Economics Divide: A Dissent [article],"Depoorter, Ben (Cited 377 times); Demot, Jef (Cited 3 times)",4326.0,"University of Illinois Law Review, Vol. 2011, Issue 5 (2011), pp. 1593-1606",2011 U. Ill. L. Rev. 1593 (2011),"Economics, Law and Economics, Comparative Law",3,na,8
"Putting Humpty Dumpty Back Together: Experimental Evidence of Anticommons Tragedies, [article]","Depoorter, Ben (Cited 377 times); Vanneste, Sven (Cited 64 times)",4326.0,"Journal of Law, Economics & Policy, Vol. 3, Issue 1 (Winter 2006), pp. 1-24",3 J.L. Econ. & Pol'y 1 (2006-2007),"Evidence, Intellectual Property Law, Economics, Conservation, Easements, Natural Resources Law",3,na,5
