Title,Author(s),ID,Journal,BBCite,Topics,Cited (articles),Cited (cases),Accessed
The Retroactive and Prospective Application of Judicial Decisions [article],"Shannon, Bradley Scott (Cited 132 times)",3004,"Harvard Journal of Law & Public Policy, Vol. 26, Issue 3 (Summer 2003), pp. 811-876",26 Harv. J. L. & Pub. Pol'y 811 (2003),"Constitutional Law, Judges, Jurisprudence, Appeals",37,5,63
Action Is an Action Is an Action Is an Action [article],"Shannon, Bradley Scott (Cited 132 times)",3004,"Washington Law Review, Vol. 77, Issue 1 (January 2002), pp. 65-168",77 Wash. L. Rev. 65 (January 2002),"Practice and Procedure, Constitutional Law, Legal Writing",15,2,4
May Stare Decisis Be Abrogated by Rule [article],"Shannon, Bradley Scott (Cited 132 times)",3004,"Ohio State Law Journal, Vol. 67, Issue 3 (2006), pp. 645-692",67 Ohio St. L.J. 645 (2006),"Congress, Legislation, Constitutional Law, Due Process, Practice and Procedure, Jurisprudence",15,na,3
I Have Federal Pleading All Figured Out [article],"Shannon, Bradley Scott (Cited 132 times)",3004,"Case Western Reserve Law Review, Vol. 61, Issue 2 (Winter 2010), pp. 453-496",61 Case W. Res. L. Rev. 453 (2010-2011),"Practice and Procedure, Congress",14,2,8
The Jurisdictional Limits of Federal Criminal Child Pornography Law [article],"Shannon, Bradley Scott (Cited 132 times)",3004,"University of Hawai'i Law Review, Vol. 21, Issue 1 (Summer 1999), pp. 73-130",21 U. Haw. L. Rev. 73 (1999),"Child Pornography, Pornography, Juveniles",9,2,5
Overruled by Implication [article],"Shannon, Bradley Scott (Cited 132 times)",3004,"Seattle University Law Review, Vol. 33, Issue 1 (Fall 2009), pp. 151-190",33 Seattle U. L. Rev. 151 (2009-2010),"Judges, Courts, Practice and Procedure, Federal Courts",9,na,6
Enforcing Forum-Selection Clauses [article],"Shannon, Bradley Scott (Cited 132 times)",3004,"Hastings Law Journal, Vol. 66, Issue 3 (2015), pp. 777-794",66 Hastings L.J. 777 (2014-2015),"Forum Non Conveniens, Courts, States, Contracts",6,1,115
A Summary Judgment Is Not a Dismissal [article],"Shannon, Bradley Scott (Cited 132 times)",3004,"Drake Law Review, Vol. 56, Issue 1 (2007), pp. 1-16",56 Drake L. Rev. 1 (2007-2008),"Practice and Procedure, Summary Judgment, Notice, Res Judicata, Civil Procedure, Procedure",5,12,9
Some Concerns about Sua Sponte [article],"Shannon, Bradley Scott (Cited 132 times)",3004,"Ohio State Law Journal Furthermore, Vol. 73, pp. 27-40",73 Ohio St. L.J. Furthermore 27 (2012),"Courts, Procedure, Appeals, Habeas Corpus, Statute of Limitations, Appellate Courts",5,na,6
Why Denials of Summary Judgment Should Be Appealable [article],"Shannon, Bradley Scott (Cited 132 times)",3004,"Tennessee Law Review, Vol. 80, Issue 1 (Fall 2012), pp. 45-68",80 Tenn. L. Rev. 45 (2012-2013),"Summary Judgment, Courts, Practice and Procedure, Appeals, Appellate Review",5,na,1
Should Summary Judgment Be Granted [article],"Shannon, Bradley Scott (Cited 132 times)",3004,"American University Law Review, Vol. 58, Issue 1 (October 2008), pp. 85-126",58 Am. U. L. Rev. 85 (2008-2009),"Summary Judgment, Evidence, Federal Rules of Evidence, Hearsay, Legal Analysis and Writing, Criminal Law, Science and Technology, Sixth Amendment, Social Media",4,24,2
Responding to Summary Judgment [article],"Shannon, Bradley Scott (Cited 132 times)",3004,"Marquette Law Review , Vol. 91, Issue 3 (Spring 2008), pp. 815-838",91 Marq. L. Rev. 815 (2007-2008),"Practice and Procedure, Summary Judgment, Evidence",3,na,3
Dismissing Federal Rule of Civil Procedure 41 [article],"Shannon, Bradley Scott (Cited 132 times)",3004,"University of Louisville Law Review, Vol. 52, Issue 2 (Winter 2014), pp. 265-300",52 U. Louisville L. Rev. 265 (2013-2014),"Civil Procedure, Procedure, Practice and Procedure, Summary Judgment, Common Law, Jurisprudence, Res Judicata",2,na,5
Reconciling Subject-Matter Jurisdiction [article],"Shannon, Bradley Scott (Cited 132 times)",3004,"Hofstra Law Review, Vol. 46, Issue 3 (Spring 2018), pp. 913-946",46 Hofstra L. Rev. 913 (2017-2018),"Jurisdiction, Practice and Procedure",1,na,32
"Where Have You Gone, Judicial Process [article]","Shannon, Bradley Scott (Cited 132 times)",3004,"Fordham Law Review Res Gestae, Vol. 84, pp. 24-30",84 Fordham L. Rev. Res Gestae 24 (2015-2016),"Judicial Process, Compensation, Education Law, Legal Education, Violence",1,na,11
Naming Online Law Review Supplements (or Whatever They Are Called) [comments],"Shannon, Bradley Scott (Cited 132 times)",3004,"University of Pennsylvania Law Review Online, Vol. 165, pp. 109-112",165 U. Pa. L. Rev. Online 109 (2016-2017),"Criminal Law, Jurisprudence, History, Legal Analysis and Writing, Environmental Law, Land Use, Land Use Planning, Natural Resources Law, Natural Resources Law",na,na,1
