Title,Author(s),ID,Journal,BBCite,Topics,Cited (articles),Cited (cases),Accessed
Tax Base Erosion and Homeless Income: Collection at Source Is the Linchpin [article],"Wells, Bret (Cited 108 times); Lowell, Cym (Cited 33 times)",9296,"Tax Law Review, Vol. 65, Issue 3 (Spring 2012), pp. 535-618",65 Tax L. Rev. 535 (2011-2012),"Taxation, Comparative Law, International Trade, Literature, Tax Policy",20,na,37
Voluntary Compliance: This Return Might Be Correct but Probably Isn't [article],"Wells, Bret (Cited 108 times)",9296,"Virginia Tax Review, Vol. 29, Issue 4 (Spring 2010), pp. 645-694",29 Va. Tax Rev. 645 (2009-2010),"Legal Profession, Regulation, Taxation-Federal Income, Age, Economics",15,na,5
Economic Substance Doctrine: How Codification Changes Decided Cases [article],"Wells, Bret (Cited 108 times)",9296,"Florida Tax Review, Vol. 10, Issue 6 & 7 (2010), pp. 411-458",10 Fla. Tax Rev. 411 (2009-2011),"Regulation, Taxation-Federal Income, Taxation-Federal, Economics, Legislation",13,na,5
Tax Base Erosion: Reformation of Section 482's Arm's Length Standard [article],"Wells, Bret (Cited 108 times); Lowell, Cym (Cited 33 times)",9296,"Florida Tax Review, Vol. 15, Issue 10 (2014), pp. 737-798",15 Fla. Tax Rev. 737 (2013-2014),"Comparative Law, International Trade, Taxation, Democracy",12,na,22
Income Tax Treaty in the 21st Century: Residence vs. Source [article],"Wells, Bret (Cited 108 times); Lowell, Cym H. (Cited 43 times)",9296,"Columbia Journal of Tax Law, Vol. 5, Issue 1 (2013), pp. 1-39",5 Colum. J. Tax L. 1 (2013-2014),"Interest, Corporate Taxation, Developing Countries, Taxation, Money",7,na,45
"Allocation Wells, Unauthorized Pooling, and the Lessor's Remedies [article]","Wells, Bret (Cited 108 times)",9296,"Baylor Law Review, Vol. 68, Issue 1 (Winter 2016), pp. 1-58",68 Baylor L. Rev. 1 (2016),"Oil, Gas, and Mineral Law, Remedies, Land Use, Oil, Gas, and Mineral Law, Oil, Gas, and Mineral Law, Technology",6,na,9
The Dominant Mineral Estate in the Horizontal Well Context: Time to Extend Moser Horizontally [article],"Wells, Bret (Cited 108 times)",9296,"Houston Law Review, Vol. 53, Issue 1 (Fall 2015), pp. 193-244",53 Hous. L. Rev. 193 (2015-2016),"Land Use, Oil, Gas, and Mineral Law, Remedies",6,na,16
Revisiting Section 367(d): How Treasury Took the Bite Out of Section 367(d) and What Should Be Done about It [article],"Wells, Bret (Cited 108 times)",9296,"Florida Tax Review, Vol. 16, Issue 10 (2014), pp. 519-584",16 Fla. Tax Rev. 519 (2014),"European Union, Mergers, Intellectual Property Law, Taxation, Incorporation",4,na,10
New Schedule UTP: Uncertain Tax Positions in the Age of Transparency [article],"Wells, Bret (Cited 108 times)",9296,"Baylor Law Review, Vol. 63, Issue 2 (2011), pp. 392-439",63 Baylor L. Rev. 392 (2011),"Age, Taxation-Federal Income, Economics, Loans",4,na,7
Territorial Tax Reform: Homeless Income Is the Achilles Heel [article],"Wells, Bret (Cited 108 times)",9296,"Houston Business and Tax Law Journal, Vol. 12, Issue 1 (2011-2012), pp. 1-81",12 Hous. Bus. & Tax L.J. 1 (2011-2012),"Corporations, International Law: History, Tax Policy",4,na,7
Interest Allocation: A Regime Desperately in Need Sound Policy [article],"Wells, Bret (Cited 108 times)",9296,"Tax Lawyer, Vol. 53, Issue 4 (Summer 2000), pp. 859-886",53 Tax Law. 859 (1999-2000),"Interest, Economics, Neutrality, Taxation-Federal Income",3,na,3
Please Give Us One More Oil Boom - I Promise Not to Screw It up This Time: The Broken Promise of Casinghead Gas Flaring in the Eagle Ford Shale [article],"Wells, Bret (Cited 108 times)",9296,"Texas Journal of Oil, Gas and Energy Law, Vol. 9, Issue 2 (2013-2014), pp. 319-356",9 Tex. J. Oil Gas & Energy L. 319 (2013-2014),"State and Local Government Law, Immunity, Sovereign Immunity, Transportation Law, Annexation, Fracking, Oil, Gas, and Mineral Law",3,1,6
"Disposable Personal Goodwill, Frosty the Snowman, and Martin Ice Cream All Melt Away in the Bright Sunlight of Analysis [article]","Wells, Bret (Cited 108 times); Bergez, Craig (Cited 3 times)",9296,"Nebraska Law Review, Vol. 91, Issue 1 (2012), pp. 170-213",91 Neb. L. Rev. 170 (2012-2013),"Commercial Law, Corporations, Taxation, Mergers",3,na,7
Interest Allocation: The Dog Days of Summer [article],"Wells, Bret (Cited 108 times)",9296,"Tax Executive, Vol. 53, Issue 5 (September-October 2001), pp. 365-372",53 Tax Executive 365 (2001),"Interest, Credit",2,na,1
International Tax Reform by Means of Corporate Integration [article],"Wells, Bret (Cited 108 times)",9296,"Florida Tax Review, Vol. 20, Issue 2 (2016), pp. 70-vi",20 Fla. Tax Rev. 70 (2016-2017),"Congress, Health, Consent, Corporations, Dividends, Corporations: Foreign, Taxation",1,na,12
The Foreign Tax Credit War [article],"Wells, Bret (Cited 108 times)",9296,"Brigham Young University Law Review, Vol. 2016, Issue 6 (2016), pp. 1895-1966",2016 BYU L. Rev. 1895 (2016),"Credit, War, Interest, Tax Policy",1,na,20
Pass-through Entity Taxation: A Tempest in the Tax Reform Teapot [article],"Wells, Bret (Cited 108 times)",9296,"Houston Business and Tax Law Journal, Vol. 14, Issue 1 (2013-2014), pp. 1-23",14 Hous. Bus. & Tax L.J. 1 (2013-2014),"Corporations, Taxation, Interest, Partnerships, S Corporations",1,na,13
Reform of Corporate Distributions in Subchapter C [article],"Wells, Bret (Cited 108 times)",9296,"Virginia Tax Review, Vol. 37, Issue 2 (Winter 2018), pp. 365-420",37 Va. Tax Rev. 365 (2017-2018),"Business Organizations, Income Taxation, Taxation, Credit",1,na,18
Tax-Effective Methods to Finance Latin American Operations [article],"Wells, Bret (Cited 108 times); Wilczynski, Mike (Cited 1 times)",9296,"International Tax Journal, Vol. 28, Issue 3 (Summer 2002), pp. 21-50",28 Int'l Tax J. 21 (2002),"States, Taxation, Securities Law",1,na,1
Tax Base Defense: Time to Update the Model Treaties [article],"Lowell, Cym (Cited 33 times); Wells, Bret (Cited 108 times)",9296,"International Tax Journal, Vol. 39, Issue 1 (January-February 2013), pp. 5-50",39 Int'l Tax J. 5 (2013),"Treaties, Commerce, Discrimination, International Trade",1,na,1
The Exceptions Prove the Rule: Recalibrating the Discovery Rule and Equitable Fraud Exceptions to the Legal Injury Rule [article],"Hoffman, Lonny (Cited 328 times); Wells, Bret (Cited 108 times)",9296,"Baylor Law Review, Vol. 71, Issue 1 (Winter 2019), pp. 63-167",71 Baylor L. Rev. 63 (2019),"Legislation, Health, Malpractice, Medical Malpractice, Government, Statutes, Statutes of Repose",na,na,9
