Title,Author(s),ID,Journal,BBCite,Topics,Cited (articles),Cited (cases),Accessed
Reinterpreting Statutory Interpretation [article],"Gonzalez, Carlos E. (Cited 149 times)",6933,"North Carolina Law Review, Vol. 74, Issue 3 (March 1996), pp. 585-730",74 N.C. L. Rev. 585 (1995-1996),"Legal History, Legislation, Statutory Interpretation, Jurisprudence, Legal Analysis and Writing",83,na,26
The Logic of Legal Conflict: The Perplexing Combination of Formalism and Anti-Formalism in Adjudication of Conflicting Legal Norms [article],"Gonzalez, Carlos E. (Cited 149 times)",6933,"Oregon Law Review, Vol. 80, Issue 2 (Summer 2001), pp. 447-586",80 Or. L. Rev. 447 (2001),"Law and Society, Accounting, Jurisprudence",20,na,9
Popular Sovereign Generated Versus Government Institution Generated Constitutional Norms: When Does a Constitutional Amendment Not Amend the Constitution [article],"Gonzalez, Carlos E. (Cited 149 times)",6933,"Washington University Law Quarterly, Vol. 80, Issue 1 (2002), pp. 127-242",80 Wash. U. L. Q. 127 (2002),"Constitutional Amendment, Constitutional Law, Government, Jurisprudence, Religious Freedom",19,na,9
"Turning Ambiguous Statutory Materials into Ambiguous Statutes: Ordering Principles, Avoidance, and Transparent Justification in Cases of Interpretive Choice [article]","Gonzalez, Carlos E. (Cited 149 times)",6933,"Duke Law Journal, Vol. 61, Issue 3 (December 2011), pp. 583-650",61 Duke L.J. 583 (2011-2012),"Judges, Legislation, Statutes, Copyright, Intellectual Property Law, Jurisprudence, Statutory Interpretation",11,na,4
Representational Structures through Which We the People Ratify Constitutions: The Troubling Original Understanding of the Constitution's Ratification Clauses [article],"Gonzalez, Carlos E. (Cited 149 times)",6933,"U.C. Davis Law Review, Vol. 38, Issue 5 (June 2005), pp. 1373-1504",38 U.C. Davis L. Rev. 1373 (2004-2005),na,7,na,2
Statutory Interpretation: Looking Back - Looking Forward. [comments],"Gonzalez, Carlos E. (Cited 149 times)",6933,"Rutgers Law Review, Vol. 58, Issue 3 (Spring 2006), pp. 703-718",58 Rutgers L. Rev. 703 (2005-2006),"Statutory Interpretation, Domestic Relations, Law and Society, Statutes, Eviction, Homes, Sexuality and the Law",6,na,3
"Trumps, Inversions, Balancing, Presumptions, Institution Prompting and Interpretive Canons: New Ways for Adjudicating Conflicts between Legal Norms [article]","Gonzalez, Carlos E. (Cited 149 times)",6933,"Santa Clara Law Review, Vol. 45, Issue 2 (2005), pp. 233-336",45 Santa Clara L. Rev. 233 (2004-2005),"Jurisprudence, Law and Society, Presumptions, Communications Law, Consumer Protection Law, Telemarketing",3,na,3
Independencia Judicial [article],"Ramos Gonzalez, Carlos E. (Cited 156 times)",6933,"Revista Juridica de la Universidad Interamericana de Puerto Rico, Vol. 43, Issue 2 (January-May 2009), pp. 273-278",43 Rev. Juridica U. Inter. P.R. 273 (2008-2009),Rico,2,na,3
El Metodo Clinico: Alternativa al Aprendizaje por Osmosis [article],"Ramos Gonzalez, Carlos E. (Cited 156 times)",6933,"Revista Juridica de la Universidad Interamericana de Puerto Rico, Vol. 18, Issue 1 (September-December 1983), pp. 113-124",18 Rev. Juridica U. Inter. P.R. 113 (1983-1984),Rico,2,na,3
El Ejercicio del Poder [article],"Gonzalez, Carlos Ramos (Cited 156 times)",6933,"Revista Juridica de la Universidad Interamericana de Puerto Rico, Vol. 20, Issue 2 (January-April 1986), pp. 185-190",20 Rev. Juridica U. Inter. P.R. 185 (1985-1986),"Public Law, Sovereignty, Employment, Fraud, Social Security",2,na,2
La Inviolabilidad de la Dignidad Humana: Lo Indigno de la Busqueda de Expectativas Razonables de Intimidad en el Derecho Constitucional Puertorriqueno [notes],"Ramos Gonzalez, Carlos E. (Cited 156 times)",6933,"Revista Juridica de la Universidad Interamericana de Puerto Rico, Vol. 45, Issue 2 (August 2010-May 2011), pp. 185-204",45 Rev. Juridica U. Inter. P.R. 185 (2010-2011),"Rico, Discovery, Bioethics",1,na,8
El Caso Morales Feliciano y el Ataque Deliberado de Causar Sufrimiento [article],"Ramos Gonzalez, Carlos E. (Cited 156 times)",6933,"Revista Juridica de la Universidad Interamericana de Puerto Rico, Vol. 37, Issue 2 (January-April 2003), pp. 247-260",37 Rev. Juridica U. Inter. P.R. 247 (2002-2003),Rico,na,na,7
Disposiciones sobre la Deuda Publica en la Constitucion del Estado Libre Asociado de Puerto Rico: Breve Reflexion Historica-Constitucional [article],"Gonzalez, Carlos E. Ramos (Cited 156 times)",6933,"Revista Juridica Universidad de Puerto Rico, Vol. 85, Issue 3 (2016), pp. 705-720",85 Rev. Jur. U.P.R. 705 (2016),Rico,na,na,3
La Constitucionalizacion de la Autonomia Municipal [article],"Ramos Gonzalez, Carlos E. (Cited 156 times); Negron Portillo, Luis M.",6933,"Revista Juridica de la Universidad Interamericana de Puerto Rico, Vol. 42, Issue 2 (January-April 2008), pp. 269-300",42 Rev. Juridica U. Inter. P.R. 269 (2007-2008),Rico,na,na,3
La Libertad de Expresion en el Derecho Constitutional Comparado [notes],"Ramos Gonzalez, Carlos E. (Cited 156 times)",6933,"Revista Juridica de la Universidad Interamericana de Puerto Rico, Vol. 44, Issue 3 (August 2009-May 2010), pp. 429-444",44 Rev. Juridica U. Inter. P.R. 429 (2009-2010),Rico,na,na,3
La Dignidad de Abelardo Diaz Alfaro [article],"Gonzalez, Carlos E. Ramos (Cited 156 times)",6933,"Revista Juridica de la Universidad Interamericana de Puerto Rico, Vol. 51, Issue 1 (August 2016 - May 2017), pp. 51-58",51 Rev. Juridica U. Inter. P.R. 51 (2016-2017),Rico,na,na,3
Drogas y Politica Criminal en Espana [article],"Ramirez, Juan Bustos; Gonzalez, Carlos (Cited 149 times); Rodriguez, Josep",6933,"Derecho Penal y Criminologia, Vol. 12, Issue 41-42 (May/December 1990), pp. 205-218",12 Derecho Penal y Criminologia 205 (1990),"Drug Trafficking, Health, International Trade, Public Health, Tobacco, World Trade Organization, Rico",na,na,3
La Constitucion de Cadiz en la Imaginario Constitucional Puertorriqueno [notes],"Gonzalez, Carlos E. Ramos (Cited 156 times)",6933,"Revista Juridica de la Universidad Interamericana de Puerto Rico, Vol. 47, Issue 4 (August 2012-May 2013), pp. 975-986",47 Rev. Juridica U. Inter. P.R. 975 (2012-2013),"Rico, Religion",na,na,2
