Title,Author(s),ID,Journal,BBCite,Topics,Cited (articles),Cited (cases),Accessed
Bentham on Stilts: The Bare Relevance of Subjectivity to Retributive Justice [article],"Markel, Dan (Cited 621 times); Flanders, Chad (Cited 304 times)",4006,"California Law Review, Vol. 98, Issue 3 (June 2010), pp. 907-988",98 Calif. L. Rev. 907 (2010),"Punishment, Jurisprudence, Law Enforcement, Law and Society",48,na,37
Toward a Theory of Persuasive Authority [article],"Flanders, Chad (Cited 304 times)",4006,"Oklahoma Law Review, Vol. 62, Issue 1 (Fall 2009), pp. 55-88",62 Okla. L. Rev. 55 (2009-2010),"Comparative Law, Legal Analysis and Writing, Congress, Constitutional Law",30,na,37
Retribution and Reform [article],"Flanders, Chad (Cited 304 times)",4006,"Maryland Law Review, Vol. 70, Issue 1 (2010), pp. 87-140",70 Md. L. Rev. 87 (2010-2011),"Jurisprudence, Law Enforcement, Sentencing, Democracy",22,na,16
Shame and the Meaning of Punishment [comments],"Flanders, Chad (Cited 304 times)",4006,"Cleveland State Law Review, Vol. 54, Number 4 (2006), pp. 609-636",54 Clev. St. L. Rev. 609 (2006),"Criminal Law, Jurisprudence, Punishment, Restorative Justice, Sanctions",18,na,18
How to Think about Voter Fraud (and Why) [article],"Flanders, Chad (Cited 304 times)",4006,"Creighton Law Review , Vol. 41, Issue 1 (2008), pp. 93-154",41 Creighton L. Rev. 93 (2008),"Criminal Law, Fraud, Law and Society, Constitutional Law, Identification, Politics, Fourteenth Amendment, Race, Right to Vote",18,na,10
Beyond Experience: Getting Retributive Justice Right [article],"Markel, Dan (Cited 621 times); Flanders, Chad (Cited 304 times); Gray, David (Cited 372 times)",4006,"California Law Review, Vol. 99, Issue 2 (April 2011), pp. 605-628",99 Calif. L. Rev. 605 (2011),"Punishment, Jurisprudence, Law Enforcement",17,na,31
Can Retributivism Be Saved [article],"Flanders, Chad (Cited 304 times)",4006,"Brigham Young University Law Review, Vol. 2014, Issue 2 (2014), pp. 309-362",2014 BYU L. Rev. 309 (2014),"Jurisprudence, Law Enforcement, Annulment, Punishment, Criminal Law, Criminal Law, International Criminal Law",13,na,23
Election Law behind a Veil of Ignorance [article],"Flanders, Chad (Cited 304 times)",4006,"Florida Law Review, Vol. 64, Issue 5 (September 2012), pp. 1369-1404",64 Fla. L. Rev. 1369 (2012),"Politics, Constitutional Law, Democracy, Jurisprudence",12,na,4
The Supreme Court and the Rehabilitative Ideal [article],"Flanders, Chad (Cited 304 times)",4006,"Georgia Law Review, Vol. 49, Issue 2 (Winter 2015), pp. 383-432",49 Ga. L. Rev. 383 (2014-2015),"Juveniles, Law Enforcement, Sentencing, Eighth Amendment, Juvenile Offenders, Parole",11,1,15
Cost as a Sentencing Factor: Missouri's Experiment [article],"Flanders, Chad (Cited 304 times)",4006,"Missouri Law Review, Vol. 77, Issue 2 (Spring 2012), pp. 391-410",77 Mo. L. Rev. 391 (2012),"Criminal Law, Judges, Law Enforcement, Sentencing, Judgments",9,na,8
Pardons and the Theory of the Second-Best [article],"Flanders, Chad (Cited 304 times)",4006,"Florida Law Review, Vol. 65, Issue 5 (September 2013), pp. 1559-1596",65 Fla. L. Rev. 1559 (2013),"Pardons, State and Local Government Law, Victims, Victims' Rights, Constitutional Law, Politics",9,na,11
