Title,Author(s),ID,Journal,BBCite,Topics,Cited (articles),Cited (cases),Accessed
Deserving Disabilities: Why the Definition under the Americans with Disabilities Act Should Be Revised to Eliminate the Substantial Limitation Requirement [article],"Anderson, Cheryl L. (Cited 150 times)",6986,"Missouri Law Review, Vol. 65, Issue 1 (Winter 2000), pp. 83-150",65 Mo. L. Rev. 83 (2000),"Civil Rights, Courts, Disability",32,na,5
"Neutral Employer Policies and the ADA: The Implications of US Airways, Inc. v. Barnett beyond Seniority Systems [article]","Anderson, Cheryl L. (Cited 150 times)",6986,"Drake Law Review, Vol. 51, Issue 1 (2002), pp. 1-44",51 Drake L. Rev. 1 (2002-2003),"Civil Rights, Employment Practice",27,na,10
"What Is Because of the Disability under the Americans with Disabilities Act - Reasonable Accommodation, Causation, and the Windfall Doctrine [article]","Anderson, Cheryl L. (Cited 150 times)",6986,"Berkeley Journal of Employment and Labor Law, Vol. 27, Issue 2 (2006), pp. 323-382",27 Berkeley J. Emp. & Lab. L. 323 (2006),"Causation, Disability, Comparative Law, Discrimination, Employment, Equity, Employees",26,na,5
"Ideological Dissonance, Disability Backlash, and the ADA Amendments Act [article]","Anderson, Cheryl L. (Cited 150 times)",6986,"Wayne Law Review, Vol. 55, Issue 3 (Fall 2009), pp. 1267-1326",55 Wayne L. Rev. 1267 (2009),"Disability, Employment Practice, Disability Law, Employees, Psychiatrists and Psychologists",21,na,7
Thinking within the Box: How Proof Models are Used to Limit the Scope of Sexual Harassment Law [article],"Anderson, Cheryl L. (Cited 150 times)",6986,"Hofstra Labor & Employment Law Journal, Vol. 19, Issue 1 (Fall 2001), pp. 125-172",19 Hofstra Lab. & Emp. L.J. 125 (2001-2002),"Civil Rights, Employment Practice, Harassment, Proof, Sexual Harassment, Fair Employment, Homosexuality, Labor, Sex Discrimination",13,na,5
"Damages for Intentional Discrimination by Public Entities under Title II of the Americans with Disabilities Act: A Rose by any other Name, but Are the Remedies the Same [article]","Anderson, Cheryl L. (Cited 150 times)",6986,"BYU Journal of Public Law, Vol. 9, Issue 2 (1995), pp. 235-290",9 BYU J. Pub. L. 235 (1994-1995),"Damages, Discrimination, Remedies, Confidentiality, Compensation, Workers' Compensation Law, Workers' Compensation Law",11,na,3
Unification of Standards in Discrimination Law: The Conundrum of Causation and Reasonable Accommodation under the ADA [article],"Anderson, Cheryl L. (Cited 150 times)",6986,"Mississippi Law Journal, Vol. 82, Issue 1 (2013), pp. 67-126",82 Miss. L.J. 67 (2013),"Causation, Discrimination, Civil Rights, Employment, Employment Practice, Financial Services, Employment Discrimination, Evidence",9,na,9
Comparative Evidence or Common Experience: When Does Substantial Limitation Require Substantial Proof under the Americans with Disabilities Act [article],"Anderson, Cheryl L. (Cited 150 times)",6986,"American University Law Review , Vol. 57, Issue 2 (December 2007), pp. 409-478",57 Am. U. L. Rev. 409 (2007-2008),"Evidence, Proof, Employment, Disability",5,1,1
Nothing Personal: Individual Liability under 42 U.S.C. 1983 for Sexual Harassment as an Equal Protection Claim [article],"Anderson, Cheryl L. (Cited 150 times)",6986,"Berkeley Journal of Employment and Labor Law, Vol. 19, Issue 1 (1998), pp. 60-107",19 Berkeley J. Emp. & Lab. L. 60 (1998),"Equal Protection, Harassment, Liability, Sexual Harassment, Employment Discrimination",3,2,3
Discrimination Claims against Law Firms: Managing Attorney-Employees from Hiring to Firing [article],"Anderson, Cheryl L. (Cited 150 times); Gross, Leonard (Cited 44 times)",6986,"Texas Tech Law Review, Vol. 43, Issue 2 (Winter 2011), pp. 515-562",43 Tex. Tech L. Rev. 515 (2010-2011),"Discrimination, Employees, Employment Practice, Discovery, Employment, Employment Discrimination",3,na,6
Making Meaningful Access Even Less Meaningful: Judicial Gatekeeping under Title II of the Americans with Disabilities Act [article],"Anderson, Cheryl (Cited 150 times)",6986,"University of Memphis Law Review, Vol. 49, Issue 3 (Spring 2019), pp. 635-706",49 U. Mem. L. Rev. 635 (2018-2019),"Discrimination, Employment, Employment Discrimination, Education Law, Employment Practice, Health, School Districts, Students",na,na,7
2014-2015 Southern Illinois University National Health Law Moot Court Competition: Problem [notes],"Anderson, Cheryl L. (Cited 150 times)",6986,"Journal of Legal Medicine, Vol. 36, Issue 3-4 (July-December 2015), pp. 269-285",Full Text Not Currently Available in HeinOnline,"Health, Health Law, Disability, Disability Law, Employment Practice, Equal Protection",na,na,na
"Balancing Administrative Authority Employer Discretion, and Disability Accommodations: Introduction to the 2014-2015 National Health Law Moot Court Competition Problem [notes]","Anderson, Cheryl L. (Cited 150 times)",6986,"Journal of Legal Medicine, Vol. 36, Issue 3-4 (July-December 2015), pp. 253-268",Full Text Not Currently Available in HeinOnline,"Disability, Health, Health Law, Employees, Discrimination",na,na,na
