Title,Author(s),ID,Journal,BBCite,Topics,Cited (articles),Cited (cases),Accessed
Countermajoritarian Hero or Zero - Rethinking the Warren Court's Role in the Criminal Procedure Revolution [article],"Lain, Corinna Barrett (Cited 395 times)",6007,"University of Pennsylvania Law Review, Vol. 152, Issue 4 (April 2004), pp. 1361-1452",152 U. Pa. L. Rev. 1361 (2003-2004),"Criminal Law, Criminal Procedure, Judges, Procedure, Revolution, Judicial Review",107,na,17
Furman Fundamentals [article],"Lain, Corinna Barrett (Cited 395 times)",6007,"Washington Law Review, Vol. 82, Issue 1 (February 2007), pp. 1-74",82 Wash. L. Rev. 1 (2007),"Criminal Law, Death, Jury",68,2,19
The Unexceptionalism of Evolving Standards [article],"Lain, Corinna Barrett (Cited 395 times)",6007,"UCLA Law Review , Vol. 57, Issue 2 (December 2009), pp. 365-420",57 UCLA L. Rev. 365 (2009-2010),"Constitutional Law, Criminal Law, Death, Eighth Amendment",57,na,14
Deciding Death [article],"Lain, Corinna Barrett (Cited 395 times)",6007,"Duke Law Journal , Vol. 57, Issue 1 (October 2007), pp. 1-84",57 Duke L.J. 1 (2007-2008),"Criminal Law, Death, Constitutional Law, Legislation, Sentencing",48,na,14
Accuracy Where It Matters: Brady v. Maryland in the Plea Bargaining Context [article],"Lain, Corinna Barrett (Cited 395 times)",6007,"Washington University Law Quarterly, Vol. 80, Issue 1 (2002), pp. 1-50",80 Wash. U. L. Q. 1 (2002),"Plea Bargaining, Criminal Law",39,1,24
Lessons Learned from the Evolution of Evolving Standards [article],"Lain, Corinna Barrett (Cited 395 times)",6007,"Charleston Law Review , Vol. 4, Issue 3 (Spring 2010), pp. 661-678",4 Charleston L. Rev. 661 (2009-2010),"Constitutional Law, Criminal Law, Eighth Amendment, Law and Society, Law Enforcement, Sexuality and the Law, Cruel and Unusual Punishment, Health, Punishment",11,na,4
Death Penalty Drugs and the International Moral Marketplace [article],"Gibson, James (Cited 466 times); Lain, Corinna Barrett (Cited 395 times)",6007,"Georgetown Law Journal, Vol. 103, Issue 5 (June 2015), pp. 1215-1274",103 Geo. L.J. 1215 (2014-2015),"Death, Drugs, Capital Punishment, Criminal Law, Human Rights Law, Human Rights Law, Punishment, States",10,na,49
Three Supreme Court Failures and a Story of Supreme Court Success [article],"Lain, Corinna Barrett (Cited 395 times)",6007,"Vanderbilt Law Review, Vol. 69, Issue 4 (May 2016), pp. 1019-1074",69 Vand. L. Rev. 1019 (2016),"Supreme Court of the United States, National Security, Jurisdiction, Practice and Procedure",9,na,24
Soft Supremacy [article],"Lain, Corinna Barrett (Cited 395 times)",6007,"William & Mary Law Review, Vol. 58, Issue 5 (April 2017), pp. 1609-1688",58 Wm. & Mary L. Rev. 1609 (2016-2017),"Politics, Age, Rule of Law, Judicial Review",9,na,21
The Virtues of Thinking Small [article],"Lain, Corinna Barrett (Cited 395 times)",6007,"University of Miami Law Review, Vol. 67, Issue 2 (Winter 2013), pp. 397-412",67 U. Miami L. Rev. 397 (2012-2013),"Criminal Law, Death, Gender, Law Enforcement",8,na,31
"God, Civic Virtue, and the American Way: Reconstructing Engel [article]","Lain, Corinna Barrett (Cited 395 times)",6007,"Stanford Law Review, Vol. 67, Issue 3 (March 2015), pp. 479-556",67 Stan. L. Rev. 479 (2015),"Legal History, Politics, Religion, Graduation, Church and State",7,1,24
The Politics of Botched Executions [article],"Lain, Corinna Barrett (Cited 395 times)",6007,"University of Richmond Law Review, Vol. 49, Issue 3 (March 2015), pp. 825-844",49 U. Rich. L. Rev. 825 (2014-2015),"Politics, Eighth Amendment, Sentencing, Execution",4,na,93
Passive-Aggressive Executive Power [article],"Lain, Corinna Barrett (Cited 395 times)",6007,"Maryland Law Review, Vol. 73, Issue 1 (2013), pp. 227-246",73 Md. L. Rev. 227 (2013-2014),"Death, Psychiatrists and Psychologists, Sentencing, Supreme Court of the United States",4,na,8
The Doctrinal Side of Majority Will [article],"Lain, Corinna Barrett (Cited 395 times)",6007,"Michigan State Law Review, Vol. 2010, Issue 3 (Fall 2010), pp. 775-794",2010 Mich. St. L. Rev. 775 (2010),"Constitutional Law, Criminal Law, Fourteenth Amendment, Jurisdiction, States, Death",4,na,5
Prosecutorial Ethics and the Reno Rule: Authorized by Law [article],"Lain, Corinna Barrett (Cited 395 times)",6007,"Criminal Justice Ethics, Vol. 14, Issue 2 (Summer/Fall 1995), pp. 17-36",14 Crim. Just. Ethics 17 (1995),"Ethics, Administration Law, Professional Ethics, Regulation",4,na,na
The Highs and Lows of Wild Justice [reviews],"Lain, Corinna Barrett (Cited 395 times)",6007,"Tulsa Law Review, Vol. 50, Issue 2 (Winter 2015), pp. 503-518",50 Tulsa L. Rev. 503 (2014-2015),"Criminal Law, Sentencing, Death, Race, Race",3,na,6
Outraged over Immigration: Rethinking Doctrinal Responses [notes],"Lain, Corinna Barrett (Cited 395 times)",6007,"Virginia Law Review, Vol. 82, Issue 6 (September 1996), pp. 987-1020",82 Va. L. Rev. 987 (1996),"Constitutional Law, Immigration Law, Race",2,na,3
"Mostly Settled, but Right for Now [reviews]","Lain, Corinna Barrett (Cited 395 times)",6007,"Constitutional Commentary, Vol. 33, Issue 3 (Fall 2018), pp. 355-372",33 Const. Comment. 355 (2018),"Abortion, Constitutional Law, Medical Jurisprudence, Practice and Procedure, Supreme Court of the United States, Incorporation",1,na,10
"Madison and the Mentally Ill: the Death Penalty for the Weak, Not the Worst [comments]","Lain, Corinna Barrett (Cited 395 times)",6007,"Regent University Law Review, Vol. 31, Issue 2 (2019), pp. 209-234",31 Regent U. L. Rev. 209 (2018-2019),"Eighth Amendment, Politics",na,na,16
"Death Row, Calls for Indifference, and Redemption of the Soul [article]","Lain, Corinna Barrett (Cited 395 times)",6007,"Ohio State Law Journal Furthermore, Vol. 77, pp. 106-119",77 Ohio St. L.J. Furthermore 106 (2016),"Death, Legislation, Sentencing, Interest, Law Enforcement",na,na,5
Criminal Procedure and Affirmative Action [comments],"Sudeall, Lauren (Cited 140 times); Epps, Dan; Heriot, Gail (Cited 172 times); Lain, Corinna (Cited 395 times)",6007,"Georgia State University Law Review, Vol. 35, Supplemental Issue (Spring 2019), pp. 977-1002",35 Ga. St. U. L. Rev. 977 (2018-2019),"Constitutional Law, Criminal Law, Criminal Law, Sixth Amendment",na,na,2
