Title,Author(s),ID,Journal,BBCite,Topics,Cited (articles),Cited (cases),Accessed
Monopolizing the Law: The Scope of Copyright Protection for Law Reports and Statutory Compilations [article],"Patterson, L. Ray (Cited 1179 times); Joyce, Craig (Cited 585 times)",4731,"UCLA Law Review, Vol. 36, Issue 4 (April 1989), pp. 719-814",36 UCLA L. Rev. 719 (1988-1989),"Copyright, Intellectual Property Law, Legal Writing, Computer Law, Legal Profession",171,5,41
Off to the Races: The 1980s Tort Crisis and the Law Reform Process [article],"Sanders, Joseph (Cited 855 times); Joyce, Craig (Cited 585 times)",4731,"Houston Law Review, Vol. 27, Issue 2 (March 1990), pp. 207-296",27 Hous. L. Rev. 207 (1990),"Collateral Source Rule, Contingency Fees, Joint and Several Liability, Law Reform, Sovereign Immunity, Torts, Legislation, Tort Reform",118,6,21
The Rise of the Supreme Court Reporter: An Institutional Perspective on Marshall Court Ascendancy [article],"Joyce, Craig (Cited 585 times)",4731,"Michigan Law Review, Vol. 83, Issue 5 (March 1985), pp. 1291-1391",83 Mich. L. Rev. 1291 (1984-1985),na,109,3,14
"Copyright in 1791: An Essay Concerning the Founers' View of the Copyright Power Granted to Congress in Article I, Section 8, Clause 8 of the U.S. Constitution [article]","Patterson, L. Ray (Cited 1179 times); Joyce, Craig (Cited 585 times)",4731,"Emory Law Journal, Vol. 52, Issue 2 (Spring 2003), pp. 909-952",52 Emory L.J. 909 (2003),"Congress, Constitutional Law, Copyright, Intellectual Property Law, Legal History, First Amendment",89,na,42
Keepers of the Flame: Prosser and Keeton on the Law of Torts (Fifth Edition) and the Prosser Legacy [reviews],"Joyce, Craig (Cited 585 times)",4731,"Vanderbilt Law Review, Vol. 39, Issue 3 (April 1986), pp. 851-878",39 Vand. L. Rev. 851 (1986),"Torts, Biography, History",26,na,33
A Curious Chapter in the History of Judicature: Wheaton v. Peters and the Rest of the Story (of Copyright in the New Republic) [article],"Joyce, Craig (Cited 585 times)",4731,"Houston Law Review, Vol. 42, Issue 2 (Summer 2005), pp. 325-392",42 Hous. L. Rev. 325 (2005-2006),"Copyright, History, Intellectual Property Law, Notice, International Law: History",23,na,19
The Statute of Anne: Yesterday and Today [article],"Joyce, Craig (Cited 585 times)",4731,"Houston Law Review, Vol. 47, Issue 4 (2010), pp. 779-792",47 Hous. L. Rev. 779 (2010-2011),"Intellectual Property Law, Legal History, Communications Law, Intellectual Property Law, International Trade",10,na,11
Afterword: Lazy B and the Nation's Court: Pragmatism in Service of Principle [comments],"Joyce, Craig (Cited 585 times)",4731,"Harvard Law Review, Vol. 119, Issue 5 (March 2006), pp. 1257-1274",119 Harv. L. Rev. 1257 (2005-2006),"First Amendment, Contracts, Biography, Supreme Court of the United States",8,na,14
Statesman of the Old Republic [article],"Joyce, Craig (Cited 585 times)",4731,"Michigan Law Review, Vol. 84, Issues 4 & 5 (February/March 1986), pp. 846-879",84 Mich. L. Rev. 846 (1985-1986),"Slavery, Jurisdiction, Rule of Law",6,na,9
Driven: The First Decade of Houston Law Review [article],"Joyce, Craig (Cited 585 times)",4731,"Houston Law Review, Vol. 50, Issue 1 (Fall 2012), pp. 257-288",50 Hous. L. Rev. 257 (Fall 2012),"Legal Analysis and Writing, Legal History, Attorneys, Biography",5,na,2
L. Ray Patterson: Copyright (and Its Master) in Historical Perspective [article],"Joyce, Craig (Cited 585 times)",4731,"Journal of Intellectual Property Law, Vol. 10, Issue 2 (Spring 2003), pp. 239-248",10 J. Intell. Prop. L. 239 (2002-2003),"Biography, Copyright",4,na,4
"Reach out and Touch Someone: Reflections on the 25th Anniversary of Feist Publications, Inc. v. Rural Telephone Service Co. [article]","Joyce, Craig (Cited 585 times); Ochoa, Tyler T. (Cited 391 times)",4731,"Houston Law Review, Vol. 54, Issue 2 (2016), pp. 257-320",54 Hous. L. Rev. 257 (2016-2017),"Legal History, Copyright, Legislation",3,na,9
Carry on Boldly: The Second Decade of Houston Law Review [article],"Joyce, Craig (Cited 585 times); Hoffman, Matthew (Cited 25 times)",4731,"Houston Law Review, Vol. 50, Issue 2 (2012), pp. 689-724",50 Hous. L. Rev. 689 (2012),"Legal Analysis and Writing, Legal History, Retirement, Biography",3,na,na
Centered: The Third Decade of Houston Law Review [article],"Joyce, Craig (Cited 585 times); Hoffman, Matthew (Cited 25 times)",4731,"Houston Law Review, Vol. 50, Issue 3 (Winter 2013), pp. 1027-1064",50 Hous. L. Rev. 1027 (Winter 2013),"Legal Analysis and Writing, Legal History, Retirement, Liability",2,na,3
Prologue [comments],"Joyce, Craig (Cited 585 times)",4731,"Houston Law Review, Vol. 40, Issue 3 (Fall 2003), pp. 609-612",40 Hous. L. Rev. 609 (2003-2004),"Intellectual Property Law, Legal History, Communications Law, Copyright, Legal Profession, Organizations",2,na,2
Trademark: Today and Tomorrow Institute for Intellectual Property & Information Law Symposium: Introduction [article],"Joyce, Craig (Cited 585 times)",4731,"Houston Law Review, Vol. 48, Issue 4 (2011), pp. 701-706",48 Hous. L. Rev. 701 (2011-2012),"Trade Regulation, Courts, Intellectual Property Law, Intellectual Property Law, International Trade",1,na,6
The Great Leap Forward: The Fourth Decade of Houston Law Review [article],"Joyce, Craig (Cited 585 times); Hoffman, Matthew (Cited 25 times)",4731,"Houston Law Review, Vol. 50, Issue 4 (2013), pp. 1255-1296",50 Hous. L. Rev. 1255 (2013),"Biography, Legal Analysis and Writing, Legal History, Medical Jurisprudence",1,na,5
