Title,Author(s),ID,Journal,BBCite,Topics,Cited (articles),Cited (cases),Accessed
"Inside the Border, outside the Law: Undocumented Immigrants and the Fourth Amendment [article]","Nunez, D. Carolina (Cited 54 times)",8969,"Southern California Law Review, Vol. 85, Issue 1 (November 2011), pp. 85-140",85 S. Cal. L. Rev. 85 (2011-2012),na,19,na,24
Fractured Membership: Deconstructing Territoriality to Secure Rights and Remedies for the Undocumented Worker [article],"Nunez, D. Carolina (Cited 54 times)",8969,"Wisconsin Law Review, Vol. 2010, Issue 3 (2010), pp. 817-874",2010 Wis. L. Rev. 817 (2010),"Immigration Law, Labor, Remedies, Fourth Amendment, Immigrants, States",15,na,2
"War of the Words: Aliens, Immigrants, Citizens, and the Language of Exclusion [article]","Nunez, D. Carolina (Cited 54 times)",8969,"Brigham Young University Law Review, Vol. 2013, Issue 6 (2013), pp. 1517-1562",2013 BYU L. Rev. 1517 (2013),"Aliens, Immigrants, War, Gambling, Gaming, First Amendment, Legal History, Religion",12,na,35
Beyond Blood and Borders: Finding Meaning in Birthright Citizenship [article],"Nunez, D. Carolina (Cited 54 times)",8969,"Brooklyn Law Review, Vol. 78, Issue 3 (Spring 2013), pp. 835-882",78 Brook. L. Rev. 835 (2012-2013),"Aliens, Blood, Citizenship, Colleges and Universities, Tuition, Children, Fourteenth Amendment, Immigrants, Immigration Law, States",6,na,19
"Mapping Citizenship: Status, Membership, and the Path in Between [article]","Nunez, D. Carolina (Cited 54 times)",8969,"Utah Law Review, Vol. 2016, Issue 3 (2016), pp. 477-534",2016 Utah L. Rev. 477 (2016),"Citizenship, Immigration Law, Immigration Law, Children, Domestic Relations",1,na,22
To What Extent does Former Section 212(c) of the Immigration and Nationality Act Apply to Aliens Whoa re Deportable for an Aggravated Felony Conviction (10-694) [article],"Nunez, D. Carolina (Cited 54 times)",8969,"Preview of United States Supreme Court Cases, Vol. 39, Issue 1 (October 3, 2011), pp. 27-30","39 Preview U.S. Sup. Ct. Cas. 27 (October 3, 2011)","Aliens, Constitutional Law, Criminal Law, Deportation",1,na,na
Does a Conviction for a Crime Listed in the Grounds of Inadmissibility Terminate a Lawfully Admitted Permanent resident's Period of Continuous Residence for Purpose of Cancellation of Removal (18-725) [article] *new*,"Nunez, D. Carolina (Cited 54 times)",8969,"Preview of United States Supreme Court Cases, Vol. 47, Issue 2 (November 4, 2019), pp. 4-8",47 Preview U.S. Sup. Ct. Cas. 4 (2019),na,na,na,9
Citizenship Gaps [reviews],"Nunez, D. Carolina (Cited 54 times)",8969,"Tulsa Law Review, Vol. 54, Issue 2 (Winter 2019), pp. 301-314",54 Tulsa L. Rev. 301 (2018-2019),"Citizenship, Children",na,na,7
Is a State Conviction for Possession with Intent to Distribute Marijuana an Aggravated Felony for Which an Alien May be Deported under the Immigration and Nationality Act - Moncrieffe v. Holder (11-702) [case],"Nunez, D. Carolina (Cited 54 times)",8969,"Preview of United States Supreme Court Cases, Vol. 40, Issue 1 (October 1, 2012), pp. 34-37","40 Preview U.S. Sup. Ct. Cas. 34 (October 1, 2012)","Marijuana, Possession, Crimes, Felonies, Immigration Law, Criminal Law, Sentencing",na,na,3
Is the Board of Immigration Appeals' Refusal to Toll the Filing Period for Motions to Reopen Removal Proceedings Subject to Judicial Review: Mata v. Holder (14-185) [notes],"Nunez, Carolina (Cited 54 times)",8969,"Preview of United States Supreme Court Cases, Vol. 42, Issue 7 (April 20, 2015), pp. 254-256",42 Preview U.S. Sup. Ct. Cas. 254 (2014-2015),"Appeals, Judicial Review, Immigration Law, Practice and Procedure",na,na,1
