Title,Author(s),ID,Journal,BBCite,Topics,Cited (articles),Cited (cases),Accessed
Benefit Corporations - A Sustainable Form of Organization [article],"Reiser, Dana Brakman (Cited 524 times)",6221,"Wake Forest Law Review, Vol. 46, Issue 3 (2011), pp. 591-626",46 Wake Forest L. Rev. 591 (2011),"Benefit Corporations, Corporations, Organizations, Ethics, Legal Ethics, Banking",87,na,293
Enron.org: Why Sarbanes-Oxley Will Not Ensure Comprehensive Nonprofit Accountability [article],"Reiser, Dana Brakman (Cited 524 times)",6221,"U.C. Davis Law Review, Vol. 38, Issue 1 (November 2004), pp. 205-280",38 U.C. Davis L. Rev. 205 (2004-2005),na,48,na,10
Theorizing Forms for Social Enterprise [article],"Reiser, Dana Brakman (Cited 524 times)",6221,"Emory Law Journal, Vol. 62, Issue 4 (2013), pp. 681-740",62 Emory L.J. 681 (2013),"Corporations, Business Organizations, Taxation-Federal, Employment",41,na,75
For-Profit Philanthropy [article],"Reiser, Dana Brakman (Cited 524 times)",6221,"Fordham Law Review, Vol. 77, Issue 5 (April 2009), pp. 2437-2474",77 Fordham L. Rev. 2437 (2008-2009),"Organizations, Philanthropy, Money, Communications Law",40,na,36
Governing and Financing Blended Enterprise [article],"Reiser, Dana Brakman (Cited 524 times)",6221,"Chicago-Kent Law Review, Vol. 85, Issue 2 (2010), pp. 619-656",85 Chi.-Kent L. Rev. 619 (2010),"Corporations, Liability, Limited Liability Companies, Investment",38,na,26
There Ought to Be a Law: The Disclosure Focus of Recent Legislative Proposals for Nonprofit Reform [article],"Reiser, Dana Brakman (Cited 524 times)",6221,"Chicago-Kent Law Review, Vol. 80, Issue 2 (2005), pp. 559-612",80 Chi.-Kent L. Rev. 559 (2005),"Charities, Fundraising, Nonprofit Organizations, Organizations, Taxation-Federal Income, Comparative Law, Guardians, Regulation",37,na,4
Dismembering Civil Society: The Social Cost of Internally Undemocratic Nonprofits [article],"Reiser, Dana Brakman (Cited 524 times)",6221,"Oregon Law Review, Vol. 82, Issue 3 (Fall 2003), pp. 829-900",82 Or. L. Rev. 829 (2003),"Nonprofit Organizations, Organizations, Democracy",35,na,10
Charity Law's Essentials [article],"Reiser, Dana Brakman (Cited 524 times)",6221,"Notre Dame Law Review, Vol. 86, Issue 1 (February 2011), pp. 1-64",86 Notre Dame L. Rev. 1 (2011),"Corporations, Organizations, Charities",30,na,43
Blended Enterprise and the Dual Mission Dilemma [article],"Reiser, Dana Brakman (Cited 524 times)",6221,"Vermont Law Review, Vol. 35, Issue 1 (Fall 2010), pp. 105-116",35 Vt. L. Rev. 105 (2010-2011),"Organizations, Philanthropy, Corporations, Business Organizations, Taxation-Federal",28,na,41
Director Independence in the Independent Sector [comments],"Reiser, Dana Brakman (Cited 524 times)",6221,"Fordham Law Review , Vol. 76, Issue 2 (November 2007), pp. 795-832",76 Fordham L. Rev. 795 (2007-2008),"Corporations, Corporations: Directors, Securities Law, Stocks, Investment",25,na,10
Hunting Stag with Fly Paper: A Hybrid Financial Instrument for Social Enterprise [article],"Reiser, Dana Brakman (Cited 524 times); Dean, Steven A. (Cited 185 times)",6221,"Boston College Law Review, Vol. 54, Issue 4 (2013), pp. 1495-1544",54 B.C. L. Rev. 1495 (2013),"Banking, Corporations, Organizations, Law and Society",20,na,24
