Title,Author(s),ID,Journal,BBCite,Topics,Cited (articles),Cited (cases),Accessed
The Evolution of FTA Investment Provisions: From NAFTA to the United States - Chile Free Trade Agreement [article],"Gantz, David A. (Cited 586 times)",8519,"American University International Law Review, Vol. 19, Issue 4 (2004), pp. 679-768",19 Am. U. Int'l L. Rev. 679 (2004),"International Trade, Investment, States, Dispute Resolution, Economic Policy, Foreign Investment, Jurisprudence",52,na,49
Potential Conflicts between Investor Rights and Environmental Regulation under NAFTA's Chapter 11 [article],"Gantz, David A. (Cited 586 times)",8519,"George Washington International Law Review, Vol. 33, Issue 3 and 4 (2001), pp. 651-752",33 Geo. Wash. Int'l L. Rev. 651 (2000-2001),"Environmental Law, Regulation, History, International Trade, Investment, Treaties, Arbitration, Developing Countries, Foreign Investment",45,na,16
Globalizing Sanctions against Foreign Bribery: The Emergence of a New International Legal Consensus [article],"Gantz, David A. (Cited 586 times)",8519,"Northwestern Journal of International Law & Business, Vol. 18, Issue 2 (Winter 1998), pp. 457-497",18 Nw. J. Int'l L. & Bus. 457 (1997-1998),"Bribery, International Law: History, Sanctions, Commerce, Comparative Law, Criminal Law, International Trade",35,na,26
The Marcona Settlement: New Forms of Negotiation and Compensation for Nationalized Property [article],"Gantz, David A. (Cited 586 times)",8519,"American Journal of International Law, Vol. 71, Issue 3 (July 1977), pp. 474-493",71 Am. J. Int'l L. 474 (1977),Compensation,34,na,2
An Appellate Mechanism for Review of Arbitral Decisions in Investor-State Disputes: Prospects and Challenges [article],"Gantz, David A. (Cited 586 times)",8519,"Vanderbilt Journal of Transnational Law, Vol. 39, Issue 1 (January 2006), pp. 39-76",39 Vand. J. Transnat'l L. 39 (2006),"Arbitration, Foreign Investment, Investment, States, Takings, International Trade",30,na,74
Dispute Settlement under the NAFTA and the WTO: Choice of Forum Opportunities and Risks for the NAFTA Parties [article],"Gantz, David A. (Cited 586 times)",8519,"American University of International Law Review, Vol. 14, Issue 4 (1999), pp. 1025-1106",14 Am. U. Int'l L. Rev. 1025 (1998-1999),"Dispute Resolution, Lumber",29,na,33
WTO Case Review 2004 [comments],"Bhala, Raj (Cited 788 times); Gantz, David A. (Cited 586 times)",8519,"Arizona Journal of International and Comparative Law, Vol. 22, Issue 2 (Summer 2005), pp. 99-250",22 Ariz. J. Int'l & Comp. L. 99 (2005),International Trade,27,na,9
WTO Case Review 2000 [comments],"Bhala, Raj (Cited 788 times); Gantz, David (Cited 586 times)",8519,"Arizona Journal of International and Comparative Law, Vol. 18, Issue 1 (Spring 2001), pp. 1-102",18 Ariz. J. Int'l & Comp. L. 1 (2001),"International Trade, Organizations",24,na,13
WTO Case Review 2001 [article],"Bhala, Raj (Cited 788 times); Gantz, David A. (Cited 586 times)",8519,"Arizona Journal of International and Comparative Law, Vol. 19, Issue 2 (Summer 2002), pp. 457-642",19 Ariz. J. Int'l & Comp. L. 457 (2002),International Trade,24,na,13
Resolution of Investment Disputes under the North American Free Trade Agreement [comments],"Gantz, David A. (Cited 586 times)",8519,"Arizona Journal of International and Comparative Law, Vol. 10, Issue 2 (1993), pp. 335-348",10 Ariz. J. Int'l & Comp. L. 335 (1993),"Investment, Arbitration, Dispute Resolution, International Trade, States, Waste Disposal",18,na,4
