Title,Author(s),ID,Journal,BBCite,Topics,Cited (articles),Cited (cases),Accessed
"The Rio Declaration on Environment and Development: Two Steps Forward and One Back, or Vice Versa [article]","Wirth, David A. (Cited 443 times)",3689,"Georgia Law Review, Vol. 29, Issue 3 (Spring 1995), pp. 599-654",29 Ga. L. Rev. 599 (1994-1995),"Environmental Law, Environmental Law, Age, International Law: History, Sustainable Development",64,na,89
Reexamining Decision-Making Processes in International Environmental Law [article],"Wirth, David A. (Cited 443 times)",3689,"Iowa Law Review, Vol. 79, Issue 4 (May 1994), pp. 769-802",79 Iowa L. Rev. 769 (1993-1994),"Environmental Law, International Law: History, Research, Biodiversity, Conservation",57,na,20
"Legitimacy, Accountability, and Partnership: A Model for Advocacy on Third World Environmental Issues [article]","Wirth, David A. (Cited 443 times)",3689,"Yale Law Journal, Vol. 100, Issue 8 (June 1991), pp. 2645-2666",100 Yale L.J. 2645 (1990-1991),"Cultural Property, Civil Rights, Human Rights Law, South Africa, Aliens, States",45,na,8
A Matchmaker's Challenge: Marrying International Law and American Environmental Law [article],"Wirth, David A. (Cited 443 times)",3689,"Virginia Journal of International Law, Vol. 32, Issue 2 (Winter 1992), pp. 377-420",32 Va. J. Int'l L. 377 (1991-1992),"Environmental Law, Environmental Law, Environmental Protection, International Law: History, Hazardous Waste, Chemicals",40,na,5
The Role of Science in the Uruguay Round and NAFTA Trade Disciplines [article],"Wirth, David A. (Cited 443 times)",3689,"Cornell International Law Journal, Vol. 27, Issue 3 (1994), pp. 817-860",27 Cornell Int'l L. J. 817 (1994),"International Trade, Copyright, Exports, Industrial and Intellectual Property, Intellectual Property Law, Intellectual Property Law, Remedies, States, Environmental Law",39,na,13
Private Rights of Action and Judicial Review in Federal Environmental Law [article],"Timbers, William H. (Cited 100 times); Wirth, David A. (Cited 443 times)",3689,"Cornell Law Review, Vol. 70, Issue 3 , pp. 403-417",70 Cornell L. Rev. 403 (1984-1985),"Environmental Law, Judicial Review, Standing, Water Law",31,2,3
Risky Reform [reviews],"Wirth, David A. (Cited 443 times); Silbergeld, Ellen K. (Cited 43 times)",3689,"Columbia Law Review, Vol. 95, Issue 7 (November 1995), pp. 1857-[ii]",95 Colum. L. Rev. 1857 (1995),"Regulation, Environmental Justice, Law and Society, Legal Profession",27,na,1
The International Trade Regime and the Municipal Law of Federal States: How Close a Fit [article],"Wirth, David A. (Cited 443 times)",3689,"Washington and Lee Law Review, Vol. 49, Issue 4 (Fall 1992), pp. 1389-1402",49 Wash. & Lee L. Rev. 1389 (Fall 1992),"International Trade, States, Environmental Law, Environmental Law",18,na,1
International Trade Agreements: Vehicles for Regulatory Reform [article],"Wirth, David A. (Cited 443 times)",3689,"University of Chicago Legal Forum, Vol. 1997, pp. 331-374",1997 U. Chi. Legal F. 331 (1997),"International Trade, Pollution, States, Economics",16,na,3
The International Organization for Standardization: Private Voluntary Standards as Swords and Shields [article],"Wirth, David A. (Cited 443 times)",3689,"Boston College Environmental Affairs Law Review, Vol. 36, Issue 1 (2009), pp. 79-102",36 B.C. Envtl. Aff. L. Rev. 79 (2009),"International Law: History, International Organization, Organizations, Administration Law, States, Computer Law",11,na,21
An International and Domestic Law of Climate Change: A Binding International Agreement without the Senate or Congress [article],"Wirth, David A. (Cited 443 times)",3689,"Harvard Environmental Law Review, Vol. 39, Issue 2 (2015), pp. 515-566",39 Harv. Envtl. L. Rev. 515 (2015),"Climate Change, Congress, International Law: History, President/Executive Department, Soft Law, States",10,na,44
Public Participation in International Processes: Environmental Case Studies at the National and International Levels [article],"Wirth, David A. (Cited 443 times)",3689,"Colorado Journal of International Environmental Law and Policy, Vol. 7, Issue 1 (Winter 1996), pp. 1-38",7 Colo. J. Int'l Envtl. L. & Pol'y 1 (1996),"International Trade, Law and Society, Environmental Law, Government, International Law: History, International Relations, States",9,na,6
The Sixth Session (Part Two) and Seventh Session of the Conference of the Parties to the Framework Convention on Climate Change [legislation],"Wirth, David A. (Cited 443 times)",3689,"American Journal of International Law, Vol. 96, Issue 3 (July 2002), pp. 648-660",96 Am. J. Int'l L. 648 (2002),"Climate Change, International Law: History, United Nations",8,na,3
The EU's New Impact on U.S. Environmental Regulation [article],"Wirth, David A. (Cited 443 times)",3689,"Fletcher Forum of World Affairs, Vol. 31, Issue 2 (Summer 2007), pp. 91-110",31 Fletcher F. World Aff. 91 (2007),"Regulation, International Trade, World Trade Organization, Asylum",7,na,4
Trade and the Environment: Equilibrium or Imbalance? [misc],"Caldwell, Douglas J. (Cited 7 times); Wirth, David A. (Cited 443 times)",3689,"Michigan Journal of International Law, Vol. 17, Issue 3 (Spring 1996), pp. 563-746",17 Mich. J. Int'l L. 563 (1995-1996),na,7,na,13
Beyond Vienna and Montreal: A Global Framework Convention on Greenhouse Gases [article],"Wirth, David A. (Cited 443 times); Lashof, Daniel A. (Cited 6 times)",3689,"Transnational Law & Contemporary Problems, Vol. 2, Issue 1 (Spring 1992), pp. 79-112",2 Transnat'l L. & Contemp. Probs. 79 (1992),"Greenhouse Gases, Developing Countries, Interest, Chemicals",6,na,2
The Uneasy Interface between Domestic and International Environmental Law [article],"Wirth, David A. (Cited 443 times)",3689,"American University Journal of International Law and Policy, Vol. 9, Issue 1 (Fall 1993), pp. 171-190",9 Am. U. J. Int'l L. & Pol'y 171 (1993-1994),"Environmental Law, Environmental Law, International Trade, Pollution, States",6,na,3
Science and International Trade - Third Generation Scholarship [comments],"Atik, Jeffery (Cited 216 times); Wirth, David A. (Cited 443 times)",3689,"Boston College International and Comparative Law Review, Vol. 26, Issue 2 (Spring 2003), pp. 171-182",26 B.C. Int'l & Comp. L. Rev. 171 (2003),"International Trade, Science and Technology, Regulation",5,na,2
Globalizing the Environment [article],"Wirth, David A. (Cited 443 times)",3689,"William and Mary Environmental Law and Policy Review, Vol. 22, Issue 2 (Spring 1998), pp. 353-374",22 Wm. & Mary Envtl. L. & Pol'y Rev. 353 (1997-1998),"Environmental Law, Globalization",5,na,na
Engineering the Climate: Geoengineering as a Challenge to International Governance [comments],"Wirth, David A. (Cited 443 times)",3689,"Boston College Environmental Affairs Law Review, Vol. 40, Issue 2 (2013), pp. 413-438",40 B.C. Envtl. Aff. L. Rev. 413 (2013),"Legal Systems, Environmental Law, Law of the Sea, Regulation, Climate Change, Environmental Law, International Law: History",5,na,14
Teaching and Research in International Environmental Law [article],"Wirth, David A. (Cited 443 times)",3689,"Harvard Environmental Law Review, Vol. 23, Issue 2 (1999), pp. 423-440",23 Harv. Envtl. L. Rev. 423 (1999),"Environmental Law, International Law: History, Research, Environmental Law",5,na,16
Cracking the American Climate Negotiators' Hidden Code: United States Law and the Paris Agreement [article],"Wirth, David A. (Cited 443 times)",3689,"Climate Law, Vol. 6, Issues 1-2 (2016), pp. 152-170",Full Text Not Currently Available in HeinOnline,"States, Climate Change, Sustainable Development, Obligations",na,na,na
A World of Choices [article],"Wirth, David A. (Cited 443 times)",3689,"New Zealand Journal of Public and International Law, Vol. 10, Issue 1 (July 2012), pp. 1-14",10 NZJPIL 1 (2012),"Retirement, Tax Policy, Taxation, Education Law, Legal Education, Women",3,na,3
Multilingual Treaty Interpretation and the Case of Salt II [article],"Wirth, David A. (Cited 443 times)",3689,"Yale Studies in World Public Order, Vol. 6, Issue 2 (Spring 1980), pp. 429-470",6 Yale Stud. World Pub. Ord. 429 (1979-1980),"States, Documents, Treaties",3,na,4
"The President, the Environment, and Foreign Policy: The Globalization of Environmental Politics [article]","Wirth, David A. (Cited 443 times)",3689,"Journal of Land, Resources, & Environmental Law, Vol. 24, Issue 3 (2004), pp. 393-408",24 J. Land Resources & Envtl. L. 393 (2004),"Environmental Law, Globalization, Politics, States, Climate Change",3,na,3
Executive Agreements Relying on Implied Statutory Authority: A Response to Bodansky and Spiro [notes],"Wirth, David A. (Cited 443 times)",3689,"Vanderbilt Journal of Transnational Law, Vol. 50, Issue 3 (May 2017), pp. 741-756",50 Vand. J. Transnat'l L. 741 (2017),"International Law: History, Constitutional Law, Politics, President/Executive Department, Agency",3,na,85
Trade Union Rights in the Workers' State: Poland and the ILO [article],"Wirth, David A. (Cited 443 times)",3689,"Denver Journal of International Law and Policy, Vol. 13, Issues 2 & 3 (Winter 1984), pp. 269-282",13 Denv. J. Int'l L. & Pol'y 269 (1983-1984),"Trade Unions, Unions, Age, Labor",3,na,1
The North American Free Trade Agreement and U.S. Environmental Law [article],"Wirth, David A. (Cited 443 times)",3689,"American Society of International Law Proceedings, Vol. 86, pp. 155-159",86 Am. Soc'y Int'l L. Proc. 155 (1992),"Environmental Law, Administration Law, States, Death",na,na,na
The World Trade Organization Dispute concerning Genetically Modified Organisms: Precaution Meets International Trade Law [article],"Wirth, David A. (Cited 443 times)",3689,"Vermont Law Review, Vol. 37, Issue 4 (Summer 2013), pp. 1153-1188",37 Vt. L. Rev. 1153 (2012-2013),"International Trade, World Trade Organization, Health, Animal Law, Natural Resources Law, Natural Resources Law, Wildlife",na,na,14
"Review of Fourth Circuit Opinions in Civil Cases Decided November 1, 1991 through December 31, 1992: V: Environmental Law [article]","Wirth, David A. (Cited 443 times)",3689,"Washington and Lee Law Review, Vol. 50, Issue 1 (Winter 1993), pp. 229-230",50 Wash. & Lee L. Rev. 229 (1993),"Costs, Liability, Environmental Law",na,na,1
Trade Implications of the Basel Convention Amendment Banning North-South Trade in Hazardous Wastes [article],"Wirth, David A. (Cited 443 times)",3689,"Review of European, Comparative & International Environmental Law, Vol. 7, Issue 3 (1998), pp. 237-248",7 Rev. Eur. Comp. & Int'l Envtl. L. 237 (1998),"Environmental Law, Environmental Law, Comparative Law, International Law: History, Legislation",na,na,3
"Economic Assistance, the World Bank, and Nonbinding Instruments [notes]","Wirth, David A. (Cited 443 times)",3689,"Studies in Transnational Legal Policy, Vol. 29, pp. 219-246",29 Stud. Transnat'l Legal Pol'y 219 (1997),"Labor, Aids, Health, Human Rights Law, Soft Law",na,na,3
