Title,Author(s),ID,Journal,BBCite,Topics,Cited (articles),Cited (cases),Accessed
The Luck of the Draw: Using Random Case Assignment to Investigate Attorney Ability [article],"Abrams, David S. (Cited 208 times); Yoon, Albert H. (Cited 323 times)",1733,"University of Chicago Law Review, Vol. 74, Issue 4 (Fall 2007), pp. 1145-1178",74 U. Chi. L. Rev. 1145 (2007),"Criminal Law, Legal Profession, Attorneys, Evidence, Criminal Procedure, Depositions, Discovery, Experts, Expert Witnesses and Scientific Evidence, Indigents, Insanity Defense",46,na,8
Poisoning the Next Apple - The America Invents Act and Individual Inventors [article],"Abrams, David S. (Cited 208 times); Wagner, R. Polk (Cited 1284 times)",1733,"Stanford Law Review, Vol. 65, Issue 3 (March 2013), pp. 517-564",65 Stan. L. Rev. 517 (March 2013),"Intellectual Property Law, Small Businesses, Economics",36,na,36
Do Judges Vary in Their Treatment of Race [article],"Abrams, David S. (Cited 208 times); Bertrand, Marianne (Cited 39 times); Mullainathan, Sendhil (Cited 32 times)",1733,"Journal of Legal Studies, Vol. 41, Issue 2 (June 2012), pp. 347-384",41 J. Legal Stud. 347 (2012),"Judges, Race, Criminal Law, Discrimination, Judicial Discretion, Racial Discrimination, Sentencing",31,na,69
The Imprisoner's Dilemma: A Cost-Benefit Approach to Incarceration [article],"Abrams, David S. (Cited 208 times)",1733,"Iowa Law Review, Vol. 98, Issue 3 (March 2013), pp. 905-970",98 Iowa L. Rev. 905 (2012-2013),"Cruel and Unusual Punishment, Prisoners, Punishment, Elder Law, Law Enforcement, Public Safety",28,na,50
Did Trips Spur Innovation - An Analysis of Patent Duration and Incentives to Innovate [article],"Abrams, David S. (Cited 208 times)",1733,"University of Pennsylvania Law Review, Vol. 157, Issue 6 (June 2009), pp. 1613-1648",157 U. Pa. L. Rev. 1613 (2008-2009),"Food and Drug Law, Intellectual Property Law, Capacity, Antitrust, Trade Regulation",25,na,28
A Market for Justice: A First Empirical Look at Third Party Litigation Funding [article],"Abrams, David S. (Cited 208 times); Chen, Daniel L. (Cited 59 times)",1733,"University of Pennsylvania Journal of Business Law, Vol. 15, Issue 4 (Summer 2013), pp. 1075-1110",15 U. Pa. J. Bus. L. 1075 (Summer 2013),"Third Parties, Banking, Dispute Resolution, Practice and Procedure, Regulation, Class Actions",21,na,42
Is Pleading Really a Bargain [article],"Abrams, David S. (Cited 208 times)",1733,"Journal of Empirical Legal Studies, Vol. 8, Special Issue (December 2011), pp. 200-221",8 J. Empirical Legal Stud. 200 (2011),"Criminal Law, Law Enforcement, Plea Bargaining",9,na,19
Putting the Trial Penalty on Trial [article],"Abrams, David S. (Cited 208 times)",1733,"Duquesne Law Review, Vol. 51, Issue 3 (Summer 2013), pp. 777-786",51 Duq. L. Rev. 777 (2013),"Criminal Law, Law Enforcement, Plea Bargaining, Sentencing",5,1,25
The Law and Economics of Stop-and-Frisk [article],"Abrams, David (Cited 208 times)",1733,"Loyola University Chicago Law Journal, Vol. 46, Issue 2 (Winter 2014), pp. 369-380",46 Loy. U. Chi. L.J. 369 (2014-2015),"Economics, Law and Economics, Stop and Frisk, Criminal Law, Criminals, Education Law, Juveniles, Students",4,na,31
What Stays in Vegas: The Road to Zero Privacy [article],"Abrams, David (Cited 208 times)",1733,"New England Law Review, Vol. 49, Issue 4 (Summer 2015), pp. 611-628",49 New Eng. L. Rev. 611 (2014-2015),"Communications Law, Privacy, Intellectual Property Law, Science and Technology, Consumer Protection Law, Information Privacy",1,na,13
Foreword [comments],"Abrams, David (Cited 208 times); Ruger, Ted (Cited 335 times); Wilkinson-Ryan, Tess (Cited 267 times)",1733,"Journal of Empirical Legal Studies, Vol. 11, Issue 4 (2014), pp. 601-601",11 J. Empirical Legal Stud. 601 (2014),"Legal Research, Libraries, Research, Business Organizations, Practice and Procedure, Securities Law",na,na,4
