Title,Author(s),ID,Journal,BBCite,Topics,Cited (articles),Cited (cases),Accessed
The Phenomenon of Workplace Bullying and the Need for Status-Blind Hostile Work Environment Protection [article],"Yamada, David C. (Cited 406 times)",5735.0,"Georgetown Law Journal, Vol. 88, Issue 3 (March 2000), pp. 475-536",88 Geo. L.J. 475 (1999-2000),"Bullying, Employment Discrimination, Environmental Law, Work Environment, Education Law, Harassment, Schools, Students",104,4,113
The Employment Law Rights of Student Interns [article],"Yamada, David C. (Cited 406 times)",5735.0,"Connecticut Law Review, Vol. 35, Issue 1 (Fall 2002), pp. 215-258",35 Conn. L. Rev. 215 (2002-2003),"Employment, Labor, Education Law",53,na,50
Beyond Economic Realities: The Case for Amending Federal Employment Discrimination Laws to Include Independent Contractors [article],"Maltby, Lewis L. (Cited 288 times); Yamada, David C. (Cited 406 times)",5735.0,"Boston College Law Review , Vol. 38, Issue 2 (March 1997 ), pp. 239-274",38 B.C. L. Rev. 239 (1996-1997),"Contractors, Discrimination, Employment, Employment Discrimination, Independent Contractors, Labor, Employment Practice",52,2,26
Human Dignity and American Employment Law [article],"Yamada, David C. (Cited 406 times)",5735.0,"University of Richmond Law Review, Vol. 43, Issue 2 (January 2009), pp. 523-570",43 U. Rich. L. Rev. 523 (January 2009),"Employment, Law and Society, Bullying, Employment Practice, Labor",32,na,31
"Same Old, Same Old: Law School Rankings and the Affirmation of Hierarchy [comments]","Yamada, David (Cited 406 times)",5735.0,"Suffolk University Law Review, Vol. 31, Issue 1 (1997), pp. 249-262",31 Suffolk U. L. Rev. 249 (1997-1998),"Economics, Schools, Legal Education",31,na,6
Workplace Bullying and American Employment Law: A Ten-Year Progress Report and Assessment [article],"Yamada, David C. (Cited 406 times)",5735.0,"Comparative Labor Law & Policy Journal, Vol. 32, Issue 1 (Fall 2010), pp. 251-284",32 Comp. Lab. L. & Pol'y J. 251 (2010-2011),"Bullying, Employment",29,na,72
Crafting a Legislative Response to Workplace Bullying [article],"Yamada, David C. (Cited 406 times)",5735.0,"Employee Rights and Employment Policy Journal, Vol. 8, Issue 2 (2004), pp. 475-522",8 Emp. Rts. & Emp. Pol'y J. 475 (2004),"Bullying, Employment, Employment Practice, Labor",27,na,54
Voices from the Cubicle: Protecting and Encouraging Private Employee Speech in the Post-Industrial Workplace [article],"Yamada, David C. (Cited 406 times)",5735.0,"Berkeley Journal of Employment and Labor Law, Vol. 19, Issue 1 (1998), pp. 1-59",19 Berkeley J. Emp. & Lab. L. 1 (1998),"Constitutional Rights, Freedom of Speech, Arts, Age, Confidentiality",26,2,8
Therapeutic Jurisprudence and the Practice of Legal Scholarship [article],"Yamada, David C. (Cited 406 times)",5735.0,"University of Memphis Law Review, Vol. 41, Issue 1 (Fall 2010), pp. 121-156",41 U. Mem. L. Rev. 121 (2010-2011),"Jurisprudence, Legal Analysis and Writing, Schools, Communications Law",13,na,9
The Regulation of Pre-Employment Honesty Testing: Striking a Temporary Balance between Self-Regulation and Prohibition [article],"Yamada, David C. (Cited 406 times)",5735.0,"Wayne Law Review, Vol. 39, Issue 4 (Summer 1993), pp. 1549-1588",39 Wayne L. Rev. 1549 (1992-1993),"Employment, Regulation, Labor",11,na,4
"Dignity, Rankism, and Hierarchy in the Workplace: Creating a Dignitarian Agenda for American Employment Law [comments]","Yamada, David C. (Cited 406 times)",5735.0,"Berkeley Journal of Employment and Labor Law, Vol. 28, Issue 1 (2007), pp. 305-326",28 Berkeley J. Emp. & Lab. L. 305 (2007),"Employment, Law and Society, Bullying, Harassment",9,na,30
Emerging American Legal Responses to Workplace Bullying [article],"Yamada, David C. (Cited 406 times)",5735.0,"Temple Political & Civil Rights Law Review, Vol. 22, Issue 2 (Spring 2013), pp. 329-354",22 Temp. Pol. & Civ. Rts. L. Rev. 329 (2012-2013),"Bullying, Employment Practice, Labor, Employment",7,na,31
Employment Law as if People Mattered: Bringing Therapeutic Jurisprudence into the Workplace [comments],"Yamada, David C. (Cited 406 times)",5735.0,"Florida Coastal Law Review, Vol. 11, Issue 2 (Winter 2010), pp. 257-288",11 Fla. Coastal L. Rev. 257 (2009-2010),"Employment, Employment Practice, Jurisprudence, Labor, Law and Society",7,na,10
"Global Perspectives on Workplace Harassment Law: Proceedings of the 2004 Annual Meeting, Association of American Law Schools Section on Labor Relations and Employment Law [comments]","Schultz, Vicki (Cited 1435 times); Friedman, Gabrielle S. (Cited 46 times); Saguy, Abigail C. (Cited 17 times); Hernandez, Tanya K. (Cited 495 times); Yamada, David (Cited 406 times)",5735.0,"Employee Rights and Employment Policy Journal, Vol. 8, Issue 1 (2004), pp. 151-[iv]",8 Emp. Rts. & Emp. Pol'y J. 151 (2004),"Employment, Harassment, Labor, Labor-Management Relations, Schools, Bullying, Education Law, Environmental Law, Students, Discrimination",7,na,9
Workplace Bullying and the Law: U.S. Legislative Developments 2013-15 [article],"Yamada, David C. (Cited 406 times)",5735.0,"Employee Rights and Employment Policy Journal, Vol. 19, Issue 1 (2015), pp. 49-60",19 Emp. Rts. & Emp. Pol'y J. 49 (2015),"Bullying, Employment Practice, Labor",2,na,23
Introduction [comments],"Yamada, David C. (Cited 406 times)",5735.0,"Suffolk University Law Review , Vol. 41, Issue 4 (2008), pp. 711-714",41 Suffolk U. L. Rev. 711 (2007-2008),"Employment Practice, Labor, Employees, Labor",2,na,na
Foreword - Introduction to the Symposium on Workplace Bullying [comments],"Yamada, David C. (Cited 406 times)",5735.0,"Employee Rights and Employment Policy Journal, Vol. 8, Issue 2 (2004), pp. 235-238",8 Emp. Rts. & Emp. Pol'y J. 235 (2004),"Bullying, Remedies, Dispute Resolution, Organizations, Employment Practice",1,na,1
Mass Exploitation Hidden in Plain Sight: Unpaid Internships and the Culture of Uncompensated Work [article],"Yamada, David C. (Cited 406 times)",5735.0,"Idaho Law Review, Vol. 52, Issue 3 (2016), pp. 937-952",52 Idaho L. Rev. 937 (2016),"Labor, Comparative Law, Industry, Employment Practice",na,na,106
The Legal and Social Movement against Unpaid Internships [article],"Yamada, David C. (Cited 406 times)",5735.0,"Northeastern University Law Journal, Vol. 8, Issue 2 (Summer 2016), pp. 357-396",8 N.E. U. L.J. 357 (2016),"Labor, Employment Practice, Employees, Labor",na,na,64
Intellectual Activism and the Practice of Public Interest Law [article],"Yamada, David C. (Cited 406 times)",5735.0,"Southern California Review of Law and Social Justice, Vol. 25, Issue 2 (Spring 2016), pp. 127-[ii]",25 S. Cal. Rev. L. & Soc. Just. 127 (2015-2016),"Interest, Legal Analysis and Writing, Legal Education, Legal Research, Public Interest Law, Bullying, War",na,na,10
