Title,Author(s),ID,Journal,BBCite,Topics,Cited (articles),Cited (cases),Accessed
The Role of Intellect and Fortuity in Legal Change: An Incident from the Law of Slavery [article],"Langum, David J. (Cited 28 times)",9952,"American Journal of Legal History, Vol. 28, Issue 1 (January 1984), pp. 1-16",28 Am. J. Legal Hist. 1 (1984),"Slavery, Statutory Interpretation, Northern Ireland",5,na,6
Private Limitations of Petroleum Production--California's Approach to Conservation [notes],"Langum, David J. (Cited 28 times)",9952,"Stanford Law Review , Vol. 17, Issue 5 (May 1965), pp. 942-964",17 Stan. L. Rev. 942 (1964-1965),"Conservation, Petroleum, Oil, Gas, and Mineral Law",5,na,na
A Comment on the Lost Lawyer's Legal Education [article],"Langum, David J. (Cited 28 times)",9952,"Cumberland Law Review, Vol. 26, Issue 3 (1996), pp. 843-850",26 Cumb. L. Rev. 843 (1995-1996),"Education Law, Legal Education, Legal Profession, Schools",3,na,5
"Hidden Rules of Evidence: Michigan's Uncodified Evidence Law, The [article]","Langum, David J. (Cited 28 times)",9952,"Michigan Bar Journal, Vol. 61, Issue 5 (May 1982), pp. 320-329",61 Mich. B.J. 320 (1982),"Evidence, Presumptions",3,na,na
Uncodified Federal Evidence Rules Applicable to Civil Trials [article],"Langum, David J. (Cited 28 times)",9952,"Willamette Law Review, Vol. 19, Issue 3 (1983), pp. 513-532",19 Willamette L. Rev. 513 (1983),"Evidence, Trials, Courts, Federal Courts",2,1,na
A Personal Voyage of Exploration through the Literature of Abortion History [comments],"Langum, David J. (Cited 28 times)",9952,"Law & Social Inquiry, Vol. 25, Issue 2 (Spring 2000), pp. 693-704",25 Law & Soc. Inquiry 693 (2000),"Abortion, History, Literature, Medical Jurisprudence, Criminal Law, Jurisprudence, Sexuality and the Law, Fourteenth Amendment, Statutes",2,na,11
Autonomy and the Cumberland Law Review [comments],"Langum, David J. (Cited 28 times)",9952,"Cumberland Law Review, Vol. 19, Issue 3 (1989), pp. 539-552",19 Cumb. L. Rev. 539 (1988-1989),"Legal Education, Legal Analysis and Writing, Schools",2,na,3
Memoir of a Book: Writing the History of Cumberland [comments],"Langum, David J. (Cited 28 times)",9952,"Cumberland Law Review, Vol. 27, Issue 3 (1997), pp. 1203-1216",27 Cumb. L. Rev. 1203 (1996-1997),"History, Legal Education, Schools",2,na,1
The Legal System of Spanish California: A Preliminary Study [article],"Langum, David J. (Cited 28 times)",9952,"Western Legal History: The Journal of the Ninth Judicial Circuit Historical Society, Vol. 7, Issue 1 (Winter/Spring 1994), pp. 1-24",7 W. Legal Hist. 1 (1994),"History, Legal History, Research, Indian Law, Native Americans, Punishment",1,na,6
Expatriate Domestic Relations Law in Mexican California [article],"Langum, David J. (Cited 28 times)",9952,"Pepperdine Law Review, Vol. 7, Issue 1 (1979-1980), pp. 41-66",7 Pepp. L. Rev. 41 (1979-1980),"Domestic Relations, History, Legal History, Natural Law",1,na,1
Nebraska Vitiates Time-Sale Doctrine Retroactively [legislation],"Langum, David J. (Cited 28 times)",9952,"Stanford Law Review, Vol. 16, Issue 4 (July 1964), pp. 1113-1120",16 Stan. L. Rev. 1113 (1963-1964),"Consumer Credit, Credit, Legislation, Revolution, Installment Sales, Sales, Statutes, Usury, Truth in Lending",1,na,na
Ray Rushton Distinguished Lecturer Series [comments],"Langum, David J. (Cited 28 times)",9952,"Cumberland Law Review, Vol. 27, Issue 3 (1997), pp. 899-902",27 Cumb. L. Rev. 899 (1996-1997),"Law and Society, Biography, History, Legal History",1,na,na
James P. de Mattos: Feisty Frontier Lawyer and Politician Extraordinaire [article],"Langum, David J. Sr. (Cited 28 times)",9952,"Western Legal History: The Journal of the Ninth Judicial Circuit Historical Society, Vol. 16, Issue 1 (Winter/Spring 2003), pp. 1-26",16 W. Legal Hist. 1 (2003),"Biography, Mandates, Citizenship",na,na,1
The Treaty of Guadalupe Hidalgo: A Legacy of Conflict [reviews],"Langum, David J. (Cited 28 times)",9952,"Western Legal History: The Journal of the Ninth Judicial Circuit Historical Society, Vol. 4, Issue 1 (Winter/Spring 1991), pp. 113-115",4 W. Legal Hist. 113 (1991),"Dispute Resolution, Indian Law, Obligations, States",na,na,na
