Title,Author(s),ID,Journal,BBCite,Topics,Cited (articles),Cited (cases),Accessed
Theories of the Corporation [article],"Millon, David (Cited 1418 times)",1166,"Duke Law Journal , Vol. 1990, Issue 2 (April 1990), pp. 201-262",1990 Duke L.J. 201 (April 1990),"Copyright, Corporations, Liability, Stocks, Consumer Protection Law, Interest, Contracts",282,na,75
"Communitarians, Contractarians, and the Crisis in Corporate Law [article]","Millon, David (Cited 1418 times)",1166,"Washington and Lee Law Review, Vol. 50, Issue 4 (Fall 1993), pp. 1373-1394",50 Wash. & Lee L. Rev. 1373 (1993),"Corporations, Jurisprudence, Employment, Employment-At-Will, Law Reform, Corporate Officers",124,na,30
Redefining Corporate Law [article],"Millon, David (Cited 1418 times)",1166,"Indiana Law Review, Vol. 24, Issue 2 (1991), pp. 223-278",24 Ind. L. Rev. 223 (1990-1991),"Corporate Officers, Corporations, Jurisprudence, Employment, Employment-At-Will, Law Reform",109,1,10
The Sherman Act and the Balance of Power [article],"Millon, David (Cited 1418 times)",1166,"Southern California Law Review, Vol. 61, Issue 5 (July 1988), pp. 1219-1292",61 S. Cal. L. Rev. 1219 (1987-1988),"Trade Regulation, Price Fixing, Antitrust, Politics",100,na,20
Recalling Why Corporate Officers Are Fiduciaries [article],"Johnson, Lyman P. Q. (Cited 1477 times); Millon, David (Cited 1418 times)",1166,"William and Mary Law Review, Vol. 46, Issue 5 (March 2005), pp. 1597-1654",46 Wm. & Mary L. Rev. 1597 (2004-2005),"Corporate Officers, Corporations, Fiduciaries, Model Business Corporation Act, Safe Harbor, Federalism",94,5,28
Missing the Point about State Takeover Statutes [comments],"Johnson, Lyman (Cited 1477 times); Millon, David (Cited 1418 times)",1166,"Michigan Law Review, Vol. 87, Issue 4 (February 1989), pp. 846-857",87 Mich. L. Rev. 846 (1988-1989),"Statutes, Corporations, Legislation, Race",80,na,5
New Game Plan or Business As Usual - a Critique of the Team Production Model of Corporate Law [article],"Millon, David (Cited 1418 times)",1166,"Virginia Law Review, Vol. 86, Issue 5 (August 2000), pp. 1001-1044",86 Va. L. Rev. 1001 (2000),"Corporations, Agency, Economics",77,na,46
Misreading the Williams Act [article],"Johnson, Lyman (Cited 1477 times); Millon, David (Cited 1418 times)",1166,"Michigan Law Review, Vol. 87, Issue 7 (June 1989), pp. 1862-1923",87 Mich. L. Rev. 1862 (1988-1989),"Corporations, Trade Regulation, Costs, Statutes, Defenses",68,2,12
Corporate Law after Hobby Lobby [article],"Johnson, Lyman (Cited 1477 times); Millon, David (Cited 1418 times)",1166,"Business Lawyer, Vol. 70, Issue 1 (Winter 2014-2015), pp. 1-32",70 Bus. Law. 1 (2014-2015),"Religion, Business Organizations, First Amendment, Jurisprudence",53,na,71
The Case beyond Time [article],"Johnson, Lyman (Cited 1477 times); Millon, David (Cited 1418 times)",1166,"Business Lawyer (ABA), Vol. 45, Issue 4 (1989-1990), pp. 2105-2126",45 Bus. Law. 2105 (1989-1990),"Theft, Corporations, Takeovers",47,na,3
