Title,Author(s),ID,Journal,BBCite,Topics,Cited (articles),Cited (cases),Accessed
Nor Rhyme Nor Reason: Simplifying Defined Contribution Plans [article],"Pratt, David A. (Cited 112 times)",5568,"Buffalo Law Review, Vol. 49, Issue 2 (Spring 2001), pp. 741-872",49 Buff. L. Rev. 741 (2001),na,14,na,4
Too Many Physicians: Physician-Assisted Suicide after Glucksberg/Quill [article],"Pratt, David A. (Cited 112 times)",5568,"Albany Law Journal of Science & Technology, Vol. 9, Issue 2 (1999), pp. 161-234",9 Alb. L.J. Sci. & Tech. 161 (1998-1999),"Assisted Suicide, Medical Jurisprudence, Physicians, Suicide",12,na,12
Retirement in a Defined Contribution Era: Making the Money Last [article],"Pratt, David (Cited 112 times)",5568,"John Marshall Law Review, Vol. 41, Issue 4 (Summer 2008), pp. 1091-1146",41 J. Marshall L. Rev. 1091 (2007-2008),"Money, Retirement, Banking, Labor",12,na,3
"The Past, Present and Future of Health Care Reform: Can It Happen [article]","Pratt, David (Cited 112 times)",5568,"John Marshall Law Review, Vol. 40, Issue 3 (Spring 2007), pp. 767-810",40 J. Marshall L. Rev. 767 (2006-2007),"Health, Health Law, Medical Jurisprudence",12,na,2
"The Past, Present and Future of Retiree Health Benefits [article]","Pratt, David A. (Cited 112 times)",5568,"Journal of Health & Biomedical Law, Vol. 3, Issue 1 (2007), pp. 103-142",3 J. Health & Biomedical L. 103 (2007),"Health, Accounting, Government, Health Insurance, Insurance Law, Retirement",8,na,2
Pension Simplification [article],"Pratt, David A. (Cited 112 times)",5568,"John Marshall Law Review, Vol. 35, Issue 4 (Summer 2002), pp. 565-632",35 J. Marshall L. Rev. 565 (2001-2002),"Retirement, Statute of Limitations",8,na,1
Health Care Reform: Will It Succeed [article],"Pratt, David (Cited 112 times)",5568,"Albany Law Journal of Science & Technology, Vol. 21, Issue 3 (2011), pp. 493-590",21 Alb. L.J. Sci. & Tech. 493 (2011),"Health, Health Law, States",7,na,10
Very Serious Business: Sense and Nonsense under Section 403(b) of the Internal Revenue Code of 1986 [article],"Pratt, David A. (Cited 112 times)",5568,"Albany Law Review, Vol. 59, Issue 4 (1996), pp. 1197-1292",59 Alb. L. Rev. 1197 (1995-1996),"Taxation-Federal Income, Annuities, Retirement",7,na,6
The New Medicare Part D Prescription Drug Benefit [article],"Pratt, David (Cited 112 times)",5568,"Albany Law Journal of Science & Technology , Vol. 17, Issue 2 (2007), pp. 337-406",17 Alb. L.J. Sci. & Tech. 337 (2007),"Elder Law, Food and Drug Law, Medicare, Prescription, Health Law, Social Welfare Law",6,na,3
Standards of Practice for Pension Practitioners [article],"Pratt, David (Cited 112 times)",5568,"John Marshall Law Review, Vol. 39, Issue 3 (Spring 2006), pp. 667-720",39 J. Marshall L. Rev. 667 (2005-2006),"Legal Profession, Notice, War",4,na,na
To (B) or Not to (B): Is That the Question - Twenty-First Century Schizoid Plans under Section 403(B) of the Internal Revenue Code [article],"Pratt, David (Cited 112 times)",5568,"Albany Law Review , Vol. 73, Issue 1 (2009), pp. 139-242",73 Alb. L. Rev. 139 (2009-2010),"Retirement, Taxation-Federal Income, Annuities",3,1,32
Healthy and Wealthy and Dead: Health Savings Accounts [article],"Pratt, David (Cited 112 times)",5568,"St. Thomas Law Review, Vol. 19, Issue 1 (Fall 2006), pp. 7-38",19 St. Thomas L. Rev. 7 (2006-2007),"Banking, Health, Administration Law, Regulation",3,na,3
When the Rubber Meets the Road: A Discussion regarding a Trustee's Exercise of Discretion [article],"Taback, Ivan (Cited 2 times); Pratt, David (Cited 112 times)",5568,"Real Property, Trust and Estate Law Journal, Vol. 49, Issue 3 (Winter 2015), pp. 491-548",49 Real Prop. Tr. & Est. L.J. 491 (2014-2015),"Judicial Review, Professional Ethics, Trusts, Choice of Law, Gift Taxation",2,1,22
Alternate Valuation: The Silver Lining to the Cloud over the Market [article],"Pratt, David (Cited 112 times); Hauser, Lisa Z. (Cited 2 times)",5568,"Florida Bar Journal, Vol. 73, Issue 3 (March 1999), pp. 16-23",73 Fla. B.J. 16 (1999),"Taxation-Federal, Regulation",2,1,1
Telehealth and Telemedicine in 2015 [article],"Pratt, David (Cited 112 times)",5568,"Albany Law Journal of Science & Technology, Vol. 25, Issue 3 (2015), pp. 495-546",25 Alb. L.J. Sci. & Tech. 495 (2015),"Communications Law, Telemedicine, Health Law, Insurance Law, Legislation, Science and Technology",2,na,63
Health Care Policy: What Lessons Have We Learned from the AIDS Pandemic [comments],"Pratt, David (Cited 112 times)",5568,"Albany Law Review, Vol. 61, Issue 3 (1998), pp. 671-678",61 Alb. L. Rev. 671 (1997-1998),"Aids, Health, Health Law, Legislation, Education Law, Students",2,na,na
Estate Planning during Turbulent Times [article],"Pratt, David (Cited 112 times); Jacobowitz, Robert (Cited 2 times); Goldberger, Scott L. (Cited 5 times)",5568,"Florida Bar Journal , Vol. 82, Issue 11 (December 2008), pp. 37-42",82 Fla. B.J. 37 (2008),"Real Estate, Death, Equity, Mortgages",2,na,na
Estate Planning: The Clock is Ticking - Use It or Lose It before 2013 [notes],"Pratt, David (Cited 112 times); Roshkind, Lindsay A. (Cited 3 times); Goldberger, Scott L. (Cited 5 times)",5568,"Florida Bar Journal, Vol. 86, Issue 2 (February 2012), pp. 31-35",86 Fla. B.J. 31 (2012),"Insurance Law, Life Insurance, Estate Planning",2,na,na
