Title,Author(s),ID,Journal,BBCite,Topics,Cited (articles),Cited (cases),Accessed
The Uneasy Case for Corporate Reorganizations [article],"Baird, Douglas G. (Cited 3511 times)",1431,"Journal of Legal Studies, Vol. 15, Issue 1 (January 1986), pp. 127-148",15 J. Legal Stud. 127 (1986),"Bankruptcy Law, Corporations, Liability",243,1,48
The End of Bankruptcy [article],"Baird, Douglas G. (Cited 3511 times); Rasmussen, Robert K. (Cited 1711 times)",1431,"Stanford Law Review, Vol. 55, Issue 3 (December 2002), pp. 751-790",55 Stan. L. Rev. 751 (2002-2003),"Bankruptcy Law, Bankruptcy Law, Corporations, Sales",221,4,55
Corporate Reorganizations and the Treatment of Diverse Ownership Interests: A Comment on Adequate Protection of Secured Creditors in Bankruptcy [article],"Baird, Douglas G. (Cited 3511 times); Jackson, Thomas H. (Cited 2330 times)",1431,"University of Chicago Law Review, Vol. 51, Issue 1 (Winter 1984), pp. 97-130",51 U. Chi. L. Rev. 97 (1984),"Bankruptcy Law, Creditors, Ownership, Compensation, Interest",210,9,73
Fraudulent Conveyance Law and Its Proper Domain [article],"Baird, Douglas G. (Cited 3511 times); Jackson, Thomas H. (Cited 2330 times)",1431,"Vanderbilt Law Review, Vol. 38, Issue 4 (May 1985), pp. 829-856",38 Vand. L. Rev. 829 (1985),"Conveyances, Fraudulent Conveyances, Good Faith, Bankruptcy Law, Bankruptcy Law, Corporations",198,43,45
"Loss Distribution, Forum Shopping, and Bankruptcy: A Reply to Warren [article]","Baird, Douglas G. (Cited 3511 times)",1431,"University of Chicago Law Review, Vol. 54, Issue 3 (Summer 1987), pp. 815-834",54 U. Chi. L. Rev. 815 (Summer 1987),Bankruptcy Law,167,3,49
Bankruptcy's Uncontested Axioms [article],"Baird, Douglas G. (Cited 3511 times)",1431,"Yale Law Journal , Vol. 108, Issue 3 (December 1998), pp. 573-600",108 Yale L.J. 573 (1998-1999),"Bankruptcy Law, Bankruptcy Law, Business Organizations",158,1,46
Chapter 11 at Twilight [comments],"Baird, Douglas G. (Cited 3511 times); Rasmussen, Robert K. (Cited 1711 times)",1431,"Stanford Law Review, Vol. 56, Issue 3 (December 2003), pp. 673-700",56 Stan. L. Rev. 673 (2003-2004),"Bankruptcy Law, Employment, Evidence",143,1,29
"Rules, Standards, and the Battle of the Forms: A Reassessment of 2-207 [article]","Baird, Douglas G. (Cited 3511 times); Weisberg, Robert (Cited 1413 times)",1431,"Virginia Law Review, Vol. 68, Issue 6 (September 1982), pp. 1217-1262",68 Va. L. Rev. 1217 (1982),"Contracts, Commercial Law",141,7,71
Possession and Ownership: An Examination of the Scope of Article 9 [article],"Baird, Douglas G. (Cited 3511 times); Jackson, Thomas H. (Cited 2330 times)",1431,"Stanford Law Review, Vol. 35, Issue 2 (January 1983), pp. 175-212",35 Stan. L. Rev. 175 (1982-1983),"Ownership, Possession, Commercial Law, Remedies, Security Interests",133,11,22
Private Debt and the Missing Lever of Corporate Governance [comments],"Baird, Douglas G. (Cited 3511 times); Rasmussen, Robert K. (Cited 1711 times)",1431,"University of Pennsylvania Law Review, Vol. 154, Issue 5 (May 2006), pp. 1209-1252",154 U. Pa. L. Rev. 1209 (2005-2006),"Debts, Civil Procedure, Procedure, Real Estate, Secured Transactions, Abandonment, Comparative Law, Intellectual Property Law, States, Trademarks",131,1,72
Common Law Intellectual Property and the Legacy of International News Service v. Associated Press [article],"Baird, Douglas G. (Cited 3511 times)",1431,"University of Chicago Law Review, Vol. 50, Issue 2 (Spring 1983), pp. 411-429",50 U. Chi. L. Rev. 411 (1983),"Common Law, Intellectual Property Law, Copyright, Age, Internet",123,2,35
Bargaining after the Fall and the Contours of the Absolute Priority Rule [article],"Baird, Douglas G. (Cited 3511 times); Jackson, Thomas H. (Cited 2330 times)",1431,"University of Chicago Law Review, Vol. 55, Issue 3 (Summer 1988), pp. 738-789",55 U. Chi. L. Rev. 738 (1988),"Bankruptcy Law, Commercial Law, Bankruptcy Law, Costs",107,10,10
Kovacs and Toxic Wastes in Bankruptcy [comments],"Baird, Douglas G. (Cited 3511 times); Jackson, Thomas H. (Cited 2330 times)",1431,"Stanford Law Review, Vol. 36, Issue 5 (May 1984), pp. 1199-1214",36 Stan. L. Rev. 1199 (May 1984),"Bankruptcy Law, Bankruptcy Law, Environmental Protection",73,4,1
"Information, Uncertainty, and the Transfer of Property [article]","Baird, Douglas (Cited 3511 times); Jackson, Thomas (Cited 72 times)",1431,"Journal of Legal Studies, Vol. 13, Issue 2 (June 1984), pp. 299-320",13 J. Legal Stud. 299 (1984),"Ownership, Jurisprudence",72,1,22
Notice Filing and the Problem of Ostensible Ownership [article],"Baird, Douglas G. (Cited 3511 times)",1431,"Journal of Legal Studies, Vol. 12, Issue 1 (January 1983), pp. 53-68",12 J. Legal Stud. 53 (1983),"Notice, Ownership, Courts, Bankruptcy Law, Commercial Code, Security Interests, Uniform Commercial Code",70,3,6
Other People's Money [article],"Baird, Douglas G. (Cited 3511 times); Henderson, M. Todd (Cited 491 times)",1431,"Stanford Law Review , Vol. 60, Issue 5 (March 2008), pp. 1309-1344",60 Stan. L. Rev. 1309 (March 2008),"Corporations, Money, Economics",68,2,50
"Control Rights, Priority Rights, and the Conceptual Foundations of Corporate Reorganizations [article]","Baird, Douglas G. (Cited 3511 times); Rasmussen, Robert K. (Cited 1711 times)",1431,"Virginia Law Review, Vol. 87, Issue 5 (September 2001), pp. 921-960",87 Va. L. Rev. 921 (2001),"Corporations, Bankruptcy Law, Commercial Law, Bankruptcy Law, Costs",67,na,78
No Exit: Withdrawal Rights and the Law of Corporate Reorganizations [article],"Baird, Douglas G. (Cited 3511 times); Casey, Anthony J. (Cited 300 times)",1431,"Columbia Law Review, Vol. 113, Issue 1 (January 2013), pp. 1-52",113 Colum. L. Rev. 1 (2013),"Antitrust, Broadcasting, Sports, Alcoholic Beverages, Spectator Injuries, Violence, Baseball",66,2,25
"Absolute Priority, Valuation Uncertainty, and the Reorganization Bargain [article]","Baird, Douglas G. (Cited 3511 times); Bernstein, Donald S. (Cited 66 times)",1431,"Yale Law Journal, Vol. 115, Issue 8 (June 2006), pp. 1930-1971",115 Yale L.J. 1930 (2005-2006),"Bankruptcy Law, Bankruptcy Law, Costs, Settlements",63,3,57
The Boilerplate Puzzle [comments],"Baird, Douglas G. (Cited 3511 times)",1431,"Michigan Law Review, Vol. 104, Issue 5 (March 2006), pp. 933-952",104 Mich. L. Rev. 933 (2005-2006),"Regulation, Consent, Consumer Protection Law, Contracts, Psychiatrists and Psychologists, Commercial Law",62,na,36
Revisiting Auctions in Chapter 11 [comments],"Baird, Douglas G. (Cited 3511 times)",1431,"Journal of Law & Economics, Vol. 36, Issue 1 - Part 2 (April 1993), pp. 633-654",36 J.L. & Econ. 633 (1993),"Bankruptcy Law, Bankruptcy Law, Corporations, Debts",60,na,8
The New Face of Chapter 11 [article],"Baird, Douglas G. (Cited 3511 times)",1431,"American Bankruptcy Institute Law Review, Vol. 12, Issue 1 (Spring 2004), pp. 69-100",12 Am. Bankr. Inst. L. Rev. 69 (2004),"International Law: History, Securities Law, Bankruptcy Law, Fraud, Secured Transactions, Discovery, Obligations",58,2,38
A World without Bankruptcy [article],"Baird, Douglas G. (Cited 3511 times)",1431,"Law and Contemporary Problems, Vol. 50, Issue 2 (Spring 1987), pp. 173-194",50 Law & Contemp. Probs. 173 (1987),"Bankruptcy Law, Bankruptcy Law",57,2,11
A Simple Noncooperative Bargaining Model of Corporate Reorganizations [article],"Baird, Douglas G. (Cited 3511 times); Picker, Randal C. (Cited 628 times)",1431,"Journal of Legal Studies, Vol. 20, Issue 2 (June 1991), pp. 311-350",20 J. Legal Stud. 311 (1991),"Bankruptcy Law, Economics, Bankruptcy Law, Commercial Law, Revolution",56,1,12
Antibankruptcy [article],"Baird, Douglas G. (Cited 3511 times); Rasmussen, Robert K. (Cited 1711 times)",1431,"Yale Law Journal , Vol. 119, Issue 4 (January 2010), pp. 648-699",119 Yale L. J. 648 (2009-2010),"Banking, Bankruptcy Law, Bankruptcy Law, Bonds, Corporations",54,na,62
Standby Letters of Credit in Bankruptcy [article],"Baird, Douglas G. (Cited 3511 times)",1431,"University of Chicago Law Review, Vol. 49, Issue 1 (Winter 1982), pp. 130-154",49 U. Chi. L. Rev. 130 (Winter 1982),"Bankruptcy Law, Credit, Letters of Credit, Debts",51,11,9
Serial Entrepreneurs and Small Business Bankruptcies [article],"Baird, Douglas G. (Cited 3511 times); Morrison, Edward R. (Cited 385 times)",1431,"Columbia Law Review, Vol. 105, Issue 8 (December 2005), pp. 2310-2368",105 Colum. L. Rev. 2310 (2005),"Bankruptcy Law, Corporations, Bankruptcy Law",47,na,28
Human Cannonballs and the First Amendment: Zacchini v. Scripps-Howard Broadcasting Co. [notes],"Baird, Douglas G. (Cited 3511 times)",1431,"Stanford Law Review, Vol. 30, Issue 6 (July 1978), pp. 1185-1210",30 Stan. L. Rev. 1185 (1977-1978),"Evidence, Defendants, Immunity, Misconduct, Witnesses",45,7,4
Security Interests Reconsidered [article],"Baird, Douglas G. (Cited 3511 times)",1431,"Virginia Law Review, Vol. 80, Issue 8 (November 1994), pp. 2249-2272",80 Va. L. Rev. 2249 (1994),"Security Interests, Commercial Law, Notice, Personal Property, Securities Law, Deposits",40,na,7
Boyd's Legacy and Blackstone's Ghost [article],"Baird, Douglas G. (Cited 3511 times); Rasmussen, Robert K. (Cited 1711 times)",1431,"Supreme Court Review, Vol. 1999, pp. 393-434",1999 Sup. Ct. Rev. 393 (1999),"Bankruptcy Law, Equity, Settlements",35,na,7
Four (Or Five) Easy Lessons from Enron [article],"Baird, Douglas G. (Cited 3511 times); Rasmussen, Robert K. (Cited 1711 times)",1431,"Vanderbilt Law Review, Vol. 55, Issue 6 (November 2002), pp. 1787-1812",55 Vand. L. Rev. 1787 (2002),"Bankruptcy Law, Bankruptcy Law, Financial Services, Fraud, Insurance Law",34,na,12
Bankruptcy Procedure and State-Created Rights: The Lessons of Gibbons and Marathon [article],"Baird, Douglas G. (Cited 3511 times)",1431,"Supreme Court Review, Vol. 1982, pp. 25-48",1982 Sup. Ct. Rev. 25 (1982),"Bankruptcy Law, Procedure",32,2,4
Self-Interest and Cooperation in Long-Term Contracts [comments],"Baird, Douglas G. (Cited 3511 times)",1431,"Journal of Legal Studies, Vol. 19, Issue 2 - Part 2 (June 1990), pp. 583-596",19 J. Legal Stud. 583 (1990),"Contracts, Interest",30,na,12
Bankruptcy Decision Making [article],"Baird, Douglas G. (Cited 3511 times); Morrison, Edward R. (Cited 385 times)",1431,"Journal of Law, Economics, and Organization , Vol. 17, Issue 2 (October 2001), pp. 356-372",Full Text Not Currently Available in HeinOnline,"Bankruptcy Law, Bankruptcy Law",na,na,na
The Future of Law and Economics: Looking Forward [article],"Baird, Douglas G. (Cited 3511 times)",1431,"University of Chicago Law Review, Vol. 64, Issue 4 (Fall 1997), pp. 1129-1166",64 U. Chi. L. Rev. 1129 (Fall 1997),"Economics, Law and Economics",25,na,11
The Reorganization of Closely Held Firms and the Opt Out Problem [article],"Baird, Douglas G. (Cited 3511 times)",1431,"Washington University Law Quarterly, Vol. 72, Issue 3 (Fall 1994), pp. 913-930",72 Wash. U. L. Q. 913 (1994),"Bankruptcy Law, Bankruptcy Law, Loans",23,na,3
Importance of Priority [article],"Baird, Douglas G. (Cited 3511 times)",1431,"Cornell Law Review, Vol. 82, Issue 6 , pp. 1420-1435",82 Cornell L. Rev. 1420 (1996-1997),"Economics, Law and Economics, Security Interests, Debts",22,na,16
"Fraudulent Conveyances, Agency Costs, and Leveraged Buyouts [article]","Baird, Douglas G. (Cited 3511 times)",1431,"Journal of Legal Studies, Vol. 20, Issue 1 (January 1991), pp. 1-24",20 J. Legal Stud. 1 (1991),"Agency, Conveyances, Costs, Fraudulent Conveyances, Commercial Law, Corporations, Creditors",21,na,7
The Prime Directive [article],"Baird, Douglas G. (Cited 3511 times); Rasmussen, Robert K. (Cited 1711 times)",1431,"University of Cincinnati Law Review, Vol. 75, Issue 3 (Spring 2007), pp. 921-942",75 U. Cin. L. Rev. 921 (2006-2007),"Banking, Corporations, Investment, Corporations: Directors",20,2,14
