Title,Author(s),ID,Journal,BBCite,Topics,Cited (articles),Cited (cases),Accessed
Too Many Things to Do: How to Deal with the Dysfunctions of Multiple-Goal Agencies [article],"Biber, Eric (Cited 533 times)",289,"Harvard Environmental Law Review, Vol. 33, Issue 1 (2009), pp. 1-64",33 Harv. Envtl. L. Rev. 1 (2009),"Administration Law, Environmental Law, Judges, Judicial Review, Natural Resources Law, Agency, Courts",89,2,53
The Importance of Resource Allocation in Administrative Law [article],"Biber, Eric (Cited 533 times)",289,"Administrative Law Review, Vol. 60, Issue 1 (Winter 2008), pp. 1-64",60 Admin. L. Rev. 1 (2008),"Administration Law, Judges, Agency, Judicial Review, Administration Law, Courts",62,na,27
Two Sides of the Same Coin: Judicial Review of Administrative Agency Action and Inaction [article],"Biber, Eric (Cited 533 times)",289,"Virginia Environmental Law Journal, Vol. 26, Issue 3 (2008), pp. 461-504",26 Va. Envtl. L.J. 461 (2008),"Agency, Judicial Review, Administration Law, Judges, International Trade",43,1,21
"The Price of Admission: Causes, Effects, and Patterns of Conditions Imposed on States Entering the Union [article]","Biber, Eric (Cited 533 times)",289,"American Journal of Legal History, Vol. 46, Issue 2 (April 2004), pp. 119-208",46 Am. J. Legal Hist. 119 (2004),"American Indians, Constitutional Law, Education Law, Polygamy, Public Officials, Racial Discrimination, Religion, Right to Jury Trial, Slavery, State Government",42,na,17
The Permit Power Revisited: The Theory and Practice of Regulatory Permits in the Administrative State [article],"Biber, Eric (Cited 533 times); Ruhl, J. B. (Cited 2821 times)",289,"Duke Law Journal, Vol. 64, Issue 2 (November 2014), pp. 133-234",64 Duke L.J. 133 (2014-2015),"Permits, Administration Law, Constitutional Law",35,na,39
Climate Change and Backlash [article],"Biber, Eric (Cited 533 times)",289,"New York University Environmental Law Journal, Vol. 17, Issue 3 (2009), pp. 1295-1366",17 N.Y.U. Envtl. L.J. 1295 (2008-2009),"Climate Change, Environmental Law, Environmental Law, Environmental Policy, Legislation, International Law: History",30,na,19
Officious Intermeddlers or Citizen Experts - Petitions and Public Production of Information in Environmental Law [article],"Biber, Eric (Cited 533 times); Brosi, Berry (Cited 29 times)",289,"UCLA Law Review, Vol. 58, Issue 2 (December 2010), pp. 321-400",58 UCLA L. Rev. 321 (2010-2011),"Administration Law, Environmental Law, Natural Resources Law, European Parliament, Ombudsmen, Food and Drug Law, Intellectual Property Law, Securities Law",29,na,14
The Problem of Environmental Monitoring [article],"Biber, Eric (Cited 533 times)",289,"University of Colorado Law Review, Vol. 83, Issue 1 (2011), pp. 1-82",83 U. Colo. L. Rev. 1 (2011),"Environmental Law, Natural Resources Law, Science and Technology, Science and Technology",23,na,34
Presidents Lack the Authority to Abolish or Diminish National Monuments [article],"Squillace, Mark (Cited 189 times); Biber, Eric (Cited 533 times); Bryner, Nicholas S. (Cited 28 times); Hecht, Sean B. (Cited 70 times)",289,"Virginia Law Review Online, Vol. 103, pp. 55-71",103 Va. L. Rev. Online 55 (2017),"Continental Shelf, Constitutional Law, Legislation, Natural Resources Law, President/Executive Department, Leasing, Oil, Gas, and Mineral Law, Oil, Gas, and Mineral Law",22,na,23
Which Science - Whose Science - How Scientific Disciplines Can Shape Environmental Law [article],"Biber, Eric (Cited 533 times)",289,"University of Chicago Law Review, Vol. 79, Issue 2 (Spring 2012), pp. 471-552",79 U. Chi. L. Rev. 471 (Spring 2012),"Environmental Law, Science and Technology",22,1,27
