Title,Author(s),ID,Journal,BBCite,Topics,Cited (articles),Cited (cases),Accessed
"The New Forensics: Criminal Justice, False Certainty, and the Second Generation of Scientific Evidence [article]","Murphy, Erin (Cited 492 times)",7348,"California Law Review, Vol. 95, Issue 3 (June 2007), pp. 721-798",95 Calif. L. Rev. 721 (June 2007),"Criminal Law, Evidence, Scientific Evidence, Jurisprudence",101,18,136
Relative Doubt: Familial Searches of DNA Databases [article],"Murphy, Erin (Cited 492 times)",7348,"Michigan Law Review, Vol. 109, Issue 3 (December 2010), pp. 291-348",109 Mich. L. Rev. 291 (2010-2011),"Databases, Science and Technology, Identification, Law Enforcement, Law Enforcement, Criminal Law",70,6,76
Paradigms of Restraint [article],"Murphy, Erin (Cited 492 times)",7348,"Duke Law Journal , Vol. 57, Issue 5 (March 2008), pp. 1321-1412",57 Duke L.J. 1321 (2007-2008),"Constitutional Law, Science and Technology, Sex Offenders, Law Enforcement, Criminal Law, Fourth Amendment, Technology",67,2,11
The Case against the Case for Third-Party Doctrine: A Response to Epstein and Kerr [article],"Murphy, Erin (Cited 492 times)",7348,"Berkeley Technology Law Journal, Vol. 24, Issue 3 (Summer 2009), pp. 1239-1254",24 Berkeley Tech. L.J. 1239 (2009),"Criminal Law, Fourth Amendment, Evidence",39,1,23
"The Politics of Privacy in the Criminal Justice System: Information Disclosure, the Fourth Amendment, and Statutory Law Enforcement Exemptions [article]","Murphy, Erin (Cited 492 times)",7348,"Michigan Law Review, Vol. 111, Issue 4 (February 2013), pp. 485-546",111 Mich. L. Rev. 485 (2012-2013),"Fourth Amendment, Law Enforcement, Politics, Privacy, Military Law, National Security",37,na,74
"Databases, Doctrine & Constitutional Criminal Procedure [article]","Murphy, Erin (Cited 492 times)",7348,"Fordham Urban Law Journal, Vol. 37, Issue 3 (May 2010), pp. 803-836",37 Fordham Urb. L.J. 803 (2010),"Criminal Procedure, Databases, Procedure, Intellectual Property Law",33,1,26
"Manufacturing Crime: Process, Pretext, and Criminal Justice [article]","Murphy, Erin (Cited 492 times)",7348,"Georgetown Law Journal, Vol. 97, Issue 6 (August 2009), pp. 1435-1508",97 Geo. L.J. 1435 (2008-2009),"Bail, Criminal Law, Criminal Procedure, Crimes, Law and Society",33,4,22
"License, Registration, Cheek Swab: DNA Testing and the Divided Court [comments]","Murphy, Erin (Cited 492 times)",7348,"Harvard Law Review, Vol. 127, Issue 1 (November 2013), pp. 161-197",127 Harv. L. Rev. 161 (2013-2014),"Science and Technology, Criminal Law, Fourth Amendment, Medical Jurisprudence",29,4,15
The Art in the Science of DNA: A Layperson's Guide to the Subjectivity Inherent in Forensic DNA Typing [article],"Murphy, Erin (Cited 492 times)",7348,"Emory Law Journal, Vol. 58, Issue 2 (2008), pp. 489-512",58 Emory L.J. 489 (2008),"Evidence, Identification, Medical Jurisprudence, Science and Technology, Courts, Criminal Law",26,14,35
The Mismatch between Twenty-First-Century Forensic Evidence and Our Antiquated Criminal Justice System [article],"Murphy, Erin (Cited 492 times)",7348,"Southern California Law Review, Vol. 87, Issue 3 (March 2014), pp. 633-672",87 S. Cal. L. Rev. 633 (2013-2014),"Evidence, Science and Technology, Communications Law, Criminal Law, Fourth Amendment, Law Enforcement",16,1,35
