Title,Author(s),ID,Journal,BBCite,Topics,Cited (articles),Cited (cases),Accessed
Translating Yonnondio by Precedent and Evidence: The Mashpee Indian Case [article],"Torres, Gerald (Cited 738 times); Milun, Kathryn (Cited 106 times)",5946,"Duke Law Journal , Vol. 1990, Issue 4 (September 1990), pp. 625-659",1990 Duke L.J. 625 (September 1990),"Evidence, Indian Law, Martial Law, History, Legal History, Sovereignty",105,na,33
Introduction: Understanding Environmental Racism [comments],"Torres, Gerald (Cited 738 times)",5946,"University of Colorado Law Review, Vol. 63, Issue 4 (1992), pp. 839-848",63 U. Colo. L. Rev. 839 (1992),"Civil Rights, Environmental Law, Racial Profiling, Ethics, Legal Ethics, Race",74,na,97
Changing the Wind: Notes toward a Demosprudence of Law and Social Movements [article],"Guinier, Lani (Cited 2010 times); Torres, Gerald (Cited 738 times)",5946,"Yale Law Journal, Vol. 123, Issue 8 (June 2014), pp. 2740-2805",123 Yale L. J. 2740 (2013-2014),"Law and Society, Constitutional Law",58,na,61
"Local Knowledge, Local Color: Critical Legal Studies and the Law of Race Relations [article]","Torres, Gerald (Cited 738 times)",5946,"San Diego Law Review, Vol. 25, Issue 5 (October 1988), pp. 1043-1070",25 San Diego L. Rev. 1043 (1988),"Race, Affirmative Action, Civil Rights, Legal Education, Legal Research, Research",57,na,18
Critical Race Theory: The Decline of the Universalist Ideal and the Hope of Plural Justice--Some Observations and Questions of an Emerging Phenomenon [article],"Torres, Gerald (Cited 738 times)",5946,"Minnesota Law Review, Vol. 75, Issue 3 (February 1991), pp. 993-1008",75 Minn. L. Rev. 993 (1990-1991),"Civil Rights, Race, States, Judges",47,na,19
Environmental Burdens and Democratic Justice [article],"Torres, Gerald (Cited 738 times)",5946,"Fordham Urban Law Journal, Vol. 21, Issue 3 (Spring 1994), pp. 431-460",21 Fordham Urb. L.J. 431 (1993-1994),"Civil Rights, Environmental Law, Liberty, Environmental Justice",46,na,15
"Taking and Giving: Police Power, Public Value, and Private Right [article]","Torres, Gerald (Cited 738 times)",5946,"Environmental Law, Vol. 26, Issue 1 (Spring 1996), pp. 1-26",26 Envtl. L. 1 (1996),"Jurisprudence, Police, Police Power, Land Use, Zoning, Economics",31,na,14
Environmental Justice: The Legal Meaning of a Social Movement [article],"Torres, Gerald (Cited 738 times)",5946,"Journal of Law and Commerce, Vol. 15, Issue 2 (1996), pp. 597-622",15 J.L. & Com. 597 (1996),"Civil Rights, Environmental Justice, Corporations, Equal Rights, Environmental Law",31,na,7
Wetlands and Agriculture: Environmental Regulation and the Limits of Private Property [article],"Torres, Gerald (Cited 738 times)",5946,"University of Kansas Law Review, Vol. 34, Issue 3 (Spring 1986), pp. 539-576",34 U. Kan. L. Rev. 539 (1985-1986),"Agriculture Law, Regulation, Wetlands, Engineers, Pollution, Water Law, Water Pollution, Admiralty Law, Environmental Law",28,na,11
Grutter v. Bollinger/Gratz v. Bollinger: View from a Limestone Ledge [article],"Torres, Gerald (Cited 738 times)",5946,"Columbia Law Review, Vol. 103, Issue 6 (October 2003), pp. 1596-1609",103 Colum. L. Rev. 1596 (2003),"Affirmative Action, Education Law, Race",28,na,11
Translation and Stories [article],"Torres, Gerald (Cited 738 times)",5946,"Harvard Law Review, Vol. 115, Issue 5 (March 2002), pp. 1362-1395",115 Harv. L. Rev. 1362 (March 2002),"Sociology, Evidence, Judges, Ethics",21,na,11
Who Owns the Sky [comments],"Torres, Gerald (Cited 738 times)",5946,"Pace Environmental Law Review, Vol. 19, Issue 2 (2002), pp. 515-574",19 Pace Envtl. L. Rev. 515 (2001-2002),"Economics, Pollution, Common Law, Remedies",20,na,5
Legal Change [comments],"Torres, Gerald (Cited 738 times)",5946,"Cleveland State Law Review, Vol. 55, Issue 2 (2007), pp. 135-146",55 Clev. St. L. Rev. 135 (2007),"Jurisprudence, Law and Society, Courts, Comparative Law",20,na,47
Merit and Diversity after Hopwood [article],"Forbath, William E. (Cited 966 times); Torres, Gerald (Cited 738 times)",5946,"Stanford Law & Policy Review, Vol. 10, Issue 2 (Spring 1999), pp. 185-190",10 Stan. L. & Pol'y Rev. 185 (1998-1999),"Affirmative Action, Education Law, Race, Civil Rights",19,na,25
The Public Trust: The Law's DNA [article],"Torres, Gerald (Cited 738 times); Bellinger, Nathan (Cited 19 times)",5946,"Wake Forest Journal of Law & Policy, Vol. 4, Issue 2 (May 2014), pp. 281-318",4 Wake Forest J. L. & Pol'y 281 (2014),"Constitutional Law, Standing, Takings, Takings Clause, Water Law",18,1,14
Social Movements and the Ethical Construction of Law [article],"Torres, Gerald (Cited 738 times)",5946,"Capital University Law Review, Vol. 37, Issue 3 (Spring 2009), pp. 535-582",37 Cap. U. L. Rev. 535 (2008-2009),"Law and Society, Politics, Comparative Law, Constitutional Law, Jurisprudence, Legal Analysis and Writing",15,na,17
Theoretical Problems with the Environmental Regulation of Agriculture [article],"Torres, Gerald (Cited 738 times)",5946,"Virginia Journal of Natural Resources Law, Vol. 8, Issue 2 (Spring 1989), pp. 191-214",8 Va. J. Nat. Resources L. 191 (1988-1989),"Agriculture Law, Regulation, Conservation, States, Environmental Law",14,na,4
The New Property [reviews],"Torres, Gerald (Cited 738 times)",5946,"Stanford Law Review, Vol. 56, Issue 3 (December 2003), pp. 741-754",56 Stan. L. Rev. 741 (2003-2004),"Economics, Organizations, Economic Development, Social Welfare Law, Women",14,na,7
Helping Farmers and Saving Farmland [article],"Torres, Gerald (Cited 738 times)",5946,"Oklahoma Law Review, Vol. 37, Issue 1 (Spring 1984), pp. 31-66",37 Okla. L. Rev. 31 (1984),"Farmland, Right to Farm, Agriculture Law, Agriculture Law, Environmental Law, Land Use, States, Zoning",13,na,1
Who Owns the Sky [comments],"Torres, Gerald (Cited 738 times)",5946,"Pace Environmental Law Review, Vol. 18, Issue 2 (Summer 2001), pp. 227-286",18 Pace Envtl. L. Rev. 227 (2000-2001),"Economics, Pollution, Common Law, Remedies",13,2,2
Teaching and Writing: Curriculum Reform as an Exercise in Critical Education [article],"Torres, Gerald (Cited 738 times)",5946,"Nova Law Journal, Vol. 10, Issue 2 (Winter 1986), pp. 867-878",10 Nova L.J. 867 (1985-1986),"Curriculum, Education Law, Legal Analysis and Writing, Legal Education, Legal Writing",10,na,2
Liquid Assets: Groundwater in Texas [article],"Torres, Gerald (Cited 738 times)",5946,"Yale Law Journal Forum, Vol. 122, pp. 143-166",122 Yale L.J. F. 143 (2012-2013),"Groundwater, Regulation, Water Law",9,na,8
