Title,Author(s),ID,Journal,BBCite,Topics,Cited (articles),Cited (cases),Accessed
Secrecy and Separated Powers: Executive Privilege Revisited [article],"Kitrosser, Heidi (Cited 423 times)",43,"Iowa Law Review, Vol. 92, Issue 2 (February 2007), pp. 489-544",92 Iowa L. Rev. 489 (2006-2007),"Constitutional Law, Presidency, Politics, President/Executive Department",53,na,45
The Accountable Executive [notes],"Kitrosser, Heidi (Cited 423 times)",43,"Minnesota Law Review, Vol. 93, Issue 5 (May 2009), pp. 1741-1777",93 Minn. L. Rev. 1741 (2008-2009),"President/Executive Department, Attorneys, European Union",42,na,14
Congressional Oversight of National Security Activities: Improving Information Funnels [notes],"Kitrosser, Heidi (Cited 423 times)",43,"Cardozo Law Review, Vol. 29, Issue 3 (January 2008), pp. 1049-1090",29 Cardozo L. Rev. 1049 (2007-2008),"National Security, Politics, Communications Law, Privacy, Wiretapping, Electronic Surveillance, Fourth Amendment, Military Law",35,na,20
Classified Information Leaks and Free Speech [article],"Kitrosser, Heidi (Cited 423 times)",43,"University of Illinois Law Review, Vol. 2008, Issue 3 (2008), pp. 881-932",2008 U. Ill. L. Rev. 881 (2008),"President/Executive Department, Communications Law, Espionage, Freedom of the Press, Crimes, Liability",34,na,28
Secrecy in the Immigration Courts and Beyond: Considering the Right to Know in the Administrative State [article],"Kitrosser, Heidi (Cited 423 times)",43,"Harvard Civil Rights-Civil Liberties Law Review, Vol. 39, Issue 1 (Winter 2004), pp. 95-168",39 Harv. C.R.-C.L. L. Rev. 95 (2004),"Courts, Immigration Law, Right to Know, Communications Law, Deportation, First Amendment, Interest",33,na,14
Meaningful Consent: Toward a New Generation of Statutory Rape Laws [article],"Kitrosser, Heidi (Cited 423 times)",43,"Virginia Journal of Social Policy & the Law, Vol. 4, Issue 2 (Winter 1997), pp. 287-338",4 Va. J. Soc. Pol'y & L. 287 (1996-1997),"Consent, Criminal Law, Gender, Minors, Rape, Rape, Statutory Construction, Statutory Rape, History, Sexuality and the Law",28,na,39
Macro-Transparency as Structural Directive: A Look at the NSA Surveillance Controversy [article],"Kitrosser, Heidi (Cited 423 times)",43,"Minnesota Law Review, Vol. 91, Issue 5 (May 2007), pp. 1163-1208",91 Minn. L. Rev. 1163 (2006-2007),"Law Enforcement, National Security, Politics, Agency, Jurisprudence",28,na,35
From Marshall Mcluhan to Anthropomorphic Cows: Communicative Manner and the First Amendment [article],"Kitrosser, Heidi (Cited 423 times)",43,"Northwestern University Law Review, Vol. 96, Issue 4 (Summer 2002), pp. 1339-1412",96 Nw. U. L. Rev. 1339 (2001-2002),"Communications Law, Constitutional Law, First Amendment, Discrimination, Judges, States",24,na,12
Accountability and Administrative Structure [article],"Kitrosser, Heidi (Cited 423 times)",43,"Willamette Law Review, Vol. 45, Issue 3 (Spring 2009), pp. 607-658",45 Willamette L. Rev. 607 (2008-2009),"Administration Law, President/Executive Department, Climate Change, Environmental Law",19,na,17
Containing Unprotected Speech [article],"Kitrosser, Heidi (Cited 423 times)",43,"Florida Law Review, Vol. 57, Issue 4 (September 2005), pp. 843-906",57 Fla. L. Rev. 843 (2005),"Constitutional Law, Public Safety",17,na,24
