Title,Author(s),ID,Journal,BBCite,Topics,Cited (articles),Cited (cases),Accessed
Due Process Methodology and Prisoner Exchange Treaties: Confronting an Uncertain Calculus [article],"Stotzky, Irwin P. (Cited 104 times); Swan, Alan C. (Cited 81 times)",2679,"Minnesota Law Review, Vol. 62, Issue 5 (June 1978), pp. 733-812",62 Minn. L. Rev. 733 (1977-1978),"Due Process, Treaties, Consent, Constitutional Law, Habeas Corpus",22,na,3
Law - The Last of the Universal Disciplines [article],"Mentschikoff, Soia (Cited 503 times); Stotzky, Irwin P. (Cited 104 times)",2679,"University of Cincinnati Law Review, Vol. 54, Issue 3 (1986), pp. 695-746",54 U. Cin. L. Rev. 695 (1985-1986),"Common Law, Death, Education Law, Legal Education",16,na,7
The Fragile Bloom of Democracy [article],"Stotzky, Irwin P. (Cited 104 times)",2679,"University of Miami Law Review, Vol. 44, Issue 1 (September 1989), pp. 105-128",44 U. Miami L. Rev. 105 (1989-1990),"Criminal Law, Democracy, Human Rights Law, Crimes, Statutes, Trials",15,na,4
Suppressing the Beast [article],"Stotzky, Irwin P. (Cited 104 times)",2679,"University of Miami Law Review, Vol. 53, Issue 4 (July 1999), pp. 883-906",53 U. Miami L. Rev. 883 (July 1999),"Comparative Law, Democracy, Law and Society, Politics, Labor, Self-Determination",11,na,6
The Truth about Haiti [article],"Stotzky, Irwin P. (Cited 104 times)",2679,"Connecticut Journal of International Law, Vol. 26, Issue 1 (Fall 2010), pp. 1-50",26 Conn. J. Int'l L. 1 (2010-2011),"Human Rights Law, Politics, Disaster Law, Human Rights Law, Democracy, Law and Society",5,na,15
Capital Punishment [article],"Stotzky, Irwin P. (Cited 104 times)",2679,"University of Miami Law Review, Vol. 31, Issue 4 (September 1977), pp. 841-868",31 U. Miami L. Rev. 841 (1976-1977),"Capital Punishment, Punishment, Death, Murder",5,na,14
The Constitutional Scholar [comments],"Stotzky, Irwin P. (Cited 104 times)",2679,"University of Miami Law Review, Vol. 58, Issue 1 (October 2003), pp. 1-8",58 U. Miami L. Rev. 1 (2003-2004),"Biography, Jurisprudence, Civil Rights, Legal Profession, Judges",5,na,6
The Indispensable State [article],"Stotzky, Irwin P. (Cited 104 times)",2679,"University of Miami Law Review, Vol. 58, Issue 1 (October 2003), pp. 201-264",58 U. Miami L. Rev. 201 (2003-2004),"First Amendment, Regulation, Communications Law, Freedom of Speech, Jurisprudence, Democracy",5,na,1
Foreword: The First Amendment and the Press [comments],"Stotzky, Irwin P. (Cited 104 times)",2679,"University of Miami Law Review, Vol. 34, Issue 4 (July 1980), pp. 785-792",34 U. Miami L. Rev. 785 (1979-1980),"First Amendment, Liberty",5,na,1
Establishing Deliberative Democracy: Moving from Misery to Poverty with Dignity [article],"Stotzky, Irwin P. (Cited 104 times)",2679,"University of Arkansas at Little Rock Law Review, Vol. 21, Issue 1 (Fall 1998), pp. 79-106",21 UALR L. Rev. 79 (1998-1999),"Democracy, Comparative Law, Human Rights Law, Human Rights Law, Politics",4,na,1
Constitutionalism and Democracy: An Essay in Honor of Stanley N. Katz [article],"Stotzky, Irwin P. (Cited 104 times)",2679,"University of Miami Law Review, Vol. 63, Issue 1 (October 2008), pp. 83-136",63 U. Miami L. Rev. 83 (2008-2009),"Democracy, Politics, Human Rights Law, Revolution",3,na,4
The Role of a Free Press and Freedom of Expression in Developing Democracies [article],"Stotzky, Irwin P. (Cited 104 times)",2679,"University of Miami Law Review, Vol. 56, Issue 2 (January 2002), pp. 255-306",56 U. Miami L. Rev. 255 (2001-2002),"Democracy, Constitutional Law, Politics",2,1,9
On the Promise and Perils of Democracy in Haiti [comments],"Stotzky, Irwin P. (Cited 104 times)",2679,"University of Miami Inter-American Law Review, Vol. 29, Issues 1+2 (Fall-Winter 1997-1998), pp. 1-24",29 U. Miami Inter-Am. L. Rev. 1 (1997-1998),"Democracy, Comparative Law, Courts, Economic Development",2,na,1
Soia's Way: Toiling in the Common Law Tradition [article],"Stotzky, Irwin P. (Cited 104 times)",2679,"University of Miami Law Review, Vol. 38, Issue 3 (May 1984), pp. 373-380",38 U. Miami L. Rev. 373 (1983-1984),"Common Law, Death, Jurisprudence",2,na,1
Democracy and Sustainability in Reconstructing Haiti: A Possibility or a Mirage [article],"Stotzky, Irwin P. (Cited 104 times); Concannon, Brian Jr. (Cited 31 times)",2679,"University of Miami Inter-American Law Review, Vol. 44, Issue 1 (Fall 2012), pp. 1-38",44 U. Miami Inter-Am. L. Rev. 1 (2012-2013),"Democracy, Law and Society, Politics, Human Rights Law",1,na,14
John T. Gaubatz [comments],"Stotzky, Irwin P. (Cited 104 times)",2679,"University of Miami Law Review, Vol. 62, Issue 3 (April 2008), pp. 705-706",62 U. Miami L. Rev. 705 (2007-2008),"Estate Planning, Professional Ethics, Biography, Estates, Taxation-Federal, Education Law, Legal Education",1,na,1
Haitian Refugees and the Rule of Law [article],"Stotzky, Irwin P. (Cited 104 times)",2679,"Guild Practitioner, Vol. 61, Issue 3 (Summer 2004), pp. 151-192",61 Guild Prac. 151 (2004),"Refugees, Rule of Law, Human Rights Law, International Law: History, States",na,na,5
Carlos S. Nino: Public Intellectual [article],"Stotzky, Irwin P. (Cited 104 times)",2679,"University of Miami Inter-American Law Review, Vol. 25, Issue 3 (Spring-Summer 1993-1994), pp. 349-350",25 U. Miami Inter-Am. L. Rev. 349 (1993-1994),"Biography, Judges, Jurisprudence, Death, Employees, Labor",na,na,1
Ira J. Kurzban: Lawyer as Hero [comments],"Stotzky, Irwin P. (Cited 104 times)",2679,"University of Miami Inter-American Law Review, Vol. 23, Issue 3 (Spring-Summer 1992), pp. 637-642",23 U. Miami Inter-Am. L. Rev. 637 (1991-1992),"Immigration Law, Refugees, States, Human Rights Law, International Law: History",na,na,1
James Mofsky's Moral Vision [comments],"Stotzky, Irwin P. (Cited 104 times)",2679,"University of Miami Law Review, Vol. 45, Issue 1 (September 1990), pp. 11-14",45 U. Miami L. Rev. 11 (1990-1991),"Commercial Code, Secured Transactions, Uniform Commercial Code, Confrontation Clause, Crimes, Sex, Sex Crimes, States, Victims, Witnesses",na,na,na
On Remembering Judge Eugene P. Spellman: A Different Vision [comments],"Kurzban, Ira J. (Cited 84 times); Stotzky, Irwin P. (Cited 104 times)",2679,"St. Thomas Law Review, Vol. 4, pp. 5-16",4 St. Thomas L. Rev. 5 (1992),"Aliens, Constitutional Rights, History, Discrimination, Immigration Law, Race",na,na,na
