Title,Author(s),ID,Journal,BBCite,Topics,Cited (articles),Cited (cases),Accessed
"Rules, Principles, and the Competition to Enforce the Securities Law [article]","Park, James J. (Cited 250 times)",3273,"California Law Review, Vol. 100, Issue 1 (February 2012), pp. 115-182",100 Calif. L. Rev. 115 (2012),"Securities Law, Securities Law, Banking, Evidence, Industry, Administration Law, Agency",53,na,26
The Constitutional Tort Action as Individual Remedy [article],"Park, James J. (Cited 250 times)",3273,"Harvard Civil Rights-Civil Liberties Law Review, Vol. 38, Issue 2 (Summer 2003), pp. 393-454",38 Harv. C.R.-C.L. L. Rev. 393 (2003),"Constitutional Law, Torts, Fees, Government",41,5,18
The Competing Paradigms of Securities Regulation [article],"Park, James J. (Cited 250 times)",3273,"Duke Law Journal , Vol. 57, Issue 3 (December 2007), pp. 625-690",57 Duke L.J. 625 (2007-2008),"Regulation, Securities Law, Accounting, Prescription",34,na,17
Shareholder Compensation as Dividend [article],"Park, James J. (Cited 250 times)",3273,"Michigan Law Review , Vol. 108, Issue 3 (December 2009), pp. 323-372",108 Mich. L. Rev. 323 (2009-2010),"Compensation, Securities Law, Dividends",22,1,34
Rule 10B-5 and the Rise of the Unjust Enrichment Principle [article],"Park, James J. (Cited 250 times)",3273,"Duke Law Journal, Vol. 60, Issue 2 (November 2010), pp. 345-410",60 Duke L.J. 345 (2010-2011),"Securities Law, Insider Trading, States",19,na,13
Assessing the Materiality of Financial Misstatements [article],"Park, James J. (Cited 250 times)",3273,"Journal of Corporation Law, Vol. 34, Issue 2 (Winter 2009), pp. 513-566",34 J. Corp. L. 513 (2008-2009),"Accounting, Securities Law, Securities Law",17,na,17
Redefining Eighth Amendment Punishments: A New Standard for Determining the Liability of Prison Officials for Failing to Protect Inmates from Serious Harm [article],"Park, James J. (Cited 250 times)",3273,"QLR, Vol. 20, Issue 3 (Winter 2001), pp. 407-466",20 QLR 407 (2000-2001),"Eighth Amendment, Law Enforcement, Liability, Constitutional Law",16,na,8
Reassessing the Distinction between Corporate and Securities Law [article],"Park, James J. (Cited 250 times)",3273,"UCLA Law Review, Vol. 64, Issue 1 (January 2017), pp. 116-183",64 UCLA L. Rev. 116 (January 2017),"Business Organizations, Securities Law, Securities Law, Dividends, Legal History, Ownership, Separation, Comparative Law, Corporations, European Union",9,na,42
Securities Class Actions and Bankrupt Companies [article],"Park, James J. (Cited 250 times)",3273,"Michigan Law Review, Vol. 111, Issue 4 (February 2013), pp. 547-590",111 Mich. L. Rev. 547 (2012-2013),"Class Actions, Securities Law, Business Organizations, Practice and Procedure, Settlements",9,na,17
Two Trends in the Regulation of the Public Corporation [article],"Park, James J. (Cited 250 times)",3273,"Ohio State Entrepreneurial Business Law Journal, Vol. 7, Issue 2 (2012), pp. 429-450",7 Ohio St. Entrepren. Bus. L.J. 429 (2012),"Regulation, Securities Law, Industry",6,na,3
