Title,Author(s),ID,Journal,BBCite,Topics,Cited (articles),Cited (cases),Accessed
The Scope of Congress's Thirteenth Amendment Enforcement Power after City of Boerne v. Flores [article],"McAward, Jennifer Mason (Cited 97 times)",2685,"Washington University Law Review, Vol. 88, Issue 1 (2010), pp. 77-148",88 Wash. U. L. Rev. 77 (2010-2011),"Congress, Constitutional Law, Thirteenth Amendment",32,3,7
Defining the Badges and Incidents of Slavery [article],"McAward, Jennifer Mason (Cited 97 times)",2685,"University of Pennsylvania Journal of Constitutional Law, Vol. 14, Issue 3 (February 2012), pp. 561-630",14 U. Pa. J. Const. L. 561 (2011-2012),"Legal History, Slavery, Civil Rights, Thirteenth Amendment, Constitutional Law, Race, Remedies",31,4,26
McCulloch and the Thirteenth Amendment [article],"McAward, Jennifer Mason (Cited 97 times)",2685,"Columbia Law Review, Vol. 112, Issue 7 (November 2012), pp. 1769-1810",112 Colum. L. Rev. 1769 (2012),"Thirteenth Amendment, Civil Rights, Slavery",10,na,19
Congressional Authority to Interpret the Thirteenth Amendment: A Response to Professor Tsesis [article],"McAward, Jennifer Mason (Cited 97 times)",2685,"Maryland Law Review, Vol. 71, Issue 1 (2011), pp. 60-82",71 Md. L. Rev. 60 (2011-2012),na,9,na,4
Congress's Power to Block Enforcement of Federal Court Orders [article],"McAward, Jennifer Mason (Cited 97 times)",2685,"Iowa Law Review, Vol. 93, Issue 4 (May 2008), pp. 1319-1368",93 Iowa L. Rev. 1319 (2007-2008),"Congress, Court Orders, Politics, Human Rights Law, Constitutional Law, Economics",9,na,4
Foreword: The Confident Court [comments],"McAward, Jennifer Mason (Cited 97 times)",2685,"Loyola of Los Angeles Law Review, Vol. 47, Issue 2 (2014), pp. 379-392",47 Loy. L. A. L. Rev. 379 (2013-2014),"Death, Constitutional Law, Education Law, Equal Protection, Fourteenth Amendment, Race, Good Faith",3,na,na
"The Thirteenth Amendment, Human Trafficking, and Hate Crimes [article]","McAward, Jennifer Mason (Cited 97 times)",2685,"Seattle University Law Review, Vol. 39, Issue 3 (Spring 2016), pp. 829-846",39 Seattle U. L. Rev. 829 (2015-2016),"Crimes, Hate Crimes, Human Trafficking, Thirteenth Amendment, Law Enforcement, Law Enforcement, Victims, International Law: History, Sex, Sex Trafficking",1,na,8
"The Civil Rights Legacy of Fr. Theodore M. Hesburgh, C.S.C. [comments]","McAward, Jennifer Mason (Cited 97 times)",2685,"Notre Dame Journal of Law, Ethics & Public Policy, Vol. 28, Issue 1 (2014), pp. 309-322",28 Notre Dame J.L. Ethics & Pub. Pol'y 309 (2014),"Biography, Civil Rights, Politics, Social Welfare Law, History",1,na,8
Good Faith and Narrow Tailoring in Fisher v. University of Texas [article],"McAward, Jennifer Mason (Cited 97 times)",2685,"Loyola Law Review, Vol. 59, Issue 1 (Spring 2013), pp. 77-88",59 Loy. L. Rev. 77 (2013),"Good Faith, Discrimination, Race, Affirmative Action, Education Law",1,na,4
Can an Appeals Court Raise a Statute of Limitations Defense Sua Sponte in a Habeas Corpus Case (10-9995) [article],"McAward, Jennifer Mason (Cited 97 times)",2685,"Preview of United States Supreme Court Cases, Vol. 39, Issue 5 (February 20, 2012), pp. 205-207","39 Preview U.S. Sup. Ct. Cas. 205 (February 20, 2012)","Appeals, Habeas Corpus, Statute of Limitations, Arbitration, Civil Procedure, Defenses, Practice and Procedure, Procedure",na,na,4
What Factual Showing Must a Pretrial Detainee Make to Prevail on an Excessive Force Claim: Kingsley v. Hendrickson (14-6368) [notes],"McAward, Jennifer Mason (Cited 97 times)",2685,"Preview of United States Supreme Court Cases, Vol. 42, Issue 7 (April 20, 2015), pp. 272-[iv]",42 Preview U.S. Sup. Ct. Cas. 272 (2014-2015),"Jurisprudence, Law Enforcement, Fourteenth Amendment",na,na,1
Can Federal Inmates Use Bivens to Sue Officials at a Private Prison That Contracts with the Federal Government (10-1104) [article],"McAward, Jennifer Mason (Cited 97 times)",2685,"Preview of United States Supreme Court Cases, Vol. 39, Issue 2 (October 31, 2011), pp. 66-69","39 Preview U.S. Sup. Ct. Cas. 66 (October 31, 2011)","Contracts, Government, Separation, Separation of Powers, Constitutional Law",na,na,1
