Title,Author(s),ID,Journal,BBCite,Topics,Cited (articles),Cited (cases),Accessed
Nuisance Revisited after Buchanan and Bormann [article],"Richardson, Jesse J. Jr. (Cited 85 times); Feitshans, Theodore A. (Cited 65 times)",6029,"Drake Journal of Agricultural Law, Vol. 5, Issue 1 (Spring 2000), pp. 121-136",5 Drake J. Agric. L. 121 (2000),"Nuisance, Damages, Plaintiffs",16,1,6
"Downzoning, Fairness and Farmland Protection [article]","Richardson, Jesse J. Jr. (Cited 85 times)",6029,"Journal of Land Use & Environmental Law, Vol. 19, Issue 1 (Fall 2003), pp. 59-90",19 J. Land Use & Envtl. L. 59 (2003-2004),"Agriculture Law, Farmland, Land Use Planning, Judicial Review",11,na,7
How a Sole Practitioner Uses the Electronic Office to Maintain a Competitive Law Practice [article],"Richardson, Jesse J. Jr. (Cited 85 times)",6029,"Drake Journal of Agricultural Law, Vol. 3, Issue 1 (Spring 1998), pp. 141-160",3 Drake J. Agric. L. 141 (1998),"Research, Statutes, Legal Education, Schools",11,na,1
Local Regulation of Hydraulic Fracturing [article],"Richardson, Jesse J. Jr. (Cited 85 times)",6029,"West Virginia Law Review, Vol. 117, Issue 2 (Winter 2014), pp. 593-624",117 W. Va. L. Rev. 593 (2014-2015),"Land Use, Regulation, Constitutional Law, Oil, Gas, and Mineral Law",9,na,6
Beyond Fairness: What Really Works to Protect Farmland [article],"Richardson, Jesse J. Jr. (Cited 85 times)",6029,"Drake Journal of Agricultural Law, Vol. 12, Issue 1 (Spring 2007), pp. 163-184",12 Drake J. Agric. L. 163 (2007),Farmland,8,na,8
Maximizing Tax Benefits to Farmers and Ranchers Implementing Conservation and Environmental Plans [article],"Richardson, Jesse J. Jr. (Cited 85 times)",6029,"Oklahoma Law Review, Vol. 48, Issue 2 (Summer 1995), pp. 449-470",48 Okla. L. Rev. 449 (1995),"Conservation, Taxation-Federal Income, Easements",8,na,2
Ten Limitations to Ponder on Farm Limited Liability Companies [article],"Richardson, Jesse J. Jr. (Cited 85 times); Geyer, L. Leon (Cited 49 times)",6029,"Drake Journal of Agricultural Law, Vol. 4, Issue 1 (Spring 1999), pp. 197-214",4 Drake J. Agric. L. 197 (1999),"Liability, Limited Liability Companies, Corporations, Limited Partnerships, Partnerships, State and Local Government Law",6,na,10
Land Tenure and Sustainable Agriculture [article],"Richardson, Jesse J. Jr. (Cited 85 times)",6029,"Texas A&M Law Review, Vol. 3, Issue 4 (Spring 2016), pp. 799-826",3 Tex. A&M L. Rev. 799 (2015-2016),"Agriculture Law, Estates, Partition",5,na,16
Receivership: Another Option for Partition of Heirs Property [comments],"Richardson, Jesse J. Jr. (Cited 85 times)",6029,"West Virginia Law Review, Vol. 120, Issue 3 (Spring 2018), pp. 917-942",120 W. Va. L. Rev. 917 (2017-2018),"Estates, Partition, Estate Planning, Agriculture Law",4,na,11
Conservation Easements and Adaptive Management [article],"Richardson, Jesse J. Jr. (Cited 85 times)",6029,"Sea Grant Law and Policy Journal, Vol. 3, Issue 1 (Summer 2010), pp. 31-58",3 Sea Grant L. & Pol'y J. 31 (2010),"Conservation, Easements, Environmental Law",3,na,14
Conservation Easements and Ethics [article],"Richardson, Jesse J. Jr. (Cited 85 times)",6029,"San Joaquin Agricultural Law Review, Vol. 17, Issue 1 (2007-2008), pp. 31-58",17 San Joaquin Agric. L. Rev. 31 (2007-2008),"Conservation, Easements, Ethics, Trusts, Environmental Protection, Fraud",3,na,1
Agricultural Preferences in Eastern Water Allocation Statutes [article],"Richardson, Jesse J. Jr. (Cited 85 times)",6029,"Natural Resources Journal, Vol. 55, Issue 2 (Spring 2015), pp. 329-360",55 Nat. Resources J. 329 (2014-2015),"Agriculture Law, Statutes, Water Law, Agriculture Law",1,na,4
Zoning for Conservation Easements [article],"Richardson, Jesse J. Jr. (Cited 85 times); Bernard, Amanda C.",6029,"Law and Contemporary Problems, Vol. 74, Issue 4 (Fall 2011), pp. 83-108",74 Law & Contemp. Probs. 83 (2011),na,na,na,4
