Title,Author(s),ID,Journal,BBCite,Topics,Cited (articles),Cited (cases),Accessed
Sustainable Development as a Framework for National Governance [article],"Dernbach, John C. (Cited 505 times)",1389,"Case Western Reserve Law Review, Vol. 49, Issue 1 (Fall 1998), pp. 1-104",49 Case W. Res. L. Rev. 1 (1998-1999),"Environmental Law, Sustainable Development, International Law: History",76,na,34
Harnessing Individual Behavior to Address Climate Change: Options for Congress [article],"Dernbach, John C. (Cited 505 times)",1389,"Virginia Environmental Law Journal, Vol. 26, Issue 1 (2008), pp. 107-160",26 Va. Envtl. L.J. 107 (2008),"Climate Change, Congress, Legislation, States, Environmental Law, Nuisance",40,na,20
"Taking the Pennsylvania Constitution Seriously When It Protects the Environment: Part I - An Interpretative Framework for Article I, Section 27 [article]","Dernbach, John C. (Cited 505 times)",1389,"Dickinson Law Review, Vol. 103, Issue 4 (Summer 1999), pp. 693-734",103 Dick. L. Rev. 693 (1998-1999),"Environmental Law, Constitutional Law, State and Local Government Law, Constitutions",37,2,12
The Unfocused Regulation of Toxic and Hazardous Pollutants [article],"Dernbach, John C. (Cited 505 times)",1389,"Harvard Environmental Law Review, Vol. 21, Issue 1 (1997), pp. 1-82",21 Harv. Envtl. L. Rev. 1 (1997),"Regulation, State and Local Government Law, Environmental Law, Pollution",35,na,6
Taking the Pennsylvania Constitution Seriously When It Protects the Environment: Part II - Environmental Rights and Public Trust [article],"Dernbach, John C. (Cited 505 times)",1389,"Dickinson Law Review, Vol. 104, Issue 1 (Fall 1999), pp. 97-164",104 Dick. L. Rev. 97 (1999-2000),"Constitutional Law, Environmental Law, State and Local Government Law, Constitutions",28,2,8
Climate Change Law: An Introduction [comments],"Dernbach, John C. (Cited 505 times); Kakade, Seema (Cited 28 times)",1389,"Energy Law Journal , Vol. 29, Issue 1 (2008), pp. 1-32",29 Energy L.J. 1 (2008),"Climate Change, International Law: History",28,na,49
Achieving Sustainable Development: The Centrality and Multiple Facets of Integrated Decisionmaking [article],"Dernbach, John C. (Cited 505 times)",1389,"Indiana Journal of Global Legal Studies, Vol. 10, Issue 1 (Winter 2003), pp. 247-286",10 Ind. J. Global Legal Stud. 247 (2003),"Sustainable Development, Environmental Law, Environmental Protection",23,na,7
Pennsylvania's Implementation of the Surface Mining Control and Reclamation Act: An Assessment of How Cooperative Federalism Can Make State Regulatory Programs More Effective [article],"Dernbach, John C. (Cited 505 times)",1389,"University of Michigan Journal of Law Reform, Vol. 19, Issue 4 (Summer 1986), pp. 903-968",19 U. Mich. J.L. Reform 903 (1985-1986),"Federalism, Reclamation, Surface Mining",21,na,5
Developing a Comprehensive Approach to Climate Change Policy in the United States That Fully Integrates Levels of Government and Economic Sectors [article],"Peterson, Thomas D. (Cited 69 times); McKinstry, Robert B. Jr. (Cited 161 times); Dernbach, John C. (Cited 505 times)",1389,"Virginia Environmental Law Journal, Vol. 26, Issue 1 (2008), pp. 227-270",26 Va. Envtl. L.J. 227 (2008),"Climate Change, Government, States, Legislation",21,na,9
"Pursuing Sustainable Communities: Looking Back, Looking Forward [article]","Dernbach, John C. (Cited 505 times); Bernstein, Scott (Cited 16 times)",1389,"Urban Lawyer, Vol. 35, Issue 3 (Summer 2003), pp. 495-532",35 Urb. Law. 495 (2003),"International Law: History, Sustainable Development, Environmental Justice, Renewable Energy",16,na,6
"Targets, Timetables and Effective Implementing Mechanisms: Necessary Building Blocks for Sustainable Development [article]","Dernbach, John C. (Cited 505 times)",1389,"William and Mary Environmental Law and Policy Review, Vol. 27, Issue 1 (Fall 2002), pp. 79-136",27 Wm. & Mary Envtl. L. & Pol'y Rev. 79 (2002-2003),"Sustainable Development, International Law: History",15,na,7
The Essential and Growing Role of Legal Education in Achieving Sustainability [article],"Dernbach, John C. (Cited 505 times)",1389,"Journal of Legal Education, Vol. 60, Issue 3 (2010), pp. 489-518",60 J. Legal Educ. 489 (2010-2011),"Land Use, Agriculture Law, Land Use Planning, Social Security",15,na,6
