Title,Author(s),ID,Journal,BBCite,Topics,Cited (articles),Cited (cases),Accessed
Developments in the Law: Toxic Waste Litigation [legislation],"Wiener, Jonathan B. (Cited 1050 times)",4608,"Harvard Law Review , Vol. 99, Issue 7 (May 1986), pp. 1458-1661",99 Harv. L. Rev. 1458 (1985-1986),"Cause of Action, Costs, Hazardous Waste, Environmental Law, Hazardous Substances, Liability, Torts, Conservation",289,63,15
Global Environmental Regulation: Instrument Choice in Legal Context [article],"Wiener, Jonathan Baert (Cited 1050 times)",4608,"Yale Law Journal , Vol. 108, Issue 4 (January 1999), pp. 677-800",108 Yale L.J. 677 (1998-1999),"International Law: History, Regulation, Economics, Environmental Law, Costs",203,na,62
"Think Globally, Act Globally: The Limits of Local Climate Policies [comments]","Wiener, Jonathan B. (Cited 1050 times)",4608,"University of Pennsylvania Law Review, Vol. 155, Issue 6 (June 2007), pp. 1961-1980",155 U. Pa. L. Rev. 1961 (2006-2007),"State and Local Government Law, Climate Change, Common Law, Remedies",94,na,8
On the Political Economy of Global Environmental Regulation [article],"Wiener, Jonathan Baert (Cited 1050 times)",4608,"Georgetown Law Journal, Vol. 87, Issue 3 (February 1999), pp. 749-794",87 Geo. L.J. 749 (1998-1999),"Employment Discrimination, Regulation, Environmental Law, Environmental Law, International Law: History",60,na,14
"Law and the New Ecology: Evolution, Categories, and Consequences [comments]","Wiener, Jonathan Baert (Cited 1050 times)",4608,"Ecology Law Quarterly, Vol. 22, Issue 2 (1995), pp. 325-358",22 Ecology L.Q. 325 (1995),"Ecology, Common Law, Jurisprudence",52,na,13
Global Governance as Administration - National and Transnational Approaches to Global Administrative Law [comments],"Kingsbury, Benedict (Cited 975 times); Krisch, Nico (Cited 619 times); Stewart, Richard B. (Cited 5651 times); Wiener, Jonathan B. (Cited 1050 times)",4608,"Law and Contemporary Problems, Vol. 68, Issues 3 & 4 (Summer/Autumn 2005), pp. 1-14",68 Law & Contemp. Probs. 1 (2004-2005),Administration Law,44,na,33
Whose Precaution after All - A Comment on the Comparison and Evolution of Risk Regulatory Systems [article],"Wiener, Jonathan B. (Cited 1050 times)",4608,"Duke Journal of Comparative & International Law, Vol. 13, Issue 3 (Summer 2003), pp. 207-262",13 Duke J. Comp. & Int'l L. 207 (2003),"Administration Law, History",43,na,15
Something Borrowed for Something Blue: Legal Transplants and the Evolution of Global Environmental Law [article],"Wiener, Jonathan B. (Cited 1050 times)",4608,"Ecology Law Quarterly, Vol. 27, Issue 4 (2001), pp. 1295-1372",27 Ecology L.Q. 1295 (2000-2001),"Environmental Law, Comparative Law, Consumer Protection Law, Consumer Protection Law, Jurisprudence",41,na,38
Environmental Policy for Eastern Europe:Technology-Based versus Market-Based Approaches [comments],"Dudek, Daniel J. (Cited 162 times); Stewart, Richard B. (Cited 5651 times); Wiener, Jonathan B. (Cited 1050 times)",4608,"Columbia Journal of Environmental Law, Vol. 17, Issue 1 (1992), pp. 1-52",17 Colum. J. Envtl. L. 1 (1992),"Comparative Law, Economics, Environmental Policy, Technology, Economic Development, Environmental Protection, Sustainable Development, States",34,1,10
Beyond the Balance of Nature [article],"Wiener, Jonathan Baert (Cited 1050 times)",4608,"Duke Environmental Law & Policy Forum, Vol. 7, Issue 1 (Fall 1996), pp. 1-24",7 Duke Envtl. L. & Pol'y F. 1 (1996),"Natural Resources Law, Regulation, Ecology, Environmental Law",34,na,24
The Comprehensive Approach to Global Climate Policy: Issues of Design and Practicality [article],"Stewart, Richard B. (Cited 5651 times); Wiener, Jonathan B. (Cited 1050 times)",4608,"Arizona Journal of International and Comparative Law, Vol. 9, Issue 1 (1992), pp. 83-114",9 Ariz. J. Int'l & Comp. L. 83 (1992),"Climate Change, Courts, Environmental Law, Tax Policy, Politics, President/Executive Department, Regulation",30,na,5
Climate Change Policy and Policy Change in China [article],"Wiener, Jonathan B. (Cited 1050 times)",4608,"UCLA Law Review, Vol. 55, Issue 6 (August 2008), pp. 1805-1826",55 UCLA L. Rev. 1805 (2007-2008),"Climate Change, Comparative Law, International Law: History",23,na,217
Of Sailing Ships and Seeking Facts: Brief Reflections on Magistrates and the Federal Rules of Civil Procedure [article],"Weinstein, Jack B. (Cited 2990 times); Wiener, Jonathan B. (Cited 1050 times)",4608,"St. John's Law Review, Vol. 62, Issue 3 (Spring 1988), pp. 429-442",62 St. John's L. Rev. 429 (1987-1988),"Civil Procedure, Federal Rules of Civil Procedure, Procedure, Judges, Practice and Procedure",19,na,9
"Regulatory Improvement Legislation: Risk Assessment, Cost-Benefit Analysis, and Judicial Review [article]","Anderson, Fred (Cited 17 times); Chirba-Martin, Mary Ann (Cited 43 times); Elliott, E. Donald (Cited 1966 times); Farina, Cynthia (Cited 49 times); Gellhorn, Ernest (Cited 1896 times); Graham, John D. (Cited 351 times); Gray, C. Boyden (Cited 110 times); Holmstead, Jeffrey; Levin, Ronald M. (Cited 1132 times); Noah, Lars (Cited 1771 times); Rhyne, Katherine; Wiener, Jonathan Baert (Cited 1050 times)",4608,"Duke Environmental Law & Policy Forum, Vol. 11, Issue 1 (Fall 2000), pp. 89-138",11 Duke Envtl. L. & Pol'y F. 89 (2000-2001),"Judicial Review, Legislation, Administration Law, Administration Law, Economics",17,na,25
Responding to Agency Avoidance of OIRA [article],"Mendelson, Nina A. (Cited 829 times); Wiener, Jonathan B. (Cited 1050 times)",4608,"Harvard Journal of Law & Public Policy, Vol. 37, Issue 2 (Spring 2014), pp. 447-522",37 Harv. J. L. & Pub. Pol'y 447 (2014),"Agency, Administration Law, President/Executive Department",16,na,13
"New Approaches to International Regulatory Cooperation: The Challenge of TTIP, TPP, and Mega-Regional Trade Agreements [article]","Bull, Reeve T. (Cited 63 times); Mahboubi, Neysun A. (Cited 14 times); Stewart, Richard B. (Cited 5651 times); Wiener, Jonathan B. (Cited 1050 times)",4608,"Law and Contemporary Problems, Vol. 78, Issue 4 (2015), pp. 1-30",78 Law & Contemp. Probs. 1 (2015),"Economics, International Trade, Investment, Treaties",14,na,92
Radiative Forcing: Climate Policy to Break the Logjam in Environmental Law [article],"Wiener, Jonathan B. (Cited 1050 times)",4608,"New York University Environmental Law Journal, Vol. 17, Issue 1 (2008), pp. 210-255",17 N.Y.U. Envtl. L.J. 210 (2008-2009),"Environmental Law, International Law: History",12,na,2
Property and Prices to Protect the Planet [article],"Wiener, Jonathan B. (Cited 1050 times)",4608,"Duke Journal of Comparative & International Law, Vol. 19, Issue 3 (Spring 2009), pp. 515-534",19 Duke J. Comp. & Int'l L. 515 (2008-2009),"Prices, Climate Change, Environmental Law, Administration Law, States",11,na,2
Managing the Iatrogenic Risks of Risk Management [article],"Wiener, Jonathan Baert (Cited 1050 times)",4608,"Risk: Health, Safety & Environment , Vol. 9, Issue 1 (Winter 1998), pp. 39-82",9 Risk 39 (1998),"Risk Management, Administration Law, Environmental Law, Health, Regulation, Legal Education",10,na,24
Risk in the Republic [article],"Wiener, Jonathan Baert (Cited 1050 times)",4608,"Duke Environmental Law & Policy Forum, Vol. 8, Issue 1 (Fall 1997), pp. 1-22",8 Duke Envtl. L. & Pol'y F. 1 (1997-1998),"Legislation, Politics, Natural Resources Law, Health",6,na,na
The Future of International Regulatory Cooperation: TTIP as a Learning Process toward a Global Policy Laboratory [article],"Wiener, Jonathan B. (Cited 1050 times); Alemanno, Alberto (Cited 83 times)",4608,"Law and Contemporary Problems, Vol. 78, Issue 4 (2015), pp. 103-136",78 Law & Contemp. Probs. 103 (2015),"Constitutional Law, History, Politics",4,na,41
Environmental Regulation Going Retro: Learning Foresight from Hindsight [comments],"Wiener, Jonathan B. (Cited 1050 times); Ribeiro, Daniel L. (Cited 2 times)",4608,"Journal of Land Use & Environmental Law, Vol. 32, Issue 1 (Fall 2016), pp. 1-74",32 J. Land Use & Envtl. L. 1 (2016-2017),"Administration Law, Regulation, Interest, Murder",2,na,14
Best Cass Scenario [article],"Wiener, Jonathan B. (Cited 1050 times)",4608,"Tulsa Law Review , Vol. 43, Issue 4 (Summer 2008), pp. 933-946",43 Tulsa L. Rev. 933 (2007-2008),"Legal Education, Biography, Military, War and Peace, New Deal",2,na,2
"On Morals, Markets, and Climate Change: Exploring Pope Francis' Challenge [article]","Monast, Jonas J. (Cited 47 times); Murray, Brian C. (Cited 16 times); Wiener, Jonathan B. (Cited 1050 times)",4608,"Law and Contemporary Problems, Vol. 80, Issue 1 (2017), pp. 135-162",80 Law & Contemp. Probs. 135 (2017),"Climate Change, Environmental Law, Religion, Economics",2,na,31
Foreword: The Puzzle of Environmental Politics [comments],"Cross, Frank B. (Cited 3137 times); Wiener, Jonathan Baert (Cited 1050 times)",4608,"Duke Environmental Law & Policy Forum, Vol. 9, Issue 1 (Fall 1998), pp. 1-8",9 Duke Envtl. L. & Pol'y F. 1 (1998-1999),"Legislation, Politics, Natural Resources Law, Environmental Law, Interest",2,na,na
