Title,Author(s),ID,Journal,BBCite,Topics,Cited (articles),Cited (cases),Accessed
Advising Clients to Apologize [article],"Cohen, Jonathan R. (Cited 446 times)",38,"Southern California Law Review, Vol. 72, Issue 4 (May 1999), pp. 1009-1070",72 S. Cal. L. Rev. 1009 (1998-1999),"Legal Profession, Law and Society, Psychiatrists and Psychologists, Death, Prisoners",154,na,37
Apology and Organizations: Exploring an Example from Medical Practice [article],"Cohen, Jonathan R. (Cited 446 times)",38,"Fordham Urban Law Journal, Vol. 27, Issue 5 (June 2000), pp. 1447-1482",27 Fordham Urb. L.J. 1447 (1999-2000),"Organizations, Patients, Legal Profession, Unauthorized Practice of Law",71,na,16
Legislating Apology: The Pros and Cons [article],"Cohen, Jonathan R. (Cited 446 times)",38,"University of Cincinnati Law Review, Vol. 70, Issue 3 (Spring 2002), pp. 819-872",70 U. Cin. L. Rev. 819 (2001-2002),"Evidence, Legislation, Apologies, Liability",53,na,56
When People Are the Means: Negotiating with Respect [article],"Cohen, Jonathan R. (Cited 446 times)",38,"Georgetown Journal of Legal Ethics, Vol. 14, Issue 3 (Spring 2001), pp. 739-802",14 Geo. J. Legal Ethics 739 (2000-2001),"Dispute Resolution, Ethics",46,na,36
The Culture of Legal Denial [article],"Cohen, Jonathan R. (Cited 446 times)",38,"Nebraska Law Review, Vol. 84, Issue 1 (2005-2006), pp. 247-312",84 Neb. L. Rev. 247 (2005-2006),"Law and Society, Professional Ethics, Legal Profession",27,na,10
The Immorality of Denial [article],"Cohen, Jonathan R. (Cited 446 times)",38,"Tulane Law Review, Vol. 79, Issue 4 (March 2005), pp. 903-954",79 Tul. L. Rev. 903 (2004-2005),"Law and Society, Legal Profession, Professional Ethics, Health",26,na,7
Judicial Control of the Purse - School Finance Litigation in State Courts [notes],"Cohen, Jonathan (Cited 446 times)",38,"Wayne Law Review, Vol. 28, Issue 3 (Spring 1982), pp. 1393-1426",28 Wayne L. Rev. 1393 (1981-1982),"Courts, Education Law, State and Local Government Law, Constitutional Law",9,1,3
The Law and Late Modern Culture: Reflections on Between Facts and Norms from the Perspective of Critical Cultural Legal Studies [article],"Coombe, Rosemary J. (Cited 565 times); Cohen, Jonathan (Cited 446 times)",38,"Denver University Law Review, Vol. 76, Issue 4 (1999), pp. 1029-1056",76 Denv. U. L. Rev. 1029 (1998-1999),"Copyright, Legal History, Philosophy, Democracy, Jurisprudence",8,na,14
Adversaries - Partners - How about counterparts: On metaphors in the practice and teaching of negotiation and dispute resolution [notes],"Cohen, Jonathan R. (Cited 446 times)",38,"Conflict Resolution Quarterly, Vol. 20, Issue 4 (Summer 2003), pp. 433-440",20 Conflict Resol. Q. 433 (2002-2003),"Dispute Resolution, Research",7,na,na
The Path between Sebastian's Hospitals: Fostering Reconciliation after a Tragedy [article],"Cohen, Jonathan R. (Cited 446 times)",38,"Barry Law Review, Vol. 17, Issue 1 (Fall 2011), pp. 89-132",17 Barry L. Rev. 89 (2011-2012),"Health Law, Hospitals, Torts, Adopted Children, Equity, Trusts",6,na,3
