Title,Author(s),ID,Journal,BBCite,Topics,Cited (articles),Cited (cases),Accessed
Sober Second Thoughts: Reflections on Two Decades of Constitutional Regulation of Capital Punishment [article],"Steiker, Carol S. (Cited 1838 times); Steiker, Jordan M. (Cited 1177 times)",378,"Harvard Law Review, Vol. 109, Issue 2 (December 1995), pp. 355-438",109 Harv. L. Rev. 355 (1995-1996),"Capital Punishment, Punishment, Regulation, Statutory Construction, Death, Sentencing",299,8,34
Incorporating the Suspension Clause: Is There a Constitutional Right to Federal Habeas Corpus for State Prisoners [article],"Steiker, Jordan (Cited 1177 times)",378,"Michigan Law Review, Vol. 92, Issue 4 (February 1994), pp. 862-924",92 Mich. L. Rev. 862 (1993-1994),"Habeas Corpus, Jurisdiction, Prisoners, Fourteenth Amendment, Law Enforcement, Death",87,5,17
Innocence and Federal Habeas [article],"Steiker, Jordan (Cited 1177 times)",378,"UCLA Law Review, Vol. 41, Issue 2 (December 1993), pp. 303-390",41 UCLA L. Rev. 303 (1993-1994),"Courts, Criminal Law, Prisoners, Statute of Limitations, Sentencing, Evidence, Law Enforcement",70,1,13
Let God Sort Them Out - Refining the Individualization Requirement in Capital Sentencing [reviews],"Steiker, Jordan M. (Cited 1177 times); Steiker, Carol S. (Cited 1838 times)",378,"Yale Law Journal, Vol. 102, Issue 3 (1992), pp. 835-870",102 Yale L.J. 835 (1992-1993),"Capital Punishment, Criminal Law, Sentencing, Death, Feminism, Clemency",69,na,9
The Seduction of Innocence: The Attraction and Limitations of the Focus on Innocence in Capital Punishment Law and Advocacy [article],"Steiker, Carol S. (Cited 1838 times); Steiker, Jordan M. (Cited 1177 times)",378,"Journal of Criminal Law & Criminology, Vol. 95, Issue 2 (Winter 2005), pp. 587-624",95 J. Crim. L. & Criminology 587 (2004-2005),"Capital Punishment, Punishment, Constitutional Law, Law Enforcement, Legal History, Regulation, Death",66,na,48
Taking Text and Structurre Really Seriously: Constitutional Interpretation and the Crisis of Presidential Eligibility [article],"Steiker, Jordan (Cited 1177 times); Levinson, Sanford (Cited 4965 times); Balkin, J. M. (Cited 6511 times)",378,"Texas Law Review, Vol. 74, Issue 2 (December 1995), pp. 237-258",74 Tex. L. Rev. 237 (1995-1996),"Constitutional Law, Legislation, Jurisprudence, Legal Analysis and Writing",45,na,10
Opening a Window or Building a Wall - The Effect of Eighth Amendment Death Penalty Law and Advocacy on Criminal Justice More Broadly [article],"Steiker, Carol S. (Cited 1838 times); Steiker, Jordan M. (Cited 1177 times)",378,"University of Pennsylvania Journal of Constitutional Law, Vol. 11, Issue 1 (December 2008), pp. 155-206",11 U. Pa. J. Const. L. 155 (2008-2009),"Death, Eighth Amendment, Capital Punishment, Politics, Punishment",44,1,26
Should Abolitionists Support Legislative Reform of the Death Penalty [article],"Steiker, Carol S. (Cited 1838 times); Steiker, Jordan M. (Cited 1177 times)",378,"Ohio State Law Journal, Vol. 63, Issue 1 (2002), pp. 417-432",63 Ohio St. L.J. 417 (2002),Death,40,na,57
Restructuring Post-Conviction Review of Federal Constitutional Claims Raised by State Prisoners: Confronting the New Face of Excessive Proceduralism [article],"Steiker, Jordan (Cited 1177 times)",378,"University of Chicago Legal Forum, Vol. 1998, pp. 315-348",1998 U. Chi. Legal F. 315 (1998),"Prisoners, Habeas Corpus",39,na,25
A Tale of Two Nations: Implementation of the Death Penalty in Executing versus Symbolic States in the United States [article],"Steiker, Carol S. (Cited 1838 times); Steiker, Jordan M. (Cited 1177 times)",378,"Texas Law Review, Vol. 84, Issue 7 (June 2006), pp. 1869-1928",84 Tex. L. Rev. 1869 (2005-2006),"Death, States, Capital Punishment, Punishment, Wages",38,na,36
The Search for Equality in Criminal Sentencing [article],"Klein, Susan R. (Cited 840 times); Steiker, Jordan M. (Cited 1177 times)",378,"Supreme Court Review, Vol. 2002, Issue 1 (2002), pp. 223-272",2002 Sup. Ct. Rev. 223 (2002),"Sentencing, Jury, Death, Homicide, Race",35,2,15
Atkins v. Virginia: Lessons from Substance and Procedure in the Constitutional Regulation of Capital Punishment [notes],"Steiker, Carol S. (Cited 1838 times); Steiker, Jordan M. (Cited 1177 times)",378,"DePaul Law Review, Vol. 57, Issue 3 (Spring 2008), pp. 721-740",57 DePaul L. Rev. 721 (2007-2008),"Capital Punishment, Procedure, Punishment, Regulation, Death, Jurisprudence, Psychiatrists and Psychologists",31,1,19
The Limits of Legal Language: Decisionmaking in Capital Cases [article],"Steiker, Jordan M. (Cited 1177 times)",378,"Michigan Law Review, Vol. 94, Issue 8 (August 1996), pp. 2590-2624",94 Mich. L. Rev. 2590 (1995-1996),"Criminal Law, Self-Incrimination",30,na,32
Costs and Capital Punishment: A New Consideration Transforms an Old Debate [article],"Steiker, Carol S. (Cited 1838 times); Steiker, Jordan M. (Cited 1177 times)",378,"University of Chicago Legal Forum, Vol. 2010, Issue 1 (2010), pp. 117-164",2010 U. Chi. Legal F. 117 (2010),"Capital Punishment, Costs, Punishment, Criminal Law, Death, Discrimination, Equal Protection, Gender, Women",28,1,170
Habeas Exceptionalism [article],"Steiker, Jordan (Cited 1177 times)",378,"Texas Law Review, Vol. 78, Issue 7 , pp. 1703-1730",78 Tex. L. Rev. 1703 (1999-2000),"Criminal Law, Habeas Corpus, Remedies, Sentencing",25,na,4
Long Road Up from Barbarism: Thurgood Marshall and the Death Penalty [article],"Steiker, Jordan (Cited 1177 times)",378,"Texas Law Review, Vol. 71, Issue 6 (May 1993), pp. 1131-1164",71 Tex. L. Rev. 1131 (May 1993),"Criminal Law, Death, Judges, Capital Punishment, Punishment, Rule of Law, Social Justice, Jurisprudence",25,na,20
Capital Punishment: A Century of Discontinuous Debate [article],"Steiker, Carol S. (Cited 1838 times); Steiker, Jordan M. (Cited 1177 times)",378,"Journal of Criminal Law & Criminology , Vol. 100, Issue 3 (Summer 2010), pp. 643-690",100 J. Crim. L. & Criminology 643 (2010),"Capital Punishment, Law Enforcement, Punishment, Death",21,na,42
Entrenchment and/or Destabilization - Reflections on (Another) Two Decades of Constitutional Regulation of Capital Punishment [article],"Steiker, Carol S. (Cited 1838 times); Steiker, Jordan M. (Cited 1177 times)",378,"Law and Inequality: A Journal of Theory and Practice, Vol. 30, Issue 2 (Summer 2012), pp. 211-244",30 Law & Ineq. 211 (2012),"Capital Punishment, Constitutional Law, Law Enforcement, Legal History, Punishment, Regulation, Death",21,na,32
Graham Lets the Sun Shine In: The Supreme Court Opens a Window between the Formerly Walled-Off Approaches to Eighth Amendment Proportionality Challenges [comments],"Steiker, Carol S. (Cited 1838 times); Steiker, Jordan M. (Cited 1177 times)",378,"Federal Sentencing Reporter, Vol. 23, Issue 1 (October 2010), pp. 79-86",23 Fed. Sent'g Rep. 79 (2010-2011),"Eighth Amendment, Life Without Parole, Parole, Law Enforcement",18,na,4
The American Death Penalty and the (In)Visibility of Race [article],"Steiker, Carol S. (Cited 1838 times); Steiker, Jordan M. (Cited 1177 times)",378,"University of Chicago Law Review, Vol. 82, Issue 1 (Winter 2015), pp. 243-294",82 U. Chi. L. Rev. 243 (2015),"Death, Race, Race, Capital Punishment, Punishment",16,na,47
No More Tinkering: The American Law Institute and the Death Penalty Provisions of the Model Penal Code [article],"Steiker, Carol S. (Cited 1838 times); Steiker, Jordan M. (Cited 1177 times)",378,"Texas Law Review, Vol. 89, Issue 2 (December 2010), pp. 353-366",89 Tex. L. Rev. 353 (2010-2011),"Constitutional Law, Criminal Law, Death, Law Enforcement, Model Penal Code, Capital Punishment, Punishment",15,na,8
Lessons for Law Reform from the American Experiment with Capital Punishment [article],"Steiker, Carol S. (Cited 1838 times); Steiker, Jordan M. (Cited 1177 times)",378,"Southern California Law Review, Vol. 87, Issue 3 (March 2014), pp. 733-784",87 S. Cal. L. Rev. 733 (2013-2014),"Capital Punishment, Law Reform, Punishment, Death, Procedure",14,na,36
American Icon: Does it Matter what the Court Said in Brown [reviews],"Steiker, Jordan (Cited 1177 times)",378,"Texas Law Review, Vol. 81, Issue 1 (November 2002), pp. 305-344",81 Tex. L. Rev. 305 (November 2002),"Civil Rights, Education Law, Equal Protection, Jurisprudence, Segregation",13,na,6
Part II: Report to the ALI concerning Capital Punishment [article],"Steiker, Carol S. (Cited 1838 times); Steiker, Jordan M. (Cited 1177 times)",378,"Texas Law Review, Vol. 89, Issue 2 (December 2010), pp. 367-422",89 Tex. L. Rev. 367 (2010-2011),"Capital Punishment, Constitutional Law, Criminal Law, Law Enforcement, Punishment, Death, Model Penal Code",12,na,5
Abolition in Our Time [comments],"Steiker, Carol S. (Cited 1838 times); Steiker, Jordan M. (Cited 1177 times)",378,"Ohio State Journal of Criminal Law, Vol. 1, Issue 1 (Fall 2003), pp. 323-344",1 Ohio St. J. Crim. L. 323 (2003-2004),"Death, Capital Punishment, Constitutional Law, Criminal Law, Law Enforcement, Punishment, Civil Rights, Gender, Law and Society, Race",10,na,4
Creating a Community of Liberals [reviews],"Steiker, Jordan M. (Cited 1177 times)",378,"Texas Law Review, Vol. 69, Issue 3 (February 1991), pp. 795-818",69 Tex. L. Rev. 795 (1990-1991),"Constitutional Law, Politics",9,na,8
