Title,Author(s),ID,Journal,BBCite,Topics,Cited (articles),Cited (cases),Accessed
Regional Governments and Coastal Zone Management in Louisiana [article],"Marcel, Kathleen W. (Cited 25 times); Bockrath, Joseph T. (Cited 21 times)",8773,"Louisiana Law Review, Vol. 40, Issue 4 (Summer 1980), pp. 887-906",40 La. L. Rev. 887 (1979-1980),"Industry, Petroleum, Continental Shelf, Land Use Planning",4,na,5
The American Law of Life Salvage [article],"Bockrath, Joseph (Cited 21 times)",8773,"Journal of Maritime Law and Commerce, Vol. 7, Issue 1 (October 1975), pp. 207-216",7 J. Mar. L. & Com. 207 (1975-1976),"Vessels, Compensation, Carriers",4,na,3
Bhartia Hijro Ka Dharma: The Code of India's Hijra [comments],"Bockrath, Joseph T. (Cited 21 times)",8773,"Legal Studies Forum, Vol. 27, Issue 1 (2003), pp. 83-96",27 Legal Stud. F. 83 (2003),"Comparative Law, Sexuality and the Law, Human Rights Law, Transgender",3,na,34
"Closed Cycle Mariculture and the Food, Drug, and Cosmetic Act [article]","Bockrath, Joseph (Cited 21 times); Marcel, Kathleen (Cited 2 times)",8773,"Houston Law Review, Vol. 18, Issue 1 (October 1980), pp. 43-102",18 Hous. L. Rev. 43 (1980-1981),"Technology, Drugs, Consumer Protection Law, Food and Drug Law",2,na,12
Law on Remote Islands: The Convergence of Fact and Fiction [comments],"Bockrath, Joseph (Cited 21 times)",8773,"Legal Studies Forum, Vol. 27, Issue 1 (2003), pp. 21-82",27 Legal Stud. F. 21 (2003),"Legal History, Legislation, States",2,na,8
"Closed-Cycle Mariculture in Maryland, Virginia, and Delaware: An Examination of the Adaptability of Existing Fishery Laws to New Technology [article]","Bockrath, Joseph (Cited 21 times); Wheeler, Diana (Cited 2 times)",8773,"William and Mary Law Review, Vol. 17, Issue 1 (Fall 1975), pp. 85-108",17 Wm. & Mary L. Rev. 85 (1975-1976),"Technology, Industry, Oil, Gas, and Mineral Law, Pollution, Remedies",2,na,1
Insurable Interest in Maritime Law [article],"Bockrath, Joseph (Cited 21 times)",8773,"Journal of Maritime Law and Commerce, Vol. 8, Issue 2 (January 1977), pp. 247-258",8 J. Mar. L. & Com. 247 (1976-1977),"Interest, Maritime Law, Contracts, Insurance Law, Insurance Contracts, Insurance Law, Marine Insurance",1,na,28
The Bridge of Roebling and Crane [comments],"Bockrath, Joseph (Cited 21 times)",8773,"Legal Studies Forum, Vol. 27, Issue 1 (2003), pp. 1-20",27 Legal Stud. F. 1 (2003),"Jurisprudence, Legal History, Contracts, Criminal Law",1,na,6
"Environment, Development, and the National Interest: Problems in Definition and Prerogatives [article]","Bockrath, Joseph (Cited 21 times)",8773,"Natural Resources Lawyer, Vol. 8, Issue 1 (1975), pp. 29-40",8 Nat. Resources Law. 29 (1975-1976),"Environmental Law, Interest, Courts, Environmental Protection, Standing",1,na,5
Aesthetics and Condemnation Awards: Problems in Preserving the Aesthetic Environment through Eminent Domain [article],"Bockrath, J. (Cited 21 times)",8773,"Natural Resources Lawyer, Vol. 7, pp. 621-634",7 Nat. Resources Law. 621 (1974),"Eminent Domain, Environmental Law, Police, Police Power, Zoning, Jurisprudence",1,na,3
"George M. Armstrong, Jr. [comments]","Bockrath, Joseph T. (Cited 21 times)",8773,"Louisiana Law Review, Vol. 51, Issue 3 (January 1991), pp. 439-442",51 La. L. Rev. 439 (1990-1991),"Poverty Law, Age, Children, Reproductive Technology, Technology",na,na,4
Environmental Law [legislation],"Bockrath, Joseph T. (Cited 21 times)",8773,"Louisiana Law Review, Vol. 43, Issue 2 (1982-1983), pp. 403-412",43 La. L. Rev. 403 (1982-1983),"Environmental Law, Conservation, Judicial Review, Laches, Agency",na,na,1
