Title,Author(s),ID,Journal,BBCite,Topics,Cited (articles),Cited (cases),Accessed
Legal Principles and the Limits of Law [article],"Raz, Joseph (Cited 1088 times)",4749,"Yale Law Journal, Vol. 81, Issue 5 (April 1972), pp. 823-854",81 Yale. L.J. 823 (April 1972),"International Law: History, Rule of Law, Legal Systems",192,1,225
The Rule of Law and Its Virtue [article],"Raz, Joseph (Cited 1088 times)",4749,"Law Quarterly Review, Vol. 93, Issue 2 (April 1977), pp. 195-211",Full Text Not Currently Available in HeinOnline,Rule of Law,na,na,na
Postema on Law's Autonomy and Public Practical Reasons: A Critical Comment [article],"Raz, Joseph (Cited 1088 times)",4749,"Legal Theory, Vol. 4, Issue 1 (March 1998), pp. 1-20",4 LEG 1 (1998),"Jurisprudence, Common Law, Philosophy, History",87,na,17
Promises in Morality and Law [reviews],"Raz, Joseph (Cited 1088 times)",4749,"Harvard Law Review , Vol. 95, Issue 4 (February 1982), pp. 916-938",95 Harv. L. Rev. 916 (1981-1982),"Judges, Politics, Admiralty Law, Maritime Law, Transportation Law, History",78,na,6
The Relevance of Coherence [article],"Raz, Joseph (Cited 1088 times)",4749,"Boston University Law Review, Vol. 72, Issue 2 (March 1992), pp. 273-324",72 B.U. L. Rev. 273 (March 1992),"Jurisprudence, Evidence, Proof, Hermeneutics, Legislation, Statutory Interpretation",63,na,89
The Problem of Authority: Revisiting the Service Conception [article],"Raz, Joseph (Cited 1088 times)",4749,"Minnesota Law Review, Vol. 90, Issue 4 (April 2006), pp. 1003-1044",90 Minn. L. Rev. 1003 (2005-2006),"Democracy, International Law: History, Common Law",58,na,172
Facing Up: A Reply [article],"Raz, Joseph (Cited 1088 times)",4749,"Southern California Law Review, Vol. 62, Issues 3 & 4 (March/May 1989), pp. 1153-1236",62 S. Cal. L. Rev. 1153 (1988-89),"Constitutional Law, Democracy, Rule of Law",47,na,44
Incorporation by Law [article],"Raz, Joseph (Cited 1088 times)",4749,"Legal Theory, Vol. 10, Issue 1 (March 2004), pp. 1-18",10 LEG 1 (2004),"Incorporation, Jurisprudence, Law and Society, Law and Ethics",43,na,94
Dworkin: A New Link in the Chain [comments],"Raz, Joseph (Cited 1088 times)",4749,"California Law Review, Vol. 74, Issue 3 (May 1986), pp. 1103-1120",74 Calif. L. Rev. 1103 (1986),"Jurisprudence, Liberty",41,na,93
Authority and Consent [article],"Raz, Joseph (Cited 1088 times)",4749,"Virginia Law Review, Vol. 67, Issue 1 (February 1981), pp. 103-132",67 Va. L. Rev. 103 (1981),"Consent, Obligations, Sovereignty",38,na,19
Two Views of the Nature of the Theory of Law: A Partial Comparison [article],"Raz, Joseph (Cited 1088 times)",4749,"Legal Theory, Vol. 4, Issue 3 (September 1998), pp. 249-282",4 LEG 249 (1998),"Semantics, Judges, Jurisprudence",30,na,27
"Liberalism, Skepticism, and Democracy [article]","Raz, Joseph (Cited 1088 times)",4749,"Iowa Law Review, Vol. 74, Issue 4 (May 1989), pp. 761-786",74 Iowa L. Rev. 761 (1988-1989),"Democracy, Birth Control, Legislation, Martial Law",26,na,37
Hart on Moral Rights and Legal Duties [reviews],"Raz, J. (Cited 1088 times)",4749,"Oxford Journal of Legal Studies, Vol. 4, Issue 1 (1984), pp. 123-131",4 Oxford J. Legal Stud. 123 (1984),"Legal Positivism, Presumptions, Jurisprudence",24,na,112
Disagreement in Politics [article],"Raz, J. (Cited 1088 times)",4749,"American Journal of Jurisprudence, Vol. 43, pp. 25-52",43 Am. J. Juris. 25 (1998),"Politics, Provocation, Constitutional Law, Judicial Review, Jurisprudence",19,na,68
Free Expression and Personal Identification [article],"Raz, Joseph (Cited 1088 times)",4749,"Oxford Journal of Legal Studies, Vol. 11, Issue 3 (Autumn 1991), pp. 303-324",11 Oxford J. Legal Stud. 303 (1991),"Identification, Constitutional Law, Freedom of Speech, Freedom of Information",19,na,127
Legal Rights [article],"Raz, J. (Cited 1088 times)",4749,"Oxford Journal of Legal Studies, Vol. 4, Issue 1 (1984), pp. 1-21",4 Oxford J. Legal Stud. 1 (1984),"Human Rights Law, Jurisprudence",18,na,69
Kelsen's Theory of the Basic Norm [article],"Raz, Joseph (Cited 1088 times)",4749,"American Journal of Jurisprudence, Vol. 19, pp. 94-111",19 Am. J. Juris. 94 (1974),"Constitutional Law, Jurisprudence, Constitutions, Natural Law",14,na,227
About Morality and the Nature of Law [article],"Raz, Joseph (Cited 1088 times)",4749,"American Journal of Jurisprudence, Vol. 48, pp. 1-16",48 Am. J. Juris. 1 (2003),"Legal Positivism, Natural Law, Jurisprudence, Semantics",13,na,121
Rights and Politics [article],"Raz, Joseph (Cited 1088 times)",4749,"Indiana Law Journal, Vol. 71, Issue 1 (Winter 1995), pp. 27-44",71 Ind. L.J. 27 (1995-1996),"Jurisprudence, Politics, Human Rights Law, Customary Law, Human Rights Law, States",13,na,24
The Problem about the Nature of Law [article],"Raz, J. (Cited 1088 times)",4749,"University of Western Ontario Law Review, Vol. 21, Issue 2 (1983), pp. 203-218",21 U. W. Ontario L. Rev. 203 (1983),"Legal Positivism, Common Law, Law and Society",11,na,24
The Politics of the Rule of Law [article],"Raz, Joseph (Cited 1088 times)",4749,"Ratio Juris, Vol. 3, Issue 3 (December 1990), pp. 331-339",3 Ratio Juris 331 (1990),"History, Rule of Law",11,na,21
The Institutional Nature of Law [article],"Raz, J. (Cited 1088 times)",4749,"Modern Law Review, Vol. 38, Issue 5 (September 1975), pp. 489-503",38 Mod. L. Rev. 489 (1975),"Courts, Legal Systems, Sanctions",10,na,8
Multiculturalism [article],"Raz, Joseph (Cited 1088 times)",4749,"Ratio Juris, Vol. 11, Issue 3 (September 1998), pp. 193-205",11 Ratio Juris 193 (1998),"Female Genital Mutilation, Comparative Law, Law and Society, Legal Education",10,na,6
The Obligation to Obey: Revision and Tradition [article],"Raz, Joseph (Cited 1088 times)",4749,"Notre Dame Journal of Law, Ethics & Public Policy, Vol. 1, Issue 1 (1984), pp. 139-156",1 Notre Dame J.L. Ethics & Pub. Pol'y 139 (1984-1985),"Interest, Ultra Vires, Jurisprudence, Obligations",10,na,297
The Identity of Legal Systems [article],"Raz, Joseph (Cited 1088 times)",4749,"California Law Review, Vol. 59, Issue 3 (May 1971), pp. 795-815",59 Calif. L. Rev. 795 (1971),"Legal Systems, Courts",9,na,26
Responsibility and the Negligence Standard [article],"Raz, Joseph (Cited 1088 times)",4749,"Oxford Journal of Legal Studies, Vol. 30, pp. 1-18",Full Text Not Currently Available in HeinOnline,"Negligence, Causation",na,na,na
Why Interpret [article],"Raz, Joseph (Cited 1088 times)",4749,"Ratio Juris, Vol. 9, Issue 4 (December 1996), pp. 349-363",9 Ratio Juris 349 (1996),"Politics, Congress, Legislation, Standing, Interpretation and Construction",7,na,4
Human Rights in the Emerging World Order [article],"Raz, Joseph (Cited 1088 times)",4749,"Transnational Legal Theory, Vol. 1, Issue 1 (March 2010), pp. 31-48",1 Transnat'l Legal Theory 31 (2010),"Human Rights Law, International Law: History, Revolution, Health",6,na,62
The Myth of Instrumental Rationality [article],"Raz, Joseph (Cited 1088 times)",4749,"Journal of Ethics & Social Philosophy, Vol. 1, Issue 1 (April 2005), pp. 1-28",1 J. Ethics & Soc. Phil. 1 (2005-2006),"Climate Change, International Law: History, States, Technology, Jurisprudence",4,na,40
Sorensen: Vagueness Has No Function in Law [article],"Raz, Joseph (Cited 1088 times)",4749,"Legal Theory, Vol. 7, Issue 4 (December 2001), pp. 417-420",7 LEG 417 (2001),"Copyright, Abortion, History, Vagrancy, Criminal Law",3,na,11
