Title,Author(s),ID,Journal,BBCite,Topics,Cited (articles),Cited (cases),Accessed
"Banks, Marijuana, and Federalism [article]","Hill, Julie Andersen (Cited 89 times)",4267,"Case Western Reserve Law Review, Vol. 65, Issue 3 (Spring 2015), pp. 597-648",65 Case W. Res. L. Rev. 597 (2014-2015),"Banking, Credit Unions, Federalism, Marijuana, Medical Marijuana, Age, Jurisdiction, State and Local Government Law, States",29,na,107
Bank Capital Regulation by Enforcement: An Empirical Study [article],"Hill, Julie Andersen (Cited 89 times)",4267,"Indiana Law Journal, Vol. 87, Issue 2 (Spring 2012), pp. 645-708",87 Ind. L.J. 645 (2012),"Banking, Regulation",24,na,15
"Bailouts and Credit Cycles: Fannie, Freddie, and the Farm Credit System [article]","Hill, Julie Andersen (Cited 89 times)",4267,"Wisconsin Law Review, Vol. 2010, Issue 1 (2010), pp. 1-78",2010 Wis. L. Rev. 1 (2010),"Agriculture Law, Credit, Banking, Bankruptcy Law, Government, Victims",12,na,15
Public Lands Council v. Babbitt: Herding Ranchers Off Public Land [notes],"Hill, Julie Andersen (Cited 89 times)",4267,"Brigham Young University Law Review, Vol. 2000, Issue 3 (2000), pp. 1273-1304",2000 BYU L. Rev. 1273 (2000),"Agriculture Law, Public Land, Court Rules, Regulation, Dispute Resolution, States",7,na,1
When Bank Examiners Get It Wrong: Financial Institution Appeals of Material Supervisory Determinations [article],"Hill, Julie Andersen (Cited 89 times)",4267,"Washington University Law Review, Vol. 92, Issue 5 (2015), pp. 1101-1186",92 Wash. U. L. Rev. 1101 (2014-2015),"Administration Law, Appeals, Banking, Financial Law, International Finance, Politics, Securities Law",5,na,4
Divide and Conquer: SEC Discipline of Litigation Attorneys [article],"Hill, Julie Andersen (Cited 89 times)",4267,"Georgetown Journal of Legal Ethics, Vol. 22, Issue 2 (Spring 2009), pp. 373-426",22 Geo. J. Legal Ethics 373 (Spring 2009),"Attorneys, Discipline, Securities Law, Asylum, Professional Ethics",3,na,5
The Duty of Care of Bank Directors and Officers [article],"Hill, Julie Andersen (Cited 89 times); Moll, Douglas K. (Cited 307 times)",4267,"Alabama Law Review, Vol. 68, Issue 4 (2017), pp. 965-1010",68 Ala. L. Rev. 965 (2016-2017),"Duty of Care, Death, Common Law, Negligence, Standard of Care",3,na,43
Shifting Losses: The Impact of Fannie's and Freddie's Conservatorships on Commercial Banks [article],"Hill, Julie Andersen (Cited 89 times)",4267,"Hamline Law Review, Vol. 35, Issue 2 (Spring 2012), pp. 343-384",35 Hamline L. Rev. 343 (2012),"Bankruptcy Law, Due Process, Foreclosure, Fourteenth Amendment, Housing Law, State Action, Takings, Takings Clause, Consumer Protection Law, Consumer Protection Law",3,na,4
Transaction Account Fees: Do the Poor Really Pay More than the Rich [article],"Hill, Julie Andersen (Cited 89 times)",4267,"University of Pennsylvania Journal of Business Law, Vol. 15, Issue 1 (Fall 2012), pp. 65-130",15 U. Pa. J. Bus. L. 65 (Fall 2012),"Fees, Banking, Banking Law, Good Faith",2,na,16
Restrictive Covenants in Settlement Agreements [notes],"Proctor, Marcia L. (Cited 31 times); Hill, Julie (Cited 89 times)",4267,"Michigan Bar Journal, Vol. 72, Issue 8 (August 1993), pp. 824-841",72 Mich. B.J. 824 (1993),"Costs, Interest, Usury, Ethics, Professional Ethics, Contracts",1,na,2
Immigration Law Services [notes],"Hill, Julie (Cited 89 times)",4267,"Michigan Bar Journal, Vol. 72, Issue 6 (June 1993), pp. 576-577",72 Mich. B.J. 576 (1993),"Evidence, Judges, Immigration Law, Practice and Procedure, Unauthorized Practice of Law, Sanctions",na,na,2
Private Actions for Unauthorized Practice of Law [notes],"Hill, Julie (Cited 89 times)",4267,"Michigan Bar Journal, Vol. 72, Issue 9 (September 1993), pp. 930-931",72 Mich. B.J. 930 (1993),"Divorce, Unauthorized Practice of Law, Ethics",na,na,2
