Title,Author(s),ID,Journal,BBCite,Topics,Cited (articles),Cited (cases),Accessed
"Rethinking Marriage: Feminist Ideology, Economic Change, and Divorce Reform [article]","Carbone, June (Cited 1110 times); Brinig, Margaret F. (Cited 1073 times)",2160,"Tulane Law Review, Vol. 65, Issue 5 , pp. 953-1010",65 Tul. L. Rev. 953 (1990-1991),"Divorce, Domestic Relations, Law and Society, Martial Law, Alimony, Economics, Feminism, Property-Personal and Real",119,2,94
Reliance Interest in Marriage and Divorce [article],"Brinig, Margaret F. (Cited 1073 times); Carbone, June (Cited 1110 times)",2160,"Tulane Law Review, Vol. 62, Issue 5 , pp. 855-906",62 Tul. L. Rev. 855 (1987-1988),"Alimony, Divorce, Interest, Martial Law, Spousal Support",91,1,11
"Economics, Feminism, and the Reinvention of Alimony: A Reply to Ira Ellman [comments]","Carbone, June (Cited 1110 times)",2160,"Vanderbilt Law Review, Vol. 43, Issue 5 (October 1990), pp. 1463-1502",43 Vand. L. Rev. 1463 (1990),"Alimony, Domestic Relations, Economics, Feminism, Race",87,1,18
Income Sharing: Redefining the Family in Terms of Community [article],"Carbone, June (Cited 1110 times)",2160,"Houston Law Review, Vol. 31, Issue 2 (Summer 1994), pp. 359-416",31 Hous. L. Rev. 359 (Summer 1994),"Domestic Relations, Divorce",62,na,4
The Legal Definition of Parenthood: Uncertainty at the Core of Family Identity [article],"Carbone, June (Cited 1110 times)",2160,"Louisiana Law Review, Vol. 65, Issue 4 (Summer 2005), pp. 1295-1344",65 La. L. Rev. 1295 (2004-2005),"Domestic Relations, Juveniles, Parents and Children, Reproduction, Family Responsibility/Support Laws",61,2,34
Which Ties Bind - Redefining the Parent-Child Relationship in an Age of Genetic Certainty [article],"Carbone, June (Cited 1110 times); Cahn, Naomi (Cited 2054 times)",2160,"William & Mary Bill of Rights Journal , Vol. 11, Issue 3 (April 2003), pp. 1011-1070",11 Wm. & Mary Bill Rts. J. 1011 (2002-2003),"Age, Juveniles, Social Welfare Law, Domestic Relations, Paternity",59,1,35
Seeing through the Emperor's New Clothes: Rediscovery of Basic Principles in the Administration of Bail [article],"Carbone, June (Cited 1110 times)",2160,"Syracuse Law Review, Vol. 34, Issue 2 (Spring 1983), pp. 517-574",34 Syracuse L. Rev. 517 (1983),"Bail, Attorneys, Detention, Preventive Detention",37,14,61
"Marriage, Parentage, and Child Support [article]","Carbone, June (Cited 1110 times); Cahn, Naomi (Cited 2054 times)",2160,"Family Law Quarterly, Vol. 45, Issue 2 (Summer 2011), pp. 219-240",45 Fam. L.Q. 219 (2011-2012),"Child Support, Martial Law, Reproduction, Paternity, Presumptions",37,2,15
The Missing Piece of the Custody Puzzle: Creating a New Model of Parental Partnership [article],"Carbone, June (Cited 1110 times)",2160,"Santa Clara Law Review, Vol. 39, Issue 4 (1999), pp. 1091-1152",39 Santa Clara L. Rev. 1091 (1998-1999),"Domestic Relations, Interest, Adopted Children, Children, Best Interests of the Child, Psychiatrists and Psychologists",32,na,5
"Markets, Subsidies, Regulation, and Trust: Building Ethical Understandings into the Market for Fertility Services [comments]","Carbone, June (Cited 1110 times); Gottheim, Paige (Cited 31 times)",2160,"Journal of Gender, Race & Justice, Vol. 9, Issue 3 (Spring 2006), pp. 509-548",9 J. Gender Race & Just. 509 (2005-2006),"Regulation, Subsidies, Sexuality and the Law, Paternity",31,na,25
Between Private Ordering and Public Fiat: A New Paradigm for Family Law Decision-Making [article],"Fink, Howard (Cited 59 times); Carbone, June (Cited 1110 times)",2160,"Journal of Law & Family Studies, Vol. 5, Issue 1 (2003), pp. 1-70",5 J.L. & Fam. Stud. 1 (2003),"Contracts, Family Responsibility/Support Laws, Domestic Relations, Law and Society",26,na,9
Nonmarriage [article],"Carbone, June (Cited 1110 times); Cahn, Naomi (Cited 2054 times)",2160,"Maryland Law Review, Vol. 76, Issue 1 (2016), pp. 55-121",76 Md. L. Rev. 55 (2016-2017),"Law and Society, Domestic Relations, Sexual Orientation, Civil Rights, Discrimination, Legal History, Martial Law",26,na,41
The Triple System of Family Law [article],"Carbone, June (Cited 1110 times); Cahn, Naomi (Cited 2054 times)",2160,"Michigan State Law Review, Vol. 2013, Issue 4 (2013), pp. 1185-1230",2013 Mich. St. L. Rev. 1185 (2013),"Family Responsibility/Support Laws, Child Support, Domestic Relations, Juveniles, Paternity",25,na,13
"The Futility of Coherence: The ALI's Principles of the Law of Family Dissolution, Compensatory Spousal Payments [article]","Carbone, June (Cited 1110 times)",2160,"Journal of Law & Family Studies, Vol. 4, pp. 43-78",4 J.L. & Fam. Stud. 43 (2002),"Alimony, Spousal Support",25,1,5
The Role of Contract Principles in Determining the Validity of Surrogacy Contracts [article],"Carbone, June R. (Cited 1110 times)",2160,"Santa Clara Law Review, Vol. 28, Issue 3 (1988), pp. 581-610",28 Santa Clara L. Rev. 581 (1988),"Contracts, Domestic Relations, Surrogate Parenthood, Artificial Insemination, Reproduction",25,na,16
Deep Purple: Religious Shades of Family Law [article],"Cahn, Naomi (Cited 2054 times); Carbone, June (Cited 1110 times)",2160,"West Virginia Law Review, Vol. 110, Issue 1 (Fall 2007), pp. 459-500",110 W. Va. L. Rev. 459 (2007-2008),"Domestic Relations, Family Responsibility/Support Laws, Education Law, Public Schools, Religion, Schools, Sex, Sex Education, Sexuality and the Law",25,na,8
The Role of Adoption in Winning Public Recognition for Adult Partnerships [article],"Carbone, June (Cited 1110 times)",2160,"Capital University Law Review, Vol. 35, Issue 2 (Winter 2006), pp. 341-398",35 Cap. U. L. Rev. 341 (2006-2007),"Adopted Children, Partnerships, Reproduction, Race",22,na,2
Embryo Fundamentalism [article],"Carbone, June (Cited 1110 times); Cahn, Naomi (Cited 2054 times)",2160,"William & Mary Bill of Rights Journal, Vol. 18, Issue 4 (May 2010), pp. 1015-1052",18 Wm. & Mary Bill Rts. J. 1015 (2009-2010),"Medical Jurisprudence, Sexuality and the Law, Contracts",19,na,15
Out of the Channel and into the Swamp: How Family Law Fails in a New Era of Class Division [article],"Carbone, June (Cited 1110 times)",2160,"Hofstra Law Review, Vol. 39, Issue 4 (Summer 2011), pp. 859-896",39 Hofstra L. Rev. 859 (2010-2011),"Domestic Relations, Family Responsibility/Support Laws, Law and Society, Martial Law",16,na,5
"Unpacking Inequality and Class: Family, gender and the Reconstruction of Class Barriers [article]","Carbone, June (Cited 1110 times)",2160,"New England Law Review, Vol. 45, Issue 3 (Spring 2011), pp. 527-568",45 New Eng. L. Rev. 527 (2010-2011),"Economics, Gender, Law and Society, Domestic Relations, Race",16,na,16
"Marriage as a State of Mind: Federalism, Contract, and the Expressive Interest in Family Law [article]","Carbone, June (Cited 1110 times)",2160,"Michigan State Law Review, Vol. 2011, Issue 1 (2011), pp. 49-82",2011 Mich. St. L. Rev. 49 (2011),"Family Responsibility/Support Laws, Federalism, Interest, Martial Law, Sexuality and the Law, Domestic Relations",15,na,4
Morality: Public Policy and the Family: The Role of Marriage and the Public/Private Divide [comments],"Carbone, June (Cited 1110 times)",2160,"Santa Clara Law Review, Vol. 36, Issue 2 (1996), pp. 267-286",36 Santa Clara L. Rev. 267 (1995-1996),"Martial Law, Public Policy, Regulation, Feminism, Race",15,na,17
"If I Say Yes to Regulation Today, Will You Still Respect Me in the Morning [article]","Carbone, June (Cited 1110 times)",2160,"George Washington Law Review, Vol. 76, Issue 6 (September 2008), pp. 1747-1771",76 Geo. Wash. L. Rev. 1747 (2007-2008),"Regulation, Reproduction",15,na,4
Judging Families [article],"Carbone, June (Cited 1110 times); Cahn, Naomi (Cited 2054 times)",2160,"UMKC Law Review, Vol. 77, Issue 2 (Winter 2008), pp. 267-306",77 UMKC L. Rev. 267 (2008-2009),"Judges, Politics, Race, Abortion, Jurisprudence, Law and Society, Torture",13,na,7
Child Custody and the Best Interests of Children A Review of From Father's Property to children's Rights: The Hostory of Child Custody in the United States [reviews],"Carbone, June (Cited 1110 times)",2160,"Family Law Quarterly, Vol. 29, Issue 3 (Fall 1995), pp. 721-740",29 Fam. L.Q. 721 (1995-1996),"Child Custody, Penology, Legal Profession, Securities Law, History",13,na,7
Marriage and the Marital Presumption Post-Obergefell [article],"Carbone, June (Cited 1110 times); Cahn, Naomi (Cited 2054 times)",2160,"UMKC Law Review, Vol. 84, Issue 3 (Spring 2016), pp. 663-674",84 UMKC L. Rev. 663 (2015-2016),"Martial Law, Reproduction, Paternity, Presumptions, Domestic Relations, Medical Jurisprudence",13,na,40
"Age Matters: Class, Family Formation, and Inequality [article]","Carbone, June (Cited 1110 times)",2160,"Santa Clara Law Review, Vol. 48, Issue 4 (2008), pp. 901-958",48 Santa Clara L. Rev. 901 (2008),"Age, Education Law, Sex, Women",12,na,5
Negating the Genetic Tie: Does the Law Encourage Unnecessary Risks [article],"Carbone, June (Cited 1110 times)",2160,"UMKC Law Review, Vol. 79, Issue 2 (Winter 2010), pp. 333-360",79 UMKC L. Rev. 333 (2010-2011),"Medical Jurisprudence, Sexuality and the Law, Agency, Reproduction, Contracts, Gender, Surrogate Parenthood",12,na,5
From Partners to Parents Revisited: How Will Ideas of Partnership Influence the Emerging Definition of California Parenthood [article],"Carbone, June (Cited 1110 times)",2160,"Whittier Journal of Child and Family Advocacy, Vol. 7, Issue 1 (Fall 2007), pp. 3-62",7 Whittier J. Child. & Fam. Advoc. 3 (2007-2008),"Parents and Children, Family Responsibility/Support Laws, Sex, Sexuality and the Law, Third Parties",11,na,9
The End of Men or the Rebirth of Class [article],"Carbone, June (Cited 1110 times); Cahn, Naomi (Cited 2054 times)",2160,"Boston University Law Review, Vol. 93, Issue 3 (May 2013), pp. 871-896",93 B.U. L. Rev. 871 (2013),"Gender, Reproduction, Martial Law, Employment, Employment Practice, Women",10,na,22
The Death of the Firm [article],"Carbone, June (Cited 1110 times); Levit, Nancy (Cited 1148 times)",2160,"Minnesota Law Review, Vol. 101, Issue 3 (February 2017), pp. 963-1030",101 Minn. L. Rev. 963 (2016-2017),"Business Organizations, Death, Economics, Labor, Discrimination, Employment, Employment Discrimination, Gender, Civil Rights, Health",9,na,37
"Parents, Babies, and More Parents [article]","Carbone, June (Cited 1110 times); Cahn, Naomi (Cited 2054 times)",2160,"Chicago-Kent Law Review, Vol. 92, Issue 1 (2017), pp. 9-54",92 Chi.-Kent L. Rev. 9 (2017),"Parents and Children, Inheritance, Domestic Relations",7,na,22
The Biological Basis of Commitment: Does One Size Fit All [article],"Carbone, June (Cited 1110 times); Cahn, Naomi (Cited 2054 times)",2160,"Women's Rights Law Reporter, Vol. 25, Issue 4 (Fall 2004), pp. 223-248",25 Women's Rts. L. Rep. 223 (2003-2004),"Commitment, Science and Technology, Sociology, Statistics",7,na,3
