Title,Author(s),ID,Journal,BBCite,Topics,Cited (articles),Cited (cases),Accessed
State Immigration Laws and Federal Supremacy [article],"Manheim, Karl (Cited 187 times)",7264,"Hastings Constitutional Law Quarterly, Vol. 22, Issue 4 (Summer 1994), pp. 939-1018",22 Hastings Const. L.Q. 939 (1994-1995),"Immigration Law, Jurisdiction, State and Local Government Law, Foreign Affairs",56,2,34
New-Age Federalism and the Market Participant Doctrine [article],"Manheim, Karl (Cited 187 times)",7264,"Arizona State Law Journal, Vol. 22, Issue 3 (Fall 1990), pp. 559-624",22 Ariz. St. L.J. 559 (1990),"Age, Federalism, States",36,2,8
Tenant Eviction Protection and the Takings Clause [article],"Manheim, Karl (Cited 187 times)",7264,"Wisconsin Law Review, Vol. 1989, Issue 5 (1989), pp. 925-1020",1989 Wis. L. Rev. 925 (1989),"Eviction, Landlord and Tenant Law, Takings, Takings Clause, Civil Rights, Homelessness, Law and Society, Legal History, Courts",28,9,37
A Structural Theory of the Initiative Power in California [article],"Manheim, Karl (Cited 187 times); Howard, Edward P. (Cited 27 times)",7264,"Loyola of Los Angeles Law Review, Vol. 31, Issue 4 (June 1998), pp. 1165-1238",31 Loy. L. A. L. Rev. 1165 (1997-1998),"Government, Politics, Federalism, Habeas Corpus, Constitutional Law, Debts, Investigations, Separation, Separation of Powers",27,2,10
Introduction [comments],"Heinrich, Alan (Cited 18 times); Manheim, Karl (Cited 187 times); Steele, David J. (Cited 11 times)",7264,"Loyola of Los Angeles Law Review, Vol. 33, Issue 3 (April 2000), pp. 1035-1054",33 Loy. L. A. L. Rev. 1035 (1999-2000),"Civil Rights, Discrimination, Genetic Information, Genetic Testing, Labor, Developing Countries",11,na,na
Symposium on the California Initiative Process: Introduction [article],"Manheim, Karl (Cited 187 times)",7264,"Loyola of Los Angeles Law Review, Vol. 31, Issue 4 (June 1998), pp. 1161-1164",31 Loy. L. A. L. Rev. 1161 (1997-1998),"Environmental Law, Legislation, Handicapped, Immigration Law, Statutes",9,na,7
Celebration of Charter Day and the 500th Anniversary of the Beginning of Thomas More's Study of Law [comments],"O'Malley, Thomas (Cited 6 times); Gaffney, Edward (Cited 6 times); Lucas, Malcolm M. (Cited 18 times); Manheim, Karl (Cited 187 times)",7264,"Loyola of Los Angeles Law Review, Vol. 30, Issue 4 (June 1997), pp. 1465-1496",30 Loy. L. A. L. Rev. 1465 (1996-1997),"Legal Systems, Minorities, Names",6,na,12
"Rebooting California - Initiatives, Conventions and Government Reform [comments]","Manheim, Karl (Cited 187 times); Caragozian, John S. (Cited 9 times); Warner, Donald (Cited 5 times)",7264,"Loyola of Los Angeles Law Review, Vol. 44, Issue 2 (Winter 2011), pp. 393-436",44 Loy. L. A. L. Rev. 393 (2010-2011),"Constitutional Law, Government, Legislation, Politics, Jurisdiction, Sexual Orientation, Standing, State and Local Government Law, Martial Law",4,na,5
The Business of the California Supreme Court: A Comparative Study [article],"Manheim, Karl (Cited 187 times)",7264,"Loyola of Los Angeles Law Review, Vol. 26, Issue 4 (June 1993), pp. 1085-1132",26 Loy. L. A. L. Rev. 1085 (1992-1993),"Courts, Judges",2,1,1
The Business of the California Supreme Court: A Comparative Study [article],"Manheim, Karl (Cited 187 times)",7264,"Loyola of Los Angeles Law Review, Vol. 26, Issue 4 (June 1993), pp. 1085-1132",26 Loy. L. A. L. Rev. 1085 (1992-1993),"Courts, Judges",2,1,na
Rent Control in the New Lochner Era [article],"Manheim, Karl (Cited 187 times)",7264,"UCLA Journal of Environmental Law and Policy, Vol. 23, Issue 2 (2005), pp. 211-272",23 UCLA J. Envtl. L. & Pol'y 211 (2005),"Constitutional Law, Rent, Rent Control, Landlord and Tenant Law, Takings, Takings Clause, Eviction",2,na,8
