Title,Author(s),ID,Journal,BBCite,Topics,Cited (articles),Cited (cases),Accessed
After the Bailout: Regulating Systemic Moral Hazard [comments],"Okamoto, Karl S. (Cited 256 times)",843,"UCLA Law Review , Vol. 57, Issue 1 (October 2009), pp. 183-236",57 UCLA L. Rev. 183 (2009-2010),"Law and Society, Banking, Business Organizations, Securities Law, Regulation",70,na,56
Reputation and the Value of Lawyers [article],"Okamoto, Karl S. (Cited 256 times)",843,"Oregon Law Review, Vol. 74, Issue 1 (Spring 1995), pp. 15-56",74 Or. L. Rev. 15 (1995),"Education Law, Legal Education, Legal Profession, Schools, Architects",59,na,22
Learning and Learning-to-Learn by Doing: Simulating Corporate Practice in Law School [article],"Okamoto, Karl S. (Cited 256 times)",843,"Journal of Legal Education, Vol. 45, Issue 4 (December 1995), pp. 498-512",45 J. Legal Educ. 498 (1995),"Conflict of Laws, Biotechnology, Intellectual Property Law, Legal Education",30,na,21
The Supreme Court's Literalism and the Definition of Security in the State Courts [article],"Branson, Douglas M. (Cited 939 times); Okamoto, Karl Shumpei (Cited 256 times)",843,"Washington and Lee Law Review, Vol. 50, Issue 3 (Summe 1993), pp. 1043-1092",50 Wash. & Lee L. Rev. 1043 (1993),"Courts, Jurisprudence, Securities Law",29,1,24
Teaching Transactional Lawyering [article],"Okamoto, Karl S. (Cited 256 times)",843,"Drexel Law Review, Vol. 1, Issue 1 (Winter/Spring 2009), pp. 69-124",1 Drexel L. Rev. 69 (2009),"Legal Education, Legal Profession",21,na,19
Risk Taking [article],"Okamoto, Karl S. (Cited 256 times); Edwards, Douglas O. (Cited 28 times)",843,"Cardozo Law Review, Vol. 32, Issue 1 (September 2010), pp. 159-224",32 Cardozo L. Rev. 159 (2010-2011),"Banking, Corporations, Economics, Money, Regulation, Risk Management",17,na,59
Rereading Section 16(b) of the Securities Exchange Act [article],"Okamoto, Karl Shumpei (Cited 256 times)",843,"Georgia Law Review, Vol. 27, Issue 1 (Fall 1992), pp. 183-252",27 Ga. L. Rev. 183 (1992-1993),"Securities Law, Corporations, Insider Trading",14,na,na
Measuring the Tax Subsidy in Private Equity and Hedge Fund Compensation [article],"Brennan, Thomas J. (Cited 63 times); Okamoto, Karl S. (Cited 256 times)",843,"Hastings Law Journal , Vol. 60, Issue 1 (2008-2009), pp. 27-60",60 Hastings L.J. 27 (2008-2009),"Compensation, Equity, Securities Law, Taxation-Federal Income, Ethics, Interest, Taxation",8,na,4
Oversimplification and the SEC's Treatment of Derivative Securites Trading by Corporate Insiders [article],"Okamoto, Karl Shumpei (Cited 256 times)",843,"Wisconsin Law Review, Vol. 1993, Issue 5 (1993), pp. 1287-1336",1993 Wis. L. Rev. 1287 (1993),"Corporations, Securities Law, Liability, Regulation",6,na,2
Desperately Seeking(A) Stevens (Who Cares about the Federal Securities Laws) [article],"Okamoto, Karl Shumpei (Cited 256 times)",843,"Rutgers Law Journal, Vol. 27, Issue 3 (Spring 1996), pp. 627-636",27 Rutgers L.J. 627 (1995-1996),"Securities Law, Fraud, Sales",1,na,1
Experiential Learning: Simulated Client Interviews & Videos in the Classrooms [article],"Bowers, Stacey; Dunck, Shelley (Cited 2 times); Okamoto, Karl (Cited 256 times)",843,"Transactions: The Tennessee Journal of Business Law, Vol. 18, Issue 2 (Winter 2016), pp. 355-380",18 Transactions: Tenn. J. Bus. L. 355 (2016-2017),"Attorneys, Divorce, Students",1,na,15
Transactional Centers and Certificate Programs [article],"Worley, John J. (Cited 16 times); Okamoto, Karl (Cited 256 times); Porter, Sherry (Cited 1 times)",843,"Transactions: The Tennessee Journal of Business Law, Vol. 12, Special Issue (2011), pp. 299-324",12 Transactions: Tenn. J. Bus. L. 299 (2010-2011),"Comparative Law, Comparative Law, Education Law, Health, Health Law, Students",1,na,4
Simulations: Collaborative Experiential Learning [article],"Finkelstein, Jay; Okamoto, Karl (Cited 256 times)",843,"Transactions: The Tennessee Journal of Business Law, Vol. 14, Issue 3 (2013), pp. 419-446",14 Transactions: Tenn. J. Bus. L. 419 (2012-2013),"Schools, Corporations, Law Students, Legal Education, Students",na,na,5
A Law & (and) Personal Finance View of Legal Origins Theory [article],"Okamoto, Karl S. (Cited 256 times)",843,"Brigham Young University Law Review, Vol. 2009, Issue 6 (2009), pp. 1635-1646",2009 BYU L. Rev. 1635 (2009),"Antitrust, Economic Development, Economics, Evidence, Comparative Law",na,na,3
The Price Effects of Event-Risk Protection: The Results from a Natural Experiment [article],"Okamoto, Karl (Cited 256 times); Pedersen, David; Pedersen, Natalie",843,"Journal of Empirical Legal Studies, Vol. 8, Issue 4 (December 2011), pp. 878-904",8 J. Empirical Legal Stud. 878 (2011),"Economics, Securities Law, Covenants, Investment, Secured Transactions",na,na,2
