Title,Author(s),ID,Journal,BBCite,Topics,Cited (articles),Cited (cases),Accessed
The New Prosecution [article],"Levine, Kay L. (Cited 219 times)",4203,"Wake Forest Law Review, Vol. 40, Issue 4 (2005), pp. 1125-1214",40 Wake Forest L. Rev. 1125 (2005),na,49,na,12
"The Intimacy Discount: Prosecutorial Discretion, Privacy, and Equality in the Statutory Rape Caseload [article]","Levine, Kay L. (Cited 219 times)",4203,"Emory Law Journal, Vol. 55, Issue 4 (2006), pp. 691-750",55 Emory L.J. 691 (2006),"Juveniles, Privacy, Rape, Sexuality and the Law, Statutory Rape, Boundaries, Criminal Law",37,na,51
Negotiating the Boundaries of Crime and Culture: A Sociolegal Perspective on Cultural Defense Strategies [article],"Levine, Kay L. (Cited 219 times)",4203,"Law & Social Inquiry, Vol. 28, Issue 1 (Winter 2003), pp. 39-86",28 Law & Soc. Inquiry 39 (2003),"Boundaries, Criminal Law, Feminism, Women, Criminal Law",24,na,11
"No Penis, No Problem [article]","Levine, Kay L. (Cited 219 times)",4203,"Fordham Urban Law Journal, Vol. 33, Issue 2 (January 2006), pp. 357-406",33 Fordham Urb. L.J. 357 (2005-2006),"Gender, Sex, Women, Criminal Law, Juveniles, Rape, Remedies, Sexuality and the Law, Statutory Rape, Sex Offenders",23,2,22
The Cure for Young Prosecutors' Syndrome [article],"Wright, Ronald F. (Cited 1818 times); Levine, Kay L. (Cited 219 times)",4203,"Arizona Law Review, Vol. 56, Issue 4 (2014), pp. 1065-1128",56 Ariz. L. Rev. 1065 (2014),na,23,na,32
Prosecution in 3-D [article],"Levine, Kay L. (Cited 219 times); Wright, Ronald F. (Cited 1818 times)",4203,"Journal of Criminal Law and Criminology, Vol. 102, Issue 4 (Fall 2012), pp. 1119-1180",102 J. Crim. L. & Criminology 1119 (2012),"Legal Profession, Elections, Police",18,na,18
The External Evolution of Criminal Law [article],"Levine, Kay L. (Cited 219 times)",4203,"American Criminal Law Review, Vol. 45, Issue 3 (Summer 2008), pp. 1039-1100",45 Am. Crim. L. Rev. 1039 (2008),"Criminal Law, Law and Society, Mistake, Drugs",15,na,13
Strategizing the Street: How Law Matters in the Lives of Women in the Street-Level Drug Economy [article],"Levine, Kay (Cited 219 times); Mellema, Virginia (Cited 7 times)",4203,"Law & Social Inquiry , Vol. 26, Issue 1 (Winter 2001), pp. 169-208",26 Law & Soc. Inquiry 169 (2001),"Women, Domestic Relations, Martial Law, Same-Sex Marriage, Sex, Sexuality and the Law, Dogs",7,na,9
Mucho Ado about Randolph: The Supreme Court Revisits Third Party Consent [notes],"Godfrey, Stephanie M. (Cited 6 times); Levine, Kay (Cited 219 times)",4203,"Tulsa Law Review, Vol. 42, Issue 3 (Spring 2007), pp. 731-750",42 Tulsa L. Rev. 731 (2006-2007),na,6,na,1
The Law Is Not the Case: Incorporating Empirical Methods into the Culture of Case Analysis [article],"Levine, Kay L. (Cited 219 times)",4203,"University of Florida Journal of Law and Public Policy, Vol. 17, Issue 2 (August 2006), pp. 283-302",17 U. Fla. J.L. & Pub. Pol'y 283 (2006),"Equity, Trusts, Violence, Homicide, Victims, Evidence",5,na,7
Place Matters in Prosecution Research [comments],"Wright, Ronald F. (Cited 1818 times); Levine, Kay L. (Cited 219 times)",4203,"Ohio State Journal of Criminal Law, Vol. 14, Issue 2 (Spring 2017), pp. 675-704",14 Ohio St. J. Crim. L. 675 (2016-2017),"Research, Legal Profession",4,na,15
"Prosecutor Risk, Maturation, and Wrongful Conviction Practice [article]","Levine, Kay L. (Cited 219 times); Wright, Ronald F. (Cited 1818 times)",4203,"Law & Social Inquiry, Vol. 42, Issue 3 (Summer 2017), pp. 648-676",Full Text Not Currently Available in HeinOnline,"Evidence, Legal Profession, Sentencing, Misconduct, Victims",na,na,na
Images and Allusions in Prosecutors' Morality Tales [article],"Levine, Kay L. (Cited 219 times); Wright, Ronald F. (Cited 1818 times)",4203,"Virginia Journal of Criminal Law, Vol. 5, Issue 1 (2017), pp. 38-67",5 Va. J. Crim. L. 38 (2017),"Research, Legal Profession, Child Pornography, Pornography",2,na,18
Evidence Laundering in a Post-Herring World [article],"Levine, Kay L. (Cited 219 times); Turner, Jenia I. (Cited 365 times); Wright, Ronald F. (Cited 1818 times)",4203,"Journal of Criminal Law and Criminology, Vol. 106, Issue 4 (Fall 2016), pp. 627-680",106 J. Crim. L. & Criminology 627 (2016),"Evidence, Courts, Federal Courts, Law Enforcement, Criminal Law, Good Faith",2,na,15
Career Motivations of State Prosecutors [article],"Wright, Ronald F. (Cited 1818 times); Levine, Kay L. (Cited 219 times)",4203,"George Washington Law Review, Vol. 86, Issue 6 (November 2018), pp. 1667-1710",86 Geo. Wash. L. Rev. 1667 (2018),"Legal Profession, Criminal Law, Plea Bargaining, Elections, Sheriffs",1,na,43
Sharkfests and Databases: Crowdsourcing Plea Bargains [article],"Levine, Kay L. (Cited 219 times); Wright, Ronald F. (Cited 1818 times); King, Nancy J. (Cited 1450 times); Miller, Marc L. (Cited 1377 times)",4203,"Texas A&M Law Review, Vol. 6, Issue 3 (Spring 2019), pp. 653-670",6 Tex. A&M L. Rev. 653 (2018-2019),"Plea Bargaining, Research, Dispute Resolution, Legal Profession, Professional Ethics",na,na,13
When Gender Meets Sex: An Exploratory Study of Women who Seduce Adolescent Boys [article],"Levine, Kay A. (Cited 219 times)",4203,"William & Mary Journal of Women and the Law, Vol. 15, Issue 2 (Winter 2009), pp. 361-376",15 Wm. & Mary J. Women & L. 361 (2008-2009),"Gender, Sex, Women, Criminal Law, Sex Offenders, Sexuality and the Law, Child Support, Rape, Statutory Rape, Victims",na,na,3
