Title,Author(s),ID,Journal,BBCite,Topics,Cited (articles),Cited (cases),Accessed
The Neoclassical Revival in Administrative Law [article],"Werhan, Keith (Cited 389 times)",6657,"Administrative Law Review, Vol. 44, Issue 3 (Summer 1992), pp. 567-628",44 Admin. L. Rev. 567 (1992),"Administration Law, Legal History, Administration Law",67,1,7
Federalism and Separation of Powers on a Conservative Court: Currents and Cross-Currents from Justices O'Connor and Scalia [article],"Gelfand, M. David (Cited 184 times); Werhan, Keith (Cited 389 times)",6657,"Tulane Law Review, Vol. 64, Issue 6 , pp. 1443-1476",64 Tul. L. Rev. 1443 (1989-1990),"Constitutional Law, Federalism, Separation, Separation of Powers, Judges",45,na,16
The Supreme Court's Public Forum Doctrine and the Return of Formalism [article],"Werhan, Keith (Cited 389 times)",6657,"Cardozo Law Review, Vol. 7, Issue 2 (Winter 1986), pp. 335-438",7 Cardozo L. Rev. 335 (Winter 1986),"Medicaid, Abortion, Consent, Constitutional Law, Informed Consent, Legal History, Minors, Public Finance, Women",39,3,10
Delegalizing Administrative Law [article],"Werhan, Keith (Cited 389 times)",6657,"University of Illinois Law Review, Vol. 1996, Issue 2 (1996), pp. 423-466",1996 U. Ill. L. Rev. 423 (1996),"Administration Law, Administration Law, Legal History, Agency, Discrimination",36,na,22
The O'Briening of Free Speech Methodology [article],"Werhan, Keith (Cited 389 times)",6657,"Arizona State Law Journal, Vol. 19, Issue 4 (Winter 1987), pp. 635-680",19 Ariz. St. L.J. 635 (1987),"Constitutional Law, Boycotts, First Amendment, Music",36,na,1
"Liberalization of Freedom of Speech on a Conservative Court, The [article]","Werhan, Keith (Cited 389 times)",6657,"Iowa Law Review , Vol. 80, Issue 1 (October 1994), pp. 51-100",80 Iowa L. Rev. 51 (1994-95),"Freedom of Speech, Communications Law, First Amendment, Politics",24,2,16
Normalizing the Separation of Powers [article],"Werhan, Keith (Cited 389 times)",6657,"Tulane Law Review , Vol. 70, Issue 6 Part B , pp. 2681-2718",70 Tul. L. Rev. 2681 (1995-1996),"Constitutional Law, Politics, Separation, Separation of Powers, Appellate Courts, Congress, Courts, Judges, Securities Law",20,1,4
Sovereignty of Indian Tribes: A Reaffirmation and Strengthening in the 1970's [article],"Werhan, Keith M. (Cited 389 times)",6657,"Notre Dame Lawyer, Vol. 54, Issue 1 (1978), pp. 5-25",54 Notre Dame Law. 5 (1978-1979),"Sovereignty, Civil Rights",18,1,na
"Navigating the New Neutrality: School Vouchers, the Pledge, and the Limits of a Purposive Establishment Clause [comments]","Werhan, Keith (Cited 389 times)",6657,"Brandeis Law Journal, Vol. 41, Issue 3 (2003), pp. 603-630",41 Brandeis L.J. 603 (2002-2003),"Neutrality, Vouchers, Education Law, Government, Religion",17,na,1
Pullman Abstention after Pennhurst: A Comment on Judicial Federalism [article],"Werhan, Keith (Cited 389 times)",6657,"William and Mary Law Review, Vol. 27, Issue 3 (Spring 1986), pp. 449-506",27 Wm. & Mary L. Rev. 449 (1985-1986),"Federalism, Eleventh Amendment, Equity, Immunity, Jurisdiction",16,na,1
Toward an Eclectic Approach to Separation of Powers: Morrison v. Olson Examined [article],"Werhan, Keith (Cited 389 times)",6657,"Hastings Constitutional Law Quarterly, Vol. 16, Issue 3 (Spring 1989), pp. 393-452",16 Hastings Const. L.Q. 393 (1988-1989),"Separation, Separation of Powers, Ethics, Government, Legal Profession",14,na,5
Checking Congress and Balancing Federalism: A Lesson from Separation-of-Powers Jurisprudence [article],"Werhan, Keith (Cited 389 times)",6657,"Washington and Lee Law Review, Vol. 57, Issue 4 (Fall 2000), pp. 1213-1286",57 Wash. & Lee L. Rev. 1213 (2000),"Congress, Federalism, Jurisdiction, Jurisprudence, Separation, Separation of Powers, Constitutional Law, Hanging",13,na,1
Restrictions on the Right to Resign: Can a Member's Freedom to Escape the Union Rule Be Overcome by Union Boilerplate [notes],"Levin, Nelson A. (Cited 11 times); Werhan, Keith M. (Cited 389 times)",6657,"George Washington Law Review, Vol. 42, Issue 2 (January 1974), pp. 397-426",42 Geo. Wash. L. Rev. 397 (1973-1974),"Collective Bargaining, Discipline, Employees, Fines, Labor, Labor, Labor-Management Relations, Interest",11,na,1
Rethinking Freedom of the Press after 9/11 [article],"Werhan, Keith (Cited 389 times)",6657,"Tulane Law Review , Vol. 82, Issue 4 (March 2008), pp. 1561-1606",82 Tul. L. Rev. 1561 (2007-2008),"Freedom of the Press, First Amendment, Freedom of Speech",10,na,24
Federal Cause of Action against a Municipality for Fourth Amendment Violations by Its Agents [notes],"Alberta, Mark E. (Cited 9 times); Werhan, Keith M. (Cited 389 times)",6657,"George Washington Law Review, Vol. 42, Issue 4 (May 1974), pp. 850-868",42 Geo. Wash. L. Rev. 850 (1973-1974),"Cause of Action, Fourth Amendment, Joinder, Civil Rights, Immunity, Jurisdiction",9,1,na
The Classical Athenian Ancestry of American Freedom of Speech [article],"Werhan, Keith (Cited 389 times)",6657,"Supreme Court Review, Vol. 2008, pp. 293-348",2008 Sup. Ct. Rev. 293 (2008),"First Amendment, Freedom of Speech, Legal History, Civil Service, Democracy, Politics, Rule of Law",9,na,22
"Popular Constitutionalism, Ancient and Modern [article]","Werhan, Keith (Cited 389 times)",6657,"U.C. Davis Law Review, Vol. 46, Issue 1 (November 2012), pp. 65-132",46 U.C.D. L. Rev. 65 (2012-2013),"Constitutional Law, Jurisprudence, Supreme Court of the United States, Elections, Judges, Legal History",5,na,14
"Regulatory Federalism, Shaken Not Stirred [article]","Werhan, Keith (Cited 389 times)",6657,"Journal of Law & Politics, Vol. 29, Issue 1 (Fall 2013), pp. 151-188",29 J.L. & Pol. 151 (2013-2014),"Federalism, Health Law, Insurance Law, Judges, Medicaid",na,na,2
"Sovereignty of Indian Tribes: A Reaffirmation and Strengthening in the 1970's, The [article]","Werhan, Keith M. (Cited 389 times)",6657,"Immigration and Nationality Law Review, Vol. 3, pp. 273-294",3 Immigr. & Nat'lity L. Rev. 273 (1979-1980),"Sovereignty, Civil Rights",na,na,1
