Title,Author(s),ID,Journal,BBCite,Topics,Cited (articles),Cited (cases),Accessed
"Membership, Equality, and the Difference That Alienage Makes [article]","Bosniak, Linda S. (Cited 842 times)",5060,"New York University Law Review, Vol. 69, Issue 6 (December 1994), pp. 1047-1149",69 N.Y.U. L. Rev. 1047 (1994),"Administration Law, Immigration Law, Labor, Sanctions, Human Rights Law, Social Welfare Law, Fourteenth Amendment",229,3,42
Exclusion and Membership: The Dual Identity of the Undocumented Worker under United States Law [article],"Bosniak, Linda S. (Cited 842 times)",5060,"Wisconsin Law Review, Vol. 1988, Issue 6 (1988), pp. 955-1042",1988 Wis. L. Rev. 955 (1988),"Labor, States, Jurisdiction, Plastic, Supremacy Clause",166,3,40
Citizenship Denationalized [article],"Bosniak, Linda (Cited 842 times)",5060,"Indiana Journal of Global Legal Studies, Vol. 7, Issue 2 (Spring 2000), pp. 447-510",7 Ind. J. Global Legal Stud. 447 (1999-2000),"Citizenship, Boundaries, Immigration Law, Passports",126,na,132
Opposing Prop. 187: Undocumented Immigrants and the National Imagination [article],"Bosniak, Linda S. (Cited 842 times)",5060,"Connecticut Law Review, Vol. 28, Issue 3 (Spring 1996), pp. 555-620",28 Conn. L. Rev. 555 (1995-1996),"Immigrants, Immigration Law, Constitutional Law, Equal Protection",98,na,54
Constitutional Citizenship through the Prism of Alienage [article],"Bosniak, Linda (Cited 842 times)",5060,"Ohio State Law Journal, Vol. 63, Issue 5 (2002), pp. 1285-1326",63 Ohio St. L.J. 1285 (2002),"Citizenship, Constitutional Law, Immigration Law, Fourteenth Amendment",32,na,13
Universal Citizenship and the Problem of Alienage [article],"Bosniak, Linda (Cited 842 times)",5060,"Northwestern University Law Review, Vol. 94, Issue 3 (Spring 2000), pp. 963-982",94 Nw. U. L. Rev. 963 (1999-2000),"Citizenship, Law and Society",28,na,14
Being Here: Ethical Territoriality and the Rights of Immigrants [article],"Bosniak, Linda (Cited 842 times)",5060,"Theoretical Inquiries in Law, Vol. 8, Issue 2 (July 2007), pp. 389-410",8 Theoretical Inq. L. 389 (2007),"Immigration Law, Immigrants, Immigration Law, Labor, Remedies",27,na,40
"Immigrants, Preemption and Equality [comments]","Bosniak, Linda S. (Cited 842 times)",5060,"Virginia Journal of International Law, Vol. 35, Issue 1 (Fall 1994), pp. 179-200",35 Va. J. Int'l L. 179 (1994-1995),"Immigration Law, Immigrants, Refugees, Foreign Affairs, Federalism",26,na,13
"Human Rights, State Sovereignty and the Protection of Undocumented Migrants under the International Migrant Workers Convention [article]","Bosniak, Linda S. (Cited 842 times)",5060,"International Migration Review, Vol. 25, Issue 4 (December 1991), pp. 737-770",25 Int'l Migration Rev. 737 (1991),"Human Rights Law, Migrant Workers, Sovereignty, Employment, Human Rights Law",22,na,109
Multiple Nationality and the Postnational Transformation of Citizenship [article],"Bosniak, Linda (Cited 842 times)",5060,"Virginia Journal of International Law, Vol. 42, Issue 4 (Summer 2002), pp. 979-1004",42 Va. J. Int'l L. 979 (2001-2002),"Citizenship, Immigration Law",20,na,43
Varieties of Citizenship [article],"Bosniak, Linda (Cited 842 times)",5060,"Fordham Law Review, Vol. 75, Issue 5 (April 2007), pp. 2449-2454",75 Fordham L. Rev. 2449 (2006-2007),Citizenship,18,na,37
A Basic Territorial Distinction [article],"Bosniak, Linda (Cited 842 times)",5060,"Georgetown Immigration Law Journal, Vol. 16, Issue 2 (Winter 2002), pp. 407-412",16 Geo. Immigr. L.J. 407 (2001-2002),"Detention, Immigration Law, Aliens",17,3,5
Citizenship and Work [comments],"Bosniak, Linda (Cited 842 times)",5060,"North Carolina Journal of International Law and Commercial Regulation, Vol. 27, Issue 3 (Summer 2002), pp. 497-506",27 N.C.J. Int'l L. & Com. Reg. 497 (2001-2002),"Citizenship, Constitutional Law",16,na,22
Persons and Citizens in Constitutional Thought [article],"Bosniak, Linda (Cited 842 times)",5060,"International Journal of Constitutional Law, Vol. 8, Issue 1 (2010), pp. 9-29",8 Int'l J. Const. L. 9 (2010),na,9,na,19
Ethical Territoriality and the Rights of Immigrants [article],"Bosniak, Linda (Cited 842 times)",5060,"Amsterdam Law Forum, Vol. 1, Issue 1 (2008), pp. 1-9",1 Amsterdam L.F. 1 (2008-2009),"Immigrants, Immigration Law, Citizenship",3,na,23
Soil and Citizenship [article],"Bosniak, Linda (Cited 842 times)",5060,"Fordham Law Review, Vol. 82, Issue 5 (April 2014), pp. 2069-2076",82 Fordham L. Rev. 2069 (2013-2014),"Citizenship, States, Criminal Law, Equal Protection, Treason",2,na,15
Between the Domestic and the Foreign: Centering the Nation's Edges [reviews],"Bosniak, Linda (Cited 842 times)",5060,"Constitutional Commentary, Vol. 24, Issue 1 (Spring 2007), pp. 271-284",24 Const. Comment. 271 (2007),"Politics, Fifth Amendment, Corporations",2,na,6
