Title,Author(s),ID,Journal,BBCite,Topics,Cited (articles),Cited (cases),Accessed
Towards a Bargaining Theory of the Firm [article],"Utset, Manuel A. (Cited 271 times)",9455,"Cornell Law Review, Vol. 80, Issue 3 , pp. 540-611",80 Cornell L. Rev. 540 (1994-1995),"Politics, Regulation, Economics, Law and Economics, Research, Agency",49,na,12
"Reciprocal Fairness, Strategic Behavior and Venture Survival: A Theory of Venture Capital-Financed Firms [article]","Utset, Manuel A. (Cited 271 times)",9455,"Wisconsin Law Review, Vol. 2002, Issue 1 (2002), pp. 45-168",2002 Wis. L. Rev. 45 (2002),"Banking, Partnerships, Corporations, Liability, Torts",44,5,20
Complex Financial Institutions and Systemic Risk [article],"Utset, Manuel A. (Cited 271 times)",9455,"Georgia Law Review, Vol. 45, Issue 3 (Spring 2011), pp. 779-840",45 Ga. L. Rev. 779 (2010-2011),"Banking, Regulation, Securities Law",27,na,9
A Theory of Self-Control Problems and Incomplete Contracting: The Case of Shareholder Contracts [article],"Utset, Manuel A. (Cited 271 times)",9455,"Utah Law Review, Vol. 2003, Issue 4 (2003), pp. 1329-1412",2003 Utah L. Rev. 1329 (2003),"Contracts, Corporations, Close Corporations",26,na,7
Hyperbolic Criminals and Repeated Time-Inconsistent Misconduct [article],"Utset, Manuel A. (Cited 271 times)",9455,"Houston Law Review, Vol. 44, Issue 3 (Summer 2007), pp. 609-678",44 Hous. L. Rev. 609 (2007-2008),"Criminal Law, Criminals, Misconduct, Crimes",18,na,13
"Producing Information: Initial Public Offerings, Production Costs, and the Producing Lawyer [article]","Utset, Manuel A. (Cited 271 times)",9455,"Oregon Law Review, Vol. 74, Issue 1 (Spring 1995), pp. 275-314",74 Or. L. Rev. 275 (1995),"Costs, Economics, Architects, Legal Profession",16,na,14
Disciplining Managers: Shareholder Cooperation in the Shadow of Shareholder Competition [article],"Utset, Manuel A. (Cited 271 times)",9455,"Emory Law Journal, Vol. 44, Issue 1 (Winter 1995), pp. 71-116",44 Emory L. J. 71 (1995),"Voting, Corporations, Equity",14,na,12
A Model of Time-Inconsistent Misconduct: The Case of Lawyer Misconduct [comments],"Utset, Manuel A. (Cited 271 times)",9455,"Fordham Law Review, Vol. 74, Issue 3 (December 2005), pp. 1319-1352",74 Fordham L. Rev. 1319 (2005-2006),"Misconduct, Banking, Investment, Corporations",12,na,6
Is Cap-and-Trade Fair to the Poor - Shortsighted Households and the Timing of Consumption Taxes [article],"Galle, Brian (Cited 675 times); Utset, Manuel (Cited 271 times)",9455,"George Washington Law Review, Vol. 79, Issue 1 (November 2010), pp. 33-100",79 Geo. Wash. L. Rev. 33 (2010-2011),na,11,na,18
Back to School with Coase: The Production of Information and Modes of Knowledge within and Across Academic Disciplines [article],"Utset, Manuel A. (Cited 271 times)",9455,"Boston University Law Review, Vol. 75, Issue 4 (September 1995), pp. 1063-1096",75 B.U. L. Rev. 1063 (September 1995),"Economics, Jurisprudence, Copyright, Technology",11,na,4
Fraudulent Corporate Signals: Conduct as Securities Fraud [article],"Utset, Manuel A. (Cited 271 times)",9455,"Boston College Law Review, Vol. 54, Issue 2 (2013), pp. 645-710",54 B.C. L. Rev. 645 (2013),"Fraud, Securities Law, Duty of Care, Liability",8,na,7
"Corporate Actors, Corporate Crimes and Time-Inconsistent Prefaces [article]","Utset, Manuel A. (Cited 271 times)",9455,"Virginia Journal of Criminal Law, Vol. 1, Issue 2 (2013), pp. 265-328",1 Va. J. Crim. L. 265 (2012-2013),"Crimes, Misconduct, Regulation, Corporations",5,na,7
Time-Inconsistent Management & (and) the Sarbanes-Oxley Act [article],"Utset, Manuel A. (Cited 271 times)",9455,"Ohio Northern University Law Review, Vol. 31, Issue 3 (2005), pp. 417-444",31 Ohio N.U. L. Rev. 417 (2005),"Misconduct, Crimes, Banking, Investment",5,na,3
The Discipline of Institutions and the Disciplining of Banks [article],"Utset, Manuel A. (Cited 271 times)",9455,"Annual Review of Banking Law, Vol. 14, pp. 211-224",14 Ann. Rev. Banking L. 187 (1995),Discipline,5,na,na
Inchoate Crimes Revisited: A Behavioral Economics Perspective [article],"Utset, Manuel A. (Cited 271 times)",9455,"University of Richmond Law Review, Vol. 47, Issue 4 (May 2013), pp. 1205-1266",47 U. Rich. L. Rev. 1205 (2012-2013),"Crimes, Economics, Capital Punishment, Felony Murder, Murder, Sentencing",4,na,13
Telling Differences: Observational Equivalence and Wrongful Convictions [article],"Utset, Manuel A. (Cited 271 times)",9455,"Utah Law Review , Vol. 2008, Issue 1 (2008), pp. 49-88",2008 Utah L. Rev. 49 (2008),"Legal Profession, Victims, Criminal Procedure, Procedure, Evidence, Statutes",4,na,7
Financial System Engineering [article],"Utset, Manuel A. (Cited 271 times)",9455,"Review of Banking and Financial Law, Vol. 32, Issue 2 (Spring 2013), pp. 371-428",32 Rev. Banking & Fin. L. 371 (Spring 2013),"Business Organizations, Contracts, Politics",4,na,5
The Temporally Extended Family & (and) Self-Control: An Essay for Lee E. Teitelbaum [article],"Utset, Manuel A. (Cited 271 times)",9455,"Utah Law Review, Vol. 2006, Issue 1 (2006), pp. 107-134",2006 Utah L. Rev. 107 (2006),"Domestic Relations, Family Responsibility/Support Laws, Ethics, Law and Society, Professional Ethics, History",4,na,na
Emerging Markets in the Age of Mechanical Reproduction [article],"Utset, Manuel A. (Cited 271 times)",9455,"Boston University International Law Journal, Vol. 13, Issue 2 (Fall 1995), pp. 351-366",13 B.U. Int'l L. J. 351 (1995),"Age, Reproduction, Names, Water Law, Labor",2,na,1
High-Powered (Mis)Incentives and Venture-Capital Contractors [article],"Utset, Manuel A. (Cited 271 times)",9455,"Ohio State Entrepreneurial Business Law Journal, Vol. 7, Issue 1 (2012), pp. 45-94",7 Ohio St. Entrepren. Bus. L.J. 45 (2012),"Contractors, Age, Banking, Corporations",1,na,6
Rational Financial Meltdowns [article],"Utset, Manuel A. (Cited 271 times)",9455,"Hastings Business Law Journal, Vol. 10, Issue 2 (Summer 2014), pp. 407-450",10 Hastings Bus. L.J. 407 (2013-2014),"Economics, Securities Law, European Union, Regulation",1,na,2
