Title,Author(s),ID,Journal,BBCite,Topics,Cited (articles),Cited (cases),Accessed
Rethinking the Involuntary Confession Rule: Toward a Workable Test for Identifying Compelled Self-Incrimination [article],"Godsey, Mark A. (Cited 267 times)",6951,"California Law Review, Vol. 93, Issue 2 (March 2005), pp. 465-540",93 Calif. L. Rev. 465 (March 2005),"Self-Incrimination, Criminal Law, Evidence",53,1,19
Reformulating the Miranda Warnings in Light of Contemporary Law and Understandings [article],"Godsey, Mark A. (Cited 267 times)",6951,"Minnesota Law Review, Vol. 90, Issue 4 (April 2006), pp. 781-825",90 Minn. L. Rev. 781 (2005-2006),"Criminal Law, Confessions, Mentally Retarded, Psychiatrists and Psychologists, Evidence, Law and Society",43,2,7
"Miranda's Final Frontier--The International Arena: A Critical Analysis of United States v. Bin Laden, and a Proposal for a New Miranda Exception Abroad [article]","Godsey, Mark A. (Cited 267 times)",6951,"Duke Law Journal, Vol. 51, Issue 6 (April 2002), pp. 1703-1782",51 Duke L.J. 1703 (2001-2002),"Criminal Law, International Law: History, States, War, Constitutional Law, Terrorism",35,na,2
The New Frontier of Constitutional Confession Law - The International Arena: Exploring the Admissibility of Confessions Taken by U.S. Investigators from Non-Americans Abroad [article],"Godsey, Mark A. (Cited 267 times)",6951,"Georgetown Law Journal, Vol. 91, Issue 4 (April 2003), pp. 851-912",91 Geo. L.J. 851 (2002-2003),"Confessions, Criminal Law, Evidence, International Law: History, Fifth Amendment, Self-Incrimination, Globalization, Law Enforcement, Law Enforcement",28,1,2
The Innocence Revolution and Our Evolving Standards of Decency in Death Penalty Jurisprudence [article],"Godsey, Mark A. (Cited 267 times); Pulley, Thomas (Cited 26 times)",6951,"University of Dayton Law Review, Vol. 29, Issue 2 (2004), pp. 265-292",29 U. Dayton L. Rev. 265 (2003-2004),"Death, Jurisprudence, Post-Conviction Remedies, Revolution, Law and Society",25,na,58
When Terry Met Miranda: Two Constitutional Doctrines Collide [article],"Godsey, Mark A. (Cited 267 times)",6951,"Fordham Law Review, Vol. 63, Issue 3 (December 1994), pp. 715-748",63 Fordham L. Rev. 715 (December 1994),"Fourth Amendment, States, Criminal Law",21,5,3
"Going Home to Stay: A Review of Collateral Consequences of Conviction, Post-Incarceration Employment, and Recidivism in Ohio [article]","Freisthler, Marlaina (Cited 19 times); Godsey, Mark A. (Cited 267 times)",6951,"University of Toledo Law Review, Vol. 36, Issue 3 (Spring 2005), pp. 525-544",36 U. Tol. L. Rev. 525 (2004-2005),"Employment, Employment Practice, Recidivism, Sentencing, Criminal Law, Law Enforcement",19,na,57
"Reliability Lost, False Confessions Discovered [article]","Godsey, Mark A. (Cited 267 times)",6951,"Chapman Law Review, Vol. 10, Issue 3 (Spring 2007), pp. 623-630",10 Chap. L. Rev. 623 (2006-2007),"Confessions, Law Enforcement, Criminal Law",12,1,10
"Educational Inequalities, the Myth of Meritocracy, and the Silencing of Minority Voices: The Need for Diversity on America's Law Reviews [article]","Godsey, Mark A. (Cited 267 times)",6951,"Harvard Blackletter Law Journal, Vol. 12, pp. 59-92",12 Harv. Blackletter L. J. 59 (1995),"Legal Education, Legal Writing, Code of Professional Responsibility",9,na,25
She Blinded Me with Science: Wrongful Convictions and the Reverse CSI-Effect [article],"Godsey, Mark A. (Cited 267 times); Alou, Marie (Cited 8 times)",6951,"Texas Wesleyan Law Review, Vol. 17, Issue 4 (2011), pp. 481-498",17 Tex. Wesleyan L. Rev. 481 (2010-2011),"Evidence, Science and Technology, Jury, Judges",8,3,70
"False Justice and the True Prosecutor: A Memoir, a Tribute, and Commentary [comments]","Godsey, Mark A. (Cited 267 times)",6951,"Ohio State Journal of Criminal Law, Vol. 9, Issue 2 (Spring 2012), pp. 789-814",9 Ohio St. J. Crim. L. 789 (2011-2012),"Accounting, Probate Law, Aids, Religion, Sexuality and the Law",5,2,6
Privacy and the Growing Plight of the Homeless: Reconsidering the Values Underlying the Fourth Amendment [comments],"Godsey, Mark A. (Cited 267 times)",6951,"Ohio State Law Journal, Vol. 53, Issue 3 (1992), pp. 869-890",53 Ohio St. L.J. 869 (1992),"Fourth Amendment, Privacy, Constitutional Law, Criminal Law",4,na,5
Shining the Bright Light on Police Interrogation in America [reviews],"Godsey, Mark A. (Cited 267 times)",6951,"Ohio State Journal of Criminal Law, Vol. 6, Issue 2 (Spring 2009), pp. 711-736",6 Ohio St. J. Crim. L. 711 (2008-2009),"Law Enforcement, Confessions, Interrogations, Police, History",3,2,16
Symposium: An International Exploration of Wrongful Conviction: Introduction [comments],"Godsey, Mark (Cited 267 times)",6951,"University of Cincinnati Law Review, Vol. 80, Issue 4 (Summer 2012), pp. 1067-1068",80 U. Cin. L. Rev. 1067 (Summer 2012),"Death, Jurisprudence, Post-Conviction Remedies, Revolution, Public Records, Records, Misdemeanors",2,na,21
