Title,Author(s),ID,Journal,BBCite,Topics,Cited (articles),Cited (cases),Accessed
Exorcism of Ignorance as a Proxy for Rational Knowledge: The Lessons of Handwriting Identification Expertise [article],"Risinger, D. Michael (Cited 1700 times); Denbeaux, Mark P. (Cited 299 times); Saks, Michael J. (Cited 2443 times)",9031,"University of Pennsylvania Law Review, Vol. 137, Issue 3 (January 1989), pp. 731-792",137 U. Pa. L. Rev. 731 (1988-1989),"Evidence, Identification, Liberty, Courts",120,10,36
Kumho Tire and Expert Reliability: How the Question You Ask Gives the Answer You Get [article],"Denbeaux, Mark P. (Cited 299 times); Risinger, D. Michael (Cited 1700 times)",9031,"Seton Hall Law Review, Vol. 34, Issue 1 (2003), pp. 15-76",34 Seton Hall L. Rev. 15 (2003-2004),"Evidence, Procedure, Science and Technology, Attorneys, Obligations, Scientific Evidence",50,1,8
First Word of the First Amendment [article],"Denbeaux, Mark P. (Cited 299 times)",9031,"Northwestern University Law Review, Vol. 80, Issue 5 , pp. 1156-1220",80 Nw. U. L. Rev. 1156 (1985-1986),"First Amendment, Nuisance, Obscenity, Regulation, Remedies, Statutes, States",45,4,13
Brave New Post-Daubert World - A Reply to Professor Moenssens [article],"Risinger, D. Michael (Cited 1700 times); Denbeaux, Mark P. (Cited 299 times); Saks, Michael J. (Cited 2443 times)",9031,"Seton Hall Law Review, Vol. 29, Issue 2 (1998), pp. 405-490",29 Seton Hall L. Rev. 405 (1998-1999),"Identification, Courts, Testimony",33,3,1
Questioning Questions: Objections to Form in the Interrogation of Witnesses [article],"Denbeaux, Mark P. (Cited 299 times); Risinger, D. Michael (Cited 1700 times)",9031,"Arkansas Law Review, Vol. 33, Issue 3 (1979), pp. 439-489",33 Ark. L. Rev. 439 (1979-1980),"Witnesses, Evidence, Depositions, Sanctions",12,1,18
The Attorney-Client Relationship in Guantanamo Bay [article],"Denbeaux, Mark (Cited 299 times); Boyd-Nafstad, Christa (Cited 10 times)",9031,"Fordham International Law Journal, Vol. 30, Issue 3 (February 2007), pp. 491-508",30 Fordham Int'l L.J. 491 (February 2007),"Legal Profession, Legal Education, Professional Ethics, Research",10,na,2
"Trust, Cynicism, and Machiavellianism among Entering First-Year Law Students [article]","Katz, Alan N. (Cited 10 times); Denbeaux, Mark P. (Cited 299 times)",9031,"Journal of Urban Law, Vol. 53, Issue 3 (February 1976), pp. 397-412",53 J. Urb. L. 397 (1975-1976),"Law Students, Students, Legal Education, Psychiatrists and Psychologists",10,na,3
Restitution and Mass Actions: A Solution to the Problems of Class Actions [article],"Denbeaux, Mark P. (Cited 299 times)",9031,"Seton Hall Law Review, Vol. 10, Issue 2 (1979), pp. 273-314",10 Seton Hall L. Rev. 273 (1979-1980),"Class Actions, Restitution",6,na,3
No-Hearing Hearings: An Analysis of the Proceedings of the Combatant Status Review Tribunals at Guantanamo [article],"Denbeaux, Mark (Cited 299 times); Denbeaux, Joshua (Cited 12 times); Gratz, David (Cited 10 times); Gregorek, John (Cited 7 times)",9031,"Seton Hall Law Review, Vol. 41, Issue 4 (2011), pp. 1231-1268",41 Seton Hall L. Rev. 1231 (2011),"Courts, Government, Criminal Law, Military Law, Terrorism, War",5,na,2
Report on Guantanamo Detainees: A Profile of 517 Detainees through Analysis of Department of Defense Data [article],"Denbeaux, Mark (Cited 299 times); Denbeaux, Joshua (Cited 12 times); Gratz, David (Cited 10 times); Gregorek, John (Cited 7 times)",9031,"Seton Hall Law Review, Vol. 41, Issue 4 (2011), pp. 1211-1230",41 Seton Hall L. Rev. 1211 (2011),"Courts, Criminal Law, Military Law, Terrorism, War, Remedies",2,na,12
Captured on Tape: Interrogation and Videotaping of Detainees at Guantanamo [article],"Denbeaux, Mark (Cited 299 times); Denbeaux, Joshua (Cited 12 times); Darby, Matthew (Cited 2 times); Deutsch, Adam (Cited 4 times)",9031,"Seton Hall Law Review, Vol. 41, Issue 4 (2011), pp. 1307-1318",41 Seton Hall L. Rev. 1307 (2011),"Records, Military Law, Torture",2,na,6
Profile of Released Guantanamo Detainees: The Government's Story Then and Now [article],"Denbeaux, Mark (Cited 299 times); Denbeaux, Joshua (Cited 12 times); Deutsch, Adam (Cited 4 times); Gratz, David (Cited 10 times)",9031,"Seton Hall Law Review, Vol. 41, Issue 4 (2011), pp. 1287-1306",41 Seton Hall L. Rev. 1287 (2011),"Government, Courts, Detention",2,na,2
"Torture, Who Knew - An Analysis of the FBI and Department of Defense Reactions to Harsh Interrogation Methods at Guantanamo [article]","Denbeaux, Mark (Cited 299 times); Denbeaux, Joshua (Cited 12 times); Gratz, David (Cited 10 times); Sassaman, Megan (Cited 1 times)",9031,"Seton Hall Law Review, Vol. 41, Issue 4 (2011), pp. 1319-1338",41 Seton Hall L. Rev. 1319 (2011),"Torture, Courts, Age, Military Law",1,na,9
National Security Deserves Better: Off Recidivism Numbers Undermine the Guantanamo Policy Debate [notes],"Denbeaux, Mark (Cited 299 times); Taylor, Paul W. (Cited 1 times)",9031,"Seton Hall Law Review, Vol. 43, Issue 2 (2013), pp. 643-[xxi]",43 Seton Hall L. Rev. 643 (2013),"National Security, Recidivism, International Law: History, Military Law, Due Process, Due Process",1,na,3
The Guantanamo Detainees during Detention: Data from Department of Defense Records [article],"Denbeaux, Mark (Cited 299 times); Denbeaux, Joshua (Cited 12 times); Gratz, David (Cited 10 times); Gregorek, John (Cited 7 times)",9031,"Seton Hall Law Review, Vol. 41, Issue 4 (2011), pp. 1269-1286",41 Seton Hall L. Rev. 1269 (2011),"Detention, Records, Government, Courts",na,na,3
