Title,Author(s),ID,Journal,BBCite,Topics,Cited (articles),Cited (cases),Accessed
Fathers and Parental Leave [article],"Malin, Martin H. (Cited 807 times)",6534,"Texas Law Review, Vol. 72, Issue 5 (April 1994), pp. 1047-1096",72 Tex. L. Rev. 1047 (1993-1994),"Domestic Relations, Labor, Gender, States",109,na,95
Privatizing Justice: A Jurisprudential Perspective on Labor and Employment Arbitration from the Steelworkers Trilogy to Gilmer [article],"Malin, Martin H. (Cited 807 times); Ladenson, Robert F. (Cited 98 times)",6534,"Hastings Law Journal, Vol. 44, Issue 6 (August 1993), pp. 1187-1240",44 Hastings L.J. 1187 (1992-1993),"Arbitration, Dispute Resolution, Employment, Labor, Labor, Binding Arbitration, Law and Society",98,3,15
The National Labor Relations Act in Cyberspace: Union Organizing in Electronic Workplaces [article],"Malin, Martin H. (Cited 807 times); Perritt, Henry H. Jr. (Cited 1334 times)",6534,"University of Kansas Law Review, Vol. 49, Issue 1 (November 2000), pp. 1-64",49 U. Kan. L. Rev. 1 (2000-2001),"Labor, Labor, Labor-Management Relations, Employees, Elections, Misconduct",49,na,6
Arbitrating Statutory Employment Claims in the Aftermath of Gilmer [article],"Malin, Martin H. (Cited 807 times)",6534,"Saint Louis University Law Journal, Vol. 40, Issue 1 (Winter 1996), pp. 77-106",40 St. Louis U. L.J. 77 (1995-1996),"Employment, Arbitration, Discrimination, Dispute Resolution, Employment Discrimination, Trials",48,4,3
Protecting the Whistleblower from Retaliatory Discharge [article],"Malin, Martin H. (Cited 807 times)",6534,"University of Michigan Journal of Law Reform, Vol. 16, Issue 2 (Winter 1983), pp. 277-318",16 U. Mich. J.L. Reform 277 (1982-1983),"Retaliatory Discharge, Statutes, Whistleblowers",48,2,25
Privatizing Justice--But by How Much--Questions Gilmer Did Not Answer [article],"Malin, Martin H. (Cited 807 times)",6534,"Ohio State Journal on Dispute Resolution, Vol. 16, Issue 3 (2001), pp. 589-632",16 Ohio St. J. Disp. Resol. 589 (2000-2001),"Arbitration, Dispute Resolution, Labor, Discrimination, Employment, Employment Discrimination, Employment Practice, Due Process, Regulation",42,na,10
Fathers and Parental Leave Revisited [article],"Malin, Martin H. (Cited 807 times)",6534,"Northern Illinois University Law Review, Vol. 19, Issue 1 (Fall 1998), pp. 25-56",19 N. Ill. U. L. Rev. 25 (1998-1999),"Domestic Relations, Labor, Evidence, Gender, Parents and Children",39,na,13
The Paradox of Public Sector Labor Law [comments],"Malin, Martin H. (Cited 807 times)",6534,"Indiana Law Journal, Vol. 84, Issue 4 (Fall 2009), pp. 1369-1400",84 Ind. L.J. 1369 (2009),"Labor, Labor, Politics, Collective Bargaining, Employment",37,na,7
Public Employees' Right to Strike: Law and Experience [article],"Malin, Martin H. (Cited 807 times)",6534,"University of Michigan Journal of Law Reform, Vol. 26, Issue 2 (Winter 1993), pp. 313-402",26 U. Mich. J.L. Reform 313 (1992-1993),"Employees, Public Employees, Right to Strike, Arbitration, Interest, Interest Arbitration, Dispute Resolution",31,na,20
The Arbitration Fairness Act: It Need Not and Should Not Be an All or Nothing Proposition [article],"Malin, Martin H. (Cited 807 times)",6534,"Indiana Law Journal, Vol. 87, Issue 1 (Winter 2012), pp. 289-316",87 Ind. L.J. 289 (2012),"Arbitration, Employment Practice, Congress, Employees",26,na,4
Unemployment Compensation in a Time of Increasing Work-Family Conflicts [article],"Malin, Martin H. (Cited 807 times)",6534,"University of Michigan Journal of Law Reform, Vol. 29, Issues 1 and 2 (Fall 1995/Winter 1996), pp. 131-176",29 U. Mich. J.L. Reform 131 (1995-1996),"Compensation, Unemployment, Unemployment Compensation, Endangered Species, Domestic Relations, Labor",26,na,2
The Supreme Court and the Duty of Fair Representation [article],"Malin, Martin H. (Cited 807 times)",6534,"Harvard Civil Rights-Civil Liberties Law Review, Vol. 27, Issue 1 (Winter 1992), pp. 127-186",27 Harv. C.R.-C.L. L. Rev. 127 (Winter 1992),"Labor, Unions, Collective Bargaining, Labor",22,3,7
Ethical Concerns in Drafting Employment Arbitration Agreements after Circuit City and Green Tree [comments],"Malin, Martin H. (Cited 807 times)",6534,"Brandeis Law Journal, Vol. 41, Issue 4 (2003), pp. 779-820",41 Brandeis L.J. 779 (2002-2003),"Arbitration, Dispute Resolution, Employment, Labor",20,na,1
Charter Schools and Collective Bargaining: Compatible Marriage or Illegitimate Relationship [article],"Malin, Martin H. (Cited 807 times); Kerchner, Charles Taylor (Cited 18 times)",6534,"Harvard Journal of Law & Public Policy, Vol. 30, Issue 3 (Summer 2007), pp. 885-938",30 Harv. J.L. & Pub. Pol'y 885 (2006-2007),"Charter Schools, Collective Bargaining, Martial Law, Schools, Education Law, Public Education",18,na,16
The Distributive and Corrective Justice Concerns in the Debate over Employment At-Will: Some Preliminary Thoughts [article],"Malin, Martin H. (Cited 807 times)",6534,"Chicago-Kent Law Review, Vol. 68, Issue 1 (1992), pp. 117-146",68 Chi.-Kent L. Rev. 117 (1992-1993),"Employment, Employment-At-Will, Labor, Torts",17,na,4
The Evolving Law of Agency Shop in the Public Sector [article],"Malin, Martin H. (Cited 807 times)",6534,"Ohio State Law Journal, Vol. 50, Issue 4 (1989), pp. 855-890",50 Ohio St. L.J. 855 (1989),"Agency, Labor, Unions, Arbitration, Dispute Resolution, States",14,na,2
Student Employees and Collective Bargaining [article],"Malin, Martin H. (Cited 807 times)",6534,"Kentucky Law Journal, Vol. 69, Issue 1 (1980-1981), pp. 1-36",69 Ky. L.J. 1 (1980-1981),"Collective Bargaining, Employees, Labor, Remedies",14,1,7
The Legislative Upheaval in Public-Sector Labor Law: A Search for Common Elements [article],"Malin, Martin H. (Cited 807 times)",6534,"ABA Journal of Labor and Employment Law, Vol. 27, Issue 2 (Winter 2012), pp. 149-164",27 A.B.A. J. Lab. & Emp. L. 149 (2011-2012),"Government Contracts, Labor, Labor, Collective Bargaining, Democracy, States, Employees, Public Employees",12,na,9
Due Process in Employment Arbitration: The State of the Law and the Need for Self-Regulation [article],"Malin, Martin H. (Cited 807 times)",6534,"Employee Rights and Employment Policy Journal, Vol. 11, Issue 2 (2007), pp. 363-404",11 Emp. Rts. & Emp. Pol'y J. 363 (2007),"Arbitration, Due Process, Employment, Regulation, Discrimination, Employment Practice",12,na,12
University Faculty Members' Right to Dissent: Toward a Unified Theory of Contractual and Constitutional Protection [article],"Malin, Martin H. (Cited 807 times); Ladenson, Robert (Cited 12 times)",6534,"U.C. Davis Law Review, Vol. 16, Issue 4 (Summer 1983), pp. 933-974",16 U.C. Davis L. Rev. 933 (1982-1983),"Academic Freedom, Education Law, First Amendment",12,na,3
The Evolving Role of the Labor Arbitrator [article],"Malin, Martin H. (Cited 807 times); Vonhof, Jeanne M. (Cited 41 times)",6534,"Ohio State Journal on Dispute Resolution, Vol. 21, Issue 1 (2005), pp. 199-240",21 Ohio St. J. on Disp. Resol. 199 (2005-2006),"Labor, Arbitration, Jurisdiction, Labor-Management Relations, Judicial Review, Labor, Public Policy",11,na,2
Foreword: Labor Arbitration Thirty Years after the Steelworkers Trilogy [comments],"Malin, Martin H. (Cited 807 times)",6534,"Chicago-Kent Law Review, Vol. 66, Issue 3 (1990), pp. 551-570",66 Chi.-Kent L. Rev. 551 (1990),"Arbitration, Dispute Resolution, Labor, Labor, Rule of Law, Collective Bargaining, Public Employees, Strikes",10,na,na
Does Public Employee Collective Bargaining Distort Democracy: A Perspective from the United States [article],"Malin, Martin H. (Cited 807 times)",6534,"Comparative Labor Law & Policy Journal, Vol. 34, Issue 2 (Winter 2013), pp. 277-306",34 Comp. Lab. L. & Pol'y J. 277 (Winter 2013),"Collective Bargaining, Democracy, States, Unions, Employment",10,3,22
The Legal Status of Union Security Fee Arbitration after Chicago Teachers Union v. Hudson [article],"Malin, Martin H. (Cited 807 times)",6534,"Boston College Law Review, Vol. 29, Issues 4-5 (September 1988), pp. 857-900",29 B.C. L. Rev. 857 (1987-1988),"Arbitration, Dispute Resolution, Teachers, Agency, Employment, Schools, Education Law, Employees, Freedom of Association, Public Employees",9,1,1
Revisiting the Meltzer-Howlett Debate on External Law in Labor Arbitration: Is It Time for Courts to Declare Howlett the Winner [article],"Malin, Martin H. (Cited 807 times)",6534,"Labor Lawyer, Vol. 24, Issue 1 (Summer 2008), pp. 1-30",24 Lab. Law. 1 (2008-2009),"Arbitration, Courts, Dispute Resolution, Labor, Discrimination",7,na,2
Do Cognitive Biases infect Adjudication - A Study of Labor Arbitrators [article],"Malin, Martin H. (Cited 807 times); Biernat, Monica (Cited 7 times)",6534,"University of Pennsylvania Journal of Business Law , Vol. 11, Issue 1 (Fall 2008), pp. 175-216",11 U. Pa. J. Bus. L. 175 (2008-2009),"Labor, Discrimination, Employment, Employment Discrimination, Testimony, Judgments",7,na,4
Real Estate Multiple Listing Services and the Sherman Act: A Response to Miller and Shedd [comments],"Malin, Martin H. (Cited 807 times)",6534,"American Business Law Journal, Vol. 18, Issue 1 (Spring 1980), pp. 77-84",18 Am. Bus. L.J. 77 (1980-1981),Real Estate,7,na,1
Interference with the Right to Leave under the Family and Medical Leave Act [article],"Malin, Martin H. (Cited 807 times)",6534,"Employee Rights and Employment Policy Journal, Vol. 7, Issue 2 (2003), pp. 329-376",7 Emp. Rts. & Emp. Pol'y J. 329 (2003),"Family and Medical Leave, Trade Unions, Unions, Children",6,na,9
Implementing the Illinois Educational Labor Relations Act [article],"Malin, Martin H. (Cited 807 times)",6534,"Chicago-Kent Law Review, Vol. 61, Issue 1 (1985), pp. 101-150",61 Chi.-Kent L. Rev. 101 (1985),"Labor, Labor-Management Relations, Government",5,3,2
The Three Phases of the Supreme Court's Arbitration Jurisprudence: Empowering the Already-Empowered [article],"Malin, Martin H. (Cited 807 times)",6534,"Nevada Law Journal, Vol. 17, Issue 1 (Fall 2016), pp. 23-62",17 Nev. L.J. 23 (2016-2017),"Arbitration, Contracts, Dispute Resolution, Jurisprudence, Supreme Court of the United States, Practice and Procedure",5,na,10
The Evolving Schizophrenic Nature of Labor Arbitration [article],"Malin, Martin H. (Cited 807 times)",6534,"Journal of Dispute Resolution, Vol. 2010, Issue 1 (2010), pp. 57-88",2010 J. Disp. Resol. 57 (2010),"Arbitration, Labor, Judicial Review, Martial Law, Practice and Procedure, Dispute Resolution",4,1,3
Two Models of Interest Arbitration [article],"Malin, Martin H. (Cited 807 times)",6534,"Ohio State Journal on Dispute Resolution, Vol. 28, Issue 1 (2013), pp. 145-170",28 Ohio St. J. on Disp. Resol. 145 (2013),"Arbitration, Interest, Interest Arbitration, Dispute Resolution, History, Labor, Labor",4,na,17
Labor Law Reform: Waiting for Congress [comments],"Malin, Martin H. (Cited 807 times)",6534,"Chicago-Kent Law Review, Vol. 69, Issue 1 (1993), pp. 277-292",69 Chi.-Kent L. Rev. 277 (1993-1994),"Congress, Labor, Labor, Law Reform",4,na,2
Life after Act 10: Is There a Future for Collective Representation of Wisconsin Public Employees [article],"Malin, Martin H. (Cited 807 times)",6534,"Marquette Law Review, Vol. 96, Issue 2 (Winter 2012), pp. 623-658",96 Marq. L. Rev. 623 (2012-2013),"Employees, Public Employees, Collective Bargaining, State and Local Government Law, Democracy, States",4,na,19
