Title,Author(s),ID,Journal,BBCite,Topics,Cited (articles),Cited (cases),Accessed
"Authorship, Dominance, and the Captive Collaborator: Preserving the Rights of Joint Authors [article]","LaFrance, Mary (Cited 226 times)",797,"Emory Law Journal, Vol. 50, Issue 1 (Winter 2001), pp. 193-264",50 Emory L. J. 193 (2001),"Computer Law, Copyright, Motion Pictures, Courts, Federal Courts, Music, States",49,na,14
Authorship and Termination Rights in Sound Recordings [article],"LaFrance, Mary (Cited 226 times)",797,"Southern California Law Review, Vol. 75, Issue 2 (January 2002), pp. 375-418",75 S. Cal. L. Rev. 375 (2001-2002),"Intellectual Property Law, Sound Recordings, Copyright",38,1,8
No Reason to Live: Dilution Laws as Unconstitutional Restrictions on Commercial Speech [comments],"LaFrance, Mary (Cited 226 times)",797,"South Carolina Law Review, Vol. 58, Issue 4 (Summer 2007), pp. 709-724",58 S. C. L. Rev. 709 (2006-2007),"Commercial Speech, Dilution Laws, Legislation, Statutes, Trademarks",26,na,12
"Something Borrowed, Something New: The Changing Role of Novelty in Idea Protection Law [article]","LaFrance, Mary (Cited 226 times)",797,"Seton Hall Law Review, Vol. 34, Issue 2 (2004), pp. 485-512",34 Seton Hall L. Rev. 485 (2003-2004),"Intellectual Property Law, Copyright, Torts",12,na,2
Graduated Response by Industry Compact: Piercing the Black Box [article],"LaFrance, Mary (Cited 226 times)",797,"Cardozo Arts & Entertainment Law Journal, Vol. 30, Issue 2 (2012), pp. 165-186",30 Cardozo Arts & Ent. L.J. 165 (2012),"Consumer Protection Law, Industry, Copyright",10,na,4
Developments under the Freedom of Information Act--1984 [notes],"Krupicka, Lisa A. (Cited 9 times); LaFrance, Mary E. (Cited 226 times)",797,"Duke Law Journal , Vol. 1985, Issues 3 & 4 (June-September 1985), pp. 742-792",1985 Duke L.J. 742 (1985),Freedom of Information,9,na,na
"Steam Shovels and Lipstick: Trademarks, Greed, and the Public Domain [article]","LaFrance, Mary (Cited 226 times)",797,"Nevada Law Journal, Vol. 6, Issue 2 (Winter 2005/2006), pp. 447-493",6 Nev. L.J. 447 (2005-2006),"Intellectual Property Law, Trademarks, Statutes, Computer Law, Liability",8,na,3
Innovations Palpitations: The Confusing Status of Geographically Misdescriptive Trademarks [article],"LaFrance, Mary (Cited 226 times)",797,"Journal of Intellectual Property Law, Vol. 12, Issue 1 (Fall 2004), pp. 125-150",12 J. Intell. Prop. L. 125 (2004-2005),"Trademarks, Appeals",8,na,2
When You Wish upon Dastar: Creative Provenance and the Lanham Act [article],"LaFrance, Mary (Cited 226 times)",797,"Cardozo Arts & Entertainment Law Journal, Vol. 23, Issue 1 (2005), pp. 197-260",23 Cardozo Arts & Ent. L.J. 197 (2005-2006),"Legislation, Robbery, Intellectual Property Law",7,na,7
Constitutional Implications of Acquisition-Value Real Property Taxation: The Elusive Rational Basis [article],"LaFrance, Mary (Cited 226 times)",797,"Utah Law Review, Vol. 1994, Issue 2 (1994), pp. 817-870",1994 Utah L. Rev. 817 (1994),"Aged, Constitutional Law, Handicapped, Indigents, Real Property, State and Local Government Law, Tax Relief, Taxation, Statute of Limitations",7,na,2
"Nevada's Employee Inventions Statute: Novel, Nonobvious, and Patently Wrong [article]","LaFrance, Mary (Cited 226 times)",797,"Nevada Law Journal, Vol. 3, Issue 1 (Fall 2002), pp. 88-114",3 Nev. L.J. 88 (2002-2003),"Employment Practice, Intellectual Property Law, Inventions",7,na,3
Constitutional Implications of Acquisition-Value Real Property Taxation: Assessing the Burdens on Travel and Commerce [article],"LaFrance, Mary (Cited 226 times)",797,"Utah Law Review, Vol. 1994, Issue 3 (1994), pp. 1027-1106",1994 Utah L. Rev. 1027 (1994),"Commerce, Real Property, Taxation, Aged, Constitutional Law, Handicapped, Indigents, State and Local Government Law, Tax Relief",5,1,1
From Whether to How: The Challenge of Implementing a Full Public Performance Right in Sound Recordings [article],"LaFrance, Mary (Cited 226 times)",797,"Harvard Journal of Sports & Entertainment Law, Vol. 2, Issue 2 (Spring 2011), pp. 221-264",2 Harv. J. Sports & Ent. L. 221 (2011),"Sound Recordings, Music, States",5,na,5
Passing off and Unfair Competition: Conflict and Convergence in Competition Law [article],"LaFrance, Mary (Cited 226 times)",797,"Michigan State Law Review, Vol. 2011, Issue 5 (2011), pp. 1413-1442",2011 Mich. St. L. Rev. 1413 (2011),Unfair Competition,4,na,33
"Days of Our Lives: The Impact of Section 197 on the Depreciation of Copyrights, Patents, and Related Property [article]","LaFrance, Mary (Cited 226 times)",797,"Hofstra Law Review, Vol. 24, Issue 2 (Winter 1995), pp. 317-348",24 Hofstra L. Rev. 317 (1995-1996),"Intellectual Property Law, Taxation-Federal Income, Compensation, Debts, Labor, Rent",4,na,6
Identical Cousins: On the Road with Dilution and the Right of Publicity [article],"LaFrance, Mary (Cited 226 times); Cline, Gail H. (Cited 8 times)",797,"Santa Clara Computer & High Technology Law Journal , Vol. 24, Issue 3 (2007-2008), pp. 641-680",24 Santa Clara Computer & High Tech. L.J. 641 (2007-2008),"Publicity, Right of Publicity, Intellectual Property Law, Cause of Action, First Amendment",4,na,8
Congress Trips over International Law: WTO Finds Unfairness in Music Licensing Act [article],"LaFrance, Mary (Cited 226 times)",797,"DePaul-LCA Journal of Art and Entertainment Law, Vol. 11, Issue 2 (Fall 2001), pp. 397-424",11 DePaul-LCA J. Art & Ent. L. 397 (2001),"Congress, International Law: History, Licensing, Music, Copyright",4,na,3
Wag the Dog: Using Incidental Intellectual Property Rights to Block Parallel Imports [article],"LaFrance, Mary (Cited 226 times)",797,"Michigan Telecommunications and Technology Law Review, Vol. 20, Issue 1 (Fall 2013), pp. 45-120",20 Mich. Telecomm. & Tech. L. Rev. 45 (2013-2014),"Commercial Law, Comparative Law, Intellectual Property Law, International Trade, Sales, Copyright",3,na,6
A Material World: Using Trademark Law to Override Copyright's First Sale Rule for Imported Copies [article],"LaFrance, Mary (Cited 226 times)",797,"Michigan Telecommunications and Technology Law Review, Vol. 21, Issue 1 (Fall 2014), pp. 43-78",21 Mich. Telecomm. & Tech. L. Rev. 43 (2014-2015),"Copyright, Commercial Law, Intellectual Property Law, Legal Research",3,na,5
Defining Marriage: What Ballot Question Two Doesn't Do [article],"LaFrance, Mary (Cited 226 times)",797,"Nevada Lawyer, Vol. 10, Issue 10 (October 2002), pp. 15-22",10 Nev. Law. 15 (2002),"Domestic Relations, Martial Law, Sexual Orientation, State and Local Government Law, Employment Practice, Legislation, Unmarried Couples",3,na,1
New York Right of Publicity Law: Panel Discussion [article],"Goering, Kevin (Cited 4 times); Hughes, Justin (Cited 1379 times); LaFrance, Mary (Cited 226 times); Rothman, Jennifer (Cited 535 times); Siegel, Nathan (Cited 13 times); Wolff, Nancy (Cited 20 times); Sheff, Jeremy (Cited 149 times)",797,"Cardozo Arts & Entertainment Law Journal, Vol. 36, Issue 3 (2018), pp. 601-634",36 Cardozo Arts & Ent. L.J. 601 (2018),"Publicity, Right of Publicity, Privacy, Choice of Law, Domicile",2,na,44
"Trouble in Transamerica: Deferred Compensation, Contingent Debt, and over Stated Basis [comments]","LaFrance, Mary (Cited 226 times)",797,"Virginia Tax Review, Vol. 15, Issue 4 (Spring 1996), pp. 685-738",15 Va. Tax Rev. 685 (1995-1996),"Compensation, Debts, Labor, Intellectual Property Law, Taxation-Federal Income, Rent",2,na,7
Initial Impressions: Trademark Protection for Abbreviations of Generic or Descriptive Terms [article],"LaFrance, Mary (Cited 226 times)",797,"Akron Law Review, Vol. 45, Issue 1 (2012), pp. 201-242",45 Akron L. Rev. 201 (2012),"Courts, Intellectual Property Law, Biotechnology, Chemicals",1,1,15
