Title,Author(s),ID,Journal,BBCite,Topics,Cited (articles),Cited (cases),Accessed
Decisions Rules and Conduct Rules: On Acoustic Separation in Criminal Law [article],"Dan-Cohen, Meir (Cited 790 times)",6288,"Harvard Law Review, Vol. 97, Issue 3 (January 1984), pp. 625-677",97 Harv. L. Rev 625 (1983-1984),Governors,465,3,12
Responsibility and the Boundaries of the Self [article],"Dan-Cohen, Meir (Cited 790 times)",6288,"Harvard Law Review , Vol. 105, Issue 5 (March 1992), pp. 959-1003",105 Harv. L. Rev. 959 (1991-1992),"Boundaries, Criminal Law, Jurisprudence, Law and Society, Death, Psychiatrists and Psychologists",103,1,10
"Freedoms of Collective Speech: A Theory of Protected Communications by Organizations, Communities, and the State [article]","Dan-Cohen, Meir (Cited 790 times)",6288,"California Law Review, Vol. 79, Issue 5 (October 1991), pp. 1229-1268",79 Calif. L. Rev. 1229 (1991),"Constitutional Law, Organizations, Corporations, Communications Law",49,4,13
Bureaucratic Organizations and the Theory of Adjudication [article],"Dan-Cohen, Meir (Cited 790 times)",6288,"Columbia Law Review, Vol. 85, Issue 1 (January 1985), pp. 1-37",85 Colum. L. Rev. 1 (1985),"Organizations, Courts, Health",41,na,5
Between Selves and Collectivities: Toward a Jurisprudence of Identity [article],"Dan-Cohen, Meir (Cited 790 times)",6288,"University of Chicago Law Review, Vol. 61, Issue 4 (Fall 1994), pp. 1213-1244",61 U. Chi. L. Rev. 1213 (1994),"Jurisprudence, Children, Domestic Relations, Juveniles, Separation, Separation of Powers, Law and Society",40,na,2
Listeners and Eavesdroppers: Substantive Legal Theory and Its Audience [article],"Dan-Cohen, Meir (Cited 790 times)",6288,"University of Colorado Law Review, Vol. 63, Issue 3 (1992), pp. 569-594",63 U. Colo. L. Rev. 569 (1992),"Jurisprudence, Education Law, Legal Education, Standing",34,na,5
Basic Values and the Victim's State of Mind [article],"Dan-Cohen, Meir (Cited 790 times)",6288,"California Law Review, Vol. 88, Issue 3 (May 2000), pp. 759-778",88 Calif. L. Rev. 759 (2000),"Alcoholism, Rape, Sex Crimes, Criminal Law, Criminology",16,na,10
"Law, Community, and Communication [comments]","Dan-Cohen, Meir (Cited 790 times)",6288,"Duke Law Journal, Vol. 1989, Issue 6 (December 1989), pp. 1654-1676",1989 Duke L.J. 1654 (December 1989),"Jurisprudence, Law and Society, Ethics, Legal Ethics",14,na,3
Sanctioning Corporations [article],"Dan-Cohen, Meir (Cited 790 times)",6288,"Journal of Law and Policy, Vol. 19, Issue 1 (2010), pp. 15-44",19 J.L. & Pol'y 15 (2010-2011),"Corporations, Criminal Law, Law Enforcement, Constitutional Law, Organizations",6,na,23
Thinking Criminal Law [article],"Dan-Cohen, Meir (Cited 790 times)",6288,"Cardozo Law Review, Vol. 28, Issue 6 (May 2007), pp. 2419-2426",28 Cardozo L. Rev. 2419 (May 2007),"Criminal Law, Sovereignty",5,na,10
Skirmishes on the Temporal Boundaries of States [article],"Dan-Cohen, Meir (Cited 790 times)",6288,"Law and Contemporary Problems, Vol. 72, Issue 2 (Spring 2009), pp. 95-114",72 Law & Contemp. Probs. 95 (2009),"Boundaries, States, Crimes, Crimes Against Humanity, Criminal Law, South Africa, Trials",5,na,2
Substantive Legal Theory and Its Audience [comments],"Dan-Cohen, Meir (Cited 790 times)",6288,"Tel Aviv University Studies in Law, Vol. 10, pp. 7-14",10 Tel Aviv U. Stud. L. 7 (1990),"Jurisprudence, Feminism, Money, Standing",3,na,1
A Concept of Dignity [article],"Dan-Cohen, Meir (Cited 790 times)",6288,"Israel Law Review, Vol. 44, Issue 1 and 2 (2011), pp. 9-24",44 Isr. L. Rev. 9 (2011),"Capacity, Human Rights Law, Civil Rights, Constitutional Law, Freedom of Assembly",3,na,16
Luck and Identity [article],"Dan-Cohen, Meir (Cited 790 times)",6288,"Theoretical Inquiries in Law, Vol. 9, Issue 1 (January 2008), pp. 1-22",9 Theoretical Inq. L. 1 (2008),"Philosophy, Accidents, Insurance Law, Law and Ethics, Liability, Liability Insurance, Traffic Accidents, Contracts, Jurisprudence",2,na,34
The Actus Reus and Offences of Situation [article],na,6288,"Israel Law Review, Vol. 7, Issue 2 (April 1972), pp. 186-194",7 Isr. L. Rev. 186 (1972),"Liability, Consent, Rape, Theft",2,na,12
Epilogue on Corporate Personhood and Humanity [article],"Dan-Cohen, Meir (Cited 790 times)",6288,"New Criminal Law Review, Vol. 16, Issue 2 (Spring 2013), pp. 300-308",16 New Crim. L. Rev. 300 (2013),"Corporations, Lobbying, Technology, Agency, First Amendment",1,na,14
The Authority of the Self [article],"Dan-Cohen, Meir (Cited 790 times)",6288,"Arizona State Law Journal, Vol. 43, Issue 4 (Winter 2011), pp. 1159-1168",43 Ariz. St. L.J. 1159 (2011),"Constitutional Rights, Parents and Children, Constitutions, Trees",na,na,9
The Value of Ownership [article],"Dan-Cohen, Meir (Cited 790 times)",6288,"Global Jurist, Vol. 1, Issue 2 (2001), pp. [i]-41",1 Global Jurist [i] (2001),Ownership,na,na,na
