Title,Author(s),ID,Journal,BBCite,Topics,Cited (articles),Cited (cases),Accessed
Expert Witnesses and Sufficiency of Evidence in Toxic Substances Litigation: The Legacy of Agent Orange and Bendectin Litigation [article],"Green, Michael D. (Cited 1037 times)",4261,"Northwestern University Law Review, Vol. 86, Issue 3 , pp. 643-699",86 Nw. U. L. Rev. 643 (1991-1992),"Evidence, Testimony, Causation",233,30,63
The Paradox of Statutes of Limitations in Toxic Substances Litigation [article],"Green, Michael D. (Cited 1037 times)",4261,"California Law Review, Vol. 76, Issue 5 (October 1988), pp. 965-1014",76 Calif. L. Rev. 965 (1988),"Statutes, Toxic Substances, Common Law, Products Liability Law, Damages, Remedies, Torts",76,11,11
Sucessor Liability The Superiority of Statutory Reform to Protect Products Liability Claimants [article],"Green, Michael D. (Cited 1037 times)",4261,"Cornell Law Review, Vol. 72, Issue 1 , pp. 17-60",72 Cornell L. Rev. 17 (1986-1987),"Liability, Corporations, Duty to Warn, Products Liability Law, Bankruptcy Law, Good Faith, Successor Liability",61,9,5
The Inability of Offensive Collateral Estoppel to Fulfill Its Promise: An Examination of Estoppel in Asbestos Litigation [article],"Green, Michael D. (Cited 1037 times)",4261,"Iowa Law Review, Vol. 70, Issue 1 (October 1984), pp. 141-236",70 Iowa L. Rev. 141 (1984-1985),"Asbestos, Collateral Estoppel, Estoppel, Arbitration, Contracts, Dispute Resolution, Employment, Practice and Procedure, Civil Procedure, Government",53,3,13
Statutory Compliance and Tort Liability: Examining the Strongest Case [article],"Green, Michael D. (Cited 1037 times)",4261,"University of Michigan Journal of Law Reform, Vol. 30, Issues 2 and 3 (Winter/Spring 1997), pp. 461-510",30 U. Mich. J.L. Reform 461 (1996-1997),"Liability, Food and Drug Law, Medical Devices, Regulation, Negligence, Statutes",52,1,12
Duty Wars [article],"Cardi, W. Jonathan (Cited 272 times); Green, Michael D. (Cited 1037 times)",4261,"Southern California Law Review, Vol. 81, Issue 4 (May 2008), pp. 671-734",81 S. Cal. L. Rev. 671 (2007-2008),Torts,51,8,10
From Here to Attorney's Fees: Certainty Efficiency and Fairness in the Journey to the Appellate Courts [article],"Green, Michael D. (Cited 1037 times)",4261,"Cornell Law Review, Vol. 69, Issue 2 , pp. 207-301",69 Cornell L. Rev. 207 (1983-84),"Appellate Courts, Courts, Fees, Practice and Procedure, Appellate Review, Discovery, Federal Courts",48,10,3
Negligence= Economic Efficiency: Doubts > [article],"Green, Michael D. (Cited 1037 times)",4261,"Texas Law Review, Vol. 75, Issue 7 , pp. 1605-1644",75 Tex. L. Rev. 1605 (1996-1997),"Economics, Jurisprudence, Negligence, States, Admiralty Law, Law and Economics",48,na,38
Ascertaining Customary Care in Malpractice Cases: Asking Those Who Know [article],"Cramm, Tim (Cited 53 times); Hartz, Arthur J. (Cited 51 times); Green, Michael D. (Cited 1037 times)",4261,"Wake Forest Law Review, Vol. 37, Issue 3 (2002), pp. 699-756",37 Wake Forest L. Rev. 699 (2002),"Malpractice, Medical Malpractice, Standard of Care",40,1,13
Tort Law Deference to FDA Regulation of Medical Devices [article],"Green, Michael D. (Cited 1037 times); Schultz, William B. (Cited 70 times)",4261,"Georgetown Law Journal, Vol. 88, Issue 7 (July 2000), pp. 2119-2146",88 Geo. L.J. 2119 (1999-2000),"Food and Drug Law, Medical Devices, Regulation, Liability",34,2,17
Successors and CERCLA: The Imperfect Analogy to Products Liability and an Alternative Proposal [article],"Green, Michael D. (Cited 1037 times)",4261,"Northwestern University Law Review , Vol. 87, Issue 3 , pp. 897-936",87 Nw. U. L. Rev. 897 (1992-1993),"Commercial Law, Environmental Law, Liability, Common Law, Successor Liability",34,2,10
"Schizophrenia of Risk-Benefit Analysis in Design Defect Litigation, The [comments]","Green, Michael D. (Cited 1037 times)",4261,"Vanderbilt Law Review, Vol. 48, Issue 3 (April 1995), pp. 609-630",48 Vand. L. Rev. 609 (April 1995),"Torts, Products Liability Law, Liability",32,2,10
Supreme Court and the Products Liability Crisis: Lessons from Boyle's Government Contractor Defense [article],"Green, Michael D. (Cited 1037 times); Matasar, Richard A. (Cited 693 times)",4261,"Southern California Law Review, Vol. 63, Issue 3 (March 1990), pp. 637-726",63 S. Cal. L. Rev. 637 (March 1990),"Government, Government Contracts, Liability, Products Liability Law, Torts",27,4,4
"Prescription Drugs, Alternative Designs, and the Restatement (Third): Preliminary Reflections [article]","Green, Michael D. (Cited 1037 times)",4261,"Seton Hall Law Review, Vol. 30, Issue 1 (1999), pp. 207-232",30 Seton Hall L. Rev. 207 (1999),"Drugs, Prescription, Prescription Drugs, Liability, Medical Devices, Torts, Food and Drug Law, Products Liability Law",24,na,12
Safety as an Element of Pharmeceutical Quality: The Respective Roles of Regulation and Tort Law [article],"Green, Michael D. (Cited 1037 times)",4261,"Saint Louis University Law Journal, Vol. 42, Issue 1 (Winter 1998), pp. 163-190",42 St. Louis U. L.J. 163 (Winter 1998),"Drugs, Products Liability Law, Regulation, Liability, Food and Drug Law, Medical Devices",23,na,11
The Road Less Well Traveled (and Seen): Contemporary Lawmaking in Products Liability [article],"Green, Michael D. (Cited 1037 times)",4261,"DePaul Law Review, Vol. 49, Issue 2 (Winter 2000), pp. 377-404",49 DePaul L. Rev. 377 (1999-2000),"Liability, Products Liability Law, Judges",23,na,na
